category,subcategory,source_id,relative_importance,category_id,subcategory_id,table
Food & Non-alcoholic Beverages,,0,15.3,78,0,
Food & Non-alcoholic Beverages,Food at home,0,10.335,78,90,
Food & Non-alcoholic Beverages,Food at home,,0.083625,78,90,com_numbeo_us_bread_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.083625,78,90,com_numbeo_us_rice_3m_avg
Food & Non-alcoholic Beverages,Food at home,168,0.3345,78,90,gov_bls_cereals
Food & Non-alcoholic Beverages,Food at home,173,0.669,78,90,com_nielseniq_us_cereals
Food & Non-alcoholic Beverages,Food at home,178,0.16725,78,90,com_truflation_yahoo_food
Food & Non-alcoholic Beverages,Food at home,,0.09367,78,90,com_numbeo_us_beef_round_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.09367,78,90,com_numbeo_us_chicken_fillets_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.09366,78,90,com_numbeo_us_eggs_3m_avg
Food & Non-alcoholic Beverages,Food at home,169,0.562,78,90,gov_bls_meats
Food & Non-alcoholic Beverages,Food at home,174,1.124,78,90,com_nielseniq_us_meats
Food & Non-alcoholic Beverages,Food at home,178,0.281,78,90,com_truflation_yahoo_food
Food & Non-alcoholic Beverages,Food at home,,0.06195,78,90,com_numbeo_us_local_cheese_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.06195,78,90,com_numbeo_us_milk_3m_avg
Food & Non-alcoholic Beverages,Food at home,170,0.24775,78,90,gov_bls_dairy
Food & Non-alcoholic Beverages,Food at home,175,0.4955,78,90,com_nielseniq_us_dairy_products
Food & Non-alcoholic Beverages,Food at home,178,0.12385,78,90,com_truflation_yahoo_food
Food & Non-alcoholic Beverages,Food at home,,0.036486,78,90,com_numbeo_us_apples_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.036486,78,90,com_numbeo_us_banana_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.036486,78,90,com_numbeo_us_lettuce_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.036486,78,90,com_numbeo_us_onion_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.036486,78,90,com_numbeo_us_oranges_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.036485,78,90,com_numbeo_us_potato_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.036485,78,90,com_numbeo_us_tomato_3m_avg
Food & Non-alcoholic Beverages,Food at home,171,0.51075,78,90,gov_bls_fruits
Food & Non-alcoholic Beverages,Food at home,176,1.0215,78,90,com_nielseniq_us_fruits_and_vegetables
Food & Non-alcoholic Beverages,Food at home,178,0.25535,78,90,com_truflation_yahoo_food
Food & Non-alcoholic Beverages,Food at home,172,0.62958,78,90,gov_bls_other_food
Food & Non-alcoholic Beverages,Food at home,994,1.25916,78,90,com_nielseniq_us_other_food
Food & Non-alcoholic Beverages,Food at home,178,0.46435,78,90,com_truflation_yahoo_food
Food & Non-alcoholic Beverages,Food at home,253,0.29917,78,90,gov_bls_beverages
Food & Non-alcoholic Beverages,Food at home,254,0.59834,78,90,com_nielseniq_us_beverages
Food & Non-alcoholic Beverages,Food at home,,0.2322,78,90,com_numbeo_us_coke_pepsi_3m_avg
Food & Non-alcoholic Beverages,Food at home,,0.2322,78,90,com_numbeo_us_water_3m_avg
Food & Non-alcoholic Beverages,Food away from home,0,4.965,78,91,
Food & Non-alcoholic Beverages,Food away from home,,0.124125,78,91,com_numbeo_us_cappuccino_3m_avg
Food & Non-alcoholic Beverages,Food away from home,,0.124125,78,91,com_numbeo_us_mcmeal_3m_avg
Food & Non-alcoholic Beverages,Food away from home,,0.124125,78,91,com_numbeo_us_meal_3m_avg
Food & Non-alcoholic Beverages,Food away from home,,0.124125,78,91,com_numbeo_us_meal_for_2_3m_avg
Food & Non-alcoholic Beverages,Food away from home,183,1.4895,78,91,gov_bls_food_away_from_home
Food & Non-alcoholic Beverages,Food away from home,184,1.4895,78,91,com_economist_us_big-mac
Food & Non-alcoholic Beverages,Food away from home,178,1.4895,78,91,com_truflation_yahoo_food
Housing,,0,23.2,79,0,
Housing,Owned dwellings,0,13.757,79,97,
Housing,Owned dwellings,,1.3632,79,97,com_numbeo_us_mortgage_interest_3m_avg
Housing,Owned dwellings,995,1.3633,79,97,edu_psu_housing_full_series
Housing,Owned dwellings,330,1.3633,79,97,com_redfin_us_mortgage_rates
Housing,Owned dwellings,336,1.3632,79,97,gov_bls_over_equivalent_rent
Housing,Owned dwellings,995,2.1655,79,97,edu_psu_housing_full_series
Housing,Owned dwellings,336,2.1655,79,97,gov_bls_over_equivalent_rent
Housing,Owned dwellings,995,1.9865,79,97,edu_psu_housing_full_series
Housing,Owned dwellings,336,1.9865,79,97,gov_bls_over_equivalent_rent
Housing,Rented dwellings,0,8.114,79,98,
Housing,Rented dwellings,,0.4057,79,98,com_numbeo_us_apartment_1bed_in_city_3m_avg
Housing,Rented dwellings,,0.4057,79,98,com_numbeo_us_apartment_1bed_out_centre_3m_avg
Housing,Rented dwellings,,0.4057,79,98,com_numbeo_us_apartment_3bed_in_city_3m_avg
Housing,Rented dwellings,,0.4057,79,98,com_numbeo_us_apartment_3bed_out_centre_3m_avg
Housing,Rented dwellings,995,1.6228,79,98,edu_psu_housing_full_series
Housing,Rented dwellings,186,1.6228,79,98,com_zillow_us_rented_dwellings
Housing,Rented dwellings,332,1.6228,79,98,com_redfin_us_rented_dwellings
Housing,Rented dwellings,334,1.6228,79,98,com_apartmentlist_us_rent
Housing,Other lodging,0,1.329,79,99,
Housing,Other lodging,187,0.5980,79,99,gov_bls_other_lodging
Housing,Other lodging,0,0.1330,79,99,com_truflation_us_hotel_price
Housing,Other lodging,0,0.5980,79,99,com_trivago_hotel
Transport,,0,19.832,80,0,
Transport,Vehicle purchases (net outlay),0,9.132,80,103,
Transport,Vehicle purchases (net outlay),,0.21085,80,103,com_numbeo_us_toyota_corolla_sedan_3m_avg
Transport,Vehicle purchases (net outlay),,0.21085,80,103,com_numbeo_us_volkswagen_golf_3m_avg
Transport,Vehicle purchases (net outlay),188,1.8977,80,103,com_kbb_us_cars_and_trucks
Transport,Vehicle purchases (net outlay),189,1.8976,80,103,gov_bls_cars_and_trucks
