date,value,created_at
2024-02-17,109.077,2024-02-27 23:02:01
2024-02-10,107.633,2024-02-20 23:01:46
2024-02-03,105.666,2024-02-13 23:01:49
2024-01-27,102.857,2024-02-06 23:01:58
2024-01-20,101.447,2024-02-01 23:02:04
2024-01-13,100.253,2024-01-24 23:01:45
2024-01-06,100.317,2024-01-18 04:21:11
2023-12-30,103.537,2024-01-18 04:21:11
2023-12-23,117.047,2024-01-02 23:01:50
2023-12-16,109.717,2023-12-28 23:01:44
2023-12-09,106.31,2023-12-20 23:01:36
2023-12-02,117.595,2023-12-12 23:01:53
2023-11-25,124.342,2023-12-05 23:01:23
2023-11-18,107.175,2023-12-05 23:01:23
2023-11-11,109.352,2023-11-22 23:01:34
2023-11-04,106.565,2023-11-14 23:01:54
2023-10-28,99.741,2023-11-07 23:01:50
2023-10-21,102.186,2023-11-02 23:01:41
2023-10-14,103.43,2023-10-25 23:01:28
2023-10-07,103.902,2023-10-18 23:01:27
2023-09-30,102.576,2023-10-10 23:01:30
2023-09-23,104.599,2023-10-03 23:01:39
2023-09-16,104.304,2023-09-28 23:01:21
2023-09-09,103.874,2023-09-19 23:01:31
2023-09-02,103.961,2023-09-13 23:01:25
2023-08-26,104.191,2023-09-06 16:01:48
2023-08-19,108.068,2023-09-04 12:01:48
2023-08-12,107.824,2023-08-24 23:01:29
2023-08-05,109.153,2023-08-16 23:01:15
2023-07-29,108.254,2023-08-16 23:01:15
2023-07-22,108.26,2023-08-14 07:19:23
2023-07-15,111.156,2023-08-14 07:19:23
2023-07-08,114.263,2023-08-14 07:19:23
2023-07-01,112.864,2023-08-14 07:19:23
2023-06-24,110.965,2023-08-14 07:19:23
2023-06-17,110.796,2023-08-14 07:19:23
2023-06-10,111.473,2023-08-14 07:19:23
2023-06-03,115.103,2023-08-14 07:19:23
2023-05-27,110.111,2023-08-14 07:19:23
2023-05-20,113.909,2023-08-14 07:19:23
2023-05-13,119.243,2023-08-14 07:19:23
2023-05-06,115.108,2023-08-14 07:19:23
2023-04-29,112.51,2023-08-14 07:19:23
2023-04-22,112.959,2023-08-14 07:19:23
2023-04-15,110.847,2023-08-14 07:19:23
2023-04-08,111.099,2023-08-14 07:19:23
2023-04-01,111.701,2023-08-14 07:19:23
2023-03-25,113.487,2023-08-14 07:19:23
2023-03-18,114.243,2023-08-14 07:19:23
2023-03-11,111.92,2023-08-14 07:19:23
2023-03-04,112.108,2023-08-14 07:19:23
2023-02-25,108.175,2023-08-14 07:19:23
2023-02-18,112.979,2023-08-14 07:19:23
2023-02-11,111.47,2023-08-14 07:19:23
2023-02-04,107.987,2023-08-14 07:19:23
2023-01-28,107.593,2023-08-14 07:19:23
2023-01-21,108.293,2023-08-14 07:19:23
2023-01-14,107.736,2023-08-14 07:19:23
2023-01-07,108.796,2023-08-14 07:19:23
2022-12-31,111.085,2023-08-14 07:19:23
2022-12-24,123.317,2023-08-14 07:19:23
2022-12-17,116.367,2023-08-14 07:19:23
2022-12-10,114.417,2023-08-14 07:19:23
2022-12-03,120.567,2023-08-14 07:19:23
2022-11-26,128.239,2023-08-14 07:19:23
2022-11-19,113.052,2023-08-14 07:19:23
2022-11-12,116.094,2023-08-14 07:19:23
2022-11-05,112.861,2023-08-14 07:19:23
2022-10-29,106.734,2023-08-14 07:19:23
2022-10-22,103.953,2023-08-14 07:19:23
2022-10-15,105.835,2023-08-14 07:19:23
2022-10-08,107.279,2023-08-14 07:19:23
2022-10-01,102.467,2023-08-14 07:19:23
2022-09-24,103.705,2023-08-14 07:19:23
2022-09-17,107.936,2023-08-14 07:19:23
2022-09-10,106.84,2023-08-14 07:19:23
2022-09-03,106.273,2023-08-14 07:19:23
2022-08-27,108.622,2023-08-14 07:19:23
2022-08-20,110.512,2023-08-14 07:19:23
2022-08-13,113.479,2023-08-14 07:19:23
2022-08-06,107.099,2023-08-14 07:19:23
2022-07-30,108.554,2023-08-14 07:19:23
2022-07-23,110.563,2023-08-14 07:19:23
2022-07-16,111.552,2023-08-14 07:19:23
2022-07-09,109.923,2023-08-14 07:19:23
2022-07-02,110.869,2023-08-14 07:19:23
2022-06-25,111.102,2023-08-14 07:19:23
2022-06-18,116.676,2023-08-14 07:19:23
2022-06-11,110.7,2023-08-14 07:19:23
2022-06-04,116.735,2023-08-14 07:19:23
2022-05-28,117.238,2023-08-14 07:19:23
2022-05-21,117.614,2023-08-14 07:19:23
2022-05-14,116.538,2023-08-14 07:19:23
2022-05-07,118.513,2023-08-14 07:19:23
2022-04-30,114.557,2023-08-14 07:19:23
2022-04-23,113.852,2023-08-14 07:19:23
2022-04-16,113.069,2023-08-14 07:19:23
2022-04-09,112.1,2023-08-14 07:19:23
2022-04-02,114.108,2023-08-14 07:19:23
2022-03-26,114.931,2023-08-14 07:19:23
2022-03-19,115.347,2023-08-14 07:19:23
2022-03-12,110.588,2023-08-14 07:19:23
2022-03-05,109.318,2023-08-14 07:19:23
2022-02-26,109.992,2023-08-14 07:19:23
2022-02-19,106.792,2023-08-14 07:19:23
2022-02-12,103.685,2023-08-14 07:19:23
2022-02-05,102.359,2023-08-14 07:19:23
2022-01-29,103.034,2023-08-14 07:19:23
2022-01-22,105.253,2023-08-14 07:19:23
2022-01-15,103.256,2023-08-14 07:19:23
2022-01-08,104.675,2023-08-14 07:19:23
2022-01-01,109.147,2023-08-14 07:19:23
2021-12-25,118.892,2023-08-14 07:19:23
2021-12-18,113.42,2023-08-14 07:19:23
2021-12-11,109.293,2023-08-14 07:19:23
2021-12-04,112.226,2023-08-14 07:19:23
2021-11-27,124.733,2023-08-14 07:19:23
2021-11-20,110.566,2023-08-14 07:19:23
2021-11-13,120.081,2023-08-14 07:19:23
2021-11-06,112.192,2023-08-14 07:19:23
2021-10-30,100.691,2023-08-14 07:19:23
2021-10-23,104.478,2023-08-14 07:19:23
2021-10-16,108.315,2023-08-14 07:19:23
2021-10-09,102.989,2023-08-14 07:19:23
2021-10-02,102.028,2023-08-14 07:19:23
2021-09-25,101.365,2023-08-14 07:19:23
2021-09-18,101.138,2023-08-14 07:19:23
2021-09-11,100.287,2023-08-14 07:19:23
2021-09-04,98.505,2023-08-14 07:19:23
2021-08-28,100.09,2023-08-14 07:19:23
2021-08-21,103.245,2023-08-14 07:19:23
2021-08-14,105.408,2023-08-14 07:19:23
2021-08-07,99.292,2023-08-14 07:19:23
2021-07-31,98.219,2023-08-14 07:19:23
2021-07-24,101.194,2023-08-14 07:19:23
2021-07-17,102.23,2023-08-14 07:19:23
2021-07-10,101.121,2023-08-14 07:19:23
2021-07-03,102.149,2023-08-14 07:19:23
2021-06-26,103.214,2023-08-14 07:19:23
2021-06-19,101.429,2023-08-14 07:19:23
2021-06-12,106.203,2023-08-14 07:19:23
2021-06-05,106.085,2023-08-14 07:19:23
2021-05-29,109.588,2023-08-14 07:19:23
2021-05-22,111.153,2023-08-14 07:19:23
2021-05-15,114.782,2023-08-14 07:19:23
2021-05-08,111.484,2023-08-14 07:19:23
2021-05-01,109.535,2023-08-14 07:19:23
2021-04-24,110.097,2023-08-14 07:19:23
2021-04-17,110.271,2023-08-14 07:19:23
2021-04-10,107.242,2023-08-14 07:19:23
2021-04-03,111.144,2023-08-14 07:19:23
2021-03-27,117.089,2023-08-14 07:19:23
2021-03-20,120.095,2023-08-14 07:19:23
2021-03-13,110.329,2023-08-14 07:19:23
2021-03-06,108.919,2023-08-14 07:19:23
2021-02-27,105.596,2023-08-14 07:19:23
2021-02-20,100.719,2023-08-14 07:19:23
2021-02-13,100.416,2023-08-14 07:19:23
2021-02-06,101.171,2023-08-14 07:19:23
2021-01-30,102.902,2023-08-14 07:19:23
2021-01-23,103.278,2023-08-14 07:19:23
2021-01-16,103.323,2023-08-14 07:19:23
2021-01-09,104.349,2023-08-14 07:19:23
2021-01-02,94.12,2023-08-14 07:19:23
2021-01-01,94.12,2023-08-14 07:19:23
2020-12-01,92.41,2023-08-14 07:19:23
2020-11-01,93.69,2023-08-14 07:19:23
2020-10-01,93.58,2023-08-14 07:19:23
2020-09-01,91.37,2023-08-14 07:19:23
2020-08-01,92.72,2023-08-14 07:19:23
2020-07-01,88.29,2023-08-14 07:19:23
2020-06-01,86.42,2023-08-14 07:19:23
2020-05-01,85.93,2023-08-14 07:19:23
2020-04-01,85.93,2023-08-14 07:19:23
2020-03-01,83.59,2023-08-14 07:19:23
2020-02-01,83.44,2023-08-14 07:19:23
2020-01-01,81.31,2023-08-14 07:19:23
2019-12-01,79.22,2023-08-14 07:19:23
2019-11-01,79.91,2023-08-14 07:19:23
2019-10-01,82.32,2023-08-14 07:19:23
2019-09-01,84.54,2023-08-14 07:19:23
2019-08-01,83.5,2023-08-14 07:19:23
2019-07-01,83.93,2023-08-14 07:19:23
2019-06-01,85.38,2023-08-14 07:19:23
