date,value,created_at
2024-02-17,80.415,2024-02-27 23:02:02
2024-02-10,80.714,2024-02-20 23:01:47
2024-02-03,81.109,2024-02-13 23:01:49
2024-01-27,81.266,2024-02-06 23:01:59
2024-01-20,81.463,2024-02-01 23:02:05
2024-01-13,81.188,2024-01-24 23:01:46
2024-01-06,80.796,2024-01-18 04:21:12
2023-12-30,81.854,2024-01-18 04:21:12
2023-12-23,89.819,2024-01-02 23:01:50
2023-12-16,85.464,2023-12-28 23:01:44
2023-12-09,83.312,2023-12-20 23:01:37
2023-12-02,83.459,2023-12-12 23:01:54
2023-11-25,82.003,2023-12-05 23:01:24
2023-11-18,78.027,2023-12-05 23:01:24
2023-11-11,79.65,2023-11-22 23:01:35
2023-11-04,78.678,2023-11-14 23:01:55
2023-10-28,78.052,2023-11-07 23:01:51
2023-10-21,78.362,2023-11-02 23:01:42
2023-10-14,78.455,2023-10-25 23:01:29
2023-10-07,77.999,2023-10-18 23:01:27
2023-09-30,79.264,2023-10-10 23:01:31
2023-09-23,80.32,2023-10-03 23:01:39
2023-09-16,80.882,2023-09-28 23:01:22
2023-09-09,80.256,2023-09-19 23:01:32
2023-09-02,81.421,2023-09-13 23:01:26
2023-08-26,82.002,2023-09-06 16:01:49
2023-08-19,82.737,2023-09-04 12:01:49
2023-08-12,81.617,2023-08-24 23:01:30
2023-08-05,81.875,2023-08-16 23:01:16
2023-07-29,80.107,2023-08-16 23:01:16
2023-07-22,78.849,2023-08-14 07:19:23
2023-07-15,79.051,2023-08-14 07:19:23
2023-07-08,76.639,2023-08-14 07:19:23
2023-07-01,77.411,2023-08-14 07:19:23
2023-06-24,78.397,2023-08-14 07:19:23
2023-06-17,78.979,2023-08-14 07:19:23
2023-06-10,79.326,2023-08-14 07:19:23
2023-06-03,77.306,2023-08-14 07:19:23
2023-05-27,77.914,2023-08-14 07:19:23
2023-05-20,78.936,2023-08-14 07:19:23
2023-05-13,79.693,2023-08-14 07:19:23
2023-05-06,79.625,2023-08-14 07:19:23
2023-04-29,79.866,2023-08-14 07:19:23
2023-04-22,79.967,2023-08-14 07:19:23
2023-04-15,78.195,2023-08-14 07:19:23
2023-04-08,78.696,2023-08-14 07:19:23
2023-04-01,80.018,2023-08-14 07:19:23
2023-03-25,81.171,2023-08-14 07:19:23
2023-03-18,81.059,2023-08-14 07:19:23
2023-03-11,80.361,2023-08-14 07:19:23
2023-03-04,82.279,2023-08-14 07:19:23
2023-02-25,82.817,2023-08-14 07:19:23
2023-02-18,81.775,2023-08-14 07:19:23
2023-02-11,81.849,2023-08-14 07:19:23
2023-02-04,81.683,2023-08-14 07:19:23
