date,value,created_at
2024-02-01,48.891271,2024-03-01 23:00:35
2024-02-01,48.699696,2024-03-02 15:08:29
2024-01-01,60.944903,2024-02-01 23:04:52
2024-01-01,49.456579,2024-02-07 23:05:27
2024-01-01,49.604536,2024-02-06 23:04:45
2024-01-01,50.665628,2024-02-02 23:00:35
2023-12-01,59.97674,2024-02-01 23:04:52
2023-12-01,61.686457,2024-01-01 23:04:57
2023-12-01,51.456895,2024-02-02 23:00:35
2023-12-01,60.858842,2024-01-23 23:06:20
2023-12-01,50.551944,2024-02-06 23:04:45
2023-12-01,50.456927,2024-02-07 23:05:27
2023-11-01,61.249201,2023-12-22 02:32:51
2023-11-01,60.383929,2024-01-23 23:06:20
2023-11-01,52.053238,2024-02-02 23:00:35
2023-11-01,59.501826,2024-02-01 23:04:52
2023-11-01,60.692277,2024-01-01 23:04:57
2023-11-01,51.148287,2024-02-06 23:04:45
2023-10-01,56.311343,2024-02-01 23:04:52
2023-10-01,57.241296,2023-12-22 02:32:51
2023-10-01,50.195792,2024-02-02 23:00:35
2023-10-01,49.392585,2024-02-06 23:04:45
2023-10-01,56.905084,2024-01-23 23:06:20
2023-10-01,57.074224,2024-01-01 23:04:57
2023-09-01,52.200024,2023-10-27 12:40:40
2023-09-01,49.813864,2024-02-06 23:04:45
2023-09-01,50.231728,2024-02-02 23:00:35
2023-09-01,52.359508,2023-12-22 02:32:51
2023-08-01,47.391003,2023-10-27 12:40:40
2023-08-01,47.492005,2023-12-22 02:32:51
2023-08-01,47.248238,2024-02-02 23:00:35
2023-07-01,46.737835,2023-10-27 12:40:40
2023-07-01,46.838837,2023-12-22 02:32:51
2023-07-01,46.59507,2024-02-02 23:00:35
2023-06-01,46.512671,2023-12-22 02:32:51
2023-06-01,46.392314,2023-10-27 12:40:40
2023-05-01,47.564412,2023-12-22 02:32:51
2023-05-01,47.444055,2023-10-27 12:40:40
2023-04-01,47.945139,2023-10-27 12:40:40
2023-04-01,47.982076,2023-12-22 02:32:51
2023-03-01,46.406324,2023-12-22 02:32:51
2023-03-01,46.369387,2023-10-27 12:40:40
2023-02-01,46.143819,2023-10-27 12:40:40
2023-01-01,46.459662,2023-10-27 12:40:40
2022-12-01,45.783212,2023-10-27 12:40:40
2022-11-01,43.77495,2023-10-27 12:40:40
2022-10-01,43.488633,2023-10-27 12:40:40
2022-09-01,43.033205,2023-10-27 12:40:40
2022-08-01,44.012546,2023-10-27 12:40:40
2022-07-01,43.043579,2023-10-27 12:40:40
2022-06-01,42.984267,2023-10-27 12:40:40
2022-05-01,42.707874,2023-10-27 12:40:40
2022-04-01,42.273949,2023-10-27 12:40:40
2022-03-01,41.935284,2023-10-27 12:40:40
2022-02-01,41.381597,2023-10-27 12:40:40
2022-01-01,41.841657,2023-10-27 12:40:40
2021-12-01,41.580937,2023-10-27 12:40:40
2021-11-01,40.579663,2023-10-27 12:40:40
2021-10-01,41.496783,2023-10-27 12:40:40
2021-09-01,41.578376,2023-10-27 12:40:40
2021-08-01,41.311899,2023-10-27 12:40:40
2021-07-01,40.529166,2023-10-27 12:40:40
2021-06-01,40.163755,2023-10-27 12:40:40
2021-05-01,40.482735,2023-10-27 12:40:40
2021-04-01,39.109231,2023-10-27 12:40:40
2021-03-01,38.843564,2023-10-27 12:40:40
2021-02-01,38.61396,2023-10-27 12:40:40
2021-01-01,38.719775,2023-10-27 12:40:40
2020-12-01,38.355912,2023-10-27 12:40:40
2020-11-01,38.173614,2023-10-27 12:40:40
2020-10-01,38.376646,2023-10-27 12:40:40
2020-09-01,38.447366,2023-10-27 12:40:40
2020-08-01,37.775718,2023-10-27 12:40:40
2020-07-01,37.977497,2023-10-27 12:40:40
2020-06-01,38.559061,2023-10-27 12:40:40
2020-05-01,38.88249,2023-10-27 12:40:40
2020-04-01,39.422435,2023-10-27 12:40:40
2020-03-01,39.415513,2023-10-27 12:40:40
2020-02-01,40.354785,2023-10-27 12:40:40
2020-01-01,40.157815,2023-10-27 12:40:40
2019-12-01,40.602311,2023-10-27 12:40:40
2019-11-01,40.69676,2023-10-27 12:40:40
2019-10-01,40.762629,2023-10-27 12:40:40
2019-09-01,40.903027,2023-10-27 12:40:40
2019-08-01,40.479084,2023-10-27 12:40:40
2019-07-01,40.248842,2023-10-27 12:40:40
2019-06-01,39.503722,2023-10-27 12:40:40
2019-05-01,39.716609,2023-10-27 12:40:40
2019-04-01,39.410317,2023-10-27 12:40:40
2019-03-01,39.870577,2023-10-27 12:40:40
2019-02-01,40.111374,2023-10-27 12:40:40
2019-01-01,40.410383,2023-10-27 12:40:40
2018-12-01,40.604314,2023-10-27 12:40:40
2018-11-01,40.484273,2023-10-27 12:40:40
2018-10-01,40.263199,2023-10-27 12:40:40
2018-09-01,39.915384,2023-10-27 12:40:40
2018-08-01,40.053306,2023-10-27 12:40:40
2018-07-01,40.254357,2023-10-27 12:40:40
2018-06-01,40.376923,2023-10-27 12:40:40
2018-05-01,39.819385,2023-10-27 12:40:40
2018-04-01,39.385105,2023-10-27 12:40:40
2018-03-01,39.083343,2023-10-27 12:40:40
2018-02-01,38.562335,2023-10-27 12:40:40
2018-01-01,38.807977,2023-10-27 12:40:40
2017-12-01,38.94434,2023-10-27 12:40:40
2017-11-01,39.178606,2023-10-27 12:40:40
2017-10-01,39.103548,2023-10-27 12:40:40
2017-09-01,39.608389,2023-10-27 12:40:40
2017-08-01,39.878698,2023-10-27 12:40:40
2017-07-01,39.732993,2023-10-27 12:40:40
2017-06-01,39.545939,2023-10-27 12:40:40
2017-05-01,40.105738,2023-10-27 12:40:40
2017-04-01,40.876197,2023-10-27 12:40:40
2017-03-01,40.195398,2023-10-27 12:40:40
2017-02-01,40.335423,2023-10-27 12:40:40
2017-01-01,39.479912,2023-10-27 12:40:40
2016-12-01,39.239042,2023-10-27 12:40:40
2016-11-01,38.808528,2023-10-27 12:40:40
2016-10-01,39.307769,2023-10-27 12:40:40
2016-09-01,39.680385,2023-10-27 12:40:40
2016-08-01,39.639175,2023-10-27 12:40:40
2016-07-01,40.371534,2023-10-27 12:40:40
2016-06-01,40.577346,2023-10-27 12:40:40
2016-05-01,40.815098,2023-10-27 12:40:40
2016-04-01,40.433684,2023-10-27 12:40:40
2016-03-01,40.499196,2023-10-27 12:40:40
2016-02-01,40.698908,2023-10-27 12:40:40
2016-01-01,40.259096,2023-10-27 12:40:40
2015-12-01,40.643205,2023-10-27 12:40:40
2015-11-01,39.634563,2023-10-27 12:40:40
