date,value,created_at
2024-02-01,66.5,2024-03-02 15:08:27
2024-02-01,67.166667,2024-03-01 23:00:31
2024-01-01,94.666667,2024-02-01 23:04:50
2024-01-01,78.0,2024-02-02 23:00:33
2024-01-01,78.166667,2024-02-07 23:05:25
2023-12-01,105.5,2024-02-01 23:04:50
2023-12-01,78.166667,2024-02-07 23:05:25
2023-12-01,107.166667,2024-01-23 23:06:18
2023-12-01,79.0,2024-02-02 23:00:33
2023-12-01,78.0,2024-02-06 23:04:43
2023-12-01,107.833333,2024-01-01 23:04:55
2023-11-01,100.666667,2024-01-01 23:04:55
2023-11-01,76.0,2024-02-03 23:07:20
2023-11-01,74.666667,2024-02-02 23:00:33
2023-11-01,101.333333,2023-12-22 02:32:50
2023-11-01,98.666667,2024-02-01 23:04:50
2023-11-01,72.0,2024-02-06 23:04:43
2023-11-01,100.333333,2024-01-23 23:06:18
2023-10-01,94.253623,2023-12-22 02:32:50
2023-10-01,93.92029,2024-01-01 23:04:55
2023-10-01,68.086957,2024-02-06 23:04:43
2023-10-01,70.753623,2024-02-02 23:00:33
2023-10-01,93.086957,2024-02-01 23:04:50
2023-10-01,72.086957,2024-02-03 23:07:20
2023-09-01,70.586957,2024-02-02 23:00:33
2023-09-01,68.92029,2024-02-06 23:04:43
2023-09-01,80.253623,2023-10-27 12:40:39
2023-09-01,71.92029,2024-02-03 23:07:20
2023-08-01,78.92029,2023-10-27 12:40:39
2023-08-01,74.753623,2024-02-02 23:00:33
2023-07-01,78.833333,2023-10-27 12:40:39
2023-07-01,74.666667,2024-02-02 23:00:33
2023-06-01,78.833333,2024-02-02 23:00:33
2023-06-01,80.5,2023-10-27 12:40:39
2023-05-01,79.333333,2023-10-27 12:40:39
2023-04-01,75.0,2023-10-27 12:40:39
2023-03-01,75.666667,2023-10-27 12:40:39
2023-02-01,79.0,2023-10-27 12:40:39
2023-02-01,79.266667,2023-12-22 02:32:50
2023-01-01,79.366667,2023-12-22 02:32:50
2023-01-01,79.1,2023-10-27 12:40:39
2022-12-01,75.1,2023-10-27 12:40:39
2022-12-01,75.366667,2023-12-22 02:32:50
2022-11-01,72.433333,2023-10-27 12:40:39
2022-10-01,73.333333,2023-10-27 12:40:39
2022-10-01,72.333333,2023-12-22 02:32:50
2022-09-01,72.333333,2023-12-22 02:32:50
2022-09-01,73.333333,2023-10-27 12:40:39
2022-08-01,73.0,2023-12-22 02:32:50
2022-08-01,74.0,2023-10-27 12:40:39
2022-07-01,76.333333,2023-10-27 12:40:39
2022-06-01,71.333333,2023-10-27 12:40:39
2022-05-01,71.666667,2023-10-27 12:40:39
2022-04-01,68.166667,2023-10-27 12:40:39
2022-03-01,72.5,2023-10-27 12:40:39
2022-02-01,76.15942,2023-10-27 12:40:39
2022-01-01,77.992754,2023-10-27 12:40:39
2021-12-01,76.992754,2023-10-27 12:40:39
2021-11-01,71.666667,2023-10-27 12:40:39
2021-10-01,77.5,2023-10-27 12:40:39
2021-09-01,72.5,2023-10-27 12:40:39
2021-08-01,79.166667,2023-10-27 12:40:39
2021-07-01,80.0,2023-10-27 12:40:39
2021-06-01,81.166667,2023-10-27 12:40:39
2021-05-01,72.833333,2023-10-27 12:40:39
2021-04-01,69.166667,2023-10-27 12:40:39
2021-03-01,74.666667,2023-10-27 12:40:39
2021-02-01,79.666667,2023-10-27 12:40:39
2021-01-01,75.0,2023-10-27 12:40:39
2020-12-01,78.333333,2023-10-27 12:40:39
2020-11-01,78.5,2023-10-27 12:40:39
2020-10-01,80.166667,2023-10-27 12:40:39
2020-09-01,75.166667,2023-10-27 12:40:39
2020-08-01,76.666667,2023-10-27 12:40:39
2020-07-01,80.166667,2023-10-27 12:40:39
2020-06-01,85.166667,2023-10-27 12:40:39
2020-05-01,86.833333,2023-10-27 12:40:39
2020-04-01,90.0,2023-10-27 12:40:39
2020-03-01,90.0,2023-10-27 12:40:39
2020-02-01,90.0,2023-10-27 12:40:39
2020-01-01,90.0,2023-10-27 12:40:39
2019-12-01,87.916667,2023-10-27 12:40:39
2019-11-01,87.916667,2023-10-27 12:40:39
2019-10-01,87.916667,2023-10-27 12:40:39
2019-09-01,91.5,2023-10-27 12:40:39
2019-08-01,89.833333,2023-10-27 12:40:39
2019-07-01,88.0,2023-10-27 12:40:39
2019-06-01,82.833333,2023-10-27 12:40:39
2019-05-01,82.5,2023-10-27 12:40:39
2019-04-01,86.217391,2023-10-27 12:40:39
2019-03-01,88.217391,2023-10-27 12:40:39
2019-02-01,88.217391,2023-10-27 12:40:39
2019-01-01,88.0,2023-10-27 12:40:39
2018-12-01,89.666667,2023-10-27 12:40:39
2018-11-01,91.0,2023-10-27 12:40:39
2018-10-01,85.333333,2023-10-27 12:40:39
2018-09-01,84.666667,2023-10-27 12:40:39
2018-08-01,85.166667,2023-10-27 12:40:39
2018-07-01,87.333333,2023-10-27 12:40:39
2018-06-01,86.333333,2023-10-27 12:40:39
2018-05-01,85.166667,2023-10-27 12:40:39
2018-04-01,87.0,2023-10-27 12:40:39
2018-03-01,85.333333,2023-10-27 12:40:39
2018-02-01,86.666667,2023-10-27 12:40:39
2018-01-01,83.333333,2023-10-27 12:40:39
2017-12-01,83.333333,2023-10-27 12:40:39
2017-11-01,81.333333,2023-10-27 12:40:39
2017-10-01,83.326087,2023-10-27 12:40:39
2017-09-01,84.826087,2023-10-27 12:40:39
2017-08-01,85.076087,2023-10-27 12:40:39
2017-07-01,84.458333,2023-10-27 12:40:39
2017-06-01,86.125,2023-10-27 12:40:39
2017-05-01,87.875,2023-10-27 12:40:39
2017-04-01,88.0,2023-10-27 12:40:39
2017-03-01,85.333333,2023-10-27 12:40:39
2017-02-01,82.166667,2023-10-27 12:40:39
2017-01-01,82.333333,2023-10-27 12:40:39
2016-12-01,81.833333,2023-10-27 12:40:39
2016-11-01,83.166667,2023-10-27 12:40:39
2016-10-01,84.0,2023-10-27 12:40:39
2016-09-01,85.5,2023-10-27 12:40:39
2016-08-01,85.583333,2023-10-27 12:40:39
2016-07-01,83.083333,2023-10-27 12:40:39
2016-06-01,79.916667,2023-10-27 12:40:39
2016-05-01,78.333333,2023-10-27 12:40:39
2016-04-01,76.666667,2023-10-27 12:40:39
2016-03-01,78.333333,2023-10-27 12:40:39
2016-02-01,78.166667,2023-10-27 12:40:39
2016-01-01,79.833333,2023-10-27 12:40:39
2015-12-01,80.5,2023-10-27 12:40:39
2015-11-01,79.0,2023-10-27 12:40:39
2015-10-01,77.666667,2023-10-27 12:40:39
2015-09-01,75.333333,2023-10-27 12:40:39
2015-08-01,73.666667,2023-10-27 12:40:39
2015-07-01,73.333333,2023-10-27 12:40:39
2015-06-01,73.5,2023-10-27 12:40:39
2015-05-01,73.5,2023-10-27 12:40:39
2015-04-01,75.166667,2023-10-27 12:40:39
2015-03-01,73.833333,2023-10-27 12:40:39
2015-02-01,75.5,2023-10-27 12:40:39
2015-01-01,73.833333,2023-10-27 12:40:39
2014-12-01,75.0,2023-10-27 12:40:39
2014-11-01,72.166667,2023-10-27 12:40:39
2014-10-01,70.5,2023-10-27 12:40:39
2014-09-01,70.5,2023-10-27 12:40:39
2014-08-01,73.666667,2023-10-27 12:40:39
2014-07-01,73.666667,2023-10-27 12:40:39
2014-06-01,72.0,2023-10-27 12:40:39
2014-05-01,70.0,2023-10-27 12:40:39
2014-04-01,70.0,2023-10-27 12:40:39
2014-03-01,70.666667,2023-10-27 12:40:39
2014-02-01,68.666667,2023-10-27 12:40:39
2014-01-01,68.666667,2023-10-27 12:40:39
2013-12-01,66.333333,2023-10-27 12:40:39
2013-11-01,64.665,2023-10-27 12:40:39
2013-10-01,62.831667,2023-10-27 12:40:39
2013-09-01,63.831667,2023-10-27 12:40:39
2013-08-01,69.5,2023-10-27 12:40:39
2013-07-01,73.666667,2023-10-27 12:40:39
2013-06-01,78.333333,2023-10-27 12:40:39
2013-05-01,81.333333,2023-10-27 12:40:39
2013-04-01,82.333333,2023-10-27 12:40:39
2013-03-01,83.0,2023-10-27 12:40:39
2013-02-01,79.666667,2023-10-27 12:40:39
2013-01-01,76.666667,2023-10-27 12:40:39
2012-12-01,75.166667,2023-10-27 12:40:39
2012-11-01,75.75,2023-10-27 12:40:39
2012-10-01,77.916667,2023-10-27 12:40:39
2012-09-01,75.583333,2023-10-27 12:40:39
2012-08-01,71.0,2023-10-27 12:40:39
2012-07-01,69.166667,2023-10-27 12:40:39
2012-06-01,61.666667,2023-10-27 12:40:39
2012-05-01,60.666667,2023-10-27 12:40:39
2012-04-01,60.833333,2023-10-27 12:40:39
2012-03-01,63.833333,2023-10-27 12:40:39
2012-02-01,65.75,2023-10-27 12:40:39
2012-01-01,59.0,2023-10-27 12:40:39
