date,value,created_at
2024-02-01,43.442684,2024-03-01 23:00:37
2024-02-01,43.15128,2024-03-02 15:08:30
2024-01-01,44.237879,2024-02-02 23:00:36
2024-01-01,58.10543,2024-02-01 23:04:53
2024-01-01,42.548539,2024-02-06 23:04:46
2024-01-01,42.461369,2024-02-07 23:05:28
2023-12-01,55.27821,2024-02-01 23:04:53
2023-12-01,58.507173,2024-01-01 23:04:58
2023-12-01,43.948739,2024-02-02 23:00:36
2023-12-01,56.738126,2024-01-23 23:06:21
2023-12-01,42.462307,2024-02-07 23:05:28
2023-12-01,42.581355,2024-02-06 23:04:46
2023-11-01,53.993803,2024-02-01 23:04:53
2023-11-01,55.250151,2024-01-23 23:06:21
2023-11-01,42.545089,2024-02-06 23:04:46
2023-11-01,55.78241,2024-01-01 23:04:58
2023-11-01,44.149317,2024-02-02 23:00:36
2023-11-01,56.490845,2023-12-22 02:32:52
2023-10-01,50.805665,2024-01-01 23:04:58
2023-10-01,43.654715,2024-02-02 23:00:36
2023-10-01,50.43202,2024-01-23 23:06:21
2023-10-01,42.520805,2024-02-06 23:04:46
2023-10-01,50.142431,2024-02-01 23:04:53
2023-10-01,50.905966,2023-12-22 02:32:52
2023-09-01,45.89404,2023-12-22 02:32:52
2023-09-01,42.69912,2024-02-06 23:04:46
2023-09-01,45.801767,2023-10-27 12:40:41
2023-09-01,43.311471,2024-02-02 23:00:36
2023-08-01,43.104652,2023-10-27 12:40:41
2023-08-01,42.619888,2024-02-02 23:00:36
2023-08-01,43.196925,2023-12-22 02:32:52
2023-08-01,42.244156,2024-02-06 23:04:46
2023-07-01,43.913073,2023-12-22 02:32:52
2023-07-01,43.099193,2024-02-06 23:04:46
2023-07-01,43.8208,2023-10-27 12:40:41
2023-07-01,43.336036,2024-02-02 23:00:36
2023-06-01,44.171049,2023-12-22 02:32:52
2023-06-01,43.748093,2024-02-06 23:04:46
2023-06-01,43.984936,2024-02-02 23:00:36
2023-06-01,44.107991,2023-10-27 12:40:41
2023-05-01,44.958327,2023-12-22 02:32:52
2023-05-01,44.895269,2023-10-27 12:40:41
2023-04-01,44.65136,2023-10-27 12:40:41
2023-03-01,44.401667,2023-10-27 12:40:41
2023-02-01,44.601525,2023-10-27 12:40:41
2023-01-01,43.641928,2023-12-22 02:32:52
2023-01-01,43.756274,2023-10-27 12:40:41
2022-12-01,42.220651,2023-12-22 02:32:52
2022-12-01,42.334997,2023-10-27 12:40:41
2022-11-01,40.672303,2023-10-27 12:40:41
2022-11-01,40.557957,2023-12-22 02:32:52
2022-10-01,40.392189,2023-10-27 12:40:41
2022-10-01,40.277843,2023-12-22 02:32:52
2022-09-01,39.406304,2023-12-22 02:32:52
2022-09-01,39.520651,2023-10-27 12:40:41
2022-08-01,38.884652,2023-10-27 12:40:41
2022-08-01,38.770305,2023-12-22 02:32:52
2022-07-01,39.205005,2023-10-27 12:40:41
2022-06-01,39.32099,2023-10-27 12:40:41
2022-05-01,38.562983,2023-10-27 12:40:41
2022-04-01,38.193656,2023-10-27 12:40:41
2022-03-01,38.113323,2023-10-27 12:40:41
2022-02-01,38.027062,2023-10-27 12:40:41
2022-01-01,37.780713,2023-10-27 12:40:41
2021-12-01,37.385126,2023-10-27 12:40:41
2021-11-01,37.905367,2023-10-27 12:40:41
2021-10-01,37.823636,2023-10-27 12:40:41
2021-09-01,37.161677,2023-10-27 12:40:41
2021-08-01,36.778711,2023-10-27 12:40:41
2021-07-01,36.237884,2023-10-27 12:40:41
2021-06-01,36.10805,2023-10-27 12:40:41
2021-05-01,34.991809,2023-10-27 12:40:41
2021-04-01,34.748556,2023-10-27 12:40:41
2021-03-01,34.337011,2023-10-27 12:40:41
2021-02-01,34.251973,2023-10-27 12:40:41
2021-01-01,33.856714,2023-10-27 12:40:41
2020-12-01,34.148343,2023-10-27 12:40:41
2020-11-01,34.353492,2023-10-27 12:40:41
2020-10-01,34.331963,2023-10-27 12:40:41
2020-09-01,34.789873,2023-10-27 12:40:41
2020-08-01,35.248625,2023-10-27 12:40:41
2020-07-01,35.533164,2023-10-27 12:40:41
2020-06-01,35.256776,2023-10-27 12:40:41
2020-05-01,36.116886,2023-10-27 12:40:41
2020-04-01,36.343478,2023-10-27 12:40:41
2020-03-01,36.237271,2023-10-27 12:40:41
2020-02-01,35.918375,2023-10-27 12:40:41
2020-01-01,36.336997,2023-10-27 12:40:41
2019-12-01,36.361025,2023-10-27 12:40:41
2019-11-01,35.693565,2023-10-27 12:40:41
2019-10-01,35.751286,2023-10-27 12:40:41
2019-09-01,35.933769,2023-10-27 12:40:41
2019-08-01,36.172109,2023-10-27 12:40:41
2019-07-01,35.777276,2023-10-27 12:40:41
2019-06-01,35.542421,2023-10-27 12:40:41
2019-05-01,36.118899,2023-10-27 12:40:41
2019-04-01,35.909155,2023-10-27 12:40:41
2019-03-01,36.444013,2023-10-27 12:40:41
2019-02-01,36.558841,2023-10-27 12:40:41
2019-01-01,36.662303,2023-10-27 12:40:41
2018-12-01,37.135875,2023-10-27 12:40:41
2018-11-01,37.231944,2023-10-27 12:40:41
2018-10-01,37.197979,2023-10-27 12:40:41
2018-09-01,36.984925,2023-10-27 12:40:41
2018-08-01,37.06452,2023-10-27 12:40:41
2018-07-01,37.282492,2023-10-27 12:40:41
2018-06-01,37.058975,2023-10-27 12:40:41
2018-05-01,37.325253,2023-10-27 12:40:41
2018-04-01,37.292805,2023-10-27 12:40:41
2018-03-01,36.842414,2023-10-27 12:40:41
2018-02-01,36.056408,2023-10-27 12:40:41
2018-01-01,35.478458,2023-10-27 12:40:41
2017-12-01,35.857572,2023-10-27 12:40:41
2017-11-01,34.797067,2023-10-27 12:40:41
2017-10-01,34.789475,2023-10-27 12:40:41
2017-09-01,35.172313,2023-10-27 12:40:41
2017-08-01,35.683526,2023-10-27 12:40:41
2017-07-01,36.243167,2023-10-27 12:40:41
2017-06-01,36.251554,2023-10-27 12:40:41
2017-05-01,36.540249,2023-10-27 12:40:41
2017-04-01,37.175331,2023-10-27 12:40:41
2017-03-01,36.766867,2023-10-27 12:40:41
2017-02-01,36.56066,2023-10-27 12:40:41
2017-01-01,36.502094,2023-10-27 12:40:41
2016-12-01,35.992546,2023-10-27 12:40:41
2016-11-01,35.954492,2023-10-27 12:40:41
2016-10-01,35.568118,2023-10-27 12:40:41
2016-09-01,35.941915,2023-10-27 12:40:41
2016-08-01,36.090063,2023-10-27 12:40:41
2016-07-01,36.033347,2023-10-27 12:40:41
2016-06-01,36.368518,2023-10-27 12:40:41
2016-05-01,36.63081,2023-10-27 12:40:41
2016-04-01,36.248673,2023-10-27 12:40:41
2016-03-01,36.529389,2023-10-27 12:40:41
2016-02-01,36.695002,2023-10-27 12:40:41
2016-01-01,36.865728,2023-10-27 12:40:41
2015-12-01,36.84695,2023-10-27 12:40:41
2015-11-01,36.620749,2023-10-27 12:40:41
2015-10-01,37.116416,2023-10-27 12:40:41
2015-09-01,36.496489,2023-10-27 12:40:41
2015-08-01,36.551726,2023-10-27 12:40:41
2015-07-01,36.15533,2023-10-27 12:40:41
2015-06-01,36.476132,2023-10-27 12:40:41
2015-05-01,37.900934,2023-10-27 12:40:41
2015-04-01,38.098656,2023-10-27 12:40:41
2015-03-01,37.849601,2023-10-27 12:40:41
2015-02-01,37.86538,2023-10-27 12:40:41
2015-01-01,38.241442,2023-10-27 12:40:41
2014-12-01,37.882928,2023-10-27 12:40:41
2014-11-01,36.623127,2023-10-27 12:40:41
2014-10-01,36.516678,2023-10-27 12:40:41
2014-09-01,36.75495,2023-10-27 12:40:41
2014-08-01,37.753081,2023-10-27 12:40:41
