date,value,created_at
2024-01-01,201.9,2024-02-01 23:02:03
2023-12-01,204.0,2024-02-01 23:02:03
2023-12-01,205.5,2024-01-04 23:01:54
2023-11-01,205.0,2024-01-04 23:01:54
2023-11-01,206.1,2023-12-07 11:55:00
2023-10-01,211.0,2023-11-06 23:01:38
2023-10-01,209.4,2023-12-07 11:55:00
2023-09-01,214.3,2023-11-06 23:01:38
2023-09-01,215.4,2023-10-06 23:01:29
2023-08-01,212.2,2023-10-06 23:01:29
2023-08-01,212.0,2023-09-07 12:01:45
2023-07-01,211.7,2023-08-09 23:01:12
2023-06-01,215.1,2023-08-09 23:01:12
2023-06-01,217.3,2023-07-13 04:16:17
2023-05-01,224.5,2023-07-13 04:16:17
2023-04-01,230.8,2023-07-13 04:16:17
2023-03-01,238.1,2023-07-13 04:16:17
2023-02-01,234.5,2023-07-13 04:16:17
2023-01-01,224.8,2023-07-13 04:16:17
2022-12-01,219.3,2023-07-13 04:16:17
2022-11-01,217.6,2023-07-13 04:16:17
2022-10-01,218.2,2023-07-13 04:16:17
2022-09-01,223.1,2023-07-13 04:16:17
2022-08-01,230.0,2023-07-13 04:16:17
2022-07-01,239.6,2023-07-13 04:16:17
2022-06-01,239.9,2023-07-13 04:16:17
2022-05-02,243.0,2023-07-13 04:16:17
2022-05-01,243.0,2023-07-13 04:16:17
2022-04-01,241.3,2023-07-13 04:16:17
2022-03-01,243.9,2023-07-13 04:16:17
2022-02-01,252.3,2023-07-13 04:16:17
2022-01-01,257.7,2023-07-13 04:16:17
2021-12-01,257.7,2023-07-13 04:16:17
2021-11-01,253.6,2023-07-13 04:16:17
2021-10-01,244.0,2023-07-13 04:16:17
2021-09-01,223.4,2023-07-13 04:16:17
2021-08-01,212.1,2023-07-13 04:16:17
2021-07-01,213.0,2023-07-13 04:16:17
2021-06-01,218.6,2023-07-13 04:16:17
2021-05-01,221.5,2023-07-13 04:16:17
2021-04-01,211.7,2023-07-13 04:16:17
2021-03-01,195.4,2023-07-13 04:16:17
2021-02-01,184.6,2023-07-13 04:16:17
2021-01-01,177.9,2023-07-13 04:16:17
2020-12-01,175.7,2023-07-13 04:16:17
2020-11-01,176.8,2023-07-13 04:16:17
2020-10-01,176.6,2023-07-13 04:16:17
2020-09-01,175.8,2023-07-13 04:16:17
2020-08-01,178.6,2023-07-13 04:16:17
2020-07-01,172.4,2023-07-13 04:16:17
2020-06-01,162.8,2023-07-13 04:16:17
