date,value,created_at
2024-02-17,272.928,2024-02-27 23:02:00
2024-02-10,267.017,2024-02-20 23:01:45
2024-02-03,266.56,2024-02-13 23:01:48
2024-01-27,266.956,2024-02-06 23:01:58
2024-01-20,269.125,2024-02-01 23:02:04
2024-01-13,265.029,2024-01-24 23:01:44
2024-01-06,276.524,2024-01-18 04:21:11
2023-12-30,289.679,2024-01-18 04:21:11
2023-12-23,290.381,2024-01-02 23:01:49
2023-12-16,274.668,2023-12-28 23:01:43
2023-12-09,269.287,2023-12-20 23:01:36
2023-12-02,272.264,2023-12-12 23:01:53
2023-11-25,284.883,2023-12-05 23:01:23
2023-11-18,268.378,2023-12-05 23:01:23
2023-11-11,267.564,2023-11-22 23:01:33
2023-11-04,268.811,2023-11-14 23:01:54
2023-10-28,269.088,2023-11-07 23:01:49
2023-10-21,268.384,2023-11-02 23:01:41
2023-10-14,267.507,2023-10-25 23:01:28
2023-10-07,267.972,2023-10-18 23:01:26
2023-09-30,267.972,2023-10-10 23:01:29
2023-09-23,267.646,2023-10-03 23:01:38
2023-09-16,266.98,2023-09-28 23:01:21
2023-09-09,271.662,2023-09-19 23:01:31
2023-09-02,273.052,2023-09-13 23:01:25
2023-08-26,268.413,2023-09-06 16:01:48
2023-08-19,269.269,2023-09-04 12:01:48
2023-08-12,268.35,2023-08-24 23:01:28
2023-08-05,269.336,2023-08-16 23:01:15
2023-07-29,269.909,2023-08-09 23:01:12
2023-07-22,268.786,2023-08-04 23:01:03
2023-07-15,266.699,2023-07-25 23:01:00
2023-07-08,278.081,2023-07-19 23:00:49
2023-07-01,272.419,2023-07-13 04:16:17
2023-06-24,272.0978352872892,2023-07-13 04:16:17
2023-06-17,270.71162532903344,2023-07-13 04:16:17
2023-06-10,267.6441314872438,2023-07-13 04:16:17
2023-06-03,272.75399317745104,2023-07-13 04:16:17
2023-05-27,273.245,2023-07-13 04:16:17
2023-05-20,268.849,2023-07-13 04:16:17
2023-05-13,268.731,2023-07-13 04:16:17
2023-05-06,268.832,2023-07-13 04:16:17
2023-04-29,266.431,2023-07-13 04:16:17
2023-04-22,266.386,2023-07-13 04:16:17
2023-04-15,268.158,2023-07-13 04:16:17
2023-04-08,267.163,2023-07-13 04:16:17
2023-04-01,264.55,2023-07-13 04:16:17
2023-03-25,264.942,2023-07-13 04:16:17
2023-03-18,265.963,2023-07-13 04:16:17
2023-03-11,264.88,2023-07-13 04:16:17
2023-03-04,263.898,2023-07-13 04:16:17
2023-02-25,265.236,2023-07-13 04:16:17
2023-02-18,270.127,2023-07-13 04:16:17
2023-02-11,264.036,2023-07-13 04:16:17
2023-02-04,262.693,2023-07-13 04:16:17
2023-01-28,263.293,2023-07-13 04:16:17
2023-01-21,262.313,2023-07-13 04:16:17
2023-01-14,259.092,2023-07-13 04:16:17
2023-01-07,265.262,2023-07-13 04:16:17
2022-12-31,283.069,2023-07-13 04:16:17
2022-12-24,289.015,2023-07-13 04:16:17
2022-12-17,271.491,2023-07-13 04:16:17
2022-12-10,264.927,2023-07-13 04:16:17
2022-12-03,266.516,2023-07-13 04:16:17
2022-11-26,278.393,2023-07-13 04:16:17
2022-11-19,264.087,2023-07-13 04:16:17
2022-11-12,262.76,2023-07-13 04:16:17
2022-11-05,262.791,2023-07-13 04:16:17
2022-10-29,263.682,2023-07-13 04:16:17
2022-10-22,262.664,2023-07-13 04:16:17
2022-10-15,261.487,2023-07-13 04:16:17
2022-10-08,260.752,2023-07-13 04:16:17
2022-10-01,260.321,2023-07-13 04:16:17
2022-09-24,258.658,2023-07-13 04:16:17
2022-09-17,257.728,2023-07-13 04:16:17
2022-09-10,260.391,2023-07-13 04:16:17
2022-09-03,259.874,2023-07-13 04:16:17
2022-08-27,257.261,2023-07-13 04:16:17
2022-08-20,257.44,2023-07-13 04:16:17
2022-08-13,257.222,2023-07-13 04:16:17
2022-08-06,256.172,2023-07-13 04:16:17
2022-07-30,256.372,2023-07-13 04:16:17
2022-07-23,255.58,2023-07-13 04:16:17
2022-07-16,253.671,2023-07-13 04:16:17
2022-07-09,262.087,2023-07-13 04:16:17
2022-07-02,258.703,2023-07-13 04:16:17
2022-06-25,257.373,2023-07-13 04:16:17
2022-06-18,256.557,2023-07-13 04:16:17
2022-06-11,253.011,2023-07-13 04:16:17
2022-06-04,258.24,2023-07-13 04:16:17
2022-05-28,257.266,2023-07-13 04:16:17
2022-05-21,252.918,2023-07-13 04:16:17
2022-05-14,255.567,2023-07-13 04:16:17
2022-05-07,255.455,2023-07-13 04:16:17
2022-04-30,252.803,2023-07-13 04:16:17
2022-04-23,254.268,2023-07-13 04:16:17
2022-04-16,255.222,2023-07-13 04:16:17
2022-04-09,251.676,2023-07-13 04:16:17
2022-04-02,252.85,2023-07-13 04:16:17
2022-03-26,254.211,2023-07-13 04:16:17
2022-03-19,252.821,2023-07-13 04:16:17
2022-03-12,252.016,2023-07-13 04:16:17
2022-03-05,250.068,2023-07-13 04:16:17
2022-02-26,252.076,2023-07-13 04:16:17
2022-02-19,255.98,2023-07-13 04:16:17
2022-02-12,252.85,2023-07-13 04:16:17
2022-02-05,252.331,2023-07-13 04:16:17
2022-01-29,250.736,2023-07-13 04:16:17
2022-01-22,251.073,2023-07-13 04:16:17
2022-01-15,248.66,2023-07-13 04:16:17
2022-01-08,250.746,2023-07-13 04:16:17
2022-01-01,264.75,2023-07-13 04:16:17
2021-12-25,271.327,2023-07-13 04:16:17
2021-12-18,257.167,2023-07-13 04:16:17
2021-12-11,250.491,2023-07-13 04:16:17
2021-12-04,251.567,2023-07-13 04:16:17
2021-11-27,263.581,2023-07-13 04:16:17
2021-11-20,248.831,2023-07-13 04:16:17
2021-11-13,248.33,2023-07-13 04:16:17
2021-11-06,249.333,2023-07-13 04:16:17
2021-10-30,250.549,2023-07-13 04:16:17
2021-10-23,248.657,2023-07-13 04:16:17
2021-10-16,247.982,2023-07-13 04:16:17
2021-10-09,247.756,2023-07-13 04:16:17
2021-10-02,247.735,2023-07-13 04:16:17
2021-09-25,248.605,2023-07-13 04:16:17
2021-09-18,248.063,2023-07-13 04:16:17
2021-09-11,251.65,2023-07-13 04:16:17
2021-09-04,251.104,2023-07-13 04:16:17
2021-08-28,248.268,2023-07-13 04:16:17
2021-08-21,248.26,2023-07-13 04:16:17
2021-08-14,248.044,2023-07-13 04:16:17
2021-08-07,247.546,2023-07-13 04:16:17
2021-07-31,247.873,2023-07-13 04:16:17
2021-07-24,247.59,2023-07-13 04:16:17
2021-07-17,246.283,2023-07-13 04:16:17
2021-07-10,252.897,2023-07-13 04:16:17
2021-07-03,252.936,2023-07-13 04:16:17
2021-06-26,249.881,2023-07-13 04:16:17
2021-06-19,250.445,2023-07-13 04:16:17
2021-06-12,247.174,2023-07-13 04:16:17
2021-06-05,251.403,2023-07-13 04:16:17
2021-05-29,250.946,2023-07-13 04:16:17
2021-05-22,246.995,2023-07-13 04:16:17
2021-05-15,249.756,2023-07-13 04:16:17
2021-05-08,248.928,2023-07-13 04:16:17
2021-05-01,247.572,2023-07-13 04:16:17
2021-04-24,248.551,2023-07-13 04:16:17
2021-04-17,247.886,2023-07-13 04:16:17
2021-04-10,249.281,2023-07-13 04:16:17
2021-04-03,249.938,2023-07-13 04:16:17
2021-03-27,248.405,2023-07-13 04:16:17
2021-03-20,249.956,2023-07-13 04:16:17
2021-03-13,247.421,2023-07-13 04:16:17
2021-03-06,245.808,2023-07-13 04:16:17
2021-02-27,246.979,2023-07-13 04:16:17
2021-02-20,250.323,2023-07-13 04:16:17
2021-02-13,249.759,2023-07-13 04:16:17
2021-02-06,246.701,2023-07-13 04:16:17
2021-01-30,246.296,2023-07-13 04:16:17
2021-01-23,246.621,2023-07-13 04:16:17
2021-01-16,244.722,2023-07-13 04:16:17
2021-01-09,247.301,2023-07-13 04:16:17
2021-01-02,259.765,2023-07-13 04:16:17
2021-01-01,259.765,2023-07-13 04:16:17
2020-12-01,259.397,2023-07-13 04:16:17
2020-11-01,259.995,2023-07-13 04:16:17
2020-10-01,258.936,2023-07-13 04:16:17
2020-09-01,257.73,2023-07-13 04:16:17
2020-08-01,257.678,2023-07-13 04:16:17
2020-07-01,256.96,2023-07-13 04:16:17
2020-06-01,258.033,2023-07-13 04:16:17
2020-05-01,257.713,2023-07-13 04:16:17
2020-04-01,256.423,2023-07-13 04:16:17
2020-03-01,255.66,2023-07-13 04:16:17
2020-02-01,254.831,2023-07-13 04:16:17
2020-01-01,253.592,2023-07-13 04:16:17
2019-12-01,252.361,2023-07-13 04:16:17
2019-11-01,252.463,2023-07-13 04:16:17
2019-10-01,253.207,2023-07-13 04:16:17
2019-09-01,253.261,2023-07-13 04:16:17
2019-08-01,253.314,2023-07-13 04:16:17
2019-07-01,253.129,2023-07-13 04:16:17
2019-06-01,252.538,2023-07-13 04:16:17
2019-05-01,252.101,2023-07-13 04:16:17
2019-04-01,251.758,2023-07-13 04:16:17
2019-03-01,252.087,2023-07-13 04:16:17
2019-02-01,252.599,2023-07-13 04:16:17
2019-01-01,251.688,2023-07-13 04:16:17
2018-12-01,251.131,2023-07-13 04:16:17
2018-11-01,251.326,2023-07-13 04:16:17
2018-10-01,250.757,2023-07-13 04:16:17
2018-09-01,249.921,2023-07-13 04:16:17
2018-08-01,248.407,2023-07-13 04:16:17
2018-07-01,248.469,2023-07-13 04:16:17
2018-06-01,248.844,2023-07-13 04:16:17
2018-05-01,248.126,2023-07-13 04:16:17
2018-04-01,248.818,2023-07-13 04:16:17
2018-03-01,248.287,2023-07-13 04:16:17
2018-02-01,248.166,2023-07-13 04:16:17
