date,value,created_at
2024-02-17,160.326,2024-02-27 23:02:01
2024-02-10,162.28,2024-02-20 23:01:46
2024-02-03,159.543,2024-02-13 23:01:49
2024-01-27,161.672,2024-02-06 23:01:59
2024-01-20,151.416,2024-02-01 23:02:04
2024-01-13,161.529,2024-01-24 23:01:45
2024-01-06,165.315,2024-01-18 04:21:11
2023-12-30,165.209,2024-01-18 04:21:11
2023-12-23,164.598,2024-01-02 23:01:50
2023-12-16,164.793,2023-12-28 23:01:44
2023-12-09,162.721,2023-12-20 23:01:36
2023-12-02,163.508,2023-12-12 23:01:53
2023-11-25,165.614,2023-12-05 23:01:24
2023-11-18,163.64,2023-12-05 23:01:24
2023-11-11,165.206,2023-11-22 23:01:34
2023-11-04,160.543,2023-11-14 23:01:55
2023-10-28,166.487,2023-11-07 23:01:50
2023-10-21,169.809,2023-11-02 23:01:41
2023-10-14,171.954,2023-10-25 23:01:28
2023-10-07,170.833,2023-10-18 23:01:27
2023-09-30,172.888,2023-10-10 23:01:30
2023-09-23,174.42,2023-10-03 23:01:39
2023-09-16,174.052,2023-09-28 23:01:22
2023-09-09,174.682,2023-09-19 23:01:31
2023-09-02,176.815,2023-09-13 23:01:25
2023-08-26,177.226,2023-09-06 16:01:48
2023-08-19,176.867,2023-09-04 12:01:49
2023-08-12,176.934,2023-08-24 23:01:29
2023-08-05,177.562,2023-08-16 23:01:15
2023-07-29,177.97,2023-08-16 23:01:15
2023-07-22,177.03,2023-08-14 07:19:23
2023-07-15,176.195,2023-08-14 07:19:23
2023-07-08,176.295,2023-08-14 07:19:23
2023-07-01,176.944,2023-08-14 07:19:23
2023-06-24,176.887,2023-08-14 07:19:23
2023-06-17,175.884,2023-08-14 07:19:23
2023-06-10,170.672,2023-08-14 07:19:23
2023-06-03,171.72,2023-08-14 07:19:23
2023-05-27,170.842,2023-08-14 07:19:23
2023-05-20,171.772,2023-08-14 07:19:23
2023-05-13,171.122,2023-08-14 07:19:23
2023-05-06,168.831,2023-08-14 07:19:23
2023-04-29,168.342,2023-08-14 07:19:23
2023-04-22,168.417,2023-08-14 07:19:23
2023-04-15,168.446,2023-08-14 07:19:23
2023-04-08,164.928,2023-08-14 07:19:23
2023-04-01,164.632,2023-08-14 07:19:23
2023-03-25,162.863,2023-08-14 07:19:23
2023-03-18,160.559,2023-08-14 07:19:23
2023-03-11,163.825,2023-08-14 07:19:23
2023-03-04,163.289,2023-08-14 07:19:23
2023-02-25,162.767,2023-08-14 07:19:23
2023-02-18,163.531,2023-08-14 07:19:23
2023-02-11,165.81,2023-08-14 07:19:23
2023-02-04,160.599,2023-08-14 07:19:23
2023-01-28,163.419,2023-08-14 07:19:23
2023-01-21,164.779,2023-08-14 07:19:23
2023-01-14,166.58,2023-08-14 07:19:23
2023-01-07,167.625,2023-08-14 07:19:23
2022-12-31,169.506,2023-08-14 07:19:23
2022-12-24,163.786,2023-08-14 07:19:23
2022-12-17,164.391,2023-08-14 07:19:23
2022-12-10,165.911,2023-08-14 07:19:23
2022-12-03,165.862,2023-08-14 07:19:23
2022-11-26,167.348,2023-08-14 07:19:23
2022-11-19,159.593,2023-08-14 07:19:23
2022-11-12,162.932,2023-08-14 07:19:23
2022-11-05,164.812,2023-08-14 07:19:23
2022-10-29,165.547,2023-08-14 07:19:23
2022-10-22,165.17,2023-08-14 07:19:23
2022-10-15,166.729,2023-08-14 07:19:23
2022-10-08,165.904,2023-08-14 07:19:23
2022-10-01,168.496,2023-08-14 07:19:23
2022-09-24,167.448,2023-08-14 07:19:23
2022-09-17,165.227,2023-08-14 07:19:23
2022-09-10,165.788,2023-08-14 07:19:23
2022-09-03,166.931,2023-08-14 07:19:23
2022-08-27,167.182,2023-08-14 07:19:23
2022-08-20,167.05,2023-08-14 07:19:23
2022-08-13,167.374,2023-08-14 07:19:23
2022-08-06,166.361,2023-08-14 07:19:23
2022-07-30,166.729,2023-08-14 07:19:23
2022-07-23,167.183,2023-08-14 07:19:23
2022-07-16,165.108,2023-08-14 07:19:23
