date,value,created_at
2024-02-17,476.541,2024-02-27 23:02:01
2024-02-10,475.914,2024-02-20 23:01:46
2024-02-03,470.143,2024-02-13 23:01:48
2024-01-27,470.236,2024-02-06 23:01:58
2024-01-20,470.995,2024-02-01 23:02:04
2024-01-13,469.293,2024-01-24 23:01:45
2024-01-06,468.079,2024-01-18 04:21:11
2023-12-30,463.457,2024-01-18 04:21:11
2023-12-23,459.52,2024-01-02 23:01:49
2023-12-16,463.334,2023-12-28 23:01:43
2023-12-09,465.031,2023-12-20 23:01:36
2023-12-02,465.318,2023-12-12 23:01:53
2023-11-25,454.361,2023-12-05 23:01:23
2023-11-18,455.382,2023-12-05 23:01:23
2023-11-11,457.407,2023-11-22 23:01:34
2023-11-04,459.452,2023-11-14 23:01:54
2023-10-28,467.55,2023-11-07 23:01:50
2023-10-21,466.342,2023-11-02 23:01:41
2023-10-14,462.096,2023-10-25 23:01:28
2023-10-07,469.103,2023-10-18 23:01:26
2023-09-30,467.651,2023-10-10 23:01:30
2023-09-23,466.11,2023-10-03 23:01:38
2023-09-16,465.1,2023-09-28 23:01:21
2023-09-09,469.598,2023-09-19 23:01:31
2023-09-02,467.426,2023-09-13 23:01:25
2023-08-26,470.23,2023-09-06 16:01:48
2023-08-19,474.497,2023-09-04 12:01:48
2023-08-12,473.238,2023-08-24 23:01:29
2023-08-05,470.853,2023-08-16 23:01:15
2023-07-29,466.884,2023-08-09 23:01:13
2023-07-22,469.997,2023-08-04 23:01:03
2023-07-15,472.285,2023-07-25 23:01:00
2023-07-08,468.316,2023-07-19 23:00:49
2023-07-01,466.021,2023-07-13 04:16:18
2023-06-24,469.84055770580505,2023-07-13 04:16:18
2023-06-17,472.4152994580027,2023-07-13 04:16:18
2023-06-10,472.7088926166889,2023-07-13 04:16:18
2023-06-03,469.30048271502113,2023-07-13 04:16:18
2023-05-27,467.295,2023-07-13 04:16:18
2023-05-20,472.478,2023-07-13 04:16:18
2023-05-13,473.242,2023-07-13 04:16:18
2023-05-06,473.533,2023-07-13 04:16:18
2023-04-29,470.802,2023-07-13 04:16:18
2023-04-22,472.187,2023-07-13 04:16:18
2023-04-15,464.866,2023-07-13 04:16:18
2023-04-08,460.765,2023-07-13 04:16:18
2023-04-01,455.748,2023-07-13 04:16:18
2023-03-25,458.734,2023-07-13 04:16:18
2023-03-18,460.047,2023-07-13 04:16:18
2023-03-11,458.533,2023-07-13 04:16:18
2023-03-04,456.591,2023-07-13 04:16:18
2023-02-25,460.183,2023-07-13 04:16:18
2023-02-18,461.486,2023-07-13 04:16:18
2023-02-11,458.134,2023-07-13 04:16:18
2023-02-04,454.395,2023-07-13 04:16:18
2023-01-28,456.667,2023-07-13 04:16:18
2023-01-21,455.795,2023-07-13 04:16:18
2023-01-14,450.939,2023-07-13 04:16:18
2023-01-07,451.377,2023-07-13 04:16:18
2022-12-31,449.414,2023-07-13 04:16:18
2022-12-24,444.028,2023-07-13 04:16:18
2022-12-17,447.735,2023-07-13 04:16:18
2022-12-10,450.049,2023-07-13 04:16:18
2022-12-03,446.368,2023-07-13 04:16:18
2022-11-26,393.157,2023-07-13 04:16:18
2022-11-19,435.024,2023-07-13 04:16:18
2022-11-12,441.261,2023-07-13 04:16:18
2022-11-05,440.296,2023-07-13 04:16:18
2022-10-29,443.856,2023-07-13 04:16:18
2022-10-22,443.052,2023-07-13 04:16:18
2022-10-15,443.705,2023-07-13 04:16:18
2022-10-08,441.024,2023-07-13 04:16:18
2022-10-01,441.735,2023-07-13 04:16:18
2022-09-24,445.582,2023-07-13 04:16:18
2022-09-17,444.853,2023-07-13 04:16:18
