date,value,created_at
2024-02-17,237.4,2024-02-27 23:02:01
2024-02-10,241.661,2024-02-20 23:01:46
2024-02-03,243.12,2024-02-13 23:01:49
2024-01-27,238.456,2024-02-06 23:01:59
2024-01-20,246.109,2024-02-01 23:02:05
2024-01-13,243.556,2024-01-24 23:01:45
2024-01-06,243.939,2024-01-18 04:21:12
2023-12-30,253.122,2024-01-18 04:21:12
2023-12-23,262.092,2024-01-02 23:01:50
2023-12-16,253.677,2023-12-28 23:01:44
2023-12-09,254.595,2023-12-20 23:01:36
2023-12-02,254.473,2023-12-12 23:01:53
2023-11-25,251.084,2023-12-05 23:01:24
2023-11-18,245.431,2023-12-05 23:01:24
2023-11-11,248.663,2023-11-22 23:01:35
2023-11-04,245.113,2023-11-14 23:01:55
2023-10-28,245.195,2023-11-07 23:01:50
2023-10-21,247.685,2023-11-02 23:01:41
2023-10-14,250.163,2023-10-25 23:01:29
2023-10-07,249.202,2023-10-18 23:01:27
2023-09-30,250.839,2023-10-10 23:01:30
2023-09-23,252.061,2023-10-03 23:01:39
2023-09-16,252.568,2023-09-28 23:01:22
2023-09-09,253.009,2023-09-19 23:01:31
2023-09-02,251.227,2023-09-13 23:01:25
2023-08-26,251.514,2023-09-06 16:01:49
2023-08-19,247.174,2023-09-04 12:01:49
2023-08-12,243.847,2023-08-24 23:01:29
2023-08-05,241.573,2023-08-16 23:01:15
2023-07-29,240.198,2023-08-16 23:01:15
2023-07-22,237.851,2023-08-14 07:19:23
2023-07-15,235.492,2023-08-14 07:19:23
2023-07-08,238.323,2023-08-14 07:19:23
2023-07-01,247.254,2023-08-14 07:19:23
2023-06-24,252.031,2023-08-14 07:19:23
2023-06-17,253.647,2023-08-14 07:19:23
2023-06-10,255.484,2023-08-14 07:19:23
2023-06-03,256.102,2023-08-14 07:19:23
2023-05-27,255.238,2023-08-14 07:19:23
2023-05-20,256.55,2023-08-14 07:19:23
2023-05-13,258.627,2023-08-14 07:19:23
2023-05-06,255.498,2023-08-14 07:19:23
2023-04-29,258.088,2023-08-14 07:19:23
2023-04-22,257.948,2023-08-14 07:19:23
2023-04-15,247.864,2023-08-14 07:19:23
2023-04-08,243.853,2023-08-14 07:19:23
2023-04-01,247.754,2023-08-14 07:19:23
2023-03-25,249.812,2023-08-14 07:19:23
2023-03-18,251.369,2023-08-14 07:19:23
2023-03-11,252.619,2023-08-14 07:19:23
2023-03-04,249.154,2023-08-14 07:19:23
2023-02-25,245.851,2023-08-14 07:19:23
2023-02-18,239.826,2023-08-14 07:19:23
2023-02-11,239.85,2023-08-14 07:19:23
2023-02-04,241.706,2023-08-14 07:19:23
2023-01-28,237.641,2023-08-14 07:19:23
2023-01-21,242.046,2023-08-14 07:19:23
2023-01-14,238.009,2023-08-14 07:19:23
2023-01-07,238.421,2023-08-14 07:19:23
2022-12-31,245.395,2023-08-14 07:19:23
2022-12-24,257.312,2023-08-14 07:19:23
2022-12-17,245.775,2023-08-14 07:19:23
2022-12-10,243.899,2023-08-14 07:19:23
2022-12-03,242.67,2023-08-14 07:19:23
2022-11-26,246.267,2023-08-14 07:19:23
2022-11-19,242.8,2023-08-14 07:19:23
2022-11-12,240.388,2023-08-14 07:19:23
2022-11-05,234.438,2023-08-14 07:19:23
2022-10-29,233.532,2023-08-14 07:19:23
2022-10-22,235.316,2023-08-14 07:19:23
2022-10-15,236.335,2023-08-14 07:19:23
2022-10-08,234.268,2023-08-14 07:19:23
2022-10-01,241.342,2023-08-14 07:19:23
2022-09-24,240.906,2023-08-14 07:19:23
2022-09-17,240.93,2023-08-14 07:19:23
2022-09-10,236.699,2023-08-14 07:19:23
2022-09-03,237.693,2023-08-14 07:19:23
2022-08-27,235.817,2023-08-14 07:19:23
2022-08-20,232.222,2023-08-14 07:19:23
2022-08-13,229.261,2023-08-14 07:19:23
2022-08-06,223.637,2023-08-14 07:19:23
2022-07-30,221.289,2023-08-14 07:19:23
2022-07-23,221.421,2023-08-14 07:19:23
2022-07-16,218.786,2023-08-14 07:19:23
2022-07-09,220.753,2023-08-14 07:19:23
2022-07-02,227.408,2023-08-14 07:19:23
2022-06-25,237.545,2023-08-14 07:19:23
2022-06-18,240.32,2023-08-14 07:19:23
2022-06-11,237.771,2023-08-14 07:19:23
2022-06-04,241.502,2023-08-14 07:19:23
2022-05-28,240.426,2023-08-14 07:19:23
2022-05-21,239.167,2023-08-14 07:19:23
2022-05-14,238.947,2023-08-14 07:19:23
2022-05-07,239.666,2023-08-14 07:19:23
2022-04-30,238.821,2023-08-14 07:19:23
2022-04-23,231.361,2023-08-14 07:19:23
2022-04-16,226.514,2023-08-14 07:19:23
2022-04-09,229.933,2023-08-14 07:19:23
2022-04-02,233.906,2023-08-14 07:19:23
2022-03-26,233.106,2023-08-14 07:19:23
2022-03-19,231.299,2023-08-14 07:19:23
2022-03-12,230.359,2023-08-14 07:19:23
2022-03-05,229.867,2023-08-14 07:19:23
2022-02-26,227.998,2023-08-14 07:19:23
2022-02-19,224.888,2023-08-14 07:19:23
2022-02-12,220.208,2023-08-14 07:19:23
2022-02-05,223.887,2023-08-14 07:19:23
2022-01-29,222.847,2023-08-14 07:19:23
2022-01-22,223.393,2023-08-14 07:19:23
2022-01-15,223.343,2023-08-14 07:19:23
2022-01-08,223.151,2023-08-14 07:19:23
2022-01-01,222.257,2023-08-14 07:19:23
2021-12-25,238.543,2023-08-14 07:19:23
2021-12-18,226.34,2023-08-14 07:19:23
2021-12-11,222.609,2023-08-14 07:19:23
2021-12-04,223.755,2023-08-14 07:19:23
2021-11-27,229.223,2023-08-14 07:19:23
2021-11-20,222.547,2023-08-14 07:19:23
2021-11-13,221.937,2023-08-14 07:19:23
2021-11-06,217.65,2023-08-14 07:19:23
2021-10-30,214.813,2023-08-14 07:19:23
2021-10-23,216.167,2023-08-14 07:19:23
2021-10-16,214.553,2023-08-14 07:19:23
2021-10-09,212.016,2023-08-14 07:19:23
2021-10-02,214.197,2023-08-14 07:19:23
2021-09-25,213.703,2023-08-14 07:19:23
2021-09-18,211.332,2023-08-14 07:19:23
2021-09-11,209.592,2023-08-14 07:19:23
2021-09-04,210.22,2023-08-14 07:19:23
2021-08-28,210.116,2023-08-14 07:19:23
2021-08-21,208.405,2023-08-14 07:19:23
2021-08-14,205.144,2023-08-14 07:19:23
2021-08-07,203.83,2023-08-14 07:19:23
2021-07-31,201.942,2023-08-14 07:19:23
2021-07-24,201.055,2023-08-14 07:19:23
2021-07-17,200.919,2023-08-14 07:19:23
2021-07-10,204.602,2023-08-14 07:19:23
2021-07-03,210.76,2023-08-14 07:19:23
2021-06-26,212.89,2023-08-14 07:19:23
2021-06-19,215.757,2023-08-14 07:19:23
2021-06-12,215.003,2023-08-14 07:19:23
2021-06-05,216.099,2023-08-14 07:19:23
2021-05-29,216.599,2023-08-14 07:19:23
2021-05-22,216.687,2023-08-14 07:19:23
2021-05-15,219.514,2023-08-14 07:19:23
2021-05-08,218.698,2023-08-14 07:19:23
2021-05-01,215.187,2023-08-14 07:19:23
2021-04-24,214.915,2023-08-14 07:19:23
2021-04-17,214.447,2023-08-14 07:19:23
2021-04-10,208.943,2023-08-14 07:19:23
2021-04-03,207.761,2023-08-14 07:19:23
2021-03-27,214.263,2023-08-14 07:19:23
2021-03-20,218.132,2023-08-14 07:19:23
2021-03-13,212.092,2023-08-14 07:19:23
2021-03-06,212.276,2023-08-14 07:19:23
2021-02-27,203.398,2023-08-14 07:19:23
2021-02-20,197.324,2023-08-14 07:19:23
2021-02-13,198.931,2023-08-14 07:19:23
2021-02-06,200.537,2023-08-14 07:19:23
2021-01-30,202.074,2023-08-14 07:19:23
2021-01-23,201.557,2023-08-14 07:19:23
2021-01-16,203.8,2023-08-14 07:19:23
2021-01-09,201.433,2023-08-14 07:19:23
2021-01-02,199.947,2023-08-14 07:19:23
