date,value,created_at
2024-02-01,6.68075,2024-03-01 23:00:34
2024-02-01,6.648365,2024-03-02 15:08:29
2024-01-01,7.248021,2024-02-01 23:04:52
2024-01-01,6.815183,2024-02-08 23:04:37
2024-01-01,6.820216,2024-02-06 23:04:45
2024-01-01,6.823814,2024-02-07 23:05:27
2024-01-01,6.907457,2024-02-02 23:00:35
2023-12-01,7.151718,2024-01-01 23:04:57
2023-12-01,6.919501,2024-02-02 23:00:35
2023-12-01,7.125162,2024-01-23 23:06:20
2023-12-01,7.102184,2024-02-01 23:04:52
2023-12-01,6.894877,2024-02-06 23:04:45
2023-12-01,6.905637,2024-02-07 23:05:27
2023-12-01,6.897007,2024-02-08 23:04:37
2023-11-01,7.206601,2024-02-08 23:04:37
2023-11-01,7.447938,2024-02-01 23:04:52
2023-11-01,7.232657,2024-02-02 23:00:35
2023-11-01,7.20109,2024-02-06 23:04:45
2023-11-01,7.215231,2024-02-07 23:05:27
2023-11-01,7.467603,2024-01-23 23:06:20
2023-11-01,7.487628,2024-01-01 23:04:57
2023-11-01,7.490009,2023-12-22 02:32:51
2023-10-01,7.162576,2024-01-23 23:06:20
2023-10-01,7.174922,2023-12-22 02:32:51
2023-10-01,7.159227,2024-02-01 23:04:52
2023-10-01,7.000512,2024-02-02 23:00:35
2023-10-01,7.174205,2024-01-01 23:04:57
2023-10-01,7.004312,2024-02-07 23:05:27
2023-10-01,6.99017,2024-02-06 23:04:45
2023-09-01,6.902307,2023-10-27 12:40:40
2023-09-01,6.93119,2023-12-22 02:32:51
2023-09-01,6.867198,2024-02-07 23:05:27
2023-09-01,6.870923,2024-02-02 23:00:35
2023-09-01,6.863817,2024-02-06 23:04:45
2023-08-01,6.710399,2024-02-06 23:04:45
2023-08-01,6.731787,2023-12-22 02:32:51
2023-08-01,6.702904,2023-10-27 12:40:40
2023-08-01,6.712138,2024-02-02 23:00:35
2023-07-01,6.489406,2024-02-02 23:00:35
2023-07-01,6.487831,2024-02-06 23:04:45
2023-07-01,6.515116,2023-10-27 12:40:40
2023-07-01,6.509055,2023-12-22 02:32:51
2023-06-01,6.406291,2023-10-27 12:40:40
2023-06-01,6.40023,2023-12-22 02:32:51
2023-06-01,6.400036,2024-02-02 23:00:35
2023-06-01,6.398461,2024-02-06 23:04:45
2023-05-01,6.270853,2023-10-27 12:40:40
2023-05-01,6.264792,2023-12-22 02:32:51
2023-04-01,6.164649,2023-10-27 12:40:40
2023-04-01,6.174841,2023-12-22 02:32:51
2023-03-01,6.032725,2023-12-22 02:32:51
2023-03-01,6.022533,2023-10-27 12:40:40
2023-02-01,5.965677,2023-12-22 02:32:51
2023-02-01,5.951429,2023-10-27 12:40:40
2023-01-01,6.110362,2023-10-27 12:40:40
2023-01-01,6.113684,2023-12-22 02:32:51
2022-12-01,6.197041,2023-10-27 12:40:40
2022-12-01,6.200363,2023-12-22 02:32:51
2022-11-01,6.014618,2023-12-22 02:32:51
2022-11-01,6.015351,2023-10-27 12:40:40
2022-10-01,5.577616,2023-10-27 12:40:40
2022-09-01,5.202521,2023-10-27 12:40:40
2022-08-01,4.976238,2023-10-27 12:40:40
2022-07-01,5.036526,2023-10-27 12:40:40
2022-06-01,4.789255,2023-10-27 12:40:40
2022-05-01,4.456962,2023-10-27 12:40:40
2022-04-01,3.837223,2023-10-27 12:40:40
2022-03-01,3.512384,2023-10-27 12:40:40
2022-02-01,3.294443,2023-10-27 12:40:40
2022-01-01,3.256562,2023-10-27 12:40:40
2021-12-01,3.200278,2023-10-27 12:40:40
2021-11-01,3.172335,2023-10-27 12:40:40
2021-10-01,3.129384,2023-10-27 12:40:40
2021-09-01,3.156723,2023-10-27 12:40:40
2021-08-01,3.184288,2023-10-27 12:40:40
2021-07-01,3.202602,2023-10-27 12:40:40
2021-06-01,3.184695,2023-10-27 12:40:40
2021-05-01,3.229881,2023-10-27 12:40:40
2021-04-01,3.211253,2023-10-27 12:40:40
