date,value,created_at
2024-02-01,23.4673,2024-03-01 23:00:35
2024-02-01,23.40603,2024-03-02 15:08:29
2024-01-01,31.202646,2024-02-01 23:04:52
2024-01-01,22.241125,2024-02-07 23:05:27
2024-01-01,22.319345,2024-02-06 23:04:45
2024-01-01,22.873484,2024-02-02 23:00:35
2023-12-01,27.176264,2024-02-01 23:04:52
2023-12-01,27.457631,2024-01-23 23:06:20
2023-12-01,27.518131,2024-01-01 23:04:57
2023-12-01,21.31339,2024-02-02 23:00:35
2023-12-01,20.971398,2024-02-06 23:04:45
2023-12-01,21.039936,2024-02-07 23:05:27
2023-11-01,26.087806,2023-12-22 02:32:52
2023-11-01,25.409312,2024-02-01 23:04:52
2023-11-01,25.715762,2024-01-01 23:04:57
2023-11-01,19.719395,2024-02-06 23:04:45
2023-11-01,25.690679,2024-01-23 23:06:20
2023-11-01,20.061387,2024-02-02 23:00:35
2023-10-01,23.466322,2023-12-22 02:32:52
2023-10-01,23.359925,2024-01-01 23:04:57
2023-10-01,20.034011,2024-02-06 23:04:45
2023-10-01,23.344041,2024-01-23 23:06:20
2023-10-01,23.241872,2024-02-01 23:04:52
2023-10-01,20.054034,2024-02-02 23:00:35
2023-09-01,19.656119,2024-02-06 23:04:45
2023-09-01,19.877611,2024-02-02 23:00:35
2023-09-01,20.858023,2023-10-27 12:40:40
2023-09-01,21.264898,2023-12-22 02:32:52
2023-08-01,18.503964,2023-10-27 12:40:40
2023-08-01,18.303723,2024-02-02 23:00:35
2023-08-01,18.807083,2023-12-22 02:32:52
2023-07-01,18.338395,2023-10-27 12:40:40
2023-07-01,18.641514,2023-12-22 02:32:52
2023-07-01,18.138155,2024-02-02 23:00:35
2023-06-01,20.843218,2023-12-22 02:32:52
2023-06-01,20.688337,2023-10-27 12:40:40
2023-06-01,20.569973,2024-02-02 23:00:35
2023-05-01,21.684476,2023-10-27 12:40:40
2023-04-01,20.927801,2023-10-27 12:40:40
2023-03-01,22.444651,2023-10-27 12:40:40
2023-02-01,24.72583,2023-10-27 12:40:40
2023-01-01,24.475928,2023-10-27 12:40:40
2023-01-01,24.398649,2023-12-22 02:32:52
2022-12-01,21.412519,2023-10-27 12:40:40
2022-12-01,21.33524,2023-12-22 02:32:52
2022-11-01,19.408351,2023-12-22 02:32:52
2022-11-01,19.48563,2023-10-27 12:40:40
2022-10-01,20.12229,2023-10-27 12:40:40
2022-10-01,20.04501,2023-12-22 02:32:52
2022-09-01,18.595913,2023-12-22 02:32:52
2022-09-01,18.673193,2023-10-27 12:40:40
2022-08-01,16.264626,2023-10-27 12:40:40
2022-08-01,16.187347,2023-12-22 02:32:52
2022-07-01,18.664245,2023-10-27 12:40:40
2022-06-01,19.494018,2023-10-27 12:40:40
2022-05-01,20.216393,2023-10-27 12:40:40
2022-04-01,19.524317,2023-10-27 12:40:40
2022-03-01,19.152419,2023-10-27 12:40:40
2022-02-01,19.797321,2023-10-27 12:40:40
2022-01-01,17.942268,2023-10-27 12:40:40
2021-12-01,19.241561,2023-10-27 12:40:40
2021-11-01,18.725623,2023-10-27 12:40:40
2021-10-01,20.316827,2023-10-27 12:40:40
2021-09-01,20.757364,2023-10-27 12:40:40
2021-08-01,20.83832,2023-10-27 12:40:40
2021-07-01,21.333173,2023-10-27 12:40:40
2021-06-01,21.129957,2023-10-27 12:40:40
2021-05-01,20.1125,2023-10-27 12:40:40
2021-04-01,18.72037,2023-10-27 12:40:40
2021-03-01,17.784608,2023-10-27 12:40:40
2021-02-01,18.881402,2023-10-27 12:40:40
2021-01-01,18.439769,2023-10-27 12:40:40
2020-12-01,18.042526,2023-10-27 12:40:40
2020-11-01,18.639791,2023-10-27 12:40:40
2020-10-01,18.569372,2023-10-27 12:40:40
2020-09-01,18.479307,2023-10-27 12:40:40
2020-08-01,17.644041,2023-10-27 12:40:40
2020-07-01,16.077725,2023-10-27 12:40:40
2020-06-01,14.911371,2023-10-27 12:40:40
2020-05-01,14.583823,2023-10-27 12:40:40
2020-04-01,15.502553,2023-10-27 12:40:40
2020-03-01,16.729048,2023-10-27 12:40:40
2020-02-01,16.216585,2023-10-27 12:40:40
2020-01-01,17.23216,2023-10-27 12:40:40
2019-12-01,17.414052,2023-10-27 12:40:40
2019-11-01,18.137799,2023-10-27 12:40:40
2019-10-01,17.434494,2023-10-27 12:40:40
2019-09-01,16.23116,2023-10-27 12:40:40
2019-08-01,16.16816,2023-10-27 12:40:40
2019-07-01,16.609252,2023-10-27 12:40:40
2019-06-01,16.429321,2023-10-27 12:40:40
2019-05-01,16.887654,2023-10-27 12:40:40
2019-04-01,16.51778,2023-10-27 12:40:40
2019-03-01,16.735137,2023-10-27 12:40:40
2019-02-01,16.288322,2023-10-27 12:40:40
2019-01-01,15.269505,2023-10-27 12:40:40
2018-12-01,15.175626,2023-10-27 12:40:40
2018-11-01,14.792015,2023-10-27 12:40:40
2018-10-01,15.17892,2023-10-27 12:40:40
2018-09-01,15.250702,2023-10-27 12:40:40
2018-08-01,16.234632,2023-10-27 12:40:40
2018-07-01,17.490291,2023-10-27 12:40:40
2018-06-01,18.771587,2023-10-27 12:40:40
2018-05-01,18.267572,2023-10-27 12:40:40
2018-04-01,18.579968,2023-10-27 12:40:40
2018-03-01,19.265638,2023-10-27 12:40:40
2018-02-01,18.806668,2023-10-27 12:40:40
2018-01-01,17.190196,2023-10-27 12:40:40
2017-12-01,16.971736,2023-10-27 12:40:40
2017-11-01,17.011346,2023-10-27 12:40:40
