date,value,created_at
2024-02-01,2429.06871,2024-03-01 23:00:33
2024-02-01,2400.715678,2024-03-02 15:08:28
2024-01-01,2506.274886,2024-02-02 23:00:34
2024-01-01,2909.777717,2024-02-01 23:04:51
2024-01-01,2472.307907,2024-02-06 23:04:44
2024-01-01,2474.533386,2024-02-07 23:05:26
2023-12-01,2863.056751,2024-02-01 23:04:51
2023-12-01,2975.07867,2024-01-01 23:04:56
2023-12-01,2543.337003,2024-02-02 23:00:34
2023-12-01,2912.321195,2024-01-23 23:06:19
2023-12-01,2494.811514,2024-02-06 23:04:44
2023-12-01,2490.232683,2024-02-07 23:05:26
2023-11-01,2501.69445,2024-02-02 23:00:34
2023-11-01,2830.934666,2024-01-01 23:04:56
2023-11-01,2860.691657,2023-12-22 02:32:51
2023-11-01,2444.632907,2024-02-06 23:04:44
2023-11-01,2776.128907,2024-02-01 23:04:51
2023-11-01,2806.593342,2024-01-23 23:06:19
2023-10-01,2687.331327,2024-01-01 23:04:56
2023-10-01,2675.509484,2024-01-23 23:06:19
2023-10-01,2662.711189,2024-02-01 23:04:51
2023-10-01,2453.002589,2024-02-02 23:00:34
2023-10-01,2703.279014,2023-12-22 02:32:51
2023-10-01,2403.539131,2024-02-06 23:04:44
2023-09-01,2528.897176,2023-12-22 02:32:51
2023-09-01,2470.939267,2024-02-02 23:00:34
2023-09-01,2455.506661,2024-02-06 23:04:44
2023-09-01,2529.678073,2023-10-27 12:40:39
2023-08-01,2597.340941,2023-10-27 12:40:39
2023-08-01,2600.497224,2023-12-22 02:32:51
2023-08-01,2568.735552,2024-02-06 23:04:44
2023-08-01,2577.664123,2024-02-02 23:00:34
2023-07-01,2639.146045,2024-02-06 23:04:44
2023-07-01,2658.938944,2023-10-27 12:40:39
2023-07-01,2641.178064,2024-02-02 23:00:34
2023-07-01,2661.837937,2023-12-22 02:32:51
2023-06-01,2564.683396,2024-02-06 23:04:44
2023-06-01,2576.825888,2023-10-27 12:40:39
2023-06-01,2585.713672,2023-12-22 02:32:51
2023-06-01,2566.715415,2024-02-02 23:00:34
2023-05-01,2458.010209,2023-12-22 02:32:51
2023-05-01,2454.810284,2023-10-27 12:40:39
2023-04-01,2356.283153,2023-10-27 12:40:39
2023-04-01,2362.540368,2023-12-22 02:32:51
2023-03-01,2385.499334,2023-12-22 02:32:51
2023-03-01,2378.793076,2023-10-27 12:40:39
2023-03-01,2383.835653,2024-01-23 23:06:19
2023-02-01,2496.662534,2023-12-22 02:32:51
2023-02-01,2490.523983,2023-10-27 12:40:39
2023-02-01,2494.998853,2024-01-23 23:06:19
2023-01-01,2557.970498,2024-01-23 23:06:19
2023-01-01,2559.634179,2023-12-22 02:32:51
2023-01-01,2556.295628,2023-10-27 12:40:39
2022-12-01,2523.347414,2023-10-27 12:40:39
2022-12-01,2524.190407,2023-12-22 02:32:51
2022-11-01,2412.300268,2023-10-27 12:40:39
2022-11-01,2408.699983,2023-12-22 02:32:51
2022-10-01,2375.008695,2023-12-22 02:32:51
2022-10-01,2392.391196,2023-10-27 12:40:39
2022-09-01,2386.426079,2023-10-27 12:40:39
2022-09-01,2369.043579,2023-12-22 02:32:51
2022-08-01,2326.66124,2023-12-22 02:32:51
2022-08-01,2330.470691,2023-10-27 12:40:39
2022-07-01,2259.690899,2023-12-22 02:32:51
2022-07-01,2249.718134,2023-10-27 12:40:39
2022-06-01,2264.467448,2023-12-22 02:32:51
2022-06-01,2254.494682,2023-10-27 12:40:39
2022-05-01,2277.161536,2023-10-27 12:40:39
2022-04-01,2222.168944,2023-10-27 12:40:39
2022-03-01,2151.212339,2023-10-27 12:40:39
2022-02-01,2100.115356,2023-10-27 12:40:39
2022-01-01,2128.641768,2023-10-27 12:40:39
2021-12-01,2110.316887,2023-10-27 12:40:39
2021-11-01,2092.481133,2023-10-27 12:40:39
2021-10-01,2092.359182,2023-10-27 12:40:39
2021-09-01,2118.044203,2023-10-27 12:40:39
2021-08-01,2159.845333,2023-10-27 12:40:39
2021-07-01,2092.533826,2023-10-27 12:40:39
2021-06-01,2049.05743,2023-10-27 12:40:39
2021-05-01,1955.567186,2023-10-27 12:40:39
2021-04-01,1956.419514,2023-10-27 12:40:39
2021-03-01,1882.543346,2023-10-27 12:40:39
2021-02-01,1896.871143,2023-10-27 12:40:39
2021-01-01,1848.242545,2023-10-27 12:40:39
2020-12-01,1908.145177,2023-10-27 12:40:39
2020-11-01,1881.202902,2023-10-27 12:40:39
2020-10-01,1885.90316,2023-10-27 12:40:39
2020-09-01,1858.927147,2023-10-27 12:40:39
2020-08-01,1899.989563,2023-10-27 12:40:39
2020-07-01,1929.782096,2023-10-27 12:40:39
2020-06-01,1907.420932,2023-10-27 12:40:39
2020-05-01,1851.953695,2023-10-27 12:40:39
2020-04-01,1850.834812,2023-10-27 12:40:39
2020-03-01,1871.47269,2023-10-27 12:40:39
2020-02-01,1898.714275,2023-10-27 12:40:39
2020-01-01,1837.782015,2023-10-27 12:40:39
2019-12-01,1838.938302,2023-10-27 12:40:39
2019-11-01,1826.776565,2023-10-27 12:40:39
2019-10-01,1865.488017,2023-10-27 12:40:39
2019-09-01,1890.778115,2023-10-27 12:40:39
2019-08-01,1904.868176,2023-10-27 12:40:39
2019-07-01,1943.685896,2023-10-27 12:40:39
2019-06-01,1893.000183,2023-10-27 12:40:39
2019-05-01,1862.122977,2023-10-27 12:40:39
2019-04-01,1792.060797,2023-10-27 12:40:39
2019-03-01,1800.599045,2023-10-27 12:40:39
2019-02-01,1797.628673,2023-10-27 12:40:39
2019-01-01,1825.89124,2023-10-27 12:40:39
2018-12-01,1816.237514,2023-10-27 12:40:39
2018-11-01,1824.068874,2023-10-27 12:40:39
2018-10-01,1781.275564,2023-10-27 12:40:39
2018-09-01,1811.863148,2023-10-27 12:40:39
2018-08-01,1818.404505,2023-10-27 12:40:39
2018-07-01,1881.445693,2023-10-27 12:40:39
2018-06-01,1878.776249,2023-10-27 12:40:39
2018-05-01,1879.865189,2023-10-27 12:40:39
2018-04-01,1821.404561,2023-10-27 12:40:39
2018-03-01,1742.911197,2023-10-27 12:40:39
2018-02-01,1687.91236,2023-10-27 12:40:39
2018-01-01,1694.069928,2023-10-27 12:40:39
2017-12-01,1674.721104,2023-10-27 12:40:39
2017-11-01,1656.584697,2023-10-27 12:40:39
2017-10-01,1670.344906,2023-10-27 12:40:39
2017-09-01,1710.00376,2023-10-27 12:40:39
2017-08-01,1731.286063,2023-10-27 12:40:39
2017-07-01,1703.297866,2023-10-27 12:40:39
2017-06-01,1718.182562,2023-10-27 12:40:39
2017-05-01,1699.162258,2023-10-27 12:40:39
2017-04-01,1709.917346,2023-10-27 12:40:39
2017-03-01,1685.887351,2023-10-27 12:40:39
2017-02-01,1698.174902,2023-10-27 12:40:39
2017-01-01,1679.916596,2023-10-27 12:40:39
2016-12-01,1673.075501,2023-10-27 12:40:39
2016-11-01,1684.676358,2023-10-27 12:40:39
2016-10-01,1673.579333,2023-10-27 12:40:39
2016-09-01,1647.726712,2023-10-27 12:40:39
2016-08-01,1611.597866,2023-10-27 12:40:39
2016-07-01,1651.103603,2023-10-27 12:40:39
2016-06-01,1665.588899,2023-10-27 12:40:39
2016-05-01,1708.333894,2023-10-27 12:40:39
2016-04-01,1658.242889,2023-10-27 12:40:39
2016-03-01,1646.107463,2023-10-27 12:40:39
2016-02-01,1593.693871,2023-10-27 12:40:39
2016-01-01,1619.791311,2023-10-27 12:40:39
2015-12-01,1622.222829,2023-10-27 12:40:39
2015-11-01,1615.509783,2023-10-27 12:40:39
2015-10-01,1599.892801,2023-10-27 12:40:39
2015-09-01,1555.479839,2023-10-27 12:40:39
2015-08-01,1506.83204,2023-10-27 12:40:39
2015-07-01,1517.322928,2023-10-27 12:40:39
2015-06-01,1598.587455,2023-10-27 12:40:39
2015-05-01,1650.346365,2023-10-27 12:40:39
2015-04-01,1558.874043,2023-10-27 12:40:39
2015-03-01,1523.398285,2023-10-27 12:40:39
2015-02-01,1475.79442,2023-10-27 12:40:39
2015-01-01,1463.385428,2023-10-27 12:40:39
2014-12-01,1424.022201,2023-10-27 12:40:39
2014-11-01,1415.403844,2023-10-27 12:40:39
2014-10-01,1457.858028,2023-10-27 12:40:39
2014-09-01,1411.193396,2023-10-27 12:40:39
2014-08-01,1437.095105,2023-10-27 12:40:39
2014-07-01,1368.298608,2023-10-27 12:40:39
2014-06-01,1368.911794,2023-10-27 12:40:39
2014-05-01,1388.818727,2023-10-27 12:40:39
2014-04-01,1379.571809,2023-10-27 12:40:39
2014-03-01,1367.044086,2023-10-27 12:40:39
2014-02-01,1299.273639,2023-10-27 12:40:39
2014-01-01,1363.47974,2023-10-27 12:40:39
2013-12-01,1428.419744,2023-10-27 12:40:39
2013-11-01,1386.582404,2023-10-27 12:40:39
2013-10-01,1393.242268,2023-10-27 12:40:39
2013-09-01,1348.075414,2023-10-27 12:40:39
2013-08-01,1394.755512,2023-10-27 12:40:39
2013-07-01,1366.269205,2023-10-27 12:40:39
2013-06-01,1407.396691,2023-10-27 12:40:39
2013-05-01,1419.4706,2023-10-27 12:40:39
2013-04-01,1407.180393,2023-10-27 12:40:39
2013-03-01,1359.498565,2023-10-27 12:40:39
2013-02-01,1320.502037,2023-10-27 12:40:39
2013-01-01,1348.160567,2023-10-27 12:40:39
2012-12-01,1355.128472,2023-10-27 12:40:39
2012-11-01,1395.240423,2023-10-27 12:40:39
2012-10-01,1363.521673,2023-10-27 12:40:39
2012-09-01,1345.559173,2023-10-27 12:40:39
2012-08-01,1308.488889,2023-10-27 12:40:39
2012-07-01,1304.232479,2023-10-27 12:40:39
2012-06-01,1322.069812,2023-10-27 12:40:39
2012-05-01,1345.122952,2023-10-27 12:40:39
2012-04-01,1288.633331,2023-10-27 12:40:39
2012-03-01,1302.915295,2023-10-27 12:40:39
2012-02-01,1276.4599,2023-10-27 12:40:39
2012-01-01,1422.157895,2023-10-27 12:40:39
