date,value,created_at
2024-02-01,22704.71783,2024-03-01 23:00:40
2024-02-01,22699.03741,2024-03-02 15:08:33
2024-01-01,22041.497237,2024-02-07 23:05:31
2024-01-01,22056.220434,2024-02-06 23:04:48
2024-01-01,21901.183601,2024-02-02 23:00:42
2024-01-01,25204.224402,2024-02-01 23:04:55
2023-12-01,21136.722816,2024-02-02 23:00:42
2023-12-01,24020.279958,2024-01-23 23:06:23
2023-12-01,23818.113291,2024-02-01 23:04:55
2023-12-01,21291.75965,2024-02-06 23:04:48
2023-12-01,21277.036453,2024-02-07 23:05:31
2023-12-01,24056.253304,2024-01-01 23:05:00
2023-11-01,24495.717076,2024-01-23 23:06:23
2023-11-01,24644.510935,2023-12-22 02:32:54
2023-11-01,21732.637796,2024-02-02 23:00:42
2023-11-01,21887.674629,2024-02-06 23:04:48
2023-11-01,24531.690422,2024-01-01 23:05:00
2023-11-01,24293.55041,2024-02-01 23:04:55
2023-10-01,22801.775684,2024-01-23 23:06:23
2023-10-01,22837.74903,2023-12-22 02:32:54
2023-10-01,22599.609018,2024-02-01 23:04:55
2023-10-01,20596.537725,2024-02-06 23:04:48
2023-10-01,20675.875891,2024-02-02 23:00:42
2023-09-01,21041.433671,2023-10-27 12:40:43
2023-09-01,19948.84191,2024-02-02 23:00:42
2023-09-01,19752.19394,2024-02-06 23:04:48
2023-08-01,20924.154259,2023-10-27 12:40:43
2023-08-01,20487.784218,2024-02-02 23:00:42
2023-07-01,20753.919923,2024-02-02 23:00:42
2023-07-01,21006.220747,2023-10-27 12:40:43
2023-06-01,20733.876559,2023-10-27 12:40:43
2023-06-01,20635.449743,2024-02-02 23:00:42
2023-05-01,20620.592799,2023-10-27 12:40:43
2023-04-01,21137.95391,2023-10-27 12:40:43
2023-03-01,20741.565021,2023-10-27 12:40:43
2023-02-01,19754.847759,2023-10-27 12:40:43
2023-01-01,19381.699611,2023-10-27 12:40:43
2022-12-01,19696.181754,2023-10-27 12:40:43
2022-11-01,19065.284318,2023-10-27 12:40:43
2022-10-01,19776.212889,2023-10-27 12:40:43
2022-09-01,19933.107778,2023-10-27 12:40:43
2022-08-01,19117.309167,2023-10-27 12:40:43
2022-07-01,18738.554295,2023-10-27 12:40:43
2022-06-01,18476.475864,2023-10-27 12:40:43
2022-05-01,18015.325864,2023-10-27 12:40:43
2022-04-01,17792.00386,2023-10-27 12:40:43
2022-03-01,17968.549181,2023-10-27 12:40:43
2022-02-01,18236.417237,2023-10-27 12:40:43
2022-01-01,18447.747721,2023-10-27 12:40:43
2021-12-01,18052.432245,2023-10-27 12:40:43
2021-11-01,18380.210023,2023-10-27 12:40:43
2021-10-01,17129.248484,2023-10-27 12:40:43
2021-09-01,17568.200818,2023-10-27 12:40:43
2021-08-01,17338.166095,2023-10-27 12:40:43
2021-07-01,17201.575729,2023-10-27 12:40:43
2021-06-01,17121.079063,2023-10-27 12:40:43
2021-05-01,17335.458147,2023-10-27 12:40:43
2021-04-01,17266.435707,2023-10-27 12:40:43
2021-03-01,17003.966246,2023-10-27 12:40:43
2021-02-01,17205.563469,2023-10-27 12:40:43
2021-01-01,17095.423725,2023-10-27 12:40:43
2020-12-01,17280.732058,2023-10-27 12:40:43
2020-11-01,17203.071254,2023-10-27 12:40:43
2020-10-01,17765.250742,2023-10-27 12:40:43
2020-09-01,17494.713461,2023-10-27 12:40:43
2020-08-01,17386.776953,2023-10-27 12:40:43
2020-07-01,17813.47983,2023-10-27 12:40:43
2020-06-01,17957.719538,2023-10-27 12:40:43
2020-05-01,18216.439868,2023-10-27 12:40:43
2020-04-01,18172.966535,2023-10-27 12:40:43
2020-03-01,18557.139466,2023-10-27 12:40:43
2020-02-01,18227.025751,2023-10-27 12:40:43
2020-01-01,18460.235171,2023-10-27 12:40:43
2019-12-01,18370.810171,2023-10-27 12:40:43
2019-11-01,18336.623198,2023-10-27 12:40:43
2019-10-01,18284.166743,2023-10-27 12:40:43
2019-09-01,18188.079024,2023-10-27 12:40:43
2019-08-01,18382.015532,2023-10-27 12:40:43
2019-07-01,18259.467417,2023-10-27 12:40:43
2019-06-01,17882.653862,2023-10-27 12:40:43
2019-05-01,17692.03308,2023-10-27 12:40:43
2019-04-01,18081.377427,2023-10-27 12:40:43
2019-03-01,17830.19808,2023-10-27 12:40:43
2019-02-01,17987.831636,2023-10-27 12:40:43
2019-01-01,17733.936709,2023-10-27 12:40:43
2018-12-01,17752.076364,2023-10-27 12:40:43
2018-11-01,17583.600067,2023-10-27 12:40:43
2018-10-01,17159.447948,2023-10-27 12:40:43
2018-09-01,16742.947948,2023-10-27 12:40:43
2018-08-01,16566.368238,2023-10-27 12:40:43
2018-07-01,16403.901851,2023-10-27 12:40:43
2018-06-01,16841.305698,2023-10-27 12:40:43
2018-05-01,16966.087166,2023-10-27 12:40:43
2018-04-01,16560.76321,2023-10-27 12:40:43
2018-03-01,16757.157818,2023-10-27 12:40:43
2018-02-01,16661.739585,2023-10-27 12:40:43
2018-01-01,16808.768743,2023-10-27 12:40:43
2017-12-01,16741.540823,2023-10-27 12:40:43
2017-11-01,16918.750461,2023-10-27 12:40:43
2017-10-01,17113.576901,2023-10-27 12:40:43
2017-09-01,17466.524014,2023-10-27 12:40:43
2017-08-01,17888.449805,2023-10-27 12:40:43
2017-07-01,17905.505164,2023-10-27 12:40:43
2017-06-01,17486.606197,2023-10-27 12:40:43
2017-05-01,16903.14411,2023-10-27 12:40:43
2017-04-01,17333.603912,2023-10-27 12:40:43
2017-03-01,16481.288221,2023-10-27 12:40:43
2017-02-01,16041.52381,2023-10-27 12:40:43
