date,value,created_at
2024-02-01,112.144516,2024-03-01 23:00:37
2024-02-01,110.993576,2024-03-02 15:08:31
2024-01-01,111.239075,2024-02-02 23:00:37
2024-01-01,145.042186,2024-02-01 23:04:53
2024-01-01,109.024435,2024-02-06 23:04:46
2024-01-01,109.30013,2024-02-07 23:05:28
2023-12-01,138.501905,2024-02-01 23:04:53
2023-12-01,146.265949,2024-01-01 23:04:58
2023-12-01,112.08536,2024-02-02 23:00:37
2023-12-01,141.069929,2024-01-23 23:06:21
2023-12-01,110.443611,2024-02-07 23:05:28
2023-12-01,110.519941,2024-02-06 23:04:46
2023-11-01,143.981948,2024-01-01 23:04:58
2023-11-01,145.122672,2023-12-22 02:32:52
2023-11-01,140.167324,2024-02-01 23:04:53
2023-11-01,117.412849,2024-02-02 23:00:37
2023-11-01,115.332009,2024-02-06 23:04:46
2023-11-01,142.045693,2024-01-23 23:06:21
2023-10-01,134.396692,2024-01-01 23:04:58
2023-10-01,133.826379,2024-01-23 23:06:21
2023-10-01,135.006195,2023-12-22 02:32:52
2023-10-01,132.979018,2024-02-01 23:04:53
2023-10-01,117.408365,2024-02-02 23:00:37
2023-10-01,115.658101,2024-02-06 23:04:46
2023-09-01,125.292827,2023-10-27 12:40:41
2023-09-01,125.560852,2024-02-01 23:04:53
2023-09-01,125.740991,2023-12-22 02:32:52
2023-09-01,118.807639,2024-02-06 23:04:46
2023-09-01,119.887631,2024-02-02 23:00:37
2023-08-01,119.152695,2024-02-01 23:04:53
2023-08-01,116.774648,2024-02-06 23:04:46
2023-08-01,117.290069,2024-02-02 23:00:37
2023-08-01,118.88467,2023-10-27 12:40:41
2023-08-01,119.332833,2023-12-22 02:32:52
2023-07-01,118.943061,2023-12-22 02:32:52
2023-07-01,118.494898,2023-10-27 12:40:41
2023-07-01,117.080436,2024-02-02 23:00:37
2023-07-01,116.565014,2024-02-06 23:04:46
2023-06-01,121.110179,2023-12-22 02:32:52
2023-06-01,119.876954,2024-02-06 23:04:46
2023-06-01,120.989396,2023-10-27 12:40:41
2023-06-01,120.392376,2024-02-02 23:00:37
2023-05-01,121.893619,2023-10-27 12:40:41
2023-05-01,122.014401,2023-12-22 02:32:52
2023-05-01,122.106682,2024-02-02 23:00:37
2023-04-01,121.962358,2023-10-27 12:40:41
2023-03-01,120.703841,2023-10-27 12:40:41
