date,value,created_at
2024-02-01,90.229554,2024-03-01 23:00:37
2024-02-01,89.751251,2024-03-02 15:08:30
2024-01-01,89.196086,2024-02-02 23:00:37
2024-01-01,88.212744,2024-02-07 23:05:28
2024-01-01,88.169325,2024-02-06 23:04:46
2024-01-01,103.157822,2024-02-01 23:04:53
2023-12-01,103.732497,2024-01-01 23:04:58
2023-12-01,100.36913,2024-02-01 23:04:53
2023-12-01,101.680124,2024-01-23 23:06:21
2023-12-01,89.403613,2024-02-02 23:00:37
2023-12-01,88.512079,2024-02-07 23:05:28
2023-12-01,88.601515,2024-02-06 23:04:46
2023-11-01,101.499156,2024-01-23 23:06:21
2023-11-01,100.188162,2024-02-01 23:04:53
2023-11-01,89.592251,2024-02-06 23:04:46
2023-11-01,90.488358,2024-02-02 23:00:37
2023-11-01,102.115305,2024-01-01 23:04:58
2023-11-01,102.88712,2023-12-22 02:32:52
2023-10-01,98.488824,2024-01-01 23:04:58
2023-10-01,91.00021,2024-02-02 23:00:37
2023-10-01,98.755918,2023-12-22 02:32:52
2023-10-01,90.234477,2024-02-06 23:04:46
2023-10-01,98.125164,2024-01-23 23:06:21
2023-10-01,97.756537,2024-02-01 23:04:53
2023-09-01,94.302591,2023-10-27 12:40:41
2023-09-01,94.391252,2024-01-23 23:06:21
2023-09-01,94.407326,2023-12-22 02:32:52
2023-09-01,91.93807,2024-02-02 23:00:37
2023-09-01,91.614468,2024-02-06 23:04:46
2023-08-01,91.691601,2023-12-22 02:32:52
2023-08-01,90.961858,2024-02-02 23:00:37
2023-08-01,90.779282,2024-02-06 23:04:46
2023-08-01,91.586866,2023-10-27 12:40:41
2023-08-01,91.675527,2024-01-23 23:06:21
2023-07-01,92.012769,2023-10-27 12:40:41
2023-07-01,92.10143,2024-01-23 23:06:21
2023-07-01,92.117503,2023-12-22 02:32:52
2023-07-01,91.293752,2024-02-06 23:04:46
2023-07-01,91.387761,2024-02-02 23:00:37
2023-06-01,92.470117,2023-12-22 02:32:52
2023-06-01,92.418243,2023-10-27 12:40:41
2023-06-01,91.925452,2024-02-06 23:04:46
2023-06-01,92.019461,2024-02-02 23:00:37
2023-05-01,93.342037,2024-02-02 23:00:37
2023-05-01,93.371024,2023-10-27 12:40:41
2023-05-01,93.422898,2023-12-22 02:32:52
2023-04-01,92.260969,2023-10-27 12:40:41
2023-03-01,91.181823,2023-10-27 12:40:41
2023-02-01,91.887599,2023-10-27 12:40:41
2023-01-01,91.437557,2023-12-22 02:32:52
2023-01-01,91.589337,2023-10-27 12:40:41
2023-01-01,91.406961,2024-01-23 23:06:21
2022-12-01,90.189038,2023-10-27 12:40:41
2022-12-01,90.006661,2024-01-23 23:06:21
2022-12-01,90.037257,2023-12-22 02:32:52
2022-11-01,87.206594,2023-10-27 12:40:41
2022-11-01,87.024217,2024-01-23 23:06:21
2022-11-01,87.054813,2023-12-22 02:32:52
2022-10-01,86.586019,2024-01-23 23:06:21
2022-10-01,86.799824,2023-10-27 12:40:41
2022-10-01,86.616615,2023-12-22 02:32:52
