date,value,created_at
2024-02-01,31.063333,2024-03-01 23:00:38
2024-01-01,32.666667,2024-02-07 23:05:29
2024-01-01,32.906667,2024-02-06 23:04:47
2024-01-01,50.333333,2024-02-01 23:04:53
2024-01-01,34.24,2024-02-02 23:00:38
2023-12-01,48.91,2024-01-01 23:04:58
2023-12-01,48.666667,2024-01-23 23:06:21
2023-12-01,33.573333,2024-02-02 23:00:38
2023-12-01,32.24,2024-02-06 23:04:47
2023-12-01,32.0,2024-02-07 23:05:29
2023-11-01,32.666667,2024-02-02 23:00:38
2023-11-01,31.333333,2024-02-06 23:04:47
2023-11-01,51.666667,2023-12-22 02:32:53
2023-10-01,30.0,2024-02-02 23:00:38
2023-10-01,43.333333,2023-12-22 02:32:53
2023-09-01,36.666667,2023-10-27 12:40:42
2023-09-01,30.0,2024-02-02 23:00:38
2023-08-01,33.333333,2024-02-02 23:00:38
2023-08-01,35.0,2023-10-27 12:40:42
2023-07-01,35.0,2024-02-02 23:00:38
2023-07-01,36.666667,2023-12-22 02:32:53
2023-07-01,36.833333,2023-10-27 12:40:42
2023-06-01,38.333333,2023-10-27 12:40:42
2023-06-01,38.166667,2023-12-22 02:32:53
2023-05-01,31.5,2023-12-22 02:32:53
2023-05-01,31.666667,2023-10-27 12:40:42
2023-04-01,29.166667,2023-10-27 12:40:42
2023-03-01,24.333333,2023-10-27 12:40:42
2023-02-01,29.333333,2023-10-27 12:40:42
2023-01-01,30.833333,2023-10-27 12:40:42
2022-12-01,31.666667,2023-10-27 12:40:42
2022-11-01,33.833333,2023-10-27 12:40:42
2022-10-01,33.0,2023-10-27 12:40:42
2022-09-01,34.666667,2023-10-27 12:40:42
2022-08-01,30.833333,2023-10-27 12:40:42
2022-07-01,32.5,2023-10-27 12:40:42
2022-06-01,32.5,2023-10-27 12:40:42
2022-05-01,31.75,2023-10-27 12:40:42
2022-04-01,33.083333,2023-10-27 12:40:42
2022-03-01,31.833333,2023-10-27 12:40:42
2022-02-01,32.583333,2023-10-27 12:40:42
2022-01-01,36.25,2023-10-27 12:40:42
2021-12-01,37.833333,2023-10-27 12:40:42
2021-11-01,37.833333,2023-10-27 12:40:42
2021-10-01,30.333333,2023-10-27 12:40:42
2021-09-01,29.166667,2023-10-27 12:40:42
2021-08-01,29.166667,2023-10-27 12:40:42
2021-07-01,28.333333,2023-10-27 12:40:42
2021-06-01,28.333333,2023-10-27 12:40:42
2021-05-01,28.333333,2023-10-27 12:40:42
2021-04-01,28.333333,2023-10-27 12:40:42
2021-03-01,28.166667,2023-10-27 12:40:42
2021-02-01,26.5,2023-10-27 12:40:42
2021-01-01,28.666667,2023-10-27 12:40:42
2020-12-01,26.166667,2023-10-27 12:40:42
2020-11-01,30.5,2023-10-27 12:40:42
2020-10-01,30.0,2023-10-27 12:40:42
2020-09-01,32.666667,2023-10-27 12:40:42
2020-08-01,31.0,2023-10-27 12:40:42
2020-07-01,29.333333,2023-10-27 12:40:42
2020-06-01,29.333333,2023-10-27 12:40:42
2020-05-01,28.063333,2023-10-27 12:40:42
2020-04-01,29.73,2023-10-27 12:40:42
2020-03-01,29.73,2023-10-27 12:40:42
2020-02-01,28.166667,2023-10-27 12:40:42
2020-01-01,29.833333,2023-10-27 12:40:42
2019-12-01,30.733333,2023-10-27 12:40:42
2019-11-01,33.366667,2023-10-27 12:40:42
2019-10-01,31.7,2023-10-27 12:40:42
2019-09-01,30.8,2023-10-27 12:40:42
2019-08-01,30.0,2023-10-27 12:40:42
2019-07-01,30.0,2023-10-27 12:40:42
2019-06-01,29.73,2023-10-27 12:40:42
2019-05-01,28.23,2023-10-27 12:40:42
2019-04-01,28.23,2023-10-27 12:40:42
2019-03-01,28.5,2023-10-27 12:40:42
2019-02-01,29.166667,2023-10-27 12:40:42
2019-01-01,29.166667,2023-10-27 12:40:42
2018-12-01,30.166667,2023-10-27 12:40:42
2018-11-01,31.0,2023-10-27 12:40:42
2018-10-01,30.833333,2023-10-27 12:40:42
2018-09-01,29.348333,2023-10-27 12:40:42
2018-08-01,29.348333,2023-10-27 12:40:42
2018-07-01,28.915,2023-10-27 12:40:42
2018-06-01,27.898333,2023-10-27 12:40:42
2018-05-01,27.898333,2023-10-27 12:40:42
2018-04-01,28.498333,2023-10-27 12:40:42
2018-03-01,30.0,2023-10-27 12:40:42
2018-02-01,30.0,2023-10-27 12:40:42
2018-01-01,28.666667,2023-10-27 12:40:42
2017-12-01,28.531667,2023-10-27 12:40:42
2017-11-01,28.531667,2023-10-27 12:40:42
2017-10-01,29.865,2023-10-27 12:40:42
2017-09-01,29.666667,2023-10-27 12:40:42
2017-08-01,28.666667,2023-10-27 12:40:42
2017-07-01,27.166667,2023-10-27 12:40:42
2017-06-01,27.365,2023-10-27 12:40:42
2017-05-01,28.365,2023-10-27 12:40:42
2017-04-01,28.198333,2023-10-27 12:40:42
2017-03-01,26.666667,2023-10-27 12:40:42
