date,value,created_at
2024-02-01,26449.405568,2024-03-01 23:00:40
2024-01-01,28693.755556,2024-02-01 23:04:55
2024-01-01,27354.689444,2024-02-07 23:05:30
2024-01-01,27454.26656,2024-02-06 23:04:48
2024-01-01,27540.005401,2024-02-02 23:00:40
2023-12-01,29464.6,2024-01-23 23:06:23
2023-12-01,29515.755556,2024-01-01 23:05:00
2023-12-01,29482.377778,2024-02-01 23:04:55
2023-12-01,27935.067901,2024-02-02 23:00:40
2023-12-01,27849.32906,2024-02-06 23:04:48
2023-12-01,27770.064444,2024-02-07 23:05:30
2023-11-01,28860.121368,2024-01-01 23:05:00
2023-11-01,28808.965812,2024-01-23 23:06:23
2023-11-01,29286.597756,2023-12-22 02:32:54
2023-11-01,28826.74359,2024-02-01 23:04:55
2023-11-01,27552.354701,2024-02-02 23:00:40
2023-10-01,27663.973655,2024-02-01 23:04:55
2023-10-01,27748.934766,2023-12-22 02:32:54
2023-10-01,27646.195877,2024-01-23 23:06:23
2023-10-01,26936.5181,2024-02-02 23:00:40
2023-10-01,27697.351433,2024-01-01 23:05:00
2023-09-01,26730.263877,2023-12-22 02:32:54
2023-09-01,26737.69764,2024-02-02 23:00:40
2023-09-01,26760.944121,2023-10-27 12:40:43
2023-08-01,26437.772642,2023-10-27 12:40:43
2023-08-01,26407.092399,2023-12-22 02:32:54
2023-08-01,26414.526161,2024-02-02 23:00:40
2023-07-01,26424.387333,2023-12-22 02:32:54
2023-07-01,26431.821096,2024-02-02 23:00:40
2023-07-01,26455.067577,2023-10-27 12:40:43
2023-06-01,26026.577453,2023-10-27 12:40:43
2023-05-01,26422.521616,2023-10-27 12:40:43
2023-04-01,26191.938839,2023-10-27 12:40:43
2023-03-01,26584.131146,2023-10-27 12:40:43
2023-03-01,26595.862941,2023-12-22 02:32:54
2023-02-01,26745.59972,2023-10-27 12:40:43
2023-02-01,26757.331515,2023-12-22 02:32:54
2023-01-01,26581.87972,2023-10-27 12:40:43
2023-01-01,26665.947413,2023-12-22 02:32:54
2022-12-01,26154.418182,2023-10-27 12:40:43
2022-12-01,26226.754079,2023-12-22 02:32:54
2022-11-01,25632.233516,2023-12-22 02:32:54
2022-11-01,25559.897619,2023-10-27 12:40:43
2022-10-01,26114.784799,2023-12-22 02:32:54
2022-10-01,26082.309524,2023-10-27 12:40:43
2022-09-01,26093.059308,2023-12-22 02:32:54
2022-09-01,26060.584034,2023-10-27 12:40:43
2022-08-01,26086.21407,2023-12-22 02:32:54
2022-08-01,26053.738796,2023-10-27 12:40:43
2022-07-01,25535.041773,2023-10-27 12:40:43
2022-06-01,25438.322818,2023-10-27 12:40:43
2022-05-01,24850.445706,2023-10-27 12:40:43
2022-04-01,24291.019713,2023-10-27 12:40:43
2022-03-01,24169.543523,2023-10-27 12:40:43
2022-02-01,24648.937951,2023-10-27 12:40:43
2022-01-01,24655.865154,2023-10-27 12:40:43
2021-12-01,24585.344612,2023-10-27 12:40:43
2021-11-01,24161.162272,2023-10-27 12:40:43
2021-10-01,24080.548958,2023-10-27 12:40:43
2021-09-01,23928.187104,2023-10-27 12:40:43
2021-08-01,23895.430997,2023-10-27 12:40:43
2021-07-01,23721.132442,2023-10-27 12:40:43
2021-06-01,23312.637023,2023-10-27 12:40:43
2021-05-01,23120.312122,2023-10-27 12:40:43
2021-04-01,22935.884751,2023-10-27 12:40:43
2021-03-01,22469.034141,2023-10-27 12:40:43
2021-03-01,22441.253903,2023-12-22 02:32:54
2021-02-01,22137.339048,2023-12-22 02:32:54
2021-02-01,22165.119286,2023-10-27 12:40:43
2021-01-01,21736.131055,2023-10-27 12:40:43
2021-01-01,21708.350817,2023-12-22 02:32:54
2020-12-01,21819.509845,2023-12-22 02:32:54
2020-12-01,21792.464325,2023-10-27 12:40:43
2020-11-01,21993.59545,2023-10-27 12:40:43
2020-11-01,22020.640969,2023-12-22 02:32:54
2020-10-01,22275.890455,2023-10-27 12:40:43
2020-10-01,22302.935975,2023-12-22 02:32:54
2020-09-01,22194.760689,2023-10-27 12:40:43
2020-08-01,22364.882356,2023-10-27 12:40:43
2020-07-01,22596.068943,2023-10-27 12:40:43
2020-06-01,22795.370735,2023-10-27 12:40:43
2020-05-01,22599.555616,2023-10-27 12:40:43
2020-04-01,22060.341514,2023-10-27 12:40:43
2020-03-01,21668.252346,2023-10-27 12:40:43
2020-03-01,21677.115359,2023-12-22 02:32:54
2020-02-01,21246.062457,2023-12-22 02:32:54
2020-02-01,21237.199444,2023-10-27 12:40:43
2020-01-01,21337.060182,2023-12-22 02:32:54
2020-01-01,21328.197169,2023-10-27 12:40:43
2019-12-01,21511.04592,2023-10-27 12:40:43
2019-11-01,21693.190551,2023-10-27 12:40:43
2019-10-01,21552.57198,2023-10-27 12:40:43
2019-09-01,21428.172472,2023-10-27 12:40:43
2019-08-01,21424.244089,2023-10-27 12:40:43
2019-07-01,21473.647285,2023-10-27 12:40:43
2019-06-01,21299.340065,2023-10-27 12:40:43
2019-05-01,21291.199689,2023-10-27 12:40:43
2019-04-01,21355.16869,2023-10-27 12:40:43
2019-03-01,21381.370711,2023-10-27 12:40:43
2019-02-01,20914.191074,2023-10-27 12:40:43
2019-01-01,20755.168905,2023-10-27 12:40:43
2018-12-01,20756.594026,2023-10-27 12:40:43
2018-11-01,21059.279742,2023-10-27 12:40:43
2018-10-01,20941.911115,2023-10-27 12:40:43
2018-09-01,20934.381055,2023-10-27 12:40:43
2018-08-01,20752.490027,2023-10-27 12:40:43
2018-07-01,20743.850326,2023-10-27 12:40:43
2018-06-01,20609.822786,2023-10-27 12:40:43
2018-05-01,20771.707582,2023-10-27 12:40:43
2018-04-01,20690.917753,2023-10-27 12:40:43
2018-03-01,20911.191284,2023-10-27 12:40:43
2018-02-01,20613.650838,2023-10-27 12:40:43
2018-01-01,20556.012482,2023-10-27 12:40:43
2017-12-01,20275.248124,2023-10-27 12:40:43
2017-11-01,20611.700127,2023-10-27 12:40:43
2017-10-01,20636.123448,2023-10-27 12:40:43
2017-09-01,20800.770395,2023-10-27 12:40:43
2017-08-01,20612.373977,2023-10-27 12:40:43
2017-07-01,20756.794957,2023-10-27 12:40:43
2017-06-01,20787.131903,2023-10-27 12:40:43
2017-05-01,20912.00442,2023-10-27 12:40:43
2017-04-01,20723.783957,2023-10-27 12:40:43
2017-03-01,20537.009627,2023-10-27 12:40:43
2017-02-01,20083.734767,2023-10-27 12:40:43
2017-01-01,20345.980516,2023-10-27 12:40:43
2016-12-01,20412.895169,2023-10-27 12:40:43
2016-11-01,20861.692154,2023-10-27 12:40:43
2016-10-01,20771.436435,2023-10-27 12:40:43
2016-09-01,20679.368858,2023-10-27 12:40:43
2016-08-01,20369.287093,2023-10-27 12:40:43
2016-07-01,20132.910159,2023-10-27 12:40:43
2016-06-01,20222.046874,2023-10-27 12:40:43
2016-05-01,20446.27354,2023-10-27 12:40:43
2016-04-01,20624.481739,2023-10-27 12:40:43
2016-03-01,20722.92,2023-10-27 12:40:43
