date,value,created_at
2024-02-01,3.883755,2024-03-02 15:08:25
2024-02-01,3.859556,2024-03-01 23:00:28
2024-01-01,3.732176,2024-02-01 23:04:49
2024-01-01,3.567616,2024-02-02 23:00:31
2024-01-01,3.549853,2024-02-06 23:04:42
2024-01-01,3.565132,2024-02-07 23:05:24
2023-12-01,3.759405,2024-01-01 23:04:53
2023-12-01,3.706511,2024-01-23 23:06:17
2023-12-01,3.684665,2024-02-01 23:04:49
2023-12-01,3.423254,2024-02-02 23:00:31
2023-12-01,3.333153,2024-02-06 23:04:42
2023-12-01,3.349819,2024-02-07 23:05:24
2023-11-01,3.739905,2024-01-23 23:06:17
2023-11-01,3.718059,2024-02-01 23:04:49
2023-11-01,3.300503,2024-02-06 23:04:42
2023-11-01,3.75873,2023-12-22 02:32:49
2023-11-01,3.387173,2024-02-02 23:00:31
2023-10-01,3.689738,2024-02-02 23:00:31
2023-10-01,3.881086,2024-01-23 23:06:17
2023-10-01,3.620832,2024-02-06 23:04:42
2023-10-01,3.895552,2023-12-22 02:32:49
2023-10-01,3.89986,2024-02-01 23:04:49
2023-09-01,3.937938,2023-12-22 02:32:49
2023-09-01,3.942127,2023-10-27 12:40:37
2023-09-01,3.86053,2024-02-02 23:00:31
2023-09-01,3.855404,2024-02-06 23:04:42
2023-09-01,3.957318,2024-02-01 23:04:49
2023-08-01,4.074138,2023-10-27 12:40:37
2023-08-01,4.05572,2023-12-22 02:32:49
2023-08-01,4.065439,2024-02-06 23:04:42
2023-08-01,4.0751,2024-02-01 23:04:49
2023-08-01,4.073998,2024-02-02 23:00:31
2023-07-01,3.826393,2024-02-02 23:00:31
2023-07-01,3.827495,2023-12-22 02:32:49
2023-07-01,3.845913,2023-10-27 12:40:37
2023-07-01,3.817834,2024-02-06 23:04:42
2023-06-01,3.673455,2023-10-27 12:40:37
2023-05-01,3.530026,2023-10-27 12:40:37
2023-04-01,3.601588,2023-10-27 12:40:37
2023-04-01,3.576429,2024-01-23 23:06:17
2023-03-01,3.556028,2023-10-27 12:40:37
2023-03-01,3.530869,2024-01-23 23:06:17
2023-02-01,3.481089,2023-10-27 12:40:37
2023-02-01,3.45593,2024-01-23 23:06:17
2023-01-01,3.350203,2023-10-27 12:40:37
2022-12-01,3.354799,2023-10-27 12:40:37
2022-11-01,3.433387,2023-10-27 12:40:37
2022-11-01,3.444172,2023-12-22 02:32:49
2022-10-01,3.527576,2023-10-27 12:40:37
2022-10-01,3.525988,2023-12-22 02:32:49
2022-09-01,3.477215,2023-12-22 02:32:49
2022-09-01,3.478803,2023-10-27 12:40:37
2022-08-01,3.394079,2023-10-27 12:40:37
