date,value,created_at
2024-02-28,300.28,2024-02-29 23:01:58
2024-02-27,300.193,2024-02-28 23:01:55
2024-02-26,300.21,2024-02-27 23:01:58
2024-02-25,300.132,2024-02-26 23:01:52
2024-02-24,300.714,2024-02-25 23:01:52
2024-02-23,301.183,2024-02-24 23:01:57
2024-02-22,301.576,2024-02-23 23:01:54
2024-02-21,301.956,2024-02-22 23:01:55
2024-02-20,302.121,2024-02-21 23:02:03
2024-02-19,301.945,2024-02-20 23:01:44
2024-02-18,302.28,2024-02-19 23:01:52
2024-02-17,302.773,2024-02-18 23:01:44
2024-02-16,302.899,2024-02-17 23:01:47
2024-02-15,302.753,2024-02-16 23:01:45
2024-02-14,302.195,2024-02-15 23:01:43
2024-02-13,300.725,2024-02-14 23:01:50
2024-02-12,298.303,2024-02-13 23:01:46
2024-02-11,295.176,2024-02-12 23:01:50
2024-02-10,294.922,2024-02-11 23:01:58
2024-02-09,294.018,2024-02-10 23:01:59
2024-02-08,292.137,2024-02-09 23:02:06
2024-02-07,290.867,2024-02-08 23:01:55
2024-02-06,290.315,2024-02-07 23:01:54
2024-02-05,289.822,2024-02-06 23:01:56
2024-02-04,289.696,2024-02-05 23:02:03
2024-02-03,290.037,2024-02-04 23:01:57
2024-02-02,290.05,2024-02-03 23:01:54
2024-02-01,290.093,2024-02-02 23:02:04
2024-01-31,289.985,2024-02-01 23:02:01
2024-01-30,289.794,2024-01-31 23:02:01
2024-01-29,288.601,2024-01-30 23:01:49
2024-01-28,287.491,2024-01-29 23:01:48
2024-01-27,288.175,2024-01-28 23:01:55
2024-01-26,288.404,2024-01-27 23:01:44
2024-01-25,288.215,2024-01-26 23:01:47
2024-01-24,288.36,2024-01-25 23:01:46
2024-01-23,288.536,2024-01-24 23:01:43
2024-01-22,288.091,2024-01-24 23:01:43
2024-01-21,287.389,2024-01-22 23:01:45
2024-01-20,288.401,2024-01-21 23:01:45
2024-01-19,288.781,2024-01-20 23:01:38
2024-01-18,289.046,2024-01-19 23:01:49
2024-01-17,289.557,2024-01-18 23:01:48
2024-01-16,289.617,2024-01-17 23:01:49
2024-01-15,288.768,2024-01-16 23:01:35
2024-01-14,288.047,2024-01-15 23:01:38
2024-01-13,288.792,2024-01-14 23:01:45
2024-01-12,289.272,2024-01-13 23:01:42
2024-01-11,289.391,2024-01-13 23:01:42
2024-01-10,289.756,2024-01-11 23:01:52
2024-01-09,289.975,2024-01-10 23:01:48
2024-01-08,289.962,2024-01-09 23:01:51
2024-01-07,289.88,2024-01-08 23:01:43
2024-01-06,290.829,2024-01-07 23:01:42
2024-01-05,291.417,2024-01-06 14:51:20
2024-01-04,291.739,2024-01-05 23:01:46
2024-01-03,292.245,2024-01-04 23:01:53
2024-01-02,292.466,2024-01-03 23:01:48
2024-01-01,292.23,2024-01-02 23:01:47
2023-12-31,292.705,2024-01-01 23:01:45
2023-12-30,293.926,2023-12-31 23:01:49
2023-12-29,294.534,2023-12-30 23:01:44
2023-12-28,294.921,2023-12-29 23:01:40
2023-12-27,295.179,2023-12-28 23:01:41
2023-12-26,295.136,2023-12-27 23:01:47
2023-12-25,294.953,2023-12-26 23:01:43
2023-12-24,295.188,2023-12-25 23:01:46
2023-12-23,295.75,2023-12-24 23:01:43
2023-12-22,296.091,2023-12-23 23:01:39
2023-12-21,296.276,2023-12-22 23:01:37
2023-12-20,295.902,2023-12-21 23:01:33
2023-12-19,295.787,2023-12-20 23:01:34
2023-12-18,295.086,2023-12-19 23:01:36
2023-12-17,294.501,2023-12-19 23:01:36
2023-12-16,295.457,2023-12-17 23:01:34
2023-12-15,296.313,2023-12-16 23:01:37
2023-12-14,297.364,2023-12-15 23:01:41
2023-12-13,298.637,2023-12-14 23:01:33
2023-12-12,299.833,2023-12-13 23:01:35
2023-12-11,300.689,2023-12-12 23:01:51
2023-12-10,301.597,2023-12-11 23:01:44
2023-12-09,302.767,2023-12-10 23:01:36
2023-12-08,303.667,2023-12-09 23:01:37
2023-12-07,304.826,2023-12-08 23:01:38
2023-12-06,306.036,2023-12-07 11:54:59
2023-12-05,307.018,2023-12-06 11:50:24
2023-12-04,307.748,2023-12-05 23:01:21
2023-12-03,308.349,2023-12-04 11:03:07
2023-12-02,309.209,2023-12-04 11:03:07
2023-12-01,309.798,2023-12-02 23:01:37
2023-11-30,310.217,2023-12-01 23:01:31
2023-11-29,310.614,2023-11-30 23:01:50
2023-11-28,311.296,2023-11-29 23:01:42
2023-11-27,311.409,2023-11-28 23:01:38
2023-11-26,311.053,2023-11-27 23:01:33
2023-11-25,311.713,2023-11-26 23:01:36
2023-11-24,312.113,2023-11-25 23:01:42
2023-11-23,313.26,2023-11-24 23:01:37
2023-11-22,313.514,2023-11-23 12:52:09
2023-11-21,314.343,2023-11-22 23:01:31
2023-11-20,314.967,2023-11-21 23:01:32
2023-11-19,315.347,2023-11-20 23:01:44
2023-11-18,316.316,2023-11-19 23:01:33
2023-11-17,317.152,2023-11-18 23:01:26
2023-11-16,317.76,2023-11-17 23:01:35
2023-11-15,318.563,2023-11-16 23:01:37
2023-11-14,319.317,2023-11-15 23:01:38
2023-11-13,319.856,2023-11-14 23:01:51
2023-11-12,320.275,2023-11-13 11:46:31
2023-11-11,321.015,2023-11-12 23:01:46
2023-11-10,321.965,2023-11-12 23:01:46
2023-11-09,322.844082,2023-11-10 23:01:40
2023-11-08,323.413,2023-11-09 23:01:39
2023-11-07,323.519,2023-11-08 23:01:39
2023-11-06,323.582,2023-11-07 23:01:47
2023-11-05,324.039,2023-11-06 23:01:36
2023-11-04,324.753,2023-11-05 23:01:38
2023-11-03,325.127,2023-11-04 23:01:42
2023-11-02,325.976,2023-11-03 23:01:40
2023-11-01,326.899,2023-11-02 23:01:39
2023-10-31,327.824,2023-11-01 23:01:27
2023-10-30,328.578,2023-10-31 23:01:25
2023-10-29,328.971,2023-10-30 23:01:37
2023-10-28,329.711,2023-10-29 23:01:23
2023-10-27,330.415,2023-10-28 23:01:35
2023-10-26,331.334,2023-10-27 23:01:26
2023-10-25,332.137,2023-10-26 23:01:22
2023-10-24,332.7,2023-10-25 23:01:26
2023-10-23,332.504,2023-10-24 23:01:28
2023-10-22,331.766,2023-10-23 23:01:29
2023-10-21,331.64,2023-10-22 23:01:35
2023-10-20,331.249,2023-10-21 23:01:24
2023-10-19,329.948,2023-10-20 23:01:23
2023-10-18,329.101,2023-10-19 23:01:38
2023-10-17,329.184,2023-10-18 23:01:24
2023-10-16,328.85,2023-10-17 23:01:24
2023-10-15,328.758,2023-10-16 23:01:25
2023-10-14,329.228,2023-10-15 23:01:21
2023-10-13,329.849,2023-10-15 23:01:21
2023-10-12,330.648,2023-10-13 23:01:19
2023-10-11,331.232,2023-10-12 23:01:19
2023-10-10,332.01,2023-10-11 23:01:29
2023-10-09,332.703,2023-10-10 23:01:27
2023-10-08,333.363,2023-10-09 23:01:26
2023-10-07,334.004,2023-10-08 23:01:26
2023-10-06,334.823,2023-10-07 23:01:27
2023-10-05,335.893,2023-10-06 23:01:28
2023-10-04,336.528,2023-10-05 23:01:30
2023-10-03,336.699,2023-10-04 23:01:36
2023-10-02,336.758,2023-10-03 23:01:36
2023-10-01,336.893,2023-10-02 23:01:36
2023-09-30,337.173,2023-10-01 23:01:58
2023-09-29,337.446,2023-09-30 23:01:35
2023-09-28,337.512,2023-09-29 23:01:23
2023-09-27,337.848,2023-09-28 23:01:20
2023-09-26,338.046,2023-09-27 23:01:31
2023-09-25,338.25,2023-09-26 23:01:26
2023-09-24,338.622,2023-09-25 23:01:27
2023-09-23,339.002,2023-09-24 23:01:29
2023-09-22,339.173,2023-09-23 23:01:37
2023-09-21,339.263,2023-09-22 23:01:37
2023-09-20,339.371,2023-09-21 23:01:25
2023-09-19,339.549,2023-09-20 23:01:37
2023-09-18,339.386,2023-09-19 23:01:29
2023-09-17,338.867,2023-09-18 23:01:32
2023-09-16,338.505,2023-09-17 23:01:25
2023-09-15,338.009,2023-09-16 23:01:27
2023-09-14,336.8,2023-09-15 23:01:39
2023-09-13,335.371,2023-09-14 23:01:39
2023-09-12,334.263,2023-09-13 23:01:23
2023-09-11,332.378,2023-09-12 23:01:26
2023-09-10,331.429,2023-09-11 12:05:43
2023-09-09,331.34,2023-09-10 16:01:44
2023-09-08,331.199,2023-09-10 12:01:50
2023-09-07,330.386,2023-09-08 12:01:56
2023-09-06,330.043,2023-09-07 12:01:43
2023-09-05,329.537,2023-09-06 12:01:39
2023-09-04,329.504,2023-09-05 12:01:40
2023-09-03,329.637,2023-09-04 12:01:46
2023-09-02,329.928,2023-09-03 12:01:41
2023-09-01,330.113,2023-09-02 20:01:38
2023-08-31,329.576,2023-09-01 16:06:36
2023-08-30,329.717,2023-08-31 23:01:08
2023-08-29,328.638,2023-08-30 23:01:29
2023-08-28,326.76,2023-08-29 23:01:26
2023-08-27,324.371,2023-08-28 12:01:16
2023-08-26,323.923,2023-08-27 16:01:32
2023-08-25,323.572,2023-08-26 23:01:18
2023-08-24,323.346,2023-08-25 23:01:17
2023-08-23,323.361,2023-08-24 23:01:27
2023-08-22,323.205,2023-08-24 23:01:27
2023-08-21,322.855,2023-08-22 23:01:07
2023-08-20,322.782,2023-08-22 23:01:07
2023-08-19,322.89,2023-08-20 23:01:16
2023-08-18,322.936,2023-08-19 11:14:04
2023-08-17,322.925,2023-08-18 23:01:06
2023-08-16,322.888,2023-08-18 23:01:06
2023-08-15,322.345,2023-08-16 23:01:13
2023-08-14,321.548,2023-08-16 23:01:13
2023-08-13,320.536,2023-08-16 23:01:13
