date,value,created_at
2024-01-01,1373.0,2024-02-01 23:02:01
2023-12-01,1379.0,2024-01-06 14:51:20
2023-12-01,1378.0,2024-02-01 23:02:01
2023-11-01,1389.0,2024-02-01 23:02:01
2023-11-01,1340.0,2023-12-07 11:54:59
2023-11-01,1390.0,2024-01-06 14:51:20
2023-10-01,1353.0,2023-12-07 11:54:59
2023-10-01,1404.0,2024-01-06 14:51:20
2023-10-01,1403.0,2024-02-01 23:02:01
2023-10-01,1354.0,2023-11-06 23:01:36
2023-09-01,1414.0,2024-01-06 14:51:20
2023-09-01,1364.0,2023-10-06 23:01:28
2023-09-01,1363.0,2023-11-06 23:01:36
2023-08-01,1370.0,2023-11-06 23:01:36
2023-08-01,1371.0,2023-09-07 12:01:43
2023-08-01,1422.0,2024-01-06 14:51:20
2023-07-01,1423.0,2024-02-01 23:02:01
2023-07-01,1424.0,2024-01-06 14:51:20
2023-07-01,1372.0,2023-08-09 23:01:10
2023-06-01,1420.0,2024-01-06 14:51:20
2023-06-01,1369.0,2023-07-13 04:16:16
2023-05-01,1363.0,2023-08-09 23:01:10
2023-05-01,1414.0,2024-01-06 14:51:20
2023-05-01,1364.0,2023-07-13 04:16:16
2023-04-01,1355.0,2023-09-07 12:01:43
2023-04-01,1407.0,2024-01-06 14:51:20
2023-04-01,1356.0,2023-07-13 04:16:16
2023-04-01,1406.0,2024-02-01 23:02:01
2023-03-01,1399.0,2024-01-06 14:51:20
2023-03-01,1349.0,2023-07-13 04:16:16
2023-03-01,1348.0,2023-09-07 12:01:43
2023-02-01,1391.0,2024-01-06 14:51:20
2023-02-01,1340.0,2023-09-07 12:01:43
2023-02-01,1341.0,2023-07-13 04:16:16
2023-01-01,1388.0,2024-01-06 14:51:20
2023-01-01,1337.0,2023-07-13 04:16:16
2023-01-01,1387.0,2024-02-01 23:02:01
2022-12-01,1342.0,2023-07-13 04:16:16
2022-12-01,1392.0,2024-02-01 23:02:01
2022-12-01,1393.0,2024-01-06 14:51:20
2022-11-01,1405.0,2024-02-01 23:02:01
2022-11-01,1354.0,2023-07-13 04:16:16
2022-11-01,1406.0,2024-01-06 14:51:20
2022-10-01,1369.0,2023-07-13 04:16:16
2022-10-01,1422.0,2024-01-06 14:51:20
2022-10-01,1370.0,2023-10-06 23:01:28
2022-09-01,1434.0,2024-01-06 14:51:20
2022-09-01,1382.0,2023-12-07 11:54:59
2022-09-01,1381.0,2023-07-13 04:16:16
2022-08-01,1388.0,2023-11-06 23:01:36
2022-08-01,1387.0,2023-07-13 04:16:16
2022-08-01,1441.0,2024-01-06 14:51:20
2022-07-01,1382.0,2023-08-09 23:01:10
2022-07-01,1383.0,2023-07-13 04:16:16
2022-07-01,1437.0,2024-01-06 14:51:20
2022-07-01,1384.0,2023-12-07 11:54:59
2022-06-01,1371.0,2023-12-07 11:54:59
2022-06-01,1369.0,2023-08-09 23:01:10
2022-06-01,1423.0,2024-01-06 14:51:20
2022-06-01,1370.0,2023-07-13 04:16:16
2022-05-01,1350.0,2023-08-09 23:01:10
2022-05-01,1351.0,2023-07-13 04:16:16
2022-05-01,1403.0,2024-01-06 14:51:20
2022-05-01,1352.0,2023-12-07 11:54:59
2022-04-01,1333.0,2023-11-06 23:01:36
2022-04-01,1332.0,2023-07-13 04:16:16
2022-04-01,1384.0,2024-01-06 14:51:20
2022-04-01,1331.0,2023-08-09 23:01:10
2022-03-01,1316.0,2023-08-09 23:01:10
2022-03-01,1368.0,2024-01-06 14:51:20
2022-03-01,1317.0,2023-07-13 04:16:16
2022-03-01,1318.0,2023-11-06 23:01:36
2022-02-01,1356.0,2024-01-06 14:51:20
2022-02-01,1306.0,2023-11-06 23:01:36
2022-02-01,1305.0,2023-07-13 04:16:16
2022-02-01,1304.0,2023-08-09 23:01:10
2022-01-01,1299.0,2023-12-07 11:54:59
2022-01-01,1297.0,2023-08-09 23:01:10
2022-01-01,1298.0,2023-07-13 04:16:16
2022-01-01,1348.0,2024-01-06 14:51:20
2021-12-01,1346.0,2024-01-06 14:51:20
2021-12-01,1297.0,2023-12-07 11:54:59
2021-12-01,1295.0,2023-07-13 04:16:16
2021-12-01,1296.0,2023-11-06 23:01:36
2021-12-01,1294.0,2023-08-09 23:01:10
2021-11-01,1299.0,2023-08-09 23:01:10
2021-11-01,1351.0,2024-01-06 14:51:20
2021-11-01,1301.0,2023-11-06 23:01:36
2021-11-01,1300.0,2023-07-13 04:16:16
2021-10-01,1302.0,2023-10-06 23:01:28
2021-10-01,1300.0,2023-08-09 23:01:10
2021-10-01,1353.0,2024-02-01 23:02:01
2021-10-01,1301.0,2023-07-13 04:16:16
2021-10-01,1352.0,2024-01-06 14:51:20
2021-10-01,1303.0,2023-12-07 11:54:59
2021-09-01,1292.0,2023-07-13 04:16:16
2021-09-01,1291.0,2023-08-09 23:01:10
2021-09-01,1343.0,2024-02-01 23:02:01
2021-09-01,1342.0,2024-01-06 14:51:20
2021-09-01,1293.0,2023-11-06 23:01:36
2021-08-01,1268.0,2023-07-13 04:16:16
2021-08-01,1317.0,2024-01-06 14:51:20
2021-08-01,1267.0,2023-09-07 12:01:43
2021-08-01,1269.0,2023-12-07 11:54:59
2021-08-01,1266.0,2023-08-09 23:01:10
2021-07-01,1235.0,2023-07-13 04:16:16
2021-07-01,1236.0,2023-12-07 11:54:59
2021-07-01,1282.0,2024-02-01 23:02:01
2021-07-01,1283.0,2024-01-06 14:51:20
2021-07-01,1234.0,2023-08-09 23:01:10
2021-06-01,1202.0,2023-10-06 23:01:28
2021-06-01,1201.0,2023-07-13 04:16:16
2021-06-01,1248.0,2024-01-06 14:51:20
2021-05-01,1170.0,2023-07-13 04:16:16
2021-05-01,1215.0,2024-01-06 14:51:20
2021-05-01,1171.0,2023-10-06 23:01:28
2021-04-01,1143.0,2023-08-09 23:01:10
2021-04-01,1144.0,2023-07-13 04:16:16
2021-04-01,1145.0,2023-12-07 11:54:59
2021-04-01,1188.0,2024-01-06 14:51:20
2021-03-01,1125.0,2023-07-13 04:16:16
2021-03-01,1126.0,2023-11-06 23:01:36
2021-03-01,1168.0,2024-01-06 14:51:20
2021-03-01,1124.0,2023-08-09 23:01:10
2021-03-01,1169.0,2024-02-01 23:02:01
2021-02-01,1110.0,2023-11-06 23:01:36
2021-02-01,1152.0,2024-01-06 14:51:20
2021-02-01,1109.0,2023-07-13 04:16:16
2021-01-01,1102.0,2023-11-06 23:01:36
2021-01-01,1100.0,2023-08-09 23:01:10
2021-01-01,1144.0,2024-01-06 14:51:20
2021-01-01,1101.0,2023-07-13 04:16:16
2020-12-01,1098.0,2023-11-06 23:01:36
2020-12-01,1096.0,2023-08-09 23:01:10
2020-12-01,1097.0,2023-07-13 04:16:16
2020-12-01,1139.0,2024-01-06 14:51:20
2020-11-01,1102.0,2023-12-07 11:54:59
2020-11-01,1143.0,2024-01-06 14:51:20
2020-11-01,1101.0,2023-10-06 23:01:28
2020-11-01,1100.0,2023-07-13 04:16:16
2020-10-01,1148.0,2024-01-06 14:51:20
2020-10-01,1106.0,2023-07-13 04:16:16
2020-10-01,1107.0,2023-11-06 23:01:36
2020-10-01,1149.0,2024-02-01 23:02:01
2020-09-01,1111.0,2023-10-06 23:01:28
2020-09-01,1153.0,2024-01-06 14:51:20
2020-09-01,1110.0,2023-07-13 04:16:16
2020-08-01,1111.0,2023-07-13 04:16:16
2020-08-01,1112.0,2023-10-06 23:01:28
2020-08-01,1154.0,2024-01-06 14:51:20
2020-07-01,1108.0,2023-07-13 04:16:16
2020-07-01,1150.0,2024-01-06 14:51:20
2020-07-01,1109.0,2023-11-06 23:01:36
2020-06-01,1146.0,2024-01-06 14:51:20
2020-06-01,1104.0,2023-07-13 04:16:16
2020-05-01,1109.0,2023-07-13 04:16:16
2020-05-01,1150.0,2024-02-01 23:02:01
2020-05-01,1151.0,2024-01-06 14:51:20
2020-04-01,1116.0,2023-07-13 04:16:16
2020-04-01,1158.0,2024-01-06 14:51:20
2020-04-01,1157.0,2024-02-01 23:02:01
2020-03-01,1163.0,2024-01-06 14:51:20
2020-03-01,1121.0,2023-07-13 04:16:16
2020-02-01,1117.0,2023-07-13 04:16:16
2020-02-01,1158.0,2024-01-06 14:51:20
2020-01-01,1153.0,2024-01-06 14:51:20
2020-01-01,1112.0,2023-07-13 04:16:16
2019-12-01,1152.0,2024-01-06 14:51:20
2019-12-01,1112.0,2023-07-13 04:16:16
2019-12-01,1111.0,2023-08-09 23:01:10
2019-11-01,1114.0,2023-10-06 23:01:28
2019-11-01,1156.0,2024-01-06 14:51:20
2019-11-01,1115.0,2023-07-13 04:16:16
2019-10-01,1163.0,2024-01-06 14:51:20
2019-10-01,1121.0,2023-07-13 04:16:16
2019-10-01,1162.0,2024-02-01 23:02:01
2019-09-01,1127.0,2023-07-13 04:16:16
2019-09-01,1169.0,2024-01-06 14:51:20
2019-08-01,1173.0,2024-01-06 14:51:20
2019-08-01,1131.0,2023-08-09 23:01:10
2019-08-01,1130.0,2023-07-13 04:16:16
2019-07-01,1129.0,2023-07-13 04:16:16
2019-07-01,1172.0,2024-01-06 14:51:20
2019-07-01,1171.0,2024-02-01 23:02:01
2019-06-01,1165.0,2024-01-06 14:51:20
2019-06-01,1123.0,2023-07-13 04:16:16
2019-05-01,1114.0,2023-07-13 04:16:16
