date,value,created_at
2024-01-01,5.69,2024-02-13 23:01:47
2023-07-01,5.58,2023-10-11 23:01:29
2023-01-01,5.36,2023-10-11 23:01:29
2022-07-01,5.15,2023-07-13 04:16:16
2022-01-01,5.81,2023-07-13 04:16:16
2022-01-01,5.04,2024-02-26 23:01:53
2021-07-01,5.65,2023-07-13 04:16:16
2021-07-01,4.93,2024-02-26 23:01:53
2021-01-01,4.89,2024-02-26 23:01:53
2021-01-01,5.66,2023-07-13 04:16:16
2020-07-01,5.71,2023-07-13 04:16:16
2020-07-01,4.82,2024-02-26 23:01:53
2020-01-01,5.67,2023-07-13 04:16:16
2020-01-01,4.82,2024-02-26 23:01:53
2019-07-01,5.74,2023-07-13 04:16:16
2019-07-01,4.71,2024-02-26 23:01:53
2019-01-01,4.71,2024-02-26 23:01:53
2019-01-01,5.58,2023-07-13 04:16:16
2018-07-01,5.51,2023-07-13 04:16:16
2018-07-01,4.62,2024-02-26 23:01:53
2018-01-01,5.28,2023-07-13 04:16:16
2018-01-01,4.61,2024-02-26 23:01:53
2017-07-01,5.3,2023-07-13 04:16:16
2017-07-01,4.5,2024-02-26 23:01:53
2017-01-01,5.06,2023-07-13 04:16:16
2017-01-01,4.5,2024-02-26 23:01:53
2016-07-01,5.04,2023-07-13 04:16:16
2016-07-01,4.5,2024-02-26 23:01:53
2016-01-01,4.29,2024-02-26 23:01:53
2016-01-01,4.93,2023-07-13 04:16:16
2015-07-01,4.79,2023-07-13 04:16:16
2015-07-01,4.29,2024-02-26 23:01:53
2015-01-01,4.79,2023-07-13 04:16:16
2015-01-01,4.29,2024-02-26 23:01:53
2014-07-01,4.795,2023-07-13 04:16:16
2014-07-01,4.29,2024-02-26 23:01:53
2014-01-01,4.24,2024-02-26 23:01:53
2014-01-01,4.624,2023-07-13 04:16:16
2013-07-01,4.557,2023-07-13 04:16:16
2013-07-01,4.18,2024-02-26 23:01:53
2013-01-01,4.367,2023-07-13 04:16:16
2013-01-01,4.03,2024-02-26 23:01:53
2012-07-01,3.96,2024-02-26 23:01:53
2012-07-01,4.328,2023-07-13 04:16:16
2012-01-01,4.197,2023-07-13 04:16:16
2012-01-01,3.81,2024-02-26 23:01:53
2011-07-01,3.64,2024-02-26 23:01:53
2011-07-01,4.065,2023-07-13 04:16:16
2010-07-01,3.733,2023-07-13 04:16:16
2010-07-01,3.53,2024-02-26 23:01:53
2010-01-01,3.58,2023-07-13 04:16:16
2010-01-01,3.43,2024-02-26 23:01:53
