date,value,created_at
2024-01-01,191.6,2024-02-17 23:01:48
2023-12-01,191.8,2024-02-17 23:01:48
2023-12-01,192.1,2024-01-18 04:21:09
2023-11-01,194.087,2023-12-17 23:01:34
2023-11-01,193.0,2024-02-17 23:01:48
2023-11-01,192.9,2024-01-18 04:21:09
2023-10-01,198.5,2023-12-17 23:01:34
2023-10-01,198.6,2024-01-18 04:21:09
2023-10-01,201.8,2023-11-23 17:06:08
2023-10-01,198.7,2024-02-17 23:01:48
2023-09-01,205.9,2024-02-17 23:01:48
2023-09-01,207.3,2023-10-17 23:01:25
2023-09-01,205.8,2023-12-17 23:01:34
2023-09-01,205.7,2023-11-23 17:06:08
2023-08-01,205.6,2024-02-17 23:01:48
2023-08-01,205.5,2023-12-17 23:01:34
2023-08-01,206.0,2023-09-17 23:01:25
2023-08-01,205.3,2023-10-17 23:01:25
2023-08-01,205.4,2023-11-23 17:06:08
2023-07-01,205.0,2023-10-17 23:01:25
2023-07-01,204.9,2023-09-17 23:01:25
2023-07-01,205.1,2023-12-17 23:01:34
2023-07-01,207.4,2023-08-22 23:01:07
2023-07-01,205.2,2024-02-17 23:01:48
2023-06-01,214.5,2024-01-18 04:21:09
2023-06-01,214.3,2023-09-17 23:01:25
2023-06-01,214.2,2023-08-22 23:01:07
2023-06-01,214.4,2023-11-23 17:06:08
2023-06-01,214.1,2023-07-14 23:01:08
2023-05-01,221.0,2023-12-17 23:01:34
2023-05-01,222.0,2023-07-13 04:16:16
2023-05-01,221.1,2024-02-17 23:01:48
2023-05-01,220.9,2023-10-17 23:01:25
2023-05-01,220.8,2023-08-22 23:01:07
2023-05-01,220.7,2023-07-14 23:01:08
2023-04-01,223.5,2023-11-23 17:06:08
2023-04-01,223.3,2023-08-22 23:01:07
2023-04-01,223.2,2023-07-13 04:16:16
2023-04-01,223.6,2024-02-17 23:01:48
2023-04-01,223.4,2023-09-17 23:01:25
2023-03-01,220.0,2024-01-18 04:21:09
2023-03-01,219.8,2023-08-22 23:01:07
2023-03-01,219.9,2023-10-17 23:01:25
2023-03-01,219.7,2023-07-13 04:16:16
2023-02-01,209.2,2023-11-23 17:06:08
2023-02-01,209.0,2023-07-13 04:16:16
2023-02-01,209.1,2023-08-22 23:01:07
2023-01-01,196.1,2023-07-13 04:16:16
2023-01-01,196.3,2024-01-18 04:21:09
2023-01-01,196.2,2023-08-22 23:01:07
2022-12-01,193.5,2023-08-22 23:01:07
2022-12-01,193.4,2023-07-13 04:16:16
2022-12-01,193.6,2024-01-18 04:21:09
2022-11-01,197.1,2023-08-22 23:01:07
2022-11-01,197.0,2023-07-13 04:16:16
2022-11-01,197.2,2023-12-17 23:01:34
2022-10-01,201.9,2023-12-17 23:01:34
2022-10-01,201.8,2023-08-22 23:01:07
2022-10-01,201.7,2023-07-13 04:16:16
2022-09-01,207.9,2023-08-22 23:01:07
2022-09-01,208.0,2024-01-18 04:21:09
2022-09-01,207.8,2023-07-13 04:16:16
2022-08-01,212.8,2023-11-23 17:06:08
2022-08-01,212.7,2023-07-14 23:01:08
2022-08-01,212.6,2023-07-13 04:16:16
2022-07-01,219.5,2023-09-17 23:01:25
2022-07-01,219.4,2023-07-13 04:16:16
2022-06-01,223.7,2024-01-18 04:21:09
2022-06-01,223.5,2023-07-13 04:16:16
2022-06-01,223.6,2023-07-14 23:01:08
2022-05-01,223.2,2023-07-13 04:16:16
2022-05-01,223.3,2024-01-18 04:21:09
2022-04-01,219.9,2023-12-17 23:01:34
2022-04-01,219.8,2023-07-13 04:16:16
2022-03-01,214.8,2023-07-13 04:16:16
2022-03-01,214.9,2023-09-17 23:01:25
2022-02-01,211.1,2023-07-13 04:16:16
2022-01-01,214.5,2023-08-22 23:01:07
2022-01-01,214.6,2023-07-13 04:16:16
2021-12-01,218.7,2023-07-13 04:16:16
2021-12-01,216.2,2024-02-17 23:01:48
2021-11-01,214.2,2023-07-13 04:16:16
2021-11-01,214.0,2024-02-17 23:01:48
2021-10-01,208.4,2023-07-14 23:01:08
2021-10-01,208.2,2024-02-17 23:01:48
2021-10-01,208.5,2023-07-13 04:16:16
2021-09-01,199.0,2024-02-17 23:01:48
2021-09-01,199.3,2023-07-13 04:16:16
2021-09-01,199.2,2023-08-22 23:01:07
2021-08-01,188.3,2023-07-13 04:16:16
2021-08-01,188.2,2023-08-22 23:01:07
2021-08-01,188.0,2024-02-17 23:01:48
2021-07-01,184.6,2023-08-22 23:01:07
2021-07-01,184.7,2023-07-13 04:16:16
2021-07-01,184.5,2024-02-17 23:01:48
2021-06-01,187.6,2023-07-13 04:16:16
2021-06-01,187.3,2024-02-17 23:01:48
2021-06-01,187.5,2023-08-22 23:01:07
2021-05-01,185.5,2023-07-13 04:16:16
2021-05-01,185.4,2023-08-22 23:01:07
2021-05-01,185.2,2024-02-17 23:01:48
2021-04-01,174.4,2023-07-13 04:16:16
2021-04-01,174.1,2024-02-17 23:01:48
2021-04-01,174.3,2023-11-23 17:06:08
2021-03-01,156.3,2023-11-23 17:06:08
2021-03-01,156.1,2024-02-17 23:01:48
2021-03-01,156.4,2023-07-13 04:16:16
2021-02-01,141.3,2023-07-14 23:01:08
2021-02-01,141.2,2023-11-23 17:06:08
2021-02-01,141.4,2023-07-13 04:16:16
2021-02-01,141.0,2024-02-17 23:01:48
2021-01-01,135.2,2023-07-13 04:16:16
2021-01-01,134.9,2024-02-17 23:01:48
2021-01-01,135.1,2023-08-22 23:01:07
2020-12-01,133.4,2023-07-13 04:16:16
2020-11-01,135.5,2023-07-13 04:16:16
2020-10-01,138.9,2023-07-13 04:16:16
2020-09-01,142.1,2023-07-13 04:16:16
2020-08-01,144.6,2023-07-13 04:16:16
2020-07-01,140.7,2023-07-13 04:16:16
2020-06-01,129.5,2023-07-13 04:16:16
2020-05-01,116.9,2023-07-13 04:16:16
2020-04-01,108.0,2023-07-13 04:16:16
2020-03-01,123.8,2023-07-13 04:16:16
2020-02-01,121.5,2023-07-13 04:16:16
2020-01-01,119.6,2023-07-13 04:16:16
2019-12-01,118.7,2023-07-13 04:16:16
2019-11-01,117.8,2023-07-13 04:16:16
2019-10-01,120.0,2023-07-13 04:16:16
2019-09-01,123.9,2023-07-13 04:16:16
2019-08-01,126.1,2023-07-13 04:16:16
2019-07-01,125.3,2023-07-13 04:16:16
2019-06-01,124.9,2023-07-13 04:16:16
2019-05-01,124.7,2023-07-13 04:16:16
2019-04-01,124.2,2023-07-13 04:16:16
2019-03-01,121.5,2023-07-13 04:16:16
2019-02-01,117.1,2023-07-13 04:16:16
2019-01-01,117.3,2023-07-13 04:16:16
2018-12-01,118.6,2023-07-13 04:16:16
2018-11-01,119.5,2023-07-13 04:16:16
2018-10-01,122.2,2023-07-13 04:16:16
2018-09-01,124.7,2023-07-13 04:16:16
2018-08-01,125.0,2023-07-13 04:16:16
2018-07-01,122.5,2023-07-13 04:16:16
2018-06-01,121.7,2023-07-13 04:16:16
