date,value,created_at
2024-01-01,47401,2024-02-15 23:01:44
2023-12-01,48652,2024-02-15 23:01:44
2023-12-01,48759,2024-01-25 23:01:48
2023-11-01,48130,2024-01-25 23:01:48
2023-11-01,48247,2023-12-21 23:01:34
2023-10-01,47936,2023-11-23 17:06:09
2023-10-01,47944,2023-12-21 23:01:34
2023-09-01,47899,2023-10-11 23:01:30
2023-09-01,47797,2023-11-23 17:06:09
2023-08-01,48451,2023-09-13 23:01:24
2023-08-01,48126,2023-10-11 23:01:30
2023-07-01,48165,2023-09-13 23:01:24
2023-07-01,48334,2023-08-09 23:01:12
2023-06-01,48808,2023-07-13 04:16:17
2023-06-01,48671,2023-08-09 23:01:12
2023-05-01,48658,2023-07-13 04:16:17
2023-04-01,48277,2023-07-13 04:16:17
2023-03-01,48289,2023-07-13 04:16:17
2023-02-01,48558,2023-07-13 04:16:17
2023-01-01,49663,2023-09-13 23:01:24
2023-01-01,49669,2023-08-09 23:01:12
2023-01-01,49673,2023-07-13 04:16:17
2023-01-01,49125,2024-02-15 23:01:44
2022-12-01,49698,2023-07-13 04:16:17
2022-12-01,49939,2024-01-25 23:01:48
2022-11-01,48969,2023-12-21 23:01:34
2022-11-01,48580,2023-07-13 04:16:17
2022-10-01,48259,2023-07-13 04:16:17
2022-10-01,48606,2023-11-23 17:06:09
2022-09-01,48259,2023-10-11 23:01:30
2022-09-01,48094,2023-07-13 04:16:17
2022-08-01,48240,2023-07-13 04:16:17
2022-08-01,48409,2023-09-13 23:01:24
2022-07-01,48135,2023-08-09 23:01:12
2022-07-01,48080,2023-07-13 04:16:17
2022-06-01,48035,2023-07-13 04:16:17
2022-05-01,47135,2023-07-13 04:16:17
2022-04-01,46531,2023-07-13 04:16:17
2022-03-01,46224,2023-07-13 04:16:17
2022-02-01,46297,2023-07-13 04:16:17
2022-01-01,46620,2023-07-13 04:16:17
2021-12-01,47210,2023-07-13 04:16:17
2021-11-01,46431,2023-07-13 04:16:17
2021-10-01,46026,2023-07-13 04:16:17
2021-09-01,45319,2023-07-13 04:16:17
2021-08-01,43589,2023-07-13 04:16:17
2021-07-01,43056,2023-07-13 04:16:17
2021-06-01,42633,2023-07-13 04:16:17
2021-05-01,41534,2023-07-13 04:16:17
2021-04-01,41172,2023-07-13 04:16:17
2021-03-01,40680,2023-07-13 04:16:17
2021-02-01,41366,2023-07-13 04:16:17
2021-01-01,41248,2023-07-13 04:16:17
2020-12-01,41335,2023-07-13 04:16:17
2020-11-01,40937,2023-07-13 04:16:17
2020-10-01,40770,2023-07-13 04:16:17
2020-09-01,40159,2023-07-13 04:16:17
2020-08-01,39571,2023-07-13 04:16:17
2020-07-01,39512,2023-07-13 04:16:17
2020-06-01,39731,2023-07-13 04:16:17
2020-05-01,39138,2023-07-13 04:16:17
2020-04-01,39904,2023-07-13 04:16:17
2020-03-01,38812,2023-07-13 04:16:17
2020-02-01,38550,2023-07-13 04:16:17
2020-01-01,38747,2023-07-13 04:16:17
2019-12-01,38475,2023-07-13 04:16:17
2019-11-01,38346,2023-07-13 04:16:17
2019-10-01,38345,2023-07-13 04:16:17
2019-09-01,38379,2023-07-13 04:16:17
2019-08-01,38537,2023-07-13 04:16:17
2019-07-01,38690,2023-07-13 04:16:17
2019-06-01,38790,2023-07-13 04:16:17
2019-05-01,38854,2023-07-13 04:16:17
2019-04-01,38901,2023-07-13 04:16:17
