date,value,created_at
2024-02-17,368.457,2024-02-27 23:02:01
2024-02-10,366.254,2024-02-20 23:01:45
2024-02-03,366.497,2024-02-13 23:01:48
2024-01-27,366.868,2024-02-06 23:01:58
2024-01-20,368.574,2024-02-01 23:02:04
2024-01-13,363.889,2024-01-24 23:01:45
2024-01-06,363.84,2024-01-18 04:21:11
2023-12-30,372.378,2024-01-18 04:21:11
2023-12-23,379.229,2024-01-02 23:01:49
2023-12-16,378.718,2023-12-28 23:01:43
2023-12-09,379.839,2023-12-20 23:01:36
2023-12-02,378.175,2023-12-12 23:01:53
2023-11-25,372.496,2023-12-05 23:01:23
2023-11-18,368.503,2023-12-05 23:01:23
2023-11-11,365.514,2023-11-22 23:01:34
2023-11-04,363.14,2023-11-14 23:01:54
2023-10-28,365.629,2023-11-07 23:01:49
2023-10-21,365.985,2023-11-02 23:01:41
2023-10-14,366.66,2023-10-25 23:01:28
2023-10-07,365.073,2023-10-18 23:01:26
2023-09-30,367.946,2023-10-10 23:01:30
2023-09-23,366.432,2023-10-03 23:01:38
2023-09-16,365.949,2023-09-28 23:01:21
2023-09-09,364.491,2023-09-19 23:01:31
2023-09-02,363.541,2023-09-13 23:01:25
2023-08-26,362.866,2023-09-06 16:01:48
2023-08-19,361.555,2023-09-04 12:01:48
2023-08-12,365.967,2023-08-24 23:01:29
2023-08-05,364.643,2023-08-16 23:01:15
2023-07-29,364.316,2023-08-09 23:01:13
2023-07-22,361.893,2023-08-04 23:01:03
2023-07-15,363.106,2023-07-25 23:01:00
2023-07-08,360.984,2023-07-19 23:00:49
2023-07-01,360.322,2023-07-13 04:16:17
2023-06-24,362.84896547132325,2023-07-13 04:16:17
2023-06-17,363.6849710092337,2023-07-13 04:16:17
2023-06-10,363.55559906234225,2023-07-13 04:16:17
2023-06-03,363.09315551579505,2023-07-13 04:16:17
2023-05-27,360.615,2023-07-13 04:16:17
2023-05-20,362.256,2023-07-13 04:16:17
2023-05-13,362.158,2023-07-13 04:16:17
2023-05-06,359.419,2023-07-13 04:16:17
2023-04-29,361.379,2023-07-13 04:16:17
2023-04-22,359.818,2023-07-13 04:16:17
2023-04-15,355.164,2023-07-13 04:16:17
2023-04-08,356.748,2023-07-13 04:16:17
2023-04-01,357.478,2023-07-13 04:16:17
2023-03-25,359.959,2023-07-13 04:16:17
2023-03-18,358.394,2023-07-13 04:16:17
2023-03-11,355.905,2023-07-13 04:16:17
2023-03-04,355.673,2023-07-13 04:16:17
2023-02-25,356.225,2023-07-13 04:16:17
2023-02-18,357.806,2023-07-13 04:16:17
2023-02-11,354.81,2023-07-13 04:16:17
2023-02-04,354.932,2023-07-13 04:16:17
2023-01-28,352.202,2023-07-13 04:16:17
