date,value,created_at
2024-02-17,286.046,2024-02-27 23:02:01
2024-02-10,285.849,2024-02-20 23:01:46
2024-02-03,286.504,2024-02-13 23:01:48
2024-01-27,285.517,2024-02-06 23:01:58
2024-01-20,284.698,2024-02-01 23:02:04
2024-01-13,284.087,2024-01-24 23:01:45
2024-01-06,286.535,2024-01-18 04:21:11
2023-12-30,289.05,2024-01-18 04:21:11
2023-12-23,285.683,2024-01-02 23:01:49
2023-12-16,284.85,2023-12-28 23:01:43
2023-12-09,286.114,2023-12-20 23:01:36
2023-12-02,286.309,2023-12-12 23:01:53
2023-11-25,282.536,2023-12-05 23:01:23
2023-11-18,281.191,2023-12-05 23:01:23
2023-11-11,282.338,2023-11-22 23:01:34
2023-11-04,283.12,2023-11-14 23:01:54
2023-10-28,282.659,2023-11-07 23:01:50
2023-10-21,282.811,2023-11-02 23:01:41
2023-10-14,284.293,2023-10-25 23:01:28
2023-10-07,282.855,2023-10-18 23:01:26
2023-09-30,281.49,2023-10-10 23:01:30
2023-09-23,281.695,2023-10-03 23:01:38
2023-09-16,283.09,2023-09-28 23:01:21
2023-09-09,282.515,2023-09-19 23:01:31
2023-09-02,280.791,2023-09-13 23:01:25
2023-08-26,282.908,2023-09-06 16:01:48
2023-08-19,284.279,2023-09-04 12:01:48
2023-08-12,281.578,2023-08-24 23:01:29
2023-08-05,282.848,2023-08-16 23:01:15
2023-07-29,284.321,2023-08-09 23:01:13
2023-07-22,283.467,2023-08-04 23:01:03
2023-07-15,284.018,2023-07-25 23:01:00
2023-07-08,283.692,2023-07-19 23:00:49
2023-07-01,281.301,2023-07-13 04:16:18
2023-06-24,282.5309092251651,2023-07-13 04:16:18
2023-06-17,283.4719711107276,2023-07-13 04:16:18
2023-06-10,283.4303018446235,2023-07-13 04:16:18
2023-06-03,282.59985820976664,2023-07-13 04:16:18
2023-05-27,284.161,2023-07-13 04:16:18
2023-05-20,285.614,2023-07-13 04:16:18
2023-05-13,284.021,2023-07-13 04:16:18
2023-05-06,284.392,2023-07-13 04:16:18
2023-04-29,283.623,2023-07-13 04:16:18
2023-04-22,282.875,2023-07-13 04:16:18
2023-04-15,282.857,2023-07-13 04:16:18
2023-04-08,281.706,2023-07-13 04:16:18
2023-04-01,281.882,2023-07-13 04:16:18
2023-03-25,284.281,2023-07-13 04:16:18
2023-03-18,283.66,2023-07-13 04:16:18
2023-03-11,283.473,2023-07-13 04:16:18
2023-03-04,284.906,2023-07-13 04:16:18
2023-02-25,283.98,2023-07-13 04:16:18
2023-02-18,282.317,2023-07-13 04:16:18
2023-02-11,282.403,2023-07-13 04:16:18
2023-02-04,283.183,2023-07-13 04:16:18
2023-01-28,283.153,2023-07-13 04:16:18
2023-01-21,283.551,2023-07-13 04:16:18
2023-01-14,281.402,2023-07-13 04:16:18
2023-01-07,282.681,2023-07-13 04:16:18
2022-12-31,285.945,2023-07-13 04:16:18
2022-12-24,284.109,2023-07-13 04:16:18
2022-12-17,282.398,2023-07-13 04:16:18
2022-12-10,283.283,2023-07-13 04:16:18
2022-12-03,283.128,2023-07-13 04:16:18
2022-11-26,282.75,2023-07-13 04:16:18
2022-11-19,278.93,2023-07-13 04:16:18
2022-11-12,280.057,2023-07-13 04:16:18
2022-11-05,279.65,2023-07-13 04:16:18
2022-10-29,277.7,2023-07-13 04:16:18
2022-10-22,277.76,2023-07-13 04:16:18
2022-10-15,278.858,2023-07-13 04:16:18
2022-10-08,278.147,2023-07-13 04:16:18
2022-10-01,277.92,2023-07-13 04:16:18
2022-09-24,276.311,2023-07-13 04:16:18
2022-09-17,275.975,2023-07-13 04:16:18
2022-09-10,275.463,2023-07-13 04:16:18
2022-09-03,275.074,2023-07-13 04:16:18
2022-08-27,276.746,2023-07-13 04:16:18
2022-08-20,276.843,2023-07-13 04:16:18
2022-08-13,276.609,2023-07-13 04:16:18
2022-08-06,274.324,2023-07-13 04:16:18
2022-07-30,273.426,2023-07-13 04:16:18
2022-07-23,273.284,2023-07-13 04:16:18
2022-07-16,272.377,2023-07-13 04:16:18
2022-07-09,270.506,2023-07-13 04:16:18
2022-07-02,267.582,2023-07-13 04:16:18
2022-06-25,268.41,2023-07-13 04:16:18
2022-06-18,268.552,2023-07-13 04:16:18
2022-06-11,265.136,2023-07-13 04:16:18
2022-06-04,262.888,2023-07-13 04:16:18
2022-05-28,263.263,2023-07-13 04:16:18
2022-05-21,262.895,2023-07-13 04:16:18
2022-05-14,263.453,2023-07-13 04:16:18
2022-05-07,261.101,2023-07-13 04:16:18
2022-04-30,257.861,2023-07-13 04:16:18
2022-04-23,257.037,2023-07-13 04:16:18
2022-04-16,253.751,2023-07-13 04:16:18
2022-04-09,254.467,2023-07-13 04:16:18
2022-04-02,253.601,2023-07-13 04:16:18
2022-03-26,252.883,2023-07-13 04:16:18
2022-03-19,258.563,2023-07-13 04:16:18
2022-03-12,249.317,2023-07-13 04:16:18
2022-03-05,249.016,2023-07-13 04:16:18
2022-02-26,246.893,2023-07-13 04:16:18
2022-02-19,245.712,2023-07-13 04:16:18
2022-02-12,244.948,2023-07-13 04:16:18
2022-02-05,243.35,2023-07-13 04:16:18
2022-01-29,242.69,2023-07-13 04:16:18
2022-01-22,242.07,2023-07-13 04:16:18
2022-01-15,240.472,2023-07-13 04:16:18
2022-01-08,242.225,2023-07-13 04:16:18
2022-01-01,243.531,2023-07-13 04:16:18
2021-12-25,240.285,2023-07-13 04:16:18
2021-12-18,238.712,2023-07-13 04:16:18
2021-12-11,238.77,2023-07-13 04:16:18
2021-12-04,238.733,2023-07-13 04:16:18
2021-11-27,236.124,2023-07-13 04:16:18
2021-11-20,235.373,2023-07-13 04:16:18
2021-11-13,235.941,2023-07-13 04:16:18
2021-11-06,235.494,2023-07-13 04:16:18
2021-10-30,236.895,2023-07-13 04:16:18
2021-10-23,235.834,2023-07-13 04:16:18
2021-10-16,235.985,2023-07-13 04:16:18
2021-10-09,234.598,2023-07-13 04:16:18
2021-10-02,234.241,2023-07-13 04:16:18
2021-09-25,234.334,2023-07-13 04:16:18
2021-09-18,234.38,2023-07-13 04:16:18
2021-09-11,234.276,2023-07-13 04:16:18
2021-09-04,233.266,2023-07-13 04:16:18
2021-08-28,235.262,2023-07-13 04:16:18
2021-08-21,235.672,2023-07-13 04:16:18
2021-08-14,235.343,2023-07-13 04:16:18
2021-08-07,234.019,2023-07-13 04:16:18
2021-07-31,234.044,2023-07-13 04:16:18
2021-07-24,234.169,2023-07-13 04:16:18
2021-07-17,233.968,2023-07-13 04:16:18
2021-07-10,232.491,2023-07-13 04:16:18
2021-07-03,231.414,2023-07-13 04:16:18
2021-06-26,232.479,2023-07-13 04:16:18
2021-06-19,232.241,2023-07-13 04:16:18
2021-06-12,231.472,2023-07-13 04:16:18
2021-06-05,231.25,2023-07-13 04:16:18
2021-05-29,230.763,2023-07-13 04:16:18
2021-05-22,230.53,2023-07-13 04:16:18
2021-05-15,231.31,2023-07-13 04:16:18
2021-05-08,231.22,2023-07-13 04:16:18
2021-05-01,230.717,2023-07-13 04:16:18
2021-04-24,231.335,2023-07-13 04:16:18
2021-04-17,230.694,2023-07-13 04:16:18
2021-04-10,229.643,2023-07-13 04:16:18
