date,value,created_at
2024-02-17,257.008,2024-02-27 23:02:01
2024-02-10,255.549,2024-02-20 23:01:46
2024-02-03,254.346,2024-02-13 23:01:48
2024-01-27,252.031,2024-02-06 23:01:58
2024-01-20,252.118,2024-02-01 23:02:04
2024-01-13,252.023,2024-01-24 23:01:45
2024-01-06,255.668,2024-01-18 04:21:11
2023-12-30,258.373,2024-01-18 04:21:11
2023-12-23,253.285,2024-01-02 23:01:50
2023-12-16,255.776,2023-12-28 23:01:44
2023-12-09,254.392,2023-12-20 23:01:36
2023-12-02,249.349,2023-12-12 23:01:53
2023-11-25,249.59,2023-12-05 23:01:23
2023-11-18,252.385,2023-12-05 23:01:23
2023-11-11,252.368,2023-11-22 23:01:34
2023-11-04,252.025,2023-11-14 23:01:54
2023-10-28,249.779,2023-11-07 23:01:50
2023-10-21,252.851,2023-11-02 23:01:41
2023-10-14,253.473,2023-10-25 23:01:28
2023-10-07,255.904,2023-10-18 23:01:26
2023-09-30,250.425,2023-10-10 23:01:30
2023-09-23,255.04,2023-10-03 23:01:38
2023-09-16,256.157,2023-09-28 23:01:21
2023-09-09,256.072,2023-09-19 23:01:31
2023-09-02,254.703,2023-09-13 23:01:25
2023-08-26,255.379,2023-09-06 16:01:48
2023-08-19,255.337,2023-09-04 12:01:48
2023-08-12,254.752,2023-08-24 23:01:29
2023-08-05,253.441,2023-08-16 23:01:15
2023-07-29,255.721,2023-08-16 23:01:15
2023-07-22,255.436,2023-08-14 07:19:23
2023-07-15,258.641,2023-08-14 07:19:23
2023-07-08,256.77,2023-08-14 07:19:23
2023-07-01,258.106,2023-08-14 07:19:23
2023-06-24,257.294,2023-08-14 07:19:23
2023-06-17,254.033,2023-08-14 07:19:23
2023-06-10,254.984,2023-08-14 07:19:23
2023-06-03,255.624,2023-08-14 07:19:23
2023-05-27,256.568,2023-08-14 07:19:23
2023-05-20,257.064,2023-08-14 07:19:23
2023-05-13,253.493,2023-08-14 07:19:23
2023-05-06,253.327,2023-08-14 07:19:23
2023-04-29,252.705,2023-08-14 07:19:23
2023-04-22,253.561,2023-08-14 07:19:23
2023-04-15,254.147,2023-08-14 07:19:23
2023-04-08,253.083,2023-08-14 07:19:23
2023-04-01,251.657,2023-08-14 07:19:23
2023-03-25,252.153,2023-08-14 07:19:23
2023-03-18,252.777,2023-08-14 07:19:23
2023-03-11,252.415,2023-08-14 07:19:23
2023-03-04,250.014,2023-08-14 07:19:23
2023-02-25,250.376,2023-08-14 07:19:23
2023-02-18,247.164,2023-08-14 07:19:23
2023-02-11,247.922,2023-08-14 07:19:23
2023-02-04,245.783,2023-08-14 07:19:23
2023-01-28,245.453,2023-08-14 07:19:23
2023-01-21,245.683,2023-08-14 07:19:23
2023-01-14,246.045,2023-08-14 07:19:23
2023-01-07,249.992,2023-08-14 07:19:23
2022-12-31,248.038,2023-08-14 07:19:23
2022-12-24,247.4,2023-08-14 07:19:23
2022-12-17,248.224,2023-08-14 07:19:23
2022-12-10,247.274,2023-08-14 07:19:23
2022-12-03,243.701,2023-08-14 07:19:23
2022-11-26,244.669,2023-08-14 07:19:23
2022-11-19,244.173,2023-08-14 07:19:23
2022-11-12,243.13,2023-08-14 07:19:23
2022-11-05,246.029,2023-08-14 07:19:23
2022-10-29,245.511,2023-08-14 07:19:23
2022-10-22,243.3,2023-08-14 07:19:23
2022-10-15,244.015,2023-08-14 07:19:23
2022-10-08,240.73,2023-08-14 07:19:23
2022-10-01,243.032,2023-08-14 07:19:23
2022-09-24,245.509,2023-08-14 07:19:23
2022-09-17,245.389,2023-08-14 07:19:23
2022-09-10,245.737,2023-08-14 07:19:23
2022-09-03,243.795,2023-08-14 07:19:23
2022-08-27,242.586,2023-08-14 07:19:23
2022-08-20,237.991,2023-08-14 07:19:23
2022-08-13,240.646,2023-08-14 07:19:23
2022-08-06,239.277,2023-08-14 07:19:23
2022-07-30,237.185,2023-08-14 07:19:23
2022-07-23,235.028,2023-08-14 07:19:23
2022-07-16,235.106,2023-08-14 07:19:23
2022-07-09,233.592,2023-08-14 07:19:23
2022-07-02,235.813,2023-08-14 07:19:23
2022-06-25,237.159,2023-08-14 07:19:23
2022-06-18,237.637,2023-08-14 07:19:23
2022-06-11,235.29,2023-08-14 07:19:23
2022-06-04,237.761,2023-08-14 07:19:23
2022-05-28,232.898,2023-08-14 07:19:23
2022-05-21,242.028,2023-08-14 07:19:23
2022-05-14,242.218,2023-08-14 07:19:23
2022-05-07,241.922,2023-08-14 07:19:23
2022-04-30,240.466,2023-08-14 07:19:23
2022-04-23,238.047,2023-08-14 07:19:23
2022-04-16,238.531,2023-08-14 07:19:23
2022-04-09,236.881,2023-08-14 07:19:23
2022-04-02,235.23,2023-08-14 07:19:23
2022-03-26,229.711,2023-08-14 07:19:23
2022-03-19,231.415,2023-08-14 07:19:23
2022-03-12,227.108,2023-08-14 07:19:23
2022-03-05,222.551,2023-08-14 07:19:23
2022-02-26,218.572,2023-08-14 07:19:23
2022-02-19,214.247,2023-08-14 07:19:23
2022-02-12,216.717,2023-08-14 07:19:23
2022-02-05,220.682,2023-08-14 07:19:23
2022-01-29,220.757,2023-08-14 07:19:23
2022-01-22,225.17,2023-08-14 07:19:23
2022-01-15,222.957,2023-08-14 07:19:23
2022-01-08,223.087,2023-08-14 07:19:23
2022-01-01,225.148,2023-08-14 07:19:23
2021-12-25,222.993,2023-08-14 07:19:23
2021-12-18,220.624,2023-08-14 07:19:23
2021-12-11,219.308,2023-08-14 07:19:23
2021-12-04,217.334,2023-08-14 07:19:23
2021-11-27,215.749,2023-08-14 07:19:23
2021-11-20,219.702,2023-08-14 07:19:23
2021-11-13,215.939,2023-08-14 07:19:23
2021-11-06,214.421,2023-08-14 07:19:23
2021-10-30,214.353,2023-08-14 07:19:23
2021-10-23,208.039,2023-08-14 07:19:23
2021-10-16,208.703,2023-08-14 07:19:23
2021-10-09,203.79,2023-08-14 07:19:23
2021-10-02,214.765,2023-08-14 07:19:23
2021-09-25,212.566,2023-08-14 07:19:23
2021-09-18,212.216,2023-08-14 07:19:23
2021-09-11,213.225,2023-08-14 07:19:23
2021-09-04,210.19,2023-08-14 07:19:23
2021-08-28,210.766,2023-08-14 07:19:23
2021-08-21,208.565,2023-08-14 07:19:23
2021-08-14,210.312,2023-08-14 07:19:23
2021-08-07,211.242,2023-08-14 07:19:23
2021-07-31,210.74,2023-08-14 07:19:23
2021-07-24,210.71,2023-08-14 07:19:23
2021-07-17,208.711,2023-08-14 07:19:23
2021-07-10,208.223,2023-08-14 07:19:23
2021-07-03,207.323,2023-08-14 07:19:23
2021-06-26,208.645,2023-08-14 07:19:23
2021-06-19,208.821,2023-08-14 07:19:23
2021-06-12,208.407,2023-08-14 07:19:23
2021-06-05,209.464,2023-08-14 07:19:23
2021-05-29,209.76,2023-08-14 07:19:23
2021-05-22,210.56,2023-08-14 07:19:23
2021-05-15,209.492,2023-08-14 07:19:23
2021-05-08,207.231,2023-08-14 07:19:23
2021-05-01,206.233,2023-08-14 07:19:23
2021-04-24,208.953,2023-08-14 07:19:23
2021-04-17,209.548,2023-08-14 07:19:23
2021-04-10,207.569,2023-08-14 07:19:23
2021-04-03,208.127,2023-08-14 07:19:23
2021-03-27,210.086,2023-08-14 07:19:23
2021-03-20,210.174,2023-08-14 07:19:23
2021-03-13,208.237,2023-08-14 07:19:23
2021-03-06,205.675,2023-08-14 07:19:23
2021-02-27,204.922,2023-08-14 07:19:23
2021-02-20,200.385,2023-08-14 07:19:23
2021-02-13,200.715,2023-08-14 07:19:23
2021-02-06,196.638,2023-08-14 07:19:23
2021-01-30,198.379,2023-08-14 07:19:23
2021-01-23,202.528,2023-08-14 07:19:23
2021-01-16,204.008,2023-08-14 07:19:23
2021-01-09,201.92,2023-08-14 07:19:23
2021-01-02,199.947,2023-08-14 07:19:23
2021-01-01,199.947,2023-08-14 07:19:23
2020-12-01,199.451,2023-08-14 07:19:23
2020-11-01,200.348,2023-08-14 07:19:23
2020-10-01,198.021,2023-08-14 07:19:23
2020-09-01,196.956,2023-08-14 07:19:23
2020-08-01,199.34,2023-08-14 07:19:23
2020-07-01,200.321,2023-08-14 07:19:23
2020-06-01,196.827,2023-08-14 07:19:23
2020-05-01,196.757,2023-08-14 07:19:23
2020-04-01,195.194,2023-08-14 07:19:23
2020-03-01,190.279,2023-08-14 07:19:23
2020-02-01,189.614,2023-08-14 07:19:23
2020-01-01,189.899,2023-08-14 07:19:23
2019-12-01,190.155,2023-08-14 07:19:23
2019-11-01,190.082,2023-08-14 07:19:23
2019-10-01,189.53,2023-08-14 07:19:23
2019-09-01,189.269,2023-08-14 07:19:23
2019-08-01,189.178,2023-08-14 07:19:23
2019-07-01,190.412,2023-08-14 07:19:23
2019-06-01,190.603,2023-08-14 07:19:23
2019-05-01,190.238,2023-08-14 07:19:23
2019-04-01,190.376,2023-08-14 07:19:23
2019-03-01,190.492,2023-08-14 07:19:23
2019-02-01,189.213,2023-08-14 07:19:23
2019-01-01,189.417,2023-08-14 07:19:23
2018-12-01,189.318,2023-08-14 07:19:23
2018-11-01,188.132,2023-08-14 07:19:23
2018-10-01,187.17,2023-08-14 07:19:23
2018-09-01,186.72,2023-08-14 07:19:23
2018-08-01,187.126,2023-08-14 07:19:23
2018-07-01,187.02,2023-08-14 07:19:23
2018-06-01,185.988,2023-08-14 07:19:23
2018-05-01,185.354,2023-08-14 07:19:23
2018-04-01,186.245,2023-08-14 07:19:23
2018-03-01,185.164,2023-08-14 07:19:23
2018-02-01,184.438,2023-08-14 07:19:23
