date,value,created_at
2024-02-17,405.083,2024-02-27 23:02:01
2024-02-10,407.037,2024-02-20 23:01:46
2024-02-03,405.183,2024-02-13 23:01:49
2024-01-27,394.566,2024-02-06 23:01:58
2024-01-20,391.414,2024-02-01 23:02:04
2024-01-13,398.334,2024-01-24 23:01:45
2024-01-06,407.592,2024-01-18 04:21:11
2023-12-30,420.739,2024-01-18 04:21:11
2023-12-23,422.678,2024-01-02 23:01:50
2023-12-16,414.925,2023-12-28 23:01:44
2023-12-09,411.966,2023-12-20 23:01:36
2023-12-02,410.295,2023-12-12 23:01:53
2023-11-25,416.805,2023-12-05 23:01:23
2023-11-18,410.136,2023-12-05 23:01:23
2023-11-11,411.606,2023-11-22 23:01:34
2023-11-04,403.054,2023-11-14 23:01:54
2023-10-28,405.21,2023-11-07 23:01:50
2023-10-21,409.627,2023-11-02 23:01:41
2023-10-14,410.251,2023-10-25 23:01:28
2023-10-07,410.5,2023-10-18 23:01:27
2023-09-30,413.138,2023-10-10 23:01:30
2023-09-23,415.934,2023-10-03 23:01:39
2023-09-16,415.039,2023-09-28 23:01:21
2023-09-09,417.325,2023-09-19 23:01:31
2023-09-02,415.202,2023-09-13 23:01:25
2023-08-26,421.421,2023-09-06 16:01:48
2023-08-19,420.327,2023-09-04 12:01:48
2023-08-12,420.611,2023-08-24 23:01:29
2023-08-05,420.0,2023-08-16 23:01:15
2023-07-29,422.865,2023-08-16 23:01:15
2023-07-22,420.453,2023-08-14 07:19:23
2023-07-15,422.491,2023-08-14 07:19:23
2023-07-08,422.041,2023-08-14 07:19:23
2023-07-01,423.392,2023-08-14 07:19:23
2023-06-24,423.426,2023-08-14 07:19:23
2023-06-17,421.491,2023-08-14 07:19:23
2023-06-10,415.793,2023-08-14 07:19:23
2023-06-03,416.073,2023-08-14 07:19:23
2023-05-27,416.197,2023-08-14 07:19:23
2023-05-20,413.988,2023-08-14 07:19:23
2023-05-13,412.112,2023-08-14 07:19:23
2023-05-06,413.395,2023-08-14 07:19:23
2023-04-29,413.73,2023-08-14 07:19:23
2023-04-22,412.587,2023-08-14 07:19:23
2023-04-15,410.937,2023-08-14 07:19:23
2023-04-08,409.257,2023-08-14 07:19:23
2023-04-01,405.255,2023-08-14 07:19:23
2023-03-25,408.85,2023-08-14 07:19:23
2023-03-18,407.943,2023-08-14 07:19:23
2023-03-11,404.532,2023-08-14 07:19:23
2023-03-04,392.549,2023-08-14 07:19:23
2023-02-25,398.943,2023-08-14 07:19:23
2023-02-18,396.989,2023-08-14 07:19:23
2023-02-11,397.287,2023-08-14 07:19:23
2023-02-04,393.261,2023-08-14 07:19:23
2023-01-28,393.823,2023-08-14 07:19:23
2023-01-21,401.195,2023-08-14 07:19:23
2023-01-14,401.624,2023-08-14 07:19:23
2023-01-07,397.585,2023-08-14 07:19:23
2022-12-31,392.444,2023-08-14 07:19:23
2022-12-24,406.874,2023-08-14 07:19:23
2022-12-17,398.787,2023-08-14 07:19:23
2022-12-10,399.055,2023-08-14 07:19:23
2022-12-03,397.315,2023-08-14 07:19:23
2022-11-26,396.473,2023-08-14 07:19:23
2022-11-19,395.867,2023-08-14 07:19:23
2022-11-12,399.617,2023-08-14 07:19:23
2022-11-05,399.769,2023-08-14 07:19:23
2022-10-29,398.458,2023-08-14 07:19:23
2022-10-22,395.395,2023-08-14 07:19:23
2022-10-15,395.917,2023-08-14 07:19:23
2022-10-08,393.105,2023-08-14 07:19:23
2022-10-01,394.951,2023-08-14 07:19:23
2022-09-24,396.256,2023-08-14 07:19:23
2022-09-17,393.646,2023-08-14 07:19:23
2022-09-10,395.274,2023-08-14 07:19:23
2022-09-03,393.36,2023-08-14 07:19:23
2022-08-27,395.137,2023-08-14 07:19:23
2022-08-20,395.581,2023-08-14 07:19:23
2022-08-13,395.914,2023-08-14 07:19:23
2022-08-06,396.454,2023-08-14 07:19:23
2022-07-30,392.932,2023-08-14 07:19:23
2022-07-23,395.075,2023-08-14 07:19:23
2022-07-16,393.056,2023-08-14 07:19:23
2022-07-09,393.444,2023-08-14 07:19:23
2022-07-02,390.996,2023-08-14 07:19:23
2022-06-25,391.605,2023-08-14 07:19:23
2022-06-18,389.384,2023-08-14 07:19:23
2022-06-11,382.636,2023-08-14 07:19:23
2022-06-04,383.248,2023-08-14 07:19:23
2022-05-28,381.682,2023-08-14 07:19:23
2022-05-21,380.434,2023-08-14 07:19:23
2022-05-14,379.29,2023-08-14 07:19:23
2022-05-07,376.258,2023-08-14 07:19:23
2022-04-30,372.052,2023-08-14 07:19:23
2022-04-23,371.987,2023-08-14 07:19:23
2022-04-16,369.129,2023-08-14 07:19:23
2022-04-09,369.998,2023-08-14 07:19:23
2022-04-02,363.198,2023-08-14 07:19:23
2022-03-26,362.421,2023-08-14 07:19:23
2022-03-19,356.37,2023-08-14 07:19:23
2022-03-12,354.652,2023-08-14 07:19:23
2022-03-05,345.751,2023-08-14 07:19:23
2022-02-26,348.181,2023-08-14 07:19:23
2022-02-19,345.434,2023-08-14 07:19:23
2022-02-12,343.185,2023-08-14 07:19:23
2022-02-05,335.574,2023-08-14 07:19:23
2022-01-29,337.025,2023-08-14 07:19:23
2022-01-22,341.532,2023-08-14 07:19:23
2022-01-15,340.529,2023-08-14 07:19:23
2022-01-08,332.073,2023-08-14 07:19:23
2022-01-01,338.817,2023-08-14 07:19:23
2021-12-25,354.733,2023-08-14 07:19:23
2021-12-18,341.421,2023-08-14 07:19:23
2021-12-11,343.35,2023-08-14 07:19:23
2021-12-04,338.454,2023-08-14 07:19:23
2021-11-27,340.194,2023-08-14 07:19:23
2021-11-20,340.548,2023-08-14 07:19:23
2021-11-13,343.139,2023-08-14 07:19:23
2021-11-06,338.709,2023-08-14 07:19:23
2021-10-30,340.277,2023-08-14 07:19:23
2021-10-23,339.271,2023-08-14 07:19:23
2021-10-16,335.546,2023-08-14 07:19:23
2021-10-09,334.918,2023-08-14 07:19:23
2021-10-02,337.944,2023-08-14 07:19:23
2021-09-25,334.446,2023-08-14 07:19:23
2021-09-18,335.882,2023-08-14 07:19:23
2021-09-11,335.742,2023-08-14 07:19:23
2021-09-04,333.987,2023-08-14 07:19:23
2021-08-28,335.484,2023-08-14 07:19:23
2021-08-21,336.935,2023-08-14 07:19:23
2021-08-14,335.72,2023-08-14 07:19:23
2021-08-07,334.928,2023-08-14 07:19:23
2021-07-31,336.065,2023-08-14 07:19:23
2021-07-24,336.037,2023-08-14 07:19:23
2021-07-17,332.623,2023-08-14 07:19:23
2021-07-10,331.402,2023-08-14 07:19:23
2021-07-03,332.498,2023-08-14 07:19:23
2021-06-26,335.046,2023-08-14 07:19:23
2021-06-19,333.542,2023-08-14 07:19:23
2021-06-12,329.488,2023-08-14 07:19:23
2021-06-05,330.507,2023-08-14 07:19:23
2021-05-29,331.225,2023-08-14 07:19:23
2021-05-22,327.692,2023-08-14 07:19:23
2021-05-15,326.857,2023-08-14 07:19:23
2021-05-08,328.603,2023-08-14 07:19:23
2021-05-01,328.012,2023-08-14 07:19:23
2021-04-24,327.41,2023-08-14 07:19:23
2021-04-17,326.872,2023-08-14 07:19:23
2021-04-10,327.233,2023-08-14 07:19:23
2021-04-03,326.577,2023-08-14 07:19:23
2021-03-27,327.497,2023-08-14 07:19:23
2021-03-20,324.303,2023-08-14 07:19:23
2021-03-13,319.696,2023-08-14 07:19:23
2021-03-06,314.263,2023-08-14 07:19:23
2021-02-27,301.451,2023-08-14 07:19:23
2021-02-20,296.328,2023-08-14 07:19:23
2021-02-13,300.32,2023-08-14 07:19:23
2021-02-06,297.378,2023-08-14 07:19:23
2021-01-30,299.86,2023-08-14 07:19:23
2021-01-23,309.665,2023-08-14 07:19:23
2021-01-16,310.634,2023-08-14 07:19:23
2021-01-09,310.087,2023-08-14 07:19:23
2021-01-02,310.662,2023-08-14 07:19:23
2021-01-01,310.662,2023-08-14 07:19:23
2020-12-01,309.888,2023-08-14 07:19:23
2020-11-01,309.949,2023-08-14 07:19:23
2020-10-01,308.569,2023-08-14 07:19:23
2020-09-01,308.198,2023-08-14 07:19:23
2020-08-01,307.554,2023-08-14 07:19:23
2020-07-01,305.573,2023-08-14 07:19:23
2020-06-01,305.736,2023-08-14 07:19:23
2020-05-01,305.574,2023-08-14 07:19:23
2020-04-01,304.376,2023-08-14 07:19:23
2020-03-01,304.131,2023-08-14 07:19:23
2020-02-01,302.22,2023-08-14 07:19:23
2020-01-01,300.112,2023-08-14 07:19:23
2019-12-01,299.614,2023-08-14 07:19:23
2019-11-01,299.26,2023-08-14 07:19:23
2019-10-01,298.925,2023-08-14 07:19:23
2019-09-01,298.441,2023-08-14 07:19:23
2019-08-01,297.884,2023-08-14 07:19:23
2019-07-01,295.377,2023-08-14 07:19:23
2019-06-01,295.67,2023-08-14 07:19:23
2019-05-01,294.586,2023-08-14 07:19:23
2019-04-01,295.266,2023-08-14 07:19:23
2019-03-01,294.226,2023-08-14 07:19:23
2019-02-01,291.993,2023-08-14 07:19:23
2019-01-01,290.758,2023-08-14 07:19:23
2018-12-01,289.705,2023-08-14 07:19:23
2018-11-01,290.114,2023-08-14 07:19:23
2018-10-01,289.057,2023-08-14 07:19:23
2018-09-01,288.457,2023-08-14 07:19:23
2018-08-01,286.931,2023-08-14 07:19:23
2018-07-01,286.067,2023-08-14 07:19:23
2018-06-01,285.753,2023-08-14 07:19:23
2018-05-01,284.851,2023-08-14 07:19:23
2018-04-01,284.367,2023-08-14 07:19:23
2018-03-01,283.656,2023-08-14 07:19:23
2018-02-01,284.032,2023-08-14 07:19:23
