date,value,created_at
2024-02-17,334.906,2024-02-27 23:02:01
2024-02-10,331.019,2024-02-20 23:01:46
2024-02-03,323.641,2024-02-13 23:01:49
2024-01-27,323.546,2024-02-06 23:01:58
2024-01-20,323.22,2024-02-01 23:02:04
2024-01-13,320.763,2024-01-24 23:01:45
2024-01-06,327.188,2024-01-18 04:21:11
2023-12-30,340.866,2024-01-18 04:21:11
2023-12-23,339.93,2024-01-02 23:01:50
2023-12-16,330.732,2023-12-28 23:01:44
2023-12-09,328.016,2023-12-20 23:01:36
2023-12-02,323.689,2023-12-12 23:01:53
2023-11-25,335.842,2023-12-05 23:01:23
2023-11-18,326.34,2023-12-05 23:01:23
2023-11-11,320.196,2023-11-22 23:01:34
2023-11-04,317.096,2023-11-14 23:01:54
2023-10-28,318.76,2023-11-07 23:01:50
2023-10-21,314.982,2023-11-02 23:01:41
2023-10-14,317.716,2023-10-25 23:01:28
2023-10-07,315.638,2023-10-18 23:01:27
2023-09-30,314.048,2023-10-10 23:01:30
2023-09-23,315.986,2023-10-03 23:01:39
2023-09-16,315.302,2023-09-28 23:01:22
2023-09-09,318.011,2023-09-19 23:01:31
2023-09-02,313.606,2023-09-13 23:01:25
2023-08-26,314.634,2023-09-06 16:01:48
2023-08-19,314.177,2023-09-04 12:01:48
2023-08-12,313.972,2023-08-24 23:01:29
2023-08-05,316.437,2023-08-16 23:01:15
2023-07-29,317.64,2023-08-09 23:01:13
2023-07-22,322.321,2023-08-04 23:01:03
2023-07-15,322.37,2023-07-25 23:01:01
2023-07-08,326.931,2023-07-19 23:00:50
2023-07-01,324.213,2023-07-13 04:16:18
2023-06-24,322.2527426446702,2023-07-13 04:16:18
2023-06-17,322.3113214940839,2023-07-13 04:16:18
2023-06-10,320.918339256948,2023-07-13 04:16:18
2023-06-03,324.14407292449516,2023-07-13 04:16:18
2023-05-27,323.76,2023-07-13 04:16:18
2023-05-20,327.022,2023-07-13 04:16:18
2023-05-13,330.228,2023-07-13 04:16:18
2023-05-06,332.752,2023-07-13 04:16:18
2023-04-29,335.775,2023-07-13 04:16:18
2023-04-22,337.093,2023-07-13 04:16:18
2023-04-15,341.618,2023-07-13 04:16:18
2023-04-08,341.451,2023-07-13 04:16:18
2023-04-01,335.323,2023-07-13 04:16:18
2023-03-25,336.404,2023-07-13 04:16:18
2023-03-18,335.74,2023-07-13 04:16:18
2023-03-11,336.699,2023-07-13 04:16:18
2023-03-04,337.523,2023-07-13 04:16:18
2023-02-25,338.392,2023-07-13 04:16:18
2023-02-18,348.78,2023-07-13 04:16:18
2023-02-11,350.695,2023-07-13 04:16:18
2023-02-04,352.986,2023-07-13 04:16:18
2023-01-28,354.142,2023-07-13 04:16:18
2023-01-21,353.98,2023-07-13 04:16:18
2023-01-14,354.002,2023-07-13 04:16:18
2023-01-07,355.09,2023-07-13 04:16:18
2022-12-31,364.721,2023-07-13 04:16:18
2022-12-24,367.056,2023-07-13 04:16:18
2022-12-17,354.55,2023-07-13 04:16:18
2022-12-10,348.175,2023-07-13 04:16:18
2022-12-03,343.117,2023-07-13 04:16:18
2022-11-26,326.976,2023-07-13 04:16:18
2022-11-19,344.814,2023-07-13 04:16:18
2022-11-12,342.058,2023-07-13 04:16:18
2022-11-05,339.719,2023-07-13 04:16:18
2022-10-29,338.962,2023-07-13 04:16:18
2022-10-22,339.862,2023-07-13 04:16:18
2022-10-15,339.722,2023-07-13 04:16:18
2022-10-08,335.783,2023-07-13 04:16:18
2022-10-01,330.05,2023-07-13 04:16:18
2022-09-24,328.081,2023-07-13 04:16:18
2022-09-17,326.908,2023-07-13 04:16:18
