date,value,created_at
2024-02-17,281.541,2024-02-27 23:02:01
2024-02-10,275.313,2024-02-20 23:01:46
2024-02-03,274.782,2024-02-13 23:01:49
2024-01-27,275.138,2024-02-06 23:01:59
2024-01-20,274.781,2024-02-01 23:02:04
2024-01-13,274.752,2024-01-24 23:01:45
2024-01-06,275.461,2024-01-18 04:21:11
2023-12-30,274.959,2024-01-18 04:21:11
2023-12-23,276.48,2024-01-02 23:01:50
2023-12-16,274.068,2023-12-28 23:01:44
2023-12-09,273.495,2023-12-20 23:01:36
2023-12-02,273.245,2023-12-12 23:01:53
2023-11-25,272.849,2023-12-05 23:01:24
2023-11-18,270.859,2023-12-05 23:01:24
2023-11-11,272.028,2023-11-22 23:01:34
2023-11-04,275.823,2023-11-14 23:01:55
2023-10-28,275.791,2023-11-07 23:01:50
2023-10-21,275.334,2023-11-02 23:01:41
2023-10-14,275.211,2023-10-25 23:01:29
2023-10-07,274.02,2023-10-22 23:01:37
2023-09-30,273.245,2023-10-22 23:01:37
2023-09-23,273.67,2023-10-22 23:01:37
2023-09-16,274.26,2023-10-22 23:01:37
2023-09-09,273.498,2023-10-22 23:01:37
2023-09-02,272.117,2023-10-22 23:01:37
2023-08-26,273.539,2023-10-22 23:01:37
2023-08-19,274.164,2023-10-22 23:01:37
2023-08-12,272.89,2023-10-22 23:01:37
2023-08-05,271.439,2023-10-22 23:01:37
2023-07-29,271.986,2023-10-22 23:01:37
2023-07-22,272.511,2023-10-22 23:01:37
2023-07-15,272.125,2023-10-22 23:01:37
2023-07-08,269.747,2023-10-22 23:01:37
2023-07-01,269.409,2023-10-22 23:01:37
2023-06-24,271.176,2023-10-22 23:01:37
2023-06-17,271.526,2023-10-22 23:01:37
2023-06-10,271.065,2023-10-22 23:01:37
2023-06-03,269.649,2023-10-22 23:01:37
2023-05-27,269.3,2023-10-22 23:01:37
2023-05-20,272.378,2023-10-22 23:01:37
2023-05-13,272.051,2023-10-22 23:01:37
2023-05-06,270.272,2023-10-22 23:01:37
2023-04-29,269.111,2023-10-22 23:01:37
2023-04-22,268.943,2023-10-22 23:01:37
2023-04-15,266.209,2023-10-22 23:01:37
2023-04-08,266.224,2023-10-22 23:01:37
2023-04-01,267.303,2023-10-22 23:01:37
2023-03-25,268.586,2023-10-22 23:01:37
2023-03-18,268.205,2023-10-22 23:01:37
2023-03-11,268.932,2023-10-22 23:01:37
2023-03-04,268.05,2023-10-22 23:01:37
2023-02-25,268.712,2023-10-22 23:01:37
2023-02-18,273.816,2023-10-22 23:01:37
2023-02-11,267.917,2023-10-22 23:01:37
2023-02-04,266.529,2023-10-22 23:01:37
2023-01-28,265.358,2023-10-22 23:01:37
2023-01-21,265.883,2023-10-22 23:01:37
2023-01-14,265.314,2023-10-22 23:01:37
2023-01-07,264.386,2023-10-22 23:01:37
2022-12-31,264.467,2023-10-22 23:01:37
2022-12-24,265.795,2023-10-22 23:01:37
2022-12-17,263.676,2023-10-22 23:01:37
2022-12-10,263.149,2023-10-22 23:01:37
2022-12-03,262.576,2023-10-22 23:01:37
2022-11-26,262.463,2023-10-22 23:01:37
2022-11-19,260.069,2023-10-22 23:01:37
2022-11-12,260.298,2023-10-22 23:01:37
2022-11-05,262.19,2023-10-22 23:01:37
2022-10-29,262.513,2023-10-22 23:01:37
2022-10-22,261.278,2023-10-22 23:01:37
2022-10-15,260.829,2023-10-22 23:01:37
2022-10-08,259.017,2023-10-22 23:01:37
2022-10-01,259.232,2023-10-22 23:01:37
2022-09-24,259.317,2023-10-22 23:01:37
2022-09-17,258.725,2023-10-22 23:01:37
2022-09-10,256.995,2023-10-22 23:01:37
2022-09-03,256.464,2023-10-22 23:01:37
2022-08-27,257.115,2023-10-22 23:01:37
2022-08-20,256.601,2023-10-22 23:01:37
2022-08-13,256.496,2023-10-22 23:01:37
2022-08-06,254.577,2023-10-22 23:01:37
2022-07-30,252.778,2023-10-22 23:01:37
2022-07-23,252.704,2023-10-22 23:01:37
2022-07-16,251.284,2023-10-22 23:01:37
2022-07-09,249.197,2023-10-22 23:01:37
2022-07-02,248.555,2023-10-22 23:01:37
2022-06-25,248.888,2023-10-22 23:01:37
2022-06-18,249.077,2023-10-22 23:01:37
2022-06-11,247.986,2023-10-22 23:01:37
2022-06-04,246.747,2023-10-22 23:01:37
2022-05-28,246.418,2023-10-22 23:01:37
2022-05-21,247.006,2023-10-22 23:01:37
2022-05-14,249.04,2023-10-22 23:01:37
2022-05-07,247.555,2023-10-22 23:01:37
2022-04-30,245.664,2023-10-22 23:01:37
2022-04-23,242.97,2023-10-22 23:01:37
2022-04-16,242.318,2023-10-22 23:01:37
2022-04-09,242.989,2023-10-22 23:01:37
2022-04-02,243.041,2023-10-22 23:01:37
2022-03-26,242.713,2023-10-22 23:01:37
2022-03-19,241.665,2023-10-22 23:01:37
2022-03-12,240.844,2023-10-22 23:01:37
