date,value,created_at
2024-02-17,166.068,2024-02-27 23:02:01
2024-02-10,163.849,2024-02-20 23:01:46
2024-02-03,163.321,2024-02-13 23:01:49
2024-01-27,164.025,2024-02-06 23:01:59
2024-01-20,164.361,2024-02-01 23:02:05
2024-01-13,164.223,2024-01-24 23:01:45
2024-01-06,164.356,2024-01-18 04:21:12
2023-12-30,168.786,2024-01-18 04:21:12
2023-12-23,170.698,2024-01-02 23:01:50
2023-12-16,166.923,2023-12-28 23:01:44
2023-12-09,165.243,2023-12-20 23:01:36
2023-12-02,166.056,2023-12-12 23:01:53
2023-11-25,167.962,2023-12-05 23:01:24
2023-11-18,163.929,2023-12-05 23:01:24
2023-11-11,162.834,2023-11-22 23:01:35
2023-11-04,162.167,2023-11-14 23:01:55
2023-10-28,161.267,2023-11-07 23:01:50
2023-10-21,161.969,2023-11-02 23:01:42
2023-10-14,161.466,2023-10-25 23:01:29
2023-10-07,161.163,2023-10-18 23:01:27
2023-09-30,160.778,2023-10-10 23:01:30
2023-09-23,161.258,2023-10-03 23:01:39
2023-09-16,160.743,2023-09-28 23:01:22
2023-09-09,160.334,2023-09-19 23:01:32
2023-09-02,159.244,2023-09-13 23:01:25
2023-08-26,160.084,2023-09-06 16:01:49
2023-08-19,160.328,2023-09-04 12:01:49
2023-08-12,159.482,2023-08-24 23:01:29
2023-08-05,158.874,2023-08-16 23:01:15
2023-07-29,159.285,2023-08-16 23:01:15
2023-07-22,158.57,2023-08-14 07:19:23
2023-07-15,158.665,2023-08-14 07:19:23
2023-07-08,157.757,2023-08-14 07:19:23
2023-07-01,157.892,2023-08-14 07:19:23
2023-06-24,158.884,2023-08-14 07:19:23
2023-06-17,158.529,2023-08-14 07:19:23
2023-06-10,157.272,2023-08-14 07:19:23
2023-06-03,157.371,2023-08-14 07:19:23
2023-05-27,157.576,2023-08-14 07:19:23
2023-05-20,159.636,2023-08-14 07:19:23
2023-05-13,159.992,2023-08-14 07:19:23
2023-05-06,159.349,2023-08-14 07:19:23
2023-04-29,160.034,2023-08-14 07:19:23
2023-04-22,159.966,2023-08-14 07:19:23
2023-04-15,159.063,2023-08-14 07:19:23
2023-04-08,158.23,2023-08-14 07:19:23
2023-04-01,158.454,2023-08-14 07:19:23
2023-03-25,158.687,2023-08-14 07:19:23
2023-03-18,158.81,2023-08-14 07:19:23
2023-03-11,157.291,2023-08-14 07:19:23
2023-03-04,157.007,2023-08-14 07:19:23
2023-02-25,157.409,2023-08-14 07:19:23
2023-02-18,159.122,2023-08-14 07:19:23
