date,value,created_at
2024-02-17,311.398,2024-02-27 23:02:02
2024-02-10,310.605,2024-02-20 23:01:46
2024-02-03,305.22,2024-02-13 23:01:49
2024-01-27,303.504,2024-02-06 23:01:59
2024-01-20,305.513,2024-02-01 23:02:05
2024-01-13,305.525,2024-01-24 23:01:45
2024-01-06,303.89,2024-01-18 04:21:12
2023-12-30,290.073,2024-01-18 04:21:12
2023-12-23,289.295,2024-01-02 23:01:50
2023-12-16,299.493,2023-12-28 23:01:44
2023-12-09,302.141,2023-12-20 23:01:36
2023-12-02,304.058,2023-12-12 23:01:53
2023-11-25,308.272,2023-12-05 23:01:24
2023-11-18,311.806,2023-12-05 23:01:24
2023-11-11,314.317,2023-11-22 23:01:35
2023-11-04,310.951,2023-11-14 23:01:55
2023-10-28,311.253,2023-11-07 23:01:50
2023-10-21,311.55,2023-11-02 23:01:42
2023-10-14,311.357,2023-10-25 23:01:29
2023-10-07,312.229,2023-10-18 23:01:27
2023-09-30,310.977,2023-10-10 23:01:31
2023-09-23,310.703,2023-10-03 23:01:39
2023-09-16,310.116,2023-09-28 23:01:22
2023-09-09,311.202,2023-09-19 23:01:32
2023-09-02,312.2,2023-09-13 23:01:26
2023-08-26,314.534,2023-09-06 16:01:49
2023-08-19,315.639,2023-09-04 12:01:49
2023-08-12,315.795,2023-08-24 23:01:29
2023-08-05,311.156,2023-08-16 23:01:15
2023-07-29,315.895,2023-08-16 23:01:15
2023-07-22,313.536,2023-08-14 07:19:23
2023-07-15,312.674,2023-08-14 07:19:23
2023-07-08,314.057,2023-08-14 07:19:23
2023-07-01,313.644,2023-08-14 07:19:23
2023-06-24,313.555,2023-08-14 07:19:23
2023-06-17,314.579,2023-08-14 07:19:23
2023-06-10,315.945,2023-08-14 07:19:23
2023-06-03,318.429,2023-08-14 07:19:23
2023-05-27,318.532,2023-08-14 07:19:23
2023-05-20,318.625,2023-08-14 07:19:23
2023-05-13,318.867,2023-08-14 07:19:23
2023-05-06,318.593,2023-08-14 07:19:23
2023-04-29,320.889,2023-08-14 07:19:23
2023-04-22,322.721,2023-08-14 07:19:23
2023-04-15,322.419,2023-08-14 07:19:23
2023-04-08,321.376,2023-08-14 07:19:23
2023-04-01,318.012,2023-08-14 07:19:23
2023-03-25,316.074,2023-08-14 07:19:23
2023-03-18,312.051,2023-08-14 07:19:23
2023-03-11,308.729,2023-08-14 07:19:23
2023-03-04,301.699,2023-08-14 07:19:23
2023-02-25,305.584,2023-08-14 07:19:23
2023-02-18,302.025,2023-08-14 07:19:23
2023-02-11,299.366,2023-08-14 07:19:23
2023-02-04,296.779,2023-08-14 07:19:23
2023-01-28,291.828,2023-08-14 07:19:23
2023-01-21,293.061,2023-08-14 07:19:23
2023-01-14,292.463,2023-08-14 07:19:23
2023-01-07,287.156,2023-08-14 07:19:23
2022-12-31,277.086,2023-08-14 07:19:23
2022-12-24,277.735,2023-08-14 07:19:23
2022-12-17,287.262,2023-08-14 07:19:23
2022-12-10,290.772,2023-08-14 07:19:23
2022-12-03,293.051,2023-08-14 07:19:23
