date,value,created_at
2024-02-01,5.268804,2024-03-01 23:00:31
2024-02-01,5.232831,2024-03-02 15:08:27
2024-01-01,5.467512,2024-02-06 23:04:43
2024-01-01,5.774848,2024-02-01 23:04:50
2024-01-01,5.415332,2024-02-07 23:05:25
2024-01-01,5.496059,2024-02-02 23:00:33
2023-12-01,6.046285,2024-01-23 23:06:18
2023-12-01,5.983017,2024-02-01 23:04:50
2023-12-01,5.601823,2024-02-02 23:00:33
2023-12-01,6.118381,2024-01-01 23:04:55
2023-12-01,5.504339,2024-02-06 23:04:43
2023-12-01,5.484297,2024-02-07 23:05:25
2023-11-01,6.065705,2024-01-23 23:06:18
2023-11-01,6.077124,2023-12-22 02:32:50
2023-11-01,6.002437,2024-02-01 23:04:50
2023-11-01,5.527863,2024-02-06 23:04:43
2023-11-01,5.625346,2024-02-02 23:00:33
2023-10-01,5.840615,2024-02-01 23:04:50
2023-10-01,5.889382,2024-01-23 23:06:18
2023-10-01,5.543211,2024-02-02 23:00:33
2023-10-01,5.474275,2024-02-06 23:04:43
2023-10-01,5.900801,2023-12-22 02:32:50
2023-09-01,5.626016,2023-10-27 12:40:39
2023-09-01,5.511554,2024-02-06 23:04:43
2023-09-01,5.62235,2023-12-22 02:32:50
2023-09-01,5.525457,2024-02-02 23:00:33
2023-09-01,5.616823,2024-02-01 23:04:50
2023-08-01,5.616204,2024-02-01 23:04:50
2023-08-01,5.555152,2024-02-15 23:04:51
2023-08-01,5.624525,2023-10-27 12:40:39
2023-08-01,5.594931,2024-02-02 23:00:33
2023-08-01,5.621731,2023-12-22 02:32:50
2023-08-01,5.581027,2024-02-06 23:04:43
2023-07-01,5.617388,2023-10-27 12:40:39
2023-07-01,5.614594,2023-12-22 02:32:50
2023-07-01,5.53545,2024-02-06 23:04:43
2023-07-01,5.509575,2024-02-15 23:04:51
2023-07-01,5.566196,2024-02-02 23:00:33
2023-06-01,5.62392,2023-10-27 12:40:39
2023-06-01,5.635362,2023-12-22 02:32:50
2023-06-01,5.591394,2024-02-06 23:04:43
2023-06-01,5.608236,2024-02-02 23:00:33
2023-06-01,5.565518,2024-02-15 23:04:51
2023-05-01,5.412557,2024-02-06 23:04:43
2023-05-01,5.456525,2023-10-27 12:40:39
2023-05-01,5.4294,2024-02-02 23:00:33
2023-04-01,5.526179,2023-12-22 02:32:50
2023-04-01,5.534248,2023-10-27 12:40:39
2023-03-01,5.434398,2023-12-22 02:32:50
2023-03-01,5.442467,2023-10-27 12:40:39
2023-02-01,5.403302,2023-12-22 02:32:50
2023-02-01,5.41137,2023-10-27 12:40:39
2023-01-01,5.073382,2023-12-22 02:32:50
2023-01-01,5.06658,2023-10-27 12:40:39
2022-12-01,4.989385,2023-10-27 12:40:39
2022-12-01,4.996188,2023-12-22 02:32:50
2022-12-01,5.003083,2024-01-01 23:04:55
2022-11-01,5.053856,2023-10-27 12:40:39
2022-11-01,5.051679,2024-01-01 23:04:55
2022-11-01,5.044783,2023-12-22 02:32:50
2022-10-01,5.331184,2023-10-27 12:40:39
2022-10-01,5.293198,2023-12-22 02:32:50
2022-10-01,5.300093,2024-01-01 23:04:55
2022-09-01,5.35216,2023-10-27 12:40:39
2022-09-01,5.314174,2023-12-22 02:32:50
2022-08-01,5.339633,2023-12-22 02:32:50
2022-08-01,5.361745,2023-10-27 12:40:39
2022-07-01,5.275764,2023-10-27 12:40:39
2022-06-01,5.349556,2023-10-27 12:40:39
2022-05-01,5.215135,2023-10-27 12:40:39
2022-05-01,5.219673,2023-12-22 02:32:50
2022-04-01,5.071227,2023-12-22 02:32:50
2022-04-01,5.059884,2023-10-27 12:40:39
2022-03-01,4.945355,2023-12-22 02:32:50
2022-03-01,4.934012,2023-10-27 12:40:39
2022-02-01,4.973947,2023-10-27 12:40:39
2022-02-01,4.980752,2023-12-22 02:32:50
2022-01-01,4.897572,2023-10-27 12:40:39
2021-12-01,4.693226,2023-10-27 12:40:39
2021-11-01,4.635895,2023-10-27 12:40:39
2021-10-01,4.624445,2023-10-27 12:40:39
2021-09-01,4.620134,2023-10-27 12:40:39
2021-08-01,4.569774,2023-10-27 12:40:39
2021-07-01,4.577319,2023-10-27 12:40:39
2021-06-01,4.584325,2023-10-27 12:40:39
2021-05-01,4.513958,2023-10-27 12:40:39
2021-04-01,4.533816,2023-10-27 12:40:39
2021-03-01,4.405717,2023-10-27 12:40:39
2021-02-01,4.287996,2023-10-27 12:40:39
2021-01-01,4.205245,2023-10-27 12:40:39
2020-12-01,4.315273,2023-10-27 12:40:39
2020-11-01,4.435903,2023-10-27 12:40:39
2020-10-01,4.414647,2023-10-27 12:40:39
2020-09-01,4.522778,2023-10-27 12:40:39
2020-08-01,4.550291,2023-10-27 12:40:39
2020-07-01,4.592421,2023-10-27 12:40:39
2020-06-01,4.592981,2023-10-27 12:40:39
2020-05-01,4.556312,2023-10-27 12:40:39
2020-04-01,4.490497,2023-10-27 12:40:39
2020-03-01,4.593706,2023-10-27 12:40:39
2020-02-01,4.730067,2023-10-27 12:40:39
2020-01-01,4.768805,2023-10-27 12:40:39
2019-12-01,4.380811,2023-10-27 12:40:39
2019-11-01,4.35051,2023-10-27 12:40:39
2019-10-01,4.52894,2023-10-27 12:40:39
2019-09-01,5.014755,2023-10-27 12:40:39
2019-08-01,5.04537,2023-10-27 12:40:39
2019-07-01,5.019581,2023-10-27 12:40:39
2019-06-01,4.930192,2023-10-27 12:40:39
2019-05-01,4.722156,2023-10-27 12:40:39
2019-04-01,4.54749,2023-10-27 12:40:39
2019-03-01,4.361227,2023-10-27 12:40:39
2019-02-01,4.433678,2023-10-27 12:40:39
2019-01-01,4.456537,2023-10-27 12:40:39
2018-12-01,4.461702,2023-10-27 12:40:39
2018-11-01,4.315765,2023-10-27 12:40:39
2018-10-01,4.322754,2023-10-27 12:40:39
2018-09-01,4.39741,2023-10-27 12:40:39
2018-08-01,4.752757,2023-10-27 12:40:39
2018-07-01,4.95417,2023-10-27 12:40:39
2018-06-01,5.015894,2023-10-27 12:40:39
2018-05-01,4.887053,2023-10-27 12:40:39
2018-04-01,4.686408,2023-10-27 12:40:39
2018-03-01,4.648345,2023-10-27 12:40:39
2018-02-01,4.585285,2023-10-27 12:40:39
2018-01-01,4.583011,2023-10-27 12:40:39
2017-12-01,4.60322,2023-10-27 12:40:39
