date,value,created_at
2024-02-01,1.716794,2024-03-02 15:08:32
2024-02-01,1.723766,2024-03-01 23:00:39
2024-01-01,1.719275,2024-02-06 23:04:48
2024-01-01,1.851887,2024-02-01 23:04:54
2024-01-01,1.717849,2024-02-07 23:05:30
2024-01-01,1.738277,2024-02-02 23:00:39
2023-12-01,1.877206,2024-02-01 23:04:54
2023-12-01,1.940879,2024-01-01 23:04:59
2023-12-01,1.73078,2024-02-02 23:00:39
2023-12-01,1.709135,2024-02-06 23:04:48
2023-12-01,1.903789,2024-01-23 23:06:22
2023-12-01,1.707709,2024-02-07 23:05:30
2023-11-01,1.849358,2024-02-01 23:04:54
2023-11-01,1.688132,2024-02-07 23:05:30
2023-11-01,1.875941,2024-01-23 23:06:22
2023-11-01,1.707725,2024-02-02 23:00:39
2023-11-01,1.686664,2024-02-06 23:04:48
2023-11-01,1.883638,2023-12-22 02:32:54
2023-10-01,1.675939,2024-02-02 23:00:39
2023-10-01,1.801928,2024-01-23 23:06:22
2023-10-01,1.667737,2024-02-06 23:04:48
2023-10-01,1.809626,2023-12-22 02:32:54
2023-10-01,1.777464,2024-02-01 23:04:54
2023-09-01,1.659402,2024-02-06 23:04:48
2023-09-01,1.695638,2023-12-22 02:32:54
2023-09-01,1.69493,2023-10-27 12:40:42
2023-09-01,1.689543,2024-02-01 23:04:54
2023-09-01,1.658818,2024-02-02 23:00:39
2023-08-01,1.683161,2024-02-01 23:04:54
2023-08-01,1.699821,2023-10-27 12:40:42
2023-08-01,1.677547,2024-02-02 23:00:39
2023-08-01,1.689257,2023-12-22 02:32:54
2023-07-01,1.644745,2024-02-06 23:04:48
2023-07-01,1.661145,2023-10-27 12:40:42
2023-07-01,1.646457,2024-02-02 23:00:39
2023-07-01,1.652071,2023-12-22 02:32:54
2023-06-01,1.622209,2023-12-22 02:32:54
2023-06-01,1.620497,2024-02-06 23:04:48
2023-06-01,1.628333,2023-10-27 12:40:42
2023-05-01,1.616455,2024-02-06 23:04:48
2023-05-01,1.618168,2023-10-27 12:40:42
2023-04-01,1.696453,2023-12-22 02:32:54
2023-04-01,1.703478,2023-10-27 12:40:42
2023-03-01,1.748345,2023-12-22 02:32:54
2023-03-01,1.75537,2023-10-27 12:40:42
2023-02-01,1.788433,2023-10-27 12:40:42
2023-02-01,1.781408,2023-12-22 02:32:54
2023-01-01,1.73656,2023-10-27 12:40:42
2022-12-01,1.747323,2024-01-01 23:04:59
2022-12-01,1.74681,2023-10-27 12:40:42
2022-11-01,1.714586,2023-12-22 02:32:54
2022-11-01,1.719175,2023-10-27 12:40:42
2022-11-01,1.715099,2024-01-01 23:04:59
2022-10-01,1.730716,2023-10-27 12:40:42
2022-10-01,1.717661,2024-01-01 23:04:59
2022-10-01,1.719182,2024-01-23 23:06:22
2022-10-01,1.717148,2023-12-22 02:32:54
2022-09-01,1.722178,2023-10-27 12:40:42
2022-09-01,1.71013,2024-01-23 23:06:22
2022-09-01,1.708609,2023-12-22 02:32:54
2022-08-01,1.657503,2023-12-22 02:32:54
2022-08-01,1.659024,2024-01-23 23:06:22
2022-08-01,1.668964,2023-10-27 12:40:42
2022-07-01,1.63633,2023-12-22 02:32:54
2022-07-01,1.639752,2023-10-27 12:40:42
2022-06-01,1.62384,2023-12-22 02:32:54
2022-06-01,1.629323,2023-10-27 12:40:42
2022-05-01,1.7043,2023-12-22 02:32:54
2022-05-01,1.7109,2023-10-27 12:40:42
2022-04-01,1.744196,2023-12-22 02:32:54
2022-04-01,1.749856,2023-10-27 12:40:42
2022-03-01,1.752908,2023-10-27 12:40:42
2022-03-01,1.74931,2023-12-22 02:32:54
2022-02-01,1.685575,2023-10-27 12:40:42
2022-01-01,1.626394,2023-10-27 12:40:42
2021-12-01,1.605338,2023-10-27 12:40:42
2021-11-01,1.61583,2023-10-27 12:40:42
