date,value,created_at
2024-02-01,3.613699,2024-03-01 23:00:29
2024-02-01,3.603697,2024-03-02 15:08:26
2024-01-01,3.772451,2024-02-01 23:04:49
2024-01-01,3.637724,2024-02-06 23:04:42
2024-01-01,3.65548,2024-02-02 23:00:31
2024-01-01,3.628489,2024-02-07 23:05:24
2023-12-01,3.721222,2024-02-02 23:00:31
2023-12-01,3.895806,2024-02-01 23:04:49
2023-12-01,3.913048,2024-01-23 23:06:17
2023-12-01,3.9633,2024-01-01 23:04:54
2023-12-01,3.666051,2024-02-07 23:05:24
2023-12-01,3.682991,2024-02-06 23:04:42
2023-11-01,3.930224,2023-12-22 02:32:49
2023-11-01,3.893181,2024-02-01 23:04:49
2023-11-01,3.709549,2024-02-02 23:00:31
2023-11-01,3.910423,2024-01-23 23:06:17
2023-11-01,3.660381,2024-02-07 23:05:24
2023-11-01,3.666552,2024-02-06 23:04:42
2023-10-01,3.681763,2024-02-06 23:04:42
2023-10-01,3.883733,2024-01-23 23:06:17
2023-10-01,3.709969,2024-02-02 23:00:31
2023-10-01,3.897029,2023-12-22 02:32:49
2023-10-01,3.860399,2024-02-01 23:04:49
2023-09-01,3.707666,2024-02-01 23:04:49
2023-09-01,3.723048,2023-10-27 12:40:38
2023-09-01,3.713759,2023-12-22 02:32:49
2023-09-01,3.648008,2024-02-02 23:00:31
2023-09-01,3.638904,2024-02-06 23:04:42
2023-08-01,3.718376,2023-12-22 02:32:49
2023-08-01,3.724672,2023-10-27 12:40:38
2023-08-01,3.69304,2024-02-06 23:04:42
2023-08-01,3.712283,2024-02-01 23:04:49
2023-08-01,3.697376,2024-02-02 23:00:31
2023-07-01,3.634724,2024-02-06 23:04:42
2023-07-01,3.664223,2023-12-22 02:32:49
2023-07-01,3.670519,2023-10-27 12:40:38
2023-07-01,3.645528,2024-02-02 23:00:31
2023-06-01,3.669689,2024-02-06 23:04:42
2023-06-01,3.68867,2023-10-27 12:40:38
2023-06-01,3.676157,2024-02-02 23:00:31
2023-06-01,3.686019,2023-12-22 02:32:49
2023-05-01,3.589167,2023-12-22 02:32:49
2023-05-01,3.592649,2023-10-27 12:40:38
2023-05-01,3.585379,2024-02-02 23:00:31
2023-05-01,3.578911,2024-02-06 23:04:42
2023-04-01,3.643888,2023-12-22 02:32:49
2023-04-01,3.641727,2023-10-27 12:40:38
2023-04-01,3.649037,2024-02-17 23:04:50
2023-03-01,3.635045,2024-02-17 23:04:50
2023-03-01,3.627735,2023-10-27 12:40:38
2023-03-01,3.629896,2023-12-22 02:32:49
2023-02-01,3.6802,2023-10-27 12:40:38
2023-02-01,3.684245,2023-12-22 02:32:49
2023-02-01,3.689394,2024-02-17 23:04:50
2023-01-01,3.58465,2023-10-27 12:40:38
2023-01-01,3.58635,2023-12-22 02:32:49
2022-12-01,3.59669,2023-10-27 12:40:38
2022-12-01,3.59839,2023-12-22 02:32:49
2022-11-01,3.542877,2023-10-27 12:40:38
2022-11-01,3.546175,2023-12-22 02:32:49
2022-10-01,3.494307,2023-12-22 02:32:49
2022-10-01,3.510834,2023-10-27 12:40:38
2022-10-01,3.488829,2024-01-23 23:06:17
2022-09-01,3.450553,2023-10-27 12:40:38
2022-09-01,3.428548,2024-01-23 23:06:17
2022-09-01,3.434026,2023-12-22 02:32:49
2022-08-01,3.45426,2023-10-27 12:40:38
2022-08-01,3.428891,2024-01-23 23:06:17
2022-08-01,3.43437,2023-12-22 02:32:49
2022-07-01,3.452685,2023-12-22 02:32:49
2022-07-01,3.455901,2023-10-27 12:40:38
2022-06-01,3.314963,2023-12-22 02:32:49
2022-06-01,3.318178,2023-10-27 12:40:38
2022-05-01,3.2502,2023-12-22 02:32:49
2022-05-01,3.250053,2023-10-27 12:40:38
2022-04-01,3.183775,2023-10-27 12:40:38
2022-03-01,3.1797,2023-10-27 12:40:38
2022-02-01,3.09695,2023-10-27 12:40:38
2022-01-01,3.063628,2023-10-27 12:40:38
2021-12-01,3.026142,2023-10-27 12:40:38
2021-11-01,3.021028,2023-10-27 12:40:38
2021-10-01,2.895032,2023-10-27 12:40:38
2021-09-01,2.85602,2023-10-27 12:40:38
2021-08-01,2.819164,2023-10-27 12:40:38
2021-07-01,2.878702,2023-10-27 12:40:38
2021-06-01,2.909024,2023-10-27 12:40:38
2021-05-01,2.925829,2023-10-27 12:40:38
2021-04-01,2.863772,2023-10-27 12:40:38
2021-03-01,2.79531,2023-10-27 12:40:38
2021-02-01,2.750191,2023-10-27 12:40:38
2021-01-01,2.75421,2023-10-27 12:40:38
2020-12-01,2.711318,2023-10-27 12:40:38
2020-11-01,2.681284,2023-10-27 12:40:38
2020-10-01,2.731684,2023-10-27 12:40:38
2020-09-01,2.798845,2023-10-27 12:40:38
2020-08-01,2.880058,2023-10-27 12:40:38
2020-07-01,2.837825,2023-10-27 12:40:38
2020-06-01,2.839677,2023-10-27 12:40:38
2020-05-01,2.818267,2023-10-27 12:40:38
2020-04-01,2.770045,2023-10-27 12:40:38
2020-03-01,2.717898,2023-10-27 12:40:38
2020-02-01,2.702554,2023-10-27 12:40:38
2020-01-01,2.71892,2023-10-27 12:40:38
2019-12-01,2.72083,2023-10-27 12:40:38
2019-11-01,2.719815,2023-10-27 12:40:38
2019-10-01,2.727587,2023-10-27 12:40:38
2019-09-01,2.727917,2023-10-27 12:40:38
2019-08-01,2.805304,2023-10-27 12:40:38
2019-07-01,2.841385,2023-10-27 12:40:38
2019-06-01,2.849967,2023-10-27 12:40:38
2019-05-01,2.704888,2023-10-27 12:40:38
2019-04-01,2.665247,2023-10-27 12:40:38
2019-03-01,2.720567,2023-10-27 12:40:38
2019-02-01,2.7128,2023-10-27 12:40:38
2019-01-01,2.738827,2023-10-27 12:40:38
2018-12-01,2.648193,2023-10-27 12:40:38
2018-11-01,2.697034,2023-10-27 12:40:38
2018-10-01,2.667567,2023-10-27 12:40:38
2018-09-01,2.699192,2023-10-27 12:40:38
2018-08-01,2.696146,2023-10-27 12:40:38
2018-07-01,2.703724,2023-10-27 12:40:38
2018-06-01,2.683233,2023-10-27 12:40:38
2018-05-01,2.708103,2023-10-27 12:40:38
2018-04-01,2.695302,2023-10-27 12:40:38
2018-03-01,2.704326,2023-10-27 12:40:38
2018-02-01,2.705419,2023-10-27 12:40:38
2018-01-01,2.677685,2023-10-27 12:40:38
2017-12-01,2.679131,2023-10-27 12:40:38
2017-11-01,2.606151,2023-10-27 12:40:38
2017-10-01,2.644558,2023-10-27 12:40:38
2017-09-01,2.619828,2023-10-27 12:40:38
2017-08-01,2.6647,2023-10-27 12:40:38
2017-07-01,2.650053,2023-10-27 12:40:38
2017-06-01,2.659544,2023-10-27 12:40:38
2017-05-01,2.660157,2023-10-27 12:40:38
2017-04-01,2.636797,2023-10-27 12:40:38
2017-03-01,2.636478,2023-10-27 12:40:38
2017-02-01,2.620629,2023-10-27 12:40:38
2017-01-01,2.619454,2023-10-27 12:40:38
2016-12-01,2.616618,2023-10-27 12:40:38
2016-11-01,2.660054,2023-10-27 12:40:38
2016-10-01,2.647612,2023-10-27 12:40:38
2016-09-01,2.688745,2023-10-27 12:40:38
2016-08-01,2.603181,2023-10-27 12:40:38
2016-07-01,2.674278,2023-10-27 12:40:38
2016-06-01,2.633402,2023-10-27 12:40:38
2016-05-01,2.677368,2023-10-27 12:40:38
2016-04-01,2.687466,2023-10-27 12:40:38
2016-03-01,2.728998,2023-10-27 12:40:38
2016-02-01,2.697227,2023-10-27 12:40:38
2016-01-01,2.656337,2023-10-27 12:40:38
