date,value,created_at
2024-02-01,10.33,2024-03-02 15:08:27
2024-02-01,10.333333,2024-03-01 23:00:31
2024-01-01,10.85,2024-02-01 23:04:50
2024-01-01,10.163333,2024-02-02 23:00:32
2023-12-01,10.163333,2024-02-02 23:00:32
2023-12-01,10.85,2024-01-23 23:06:18
2023-12-01,10.916667,2024-01-01 23:04:55
2023-11-01,10.163333,2024-02-02 23:00:32
2023-11-01,10.583333,2023-12-22 02:32:50
2023-10-01,10.0,2024-02-02 23:00:32
2023-10-01,10.333333,2023-12-22 02:32:50
2023-09-01,10.0,2023-10-27 12:40:39
2023-08-01,10.0,2023-10-27 12:40:39
2023-07-01,10.0,2023-10-27 12:40:39
2023-06-01,10.0,2023-10-27 12:40:39
2023-05-01,9.996667,2023-10-27 12:40:39
2023-04-01,10.163333,2023-10-27 12:40:39
2023-03-01,10.16,2023-10-27 12:40:39
2023-02-01,9.913333,2023-10-27 12:40:39
2023-01-01,9.746667,2023-10-27 12:40:39
2022-12-01,9.666667,2023-10-27 12:40:39
2022-11-01,9.916667,2023-10-27 12:40:39
2022-10-01,9.7,2023-12-22 02:32:50
2022-10-01,9.735,2023-10-27 12:40:39
2022-09-01,9.551667,2023-10-27 12:40:39
2022-09-01,9.516667,2023-12-22 02:32:50
2022-08-01,9.513333,2023-12-22 02:32:50
2022-08-01,9.548333,2023-10-27 12:40:39
2022-07-01,9.396667,2023-10-27 12:40:39
2022-06-01,9.33,2023-10-27 12:40:39
2022-05-01,9.333333,2023-10-27 12:40:39
2022-04-01,9.416667,2023-10-27 12:40:39
2022-03-01,9.65,2023-10-27 12:40:39
2022-02-01,9.646667,2023-10-27 12:40:39
2022-01-01,9.471667,2023-10-27 12:40:39
2021-12-01,9.238333,2023-10-27 12:40:39
2021-11-01,8.908333,2023-10-27 12:40:39
2021-10-01,8.996667,2023-10-27 12:40:39
2021-10-01,8.998333,2023-12-22 02:32:50
2021-09-01,8.998333,2023-12-22 02:32:50
2021-09-01,8.996667,2023-10-27 12:40:39
2021-08-01,9.163333,2023-10-27 12:40:39
2021-08-01,9.165,2023-12-22 02:32:50
2021-07-01,9.166667,2023-10-27 12:40:39
2021-06-01,9.166667,2023-10-27 12:40:39
2021-05-01,9.0,2023-10-27 12:40:39
2021-04-01,8.666667,2023-10-27 12:40:39
2021-03-01,8.416667,2023-10-27 12:40:39
2021-02-01,8.05,2023-10-27 12:40:39
2021-01-01,8.05,2023-10-27 12:40:39
2020-12-01,8.166667,2023-12-22 02:32:50
2020-12-01,8.15,2023-10-27 12:40:39
2020-11-01,8.2,2023-12-22 02:32:50
2020-11-01,8.183333,2023-10-27 12:40:39
2020-10-01,8.2,2023-12-22 02:32:50
2020-10-01,8.183333,2023-10-27 12:40:39
2020-09-01,8.0,2023-10-27 12:40:39
2020-08-01,8.333333,2023-10-27 12:40:39
2020-07-01,8.6,2023-10-27 12:40:39
2020-06-01,8.6,2023-10-27 12:40:39
2020-05-01,8.266667,2023-10-27 12:40:39
2020-04-01,7.898333,2023-10-27 12:40:39
2020-03-01,7.898333,2023-10-27 12:40:39
2020-02-01,8.228333,2023-10-27 12:40:39
2020-01-01,8.188333,2023-10-27 12:40:39
2019-12-01,8.021667,2023-10-27 12:40:39
2019-11-01,7.525,2023-10-27 12:40:39
2019-10-01,7.666667,2023-10-27 12:40:39
2019-09-01,8.026667,2023-10-27 12:40:39
2019-08-01,8.36,2023-10-27 12:40:39
2019-07-01,8.36,2023-10-27 12:40:39
2019-06-01,8.163333,2023-10-27 12:40:39
2019-05-01,7.993333,2023-10-27 12:40:39
2019-04-01,7.993333,2023-10-27 12:40:39
2019-03-01,7.996667,2023-10-27 12:40:39
2019-02-01,8.141667,2023-10-27 12:40:39
2019-01-01,8.141667,2023-10-27 12:40:39
2018-12-01,8.075,2023-10-27 12:40:39
2018-11-01,7.933333,2023-10-27 12:40:39
2018-10-01,7.931667,2023-10-27 12:40:39
2018-09-01,7.998333,2023-10-27 12:40:39
2018-08-01,7.925,2023-10-27 12:40:39
2018-07-01,8.093333,2023-10-27 12:40:39
2018-06-01,8.093333,2023-10-27 12:40:39
2018-05-01,8.166667,2023-10-27 12:40:39
2018-04-01,7.996667,2023-10-27 12:40:39
2018-03-01,7.73,2023-10-27 12:40:39
2018-02-01,7.73,2023-10-27 12:40:39
2018-01-01,7.566667,2023-10-27 12:40:39
2017-12-01,7.665,2023-10-27 12:40:39
2017-11-01,7.665,2023-10-27 12:40:39
2017-10-01,7.806667,2023-10-27 12:40:39
2017-09-01,7.975,2023-10-27 12:40:39
2017-08-01,7.786667,2023-10-27 12:40:39
2017-07-01,7.811667,2023-10-27 12:40:39
2017-06-01,7.645,2023-10-27 12:40:39
2017-05-01,7.796667,2023-10-27 12:40:39
2017-04-01,7.463333,2023-10-27 12:40:39
2017-03-01,7.43,2023-10-27 12:40:39
2017-02-01,7.133333,2023-10-27 12:40:39
2017-01-01,7.133333,2023-10-27 12:40:39
2016-12-01,7.0,2023-10-27 12:40:39
2016-11-01,7.0,2023-10-27 12:40:39
2016-10-01,7.0,2023-10-27 12:40:39
2016-09-01,7.0,2023-10-27 12:40:39
2016-08-01,7.0,2023-10-27 12:40:39
2016-07-01,7.0,2023-10-27 12:40:39
2016-06-01,6.856667,2023-10-27 12:40:39
2016-05-01,6.853333,2023-10-27 12:40:39
2016-04-01,6.853333,2023-10-27 12:40:39
2016-03-01,6.996667,2023-10-27 12:40:39
2016-02-01,7.0,2023-10-27 12:40:39
2016-01-01,7.0,2023-10-27 12:40:39
2015-12-01,7.0,2023-10-27 12:40:39
2015-11-01,7.0,2023-10-27 12:40:39
2015-10-01,6.963333,2023-10-27 12:40:39
2015-09-01,6.88,2023-10-27 12:40:39
2015-08-01,6.88,2023-10-27 12:40:39
2015-07-01,6.916667,2023-10-27 12:40:39
2015-06-01,7.0,2023-10-27 12:40:39
2015-05-01,7.065,2023-10-27 12:40:39
2015-04-01,7.173333,2023-10-27 12:40:39
2015-03-01,7.173333,2023-10-27 12:40:39
2015-02-01,6.775,2023-10-27 12:40:39
2015-01-01,6.666667,2023-10-27 12:40:39
2014-12-01,6.756667,2023-10-27 12:40:39
2014-11-01,7.04,2023-10-27 12:40:39
2014-10-01,6.723333,2023-10-27 12:40:39
2014-09-01,6.3,2023-10-27 12:40:39
2014-08-01,6.016667,2023-10-27 12:40:39
2014-07-01,6.333333,2023-10-27 12:40:39
2014-06-01,6.596667,2023-10-27 12:40:39
2014-05-01,6.93,2023-10-27 12:40:39
2014-04-01,6.763333,2023-10-27 12:40:39
2014-03-01,6.833333,2023-10-27 12:40:39
2014-02-01,6.833333,2023-10-27 12:40:39
2014-01-01,7.0,2023-10-27 12:40:39
2013-12-01,7.0,2023-10-27 12:40:39
2013-11-01,7.0,2023-10-27 12:40:39
2013-10-01,6.666667,2023-10-27 12:40:39
2013-09-01,6.5,2023-10-27 12:40:39
2013-08-01,6.166667,2023-10-27 12:40:39
2013-07-01,6.166667,2023-10-27 12:40:39
2013-06-01,6.075,2023-10-27 12:40:39
2013-05-01,6.075,2023-10-27 12:40:39
2013-04-01,6.241667,2023-10-27 12:40:39
2013-03-01,6.458333,2023-10-27 12:40:39
2013-02-01,6.458333,2023-10-27 12:40:39
2013-01-01,6.291667,2023-10-27 12:40:39
2012-12-01,6.05,2023-10-27 12:40:39
2012-11-01,6.216667,2023-10-27 12:40:39
2012-10-01,6.383333,2023-10-27 12:40:39
2012-09-01,6.34,2023-10-27 12:40:39
2012-08-01,6.173333,2023-10-27 12:40:39
2012-07-01,6.233333,2023-10-27 12:40:39
2012-06-01,6.226667,2023-10-27 12:40:39
2012-05-01,6.226667,2023-10-27 12:40:39
2012-04-01,6.166667,2023-10-27 12:40:39
2012-03-01,6.166667,2023-10-27 12:40:39
2012-02-01,6.25,2023-10-27 12:40:39
2012-01-01,6.0,2023-10-27 12:40:39
