date,value,created_at
2024-02-01,2.636626,2024-03-01 23:00:29
2024-02-01,2.60413,2024-03-02 15:08:26
2024-01-01,2.600162,2024-02-07 23:05:24
2024-01-01,2.627791,2024-02-02 23:00:31
2024-01-01,2.855248,2024-02-01 23:04:49
2024-01-01,2.604584,2024-02-06 23:04:42
2023-12-01,2.56498,2024-02-02 23:00:31
2023-12-01,2.785477,2024-02-01 23:04:49
2023-12-01,2.829903,2024-01-23 23:06:17
2023-12-01,2.549474,2024-02-06 23:04:42
2023-12-01,2.876493,2024-01-01 23:04:54
2023-12-01,2.547552,2024-02-07 23:05:24
2023-11-01,2.895591,2024-01-23 23:06:17
2023-11-01,2.909091,2024-01-01 23:04:54
2023-11-01,2.940848,2023-12-22 02:32:49
2023-11-01,2.62725,2024-02-02 23:00:31
2023-11-01,2.855667,2024-02-01 23:04:49
2023-11-01,2.605513,2024-02-06 23:04:42
2023-10-01,2.77464,2024-02-01 23:04:49
2023-10-01,2.580017,2024-02-06 23:04:42
2023-10-01,2.805913,2023-12-22 02:32:49
2023-10-01,2.789396,2024-01-23 23:06:17
2023-10-01,2.794377,2024-01-01 23:04:54
2023-10-01,2.597649,2024-02-02 23:00:31
2023-09-01,2.65408,2024-01-23 23:06:17
2023-09-01,2.654279,2024-02-01 23:04:49
2023-09-01,2.650366,2023-10-27 12:40:37
2023-09-01,2.592592,2024-02-02 23:00:31
2023-09-01,2.581826,2024-02-06 23:04:42
2023-09-01,2.653139,2023-12-22 02:32:49
2023-08-01,2.564302,2023-10-27 12:40:37
2023-08-01,2.560114,2024-02-02 23:00:31
2023-08-01,2.569887,2023-12-22 02:32:49
2023-08-01,2.55161,2024-02-06 23:04:42
2023-08-01,2.570086,2024-02-01 23:04:49
2023-07-01,2.585673,2023-12-22 02:32:49
2023-07-01,2.572693,2023-10-27 12:40:37
2023-07-01,2.566073,2024-02-06 23:04:42
2023-07-01,2.571446,2024-02-02 23:00:31
2023-06-01,2.605229,2024-02-06 23:04:42
2023-06-01,2.605512,2023-10-27 12:40:37
2023-06-01,2.609198,2024-02-02 23:00:31
2023-06-01,2.616783,2023-12-22 02:32:49
2023-05-01,2.56154,2023-10-27 12:40:37
2023-05-01,2.56685,2023-12-22 02:32:49
2023-05-01,2.562595,2024-02-02 23:00:31
2023-04-01,2.509736,2023-12-22 02:32:49
2023-04-01,2.508312,2023-10-27 12:40:37
2023-03-01,2.46904,2023-10-27 12:40:37
2023-03-01,2.466617,2023-12-22 02:32:49
2023-02-01,2.534677,2023-10-27 12:40:37
2023-02-01,2.534339,2023-12-22 02:32:49
2023-01-01,2.538936,2023-12-22 02:32:49
2023-01-01,2.542783,2023-10-27 12:40:37
2022-12-01,2.484795,2023-10-27 12:40:37
2022-12-01,2.486167,2023-12-22 02:32:49
2022-11-01,2.405346,2023-10-27 12:40:37
2022-11-01,2.408751,2023-12-22 02:32:49
2022-10-01,2.393988,2023-10-27 12:40:37
2022-10-01,2.392924,2023-12-22 02:32:49
2022-09-01,2.383344,2024-02-07 23:05:24
2022-09-01,2.38708,2023-10-27 12:40:37
2022-09-01,2.384643,2023-12-22 02:32:49
2022-08-01,2.391607,2023-12-22 02:32:49
2022-08-01,2.396077,2023-10-27 12:40:37
2022-08-01,2.390309,2024-02-07 23:05:24
2022-07-01,2.379535,2023-12-22 02:32:49
2022-07-01,2.379378,2023-10-27 12:40:37
2022-07-01,2.378236,2024-02-07 23:05:24
2022-06-01,2.366865,2023-10-27 12:40:37
2022-06-01,2.367061,2023-12-22 02:32:49
2022-05-01,2.296953,2023-10-27 12:40:37
2022-05-01,2.299271,2023-12-22 02:32:49
2022-04-01,2.226265,2023-10-27 12:40:37
2022-04-01,2.228426,2023-12-22 02:32:49
2022-03-01,2.164263,2023-10-27 12:40:37
2022-03-01,2.164778,2023-12-22 02:32:49
2022-02-01,2.15737,2023-10-27 12:40:37
2022-02-01,2.155764,2023-12-22 02:32:49
2022-01-01,2.182327,2023-12-22 02:32:49
2022-01-01,2.183932,2023-10-27 12:40:37
2021-12-01,2.21556,2023-10-27 12:40:37
2021-11-01,2.185454,2023-12-22 02:32:49
2021-11-01,2.187688,2023-10-27 12:40:37
2021-10-01,2.178641,2023-10-27 12:40:37
2021-10-01,2.175479,2023-12-22 02:32:49
2021-09-01,2.109756,2023-10-27 12:40:37
2021-09-01,2.106594,2023-12-22 02:32:49
2021-08-01,2.08445,2023-10-27 12:40:37
2021-08-01,2.083523,2023-12-22 02:32:49
2021-07-01,2.059874,2023-12-22 02:32:49
2021-07-01,2.056362,2023-10-27 12:40:37
2021-06-01,2.032734,2023-10-27 12:40:37
2021-06-01,2.036246,2023-12-22 02:32:49
2021-05-01,2.024246,2023-10-27 12:40:37
2021-05-01,2.027758,2023-12-22 02:32:49
2021-04-01,2.01322,2023-10-27 12:40:37
2021-03-01,2.005316,2023-10-27 12:40:37
2021-02-01,2.002493,2023-10-27 12:40:37
2021-01-01,1.92138,2023-10-27 12:40:37
2020-12-01,1.981768,2023-10-27 12:40:37
2020-11-01,1.981861,2023-10-27 12:40:37
2020-10-01,2.003621,2023-10-27 12:40:37
