date,value,created_at
2024-02-01,3.474027,2024-03-02 15:08:26
2024-02-01,3.483141,2024-03-01 23:00:30
2024-01-01,3.499511,2024-02-02 23:00:32
2024-01-01,3.614917,2024-02-01 23:04:49
2024-01-01,3.482044,2024-02-06 23:04:43
2024-01-01,3.462541,2024-02-07 23:05:24
2023-12-01,3.491355,2024-02-06 23:04:43
2023-12-01,3.749759,2024-02-01 23:04:49
2023-12-01,3.785572,2024-01-23 23:06:17
2023-12-01,3.856797,2024-01-01 23:04:54
2023-12-01,3.475564,2024-02-07 23:05:24
2023-12-01,3.538533,2024-02-02 23:00:32
2023-11-01,3.763987,2024-02-01 23:04:49
2023-11-01,3.552912,2024-02-02 23:00:32
2023-11-01,3.490305,2024-02-07 23:05:24
2023-11-01,3.7998,2024-01-23 23:06:17
2023-11-01,3.820143,2023-12-22 02:32:50
2023-11-01,3.499675,2024-02-06 23:04:43
2023-10-01,3.494144,2024-02-02 23:00:32
2023-10-01,3.715867,2023-12-22 02:32:50
2023-10-01,3.673128,2024-02-01 23:04:49
2023-10-01,3.461066,2024-02-06 23:04:43
2023-10-01,3.705436,2024-01-23 23:06:17
2023-09-01,3.656528,2024-02-01 23:04:49
2023-09-01,3.583872,2024-02-06 23:04:43
2023-09-01,3.663262,2023-10-27 12:40:38
2023-09-01,3.661227,2023-12-22 02:32:50
2023-09-01,3.600698,2024-02-02 23:00:32
2023-08-01,3.841746,2023-12-22 02:32:50
2023-08-01,3.813859,2024-02-06 23:04:43
2023-08-01,3.847796,2023-10-27 12:40:38
2023-08-01,3.837047,2024-02-01 23:04:49
2023-08-01,3.824626,2024-02-02 23:00:32
2023-07-01,3.961847,2023-10-27 12:40:38
2023-07-01,3.955797,2023-12-22 02:32:50
2023-07-01,3.91625,2024-02-06 23:04:43
2023-07-01,3.937289,2024-02-02 23:00:32
2023-06-01,4.140209,2023-10-27 12:40:38
2023-06-01,4.128252,2024-02-02 23:00:32
2023-06-01,4.134339,2023-12-22 02:32:50
2023-06-01,4.11798,2024-02-06 23:04:43
2023-05-01,4.308332,2024-02-06 23:04:43
2023-05-01,4.326821,2023-10-27 12:40:38
2023-05-01,4.318605,2024-02-02 23:00:32
2023-05-01,4.324691,2023-12-22 02:32:50
2023-04-01,4.684413,2023-10-27 12:40:38
2023-04-01,4.682284,2023-12-22 02:32:50
2023-03-01,4.911942,2023-12-22 02:32:50
2023-03-01,4.908201,2023-10-27 12:40:38
2023-02-01,4.813639,2023-10-27 12:40:38
2023-01-01,4.43857,2023-10-27 12:40:38
2023-01-01,4.431716,2023-12-22 02:32:50
2022-12-01,3.966592,2023-10-27 12:40:38
2022-12-01,3.959739,2023-12-22 02:32:50
2022-11-01,3.698129,2023-12-22 02:32:50
2022-11-01,3.704982,2023-10-27 12:40:38
2022-10-01,3.567557,2023-10-27 12:40:38
2022-09-01,3.433875,2023-10-27 12:40:38
2022-08-01,3.320484,2023-10-27 12:40:38
2022-07-01,3.232882,2023-10-27 12:40:38
2022-06-01,3.053297,2023-10-27 12:40:38
2022-05-01,2.9147,2023-10-27 12:40:38
2022-04-01,2.711294,2023-10-27 12:40:38
2022-03-01,2.676762,2023-10-27 12:40:38
2022-02-01,2.567129,2023-10-27 12:40:38
2022-01-01,2.488308,2023-10-27 12:40:38
2021-12-01,2.467988,2023-10-27 12:40:38
2021-11-01,2.478297,2023-10-27 12:40:38
2021-10-01,2.439889,2023-10-27 12:40:38
2021-09-01,2.355795,2023-10-27 12:40:38
2021-08-01,2.364229,2023-10-27 12:40:38
2021-07-01,2.357695,2023-10-27 12:40:38
2021-06-01,2.365333,2023-10-27 12:40:38
2021-05-01,2.336011,2023-10-27 12:40:38
2021-04-01,2.343088,2023-10-27 12:40:38
2021-03-01,2.250444,2023-10-27 12:40:38
2021-02-01,2.265963,2023-10-27 12:40:38
