date,value,created_at
2024-02-01,0.882395,2024-03-01 23:00:35
2024-02-01,0.878183,2024-03-02 15:08:29
2024-01-01,0.906579,2024-02-07 23:05:27
2024-01-01,0.908116,2024-02-02 23:00:35
2024-01-01,0.907722,2024-02-06 23:04:45
2024-01-01,0.936988,2024-02-01 23:04:52
2023-12-01,0.968668,2024-02-02 23:00:35
2023-12-01,1.004777,2024-01-23 23:06:20
2023-12-01,0.966155,2024-02-06 23:04:45
2023-12-01,1.001463,2024-02-01 23:04:52
2023-12-01,0.965107,2024-02-07 23:05:27
2023-12-01,1.008836,2024-01-01 23:04:57
2023-11-01,1.101343,2024-01-23 23:06:20
2023-11-01,1.103078,2024-01-01 23:04:57
2023-11-01,1.069597,2024-02-02 23:00:35
2023-11-01,1.098748,2024-02-01 23:04:52
2023-11-01,1.107125,2023-12-22 02:32:51
2023-11-01,1.065728,2024-02-06 23:04:45
2023-11-01,1.064681,2024-02-07 23:05:27
2023-10-01,1.110126,2023-12-22 02:32:51
2023-10-01,1.10722,2024-01-23 23:06:20
2023-10-01,1.108031,2024-01-01 23:04:57
2023-10-01,1.106082,2024-02-01 23:04:52
2023-10-01,1.084076,2024-02-06 23:04:45
2023-10-01,1.087945,2024-02-02 23:00:35
2023-09-01,1.075407,2023-10-27 12:40:40
2023-09-01,1.075375,2023-12-22 02:32:51
2023-09-01,1.070112,2024-02-06 23:04:45
2023-09-01,1.071468,2024-02-02 23:00:35
2023-08-01,1.02073,2023-10-27 12:40:40
2023-08-01,1.020698,2023-12-22 02:32:51
2023-08-01,1.018348,2024-02-02 23:00:35
2023-08-01,1.020334,2024-01-23 23:06:20
2023-07-01,1.004901,2023-12-22 02:32:51
2023-07-01,1.004538,2024-01-23 23:06:20
2023-07-01,1.001524,2024-02-02 23:00:35
2023-07-01,1.006184,2023-10-27 12:40:40
2023-06-01,1.004237,2024-02-02 23:00:35
2023-06-01,1.006499,2023-12-22 02:32:51
2023-06-01,1.006135,2024-01-23 23:06:20
2023-06-01,1.00775,2023-10-27 12:40:40
2023-05-01,1.014497,2023-10-27 12:40:40
2023-05-01,1.013246,2023-12-22 02:32:51
2023-05-01,1.012219,2024-02-02 23:00:35
2023-04-01,0.998611,2023-10-27 12:40:40
2023-04-01,0.999165,2023-12-22 02:32:51
2023-03-01,0.979463,2023-12-22 02:32:51
2023-03-01,0.978908,2023-10-27 12:40:40
2023-02-01,0.961939,2023-10-27 12:40:40
2023-02-01,0.962117,2023-12-22 02:32:51
2023-01-01,0.992408,2023-10-27 12:40:40
2023-01-01,0.990769,2023-12-22 02:32:51
2022-12-01,1.035476,2023-12-22 02:32:51
2022-12-01,1.037116,2023-10-27 12:40:40
2022-11-01,1.075136,2023-10-27 12:40:40
2022-11-01,1.073873,2023-12-22 02:32:51
2022-10-01,1.103379,2023-10-27 12:40:40
2022-10-01,1.10276,2023-12-22 02:32:51
2022-09-01,1.169231,2023-12-22 02:32:51
2022-09-01,1.16985,2023-10-27 12:40:40
2022-08-01,1.254619,2023-12-22 02:32:51
2022-08-01,1.255238,2023-10-27 12:40:40
2022-07-01,1.279009,2023-10-27 12:40:40
2022-06-01,1.236254,2023-10-27 12:40:40
2022-05-01,1.180652,2023-10-27 12:40:40
2022-04-01,1.08358,2023-10-27 12:40:40
2022-03-01,1.010976,2023-10-27 12:40:40
2022-02-01,0.929656,2023-10-27 12:40:40
2022-01-01,0.935395,2023-10-27 12:40:40
2021-12-01,0.924068,2023-10-27 12:40:40
