date,value,created_at
2024-02-01,2.087111,2024-03-02 15:08:31
2024-02-01,2.097023,2024-03-01 23:00:39
2024-01-01,2.12187,2024-02-02 23:00:38
2024-01-01,2.204659,2024-02-01 23:04:54
2024-01-01,2.102526,2024-02-06 23:04:47
2024-01-01,2.090452,2024-02-07 23:05:29
2023-12-01,2.147753,2024-02-07 23:05:29
2023-12-01,2.286841,2024-02-01 23:04:54
2023-12-01,2.160583,2024-02-06 23:04:47
2023-12-01,2.302352,2024-01-23 23:06:22
2023-12-01,2.18642,2024-02-02 23:00:38
2023-12-01,2.335269,2024-01-01 23:04:59
2023-11-01,2.317708,2024-02-01 23:04:54
2023-11-01,2.214844,2024-02-02 23:00:38
2023-11-01,2.33322,2024-01-23 23:06:22
2023-11-01,2.346236,2023-12-22 02:32:53
2023-11-01,2.177296,2024-02-07 23:05:29
2023-11-01,2.183681,2024-02-06 23:04:47
2023-10-01,2.311667,2024-02-01 23:04:54
2023-10-01,2.228757,2024-02-02 23:00:38
2023-10-01,2.212978,2024-02-06 23:04:47
2023-10-01,2.330154,2023-12-22 02:32:53
2023-10-01,2.325182,2024-01-23 23:06:22
2023-09-01,2.207867,2023-10-27 12:40:42
2023-09-01,2.211375,2023-12-22 02:32:53
2023-09-01,2.167424,2024-02-06 23:04:47
2023-09-01,2.206657,2024-02-01 23:04:54
2023-09-01,2.17676,2024-02-02 23:00:38
2023-08-01,2.215016,2023-10-27 12:40:42
2023-08-01,2.216194,2023-12-22 02:32:53
2023-08-01,2.202192,2024-02-02 23:00:38
2023-08-01,2.211477,2024-02-01 23:04:54
2023-08-01,2.198182,2024-02-06 23:04:47
2023-07-01,2.25917,2023-10-27 12:40:42
2023-07-01,2.237515,2024-02-06 23:04:47
2023-07-01,2.263307,2023-12-22 02:32:53
2023-07-01,2.245006,2024-02-02 23:00:38
2023-06-01,2.307614,2024-02-06 23:04:47
2023-06-01,2.317152,2023-10-27 12:40:42
2023-06-01,2.320112,2023-12-22 02:32:53
2023-06-01,2.311095,2024-02-02 23:00:38
2023-05-01,2.294172,2023-10-27 12:40:42
2023-05-01,2.288116,2024-02-02 23:00:38
2023-05-01,2.284635,2024-02-06 23:04:47
2023-05-01,2.297132,2023-12-22 02:32:53
2023-04-01,2.253635,2023-10-27 12:40:42
2023-04-01,2.254301,2023-12-22 02:32:53
2023-04-01,2.255838,2024-02-17 23:04:54
2023-03-01,2.212991,2023-10-27 12:40:42
2023-03-01,2.215195,2024-02-17 23:04:54
2023-03-01,2.213658,2023-12-22 02:32:53
2023-02-01,2.265056,2024-02-17 23:04:54
2023-02-01,2.263519,2023-12-22 02:32:53
2023-02-01,2.262853,2023-10-27 12:40:42
2023-01-01,2.222873,2023-12-22 02:32:53
2023-01-01,2.222025,2023-10-27 12:40:42
2022-12-01,2.174367,2023-10-27 12:40:42
2022-12-01,2.175215,2023-12-22 02:32:53
2022-11-01,2.155666,2023-10-27 12:40:42
2022-11-01,2.145656,2023-12-22 02:32:53
2022-10-01,2.093121,2023-10-27 12:40:42
2022-10-01,2.074237,2023-12-22 02:32:53
2022-09-01,2.054981,2023-12-22 02:32:53
2022-09-01,2.073865,2023-10-27 12:40:42
2022-08-01,2.041716,2023-10-27 12:40:42
2022-08-01,2.029562,2023-12-22 02:32:53
2022-07-01,2.049627,2023-12-22 02:32:53
2022-07-01,2.052652,2023-10-27 12:40:42
2022-06-01,1.995054,2023-12-22 02:32:53
2022-06-01,1.998079,2023-10-27 12:40:42
2022-05-01,1.909457,2023-10-27 12:40:42
2022-05-01,1.91056,2023-12-22 02:32:53
2022-04-01,1.922036,2023-10-27 12:40:42
2022-03-01,1.901819,2023-10-27 12:40:42
2022-02-01,1.9553,2023-10-27 12:40:42
2022-01-01,1.858126,2023-10-27 12:40:42
2021-12-01,1.820845,2023-10-27 12:40:42
2021-11-01,1.738335,2023-10-27 12:40:42
2021-10-01,1.685805,2023-10-27 12:40:42
2021-09-01,1.671798,2023-10-27 12:40:42
2021-08-01,1.670609,2023-10-27 12:40:42
2021-07-01,1.704017,2023-10-27 12:40:42
2021-06-01,1.702439,2023-10-27 12:40:42
2021-05-01,1.7021,2023-10-27 12:40:42
2021-04-01,1.69,2023-10-27 12:40:42
2021-03-01,1.683839,2023-10-27 12:40:42
2021-02-01,1.658295,2023-10-27 12:40:42
2021-01-01,1.626778,2023-10-27 12:40:42
2020-12-01,1.622043,2023-10-27 12:40:42
2020-11-01,1.606013,2023-10-27 12:40:42
2020-10-01,1.62951,2023-10-27 12:40:42
2020-09-01,1.611938,2023-10-27 12:40:42
2020-08-01,1.629291,2023-10-27 12:40:42
2020-07-01,1.628958,2023-10-27 12:40:42
2020-06-01,1.647675,2023-10-27 12:40:42
2020-05-01,1.795739,2023-10-27 12:40:42
2020-04-01,1.789533,2023-10-27 12:40:42
2020-03-01,1.798502,2023-10-27 12:40:42
2020-02-01,1.665366,2023-10-27 12:40:42
2020-01-01,1.692623,2023-10-27 12:40:42
2019-12-01,1.60628,2023-10-27 12:40:42
2019-11-01,1.654607,2023-10-27 12:40:42
2019-10-01,1.706924,2023-10-27 12:40:42
2019-09-01,1.81667,2023-10-27 12:40:42
2019-08-01,1.78813,2023-10-27 12:40:42
2019-07-01,1.688776,2023-10-27 12:40:42
2019-06-01,1.63329,2023-10-27 12:40:42
2019-05-01,1.545036,2023-10-27 12:40:42
2019-04-01,1.623462,2023-10-27 12:40:42
2019-03-01,1.644943,2023-10-27 12:40:42
2019-02-01,1.696759,2023-10-27 12:40:42
2019-01-01,1.651268,2023-10-27 12:40:42
2018-12-01,1.636529,2023-10-27 12:40:42
2018-11-01,1.663751,2023-10-27 12:40:42
2018-10-01,1.644542,2023-10-27 12:40:42
2018-09-01,1.613703,2023-10-27 12:40:42
2018-08-01,1.589119,2023-10-27 12:40:42
2018-07-01,1.56414,2023-10-27 12:40:42
2018-06-01,1.588625,2023-10-27 12:40:42
2018-05-01,1.519443,2023-10-27 12:40:42
2018-04-01,1.556865,2023-10-27 12:40:42
2018-03-01,1.553352,2023-10-27 12:40:42
2018-02-01,1.699812,2023-10-27 12:40:42
2018-01-01,1.737371,2023-10-27 12:40:42
2017-12-01,1.722204,2023-10-27 12:40:42
2017-11-01,1.625216,2023-10-27 12:40:42
2017-10-01,1.525134,2023-10-27 12:40:42
2017-09-01,1.522908,2023-10-27 12:40:42
2017-08-01,1.519364,2023-10-27 12:40:42
2017-07-01,1.59899,2023-10-27 12:40:42
2017-06-01,1.624775,2023-10-27 12:40:42
2017-05-01,1.617367,2023-10-27 12:40:42
2017-04-01,1.592488,2023-10-27 12:40:42
2017-03-01,1.529055,2023-10-27 12:40:42
2017-02-01,1.481973,2023-10-27 12:40:42
2017-01-01,1.487092,2023-10-27 12:40:42
2016-12-01,1.510676,2023-10-27 12:40:42
2016-11-01,1.555997,2023-10-27 12:40:42
2016-10-01,1.531484,2023-10-27 12:40:42
2016-09-01,1.570136,2023-10-27 12:40:42
2016-08-01,1.545697,2023-10-27 12:40:42
2016-07-01,1.577513,2023-10-27 12:40:42
2016-06-01,1.546492,2023-10-27 12:40:42
2016-05-01,1.59118,2023-10-27 12:40:42
2016-04-01,1.605353,2023-10-27 12:40:42
2016-03-01,1.679867,2023-10-27 12:40:42
2016-02-01,1.752457,2023-10-27 12:40:42
2016-01-01,1.756119,2023-10-27 12:40:42
2015-12-01,1.746683,2023-10-27 12:40:42
2015-11-01,1.667576,2023-10-27 12:40:42
2015-10-01,1.648488,2023-10-27 12:40:42
2015-09-01,1.595839,2023-10-27 12:40:42
2015-08-01,1.618018,2023-10-27 12:40:42
2015-07-01,1.698107,2023-10-27 12:40:42
2015-06-01,1.701258,2023-10-27 12:40:42
2015-05-01,1.706456,2023-10-27 12:40:42
2015-04-01,1.682385,2023-10-27 12:40:42
2015-03-01,1.787773,2023-10-27 12:40:42
2015-02-01,1.781257,2023-10-27 12:40:42
2015-01-01,1.741081,2023-10-27 12:40:42
2014-12-01,1.635853,2023-10-27 12:40:42
2014-11-01,1.599302,2023-10-27 12:40:42
2014-10-01,1.58713,2023-10-27 12:40:42
2014-09-01,1.560393,2023-10-27 12:40:42
2014-08-01,1.563965,2023-10-27 12:40:42
2014-07-01,1.605692,2023-10-27 12:40:42
2014-06-01,1.669197,2023-10-27 12:40:42
2014-05-01,1.780757,2023-10-27 12:40:42
2014-04-01,1.70655,2023-10-27 12:40:42
2014-03-01,1.686244,2023-10-27 12:40:42
2014-02-01,1.602431,2023-10-27 12:40:42
2014-01-01,1.59177,2023-10-27 12:40:42
2013-12-01,1.581186,2023-10-27 12:40:42
2013-11-01,1.588293,2023-10-27 12:40:42
2013-10-01,1.584126,2023-10-27 12:40:42
2013-09-01,1.64228,2023-10-27 12:40:42
2013-08-01,1.577265,2023-10-27 12:40:42
2013-07-01,1.65692,2023-10-27 12:40:42
2013-06-01,1.634484,2023-10-27 12:40:42
2013-05-01,1.707517,2023-10-27 12:40:42
2013-04-01,1.674299,2023-10-27 12:40:42
2013-03-01,1.647738,2023-10-27 12:40:42
2013-02-01,1.623745,2023-10-27 12:40:42
2013-01-01,1.552975,2023-10-27 12:40:42
2012-12-01,1.555952,2023-10-27 12:40:42
2012-11-01,1.533157,2023-10-27 12:40:42
2012-10-01,1.557491,2023-10-27 12:40:42
2012-09-01,1.523548,2023-10-27 12:40:42
2012-08-01,1.416413,2023-10-27 12:40:42
2012-07-01,1.402603,2023-10-27 12:40:42
2012-06-01,1.431651,2023-10-27 12:40:42
2012-05-01,1.590671,2023-10-27 12:40:42
2012-04-01,1.610541,2023-10-27 12:40:42
2012-03-01,1.574636,2023-10-27 12:40:42
2012-02-01,1.508091,2023-10-27 12:40:42
2012-01-01,1.498,2023-10-27 12:40:42
