date,value,created_at
2024-02-01,11.366667,2024-03-01 23:00:28
2024-02-01,11.333333,2024-03-02 15:08:25
2024-01-01,12.0,2024-02-01 23:04:48
2024-01-01,11.333333,2024-02-06 23:04:42
2024-01-01,11.403333,2024-02-02 23:00:30
2023-12-01,11.083333,2024-02-06 23:04:42
2023-12-01,11.788333,2024-02-01 23:04:48
2023-12-01,12.0,2024-01-01 23:04:53
2023-12-01,11.236667,2024-02-02 23:00:30
2023-11-01,11.251667,2024-02-01 23:04:48
2023-11-01,11.463333,2024-01-23 23:06:16
2023-11-01,10.57,2024-02-02 23:00:30
2023-11-01,11.5,2023-12-22 02:32:49
2023-11-01,10.416667,2024-02-06 23:04:42
2023-10-01,11.13,2024-01-23 23:06:16
2023-10-01,10.918333,2024-02-01 23:04:48
2023-10-01,10.416667,2024-02-06 23:04:42
2023-10-01,11.166667,2023-12-22 02:32:49
2023-10-01,10.5,2024-02-02 23:00:30
2023-09-01,10.666667,2024-02-02 23:00:30
2023-09-01,10.833333,2023-12-22 02:32:49
2023-09-01,10.796667,2024-01-23 23:06:16
2023-09-01,10.865,2023-10-27 12:40:37
2023-08-01,11.033333,2023-10-27 12:40:37
2023-08-01,11.066667,2023-12-22 02:32:49
2023-08-01,11.0,2024-02-02 23:00:30
2023-07-01,10.733333,2023-12-22 02:32:49
2023-07-01,10.7,2023-10-27 12:40:37
2023-07-01,10.666667,2024-02-02 23:00:30
2023-06-01,10.666667,2024-02-02 23:00:30
2023-06-01,10.733333,2023-12-22 02:32:49
2023-06-01,10.7,2023-10-27 12:40:37
2023-05-01,10.333333,2023-10-27 12:40:37
2023-04-01,10.333333,2023-10-27 12:40:37
2023-03-01,10.0,2023-10-27 12:40:37
2023-02-01,10.333333,2023-10-27 12:40:37
2023-01-01,10.333333,2023-10-27 12:40:37
2022-12-01,10.333333,2023-10-27 12:40:37
2022-11-01,10.0,2023-10-27 12:40:37
2022-10-01,10.0,2023-10-27 12:40:37
2022-09-01,9.881667,2023-10-27 12:40:37
2022-09-01,9.833333,2023-12-22 02:32:49
2022-08-01,9.5,2023-12-22 02:32:49
2022-08-01,9.548333,2023-10-27 12:40:37
2022-07-01,9.5,2023-12-22 02:32:49
2022-07-01,9.548333,2023-10-27 12:40:37
2022-06-01,9.333333,2023-10-27 12:40:37
2022-05-01,9.445,2023-10-27 12:40:37
2022-04-01,9.111667,2023-10-27 12:40:37
2022-03-01,9.111667,2023-10-27 12:40:37
2022-02-01,8.996667,2023-10-27 12:40:37
2022-01-01,8.996667,2023-10-27 12:40:37
2021-12-01,8.996667,2023-10-27 12:40:37
2021-11-01,8.833333,2023-10-27 12:40:37
2021-10-01,8.833333,2023-10-27 12:40:37
