date,value,created_at
2024-02-01,80.0,2024-03-01 23:00:28
2024-01-01,87.5,2024-02-01 23:04:48
2024-01-01,82.665,2024-02-02 23:00:30
2024-01-01,81.831667,2024-02-06 23:04:41
2023-12-01,83.498333,2024-02-06 23:04:41
2023-12-01,85.998333,2024-02-02 23:00:30
2023-12-01,95.0,2024-01-01 23:04:53
2023-12-01,91.666667,2024-01-23 23:06:16
2023-12-01,90.833333,2024-02-01 23:04:48
2023-11-01,91.666667,2023-12-22 02:32:49
2023-11-01,90.0,2024-01-23 23:06:16
2023-11-01,81.831667,2024-02-06 23:04:41
2023-11-01,84.331667,2024-02-02 23:00:30
2023-10-01,86.666667,2023-12-22 02:32:49
2023-10-01,80.0,2024-02-06 23:04:41
2023-10-01,81.666667,2024-02-02 23:00:30
2023-09-01,80.0,2023-10-27 12:40:37
2023-09-01,78.333333,2024-02-02 23:00:30
2023-08-01,80.0,2023-10-27 12:40:37
2023-07-01,80.0,2023-10-27 12:40:37
2023-06-01,80.0,2023-10-27 12:40:37
2023-05-01,80.0,2023-10-27 12:40:37
2023-04-01,78.333333,2023-10-27 12:40:37
2023-03-01,76.666667,2023-10-27 12:40:37
2023-02-01,78.333333,2023-10-27 12:40:37
2023-01-01,78.333333,2023-10-27 12:40:37
2022-12-01,78.333333,2023-10-27 12:40:37
2022-11-01,75.0,2023-10-27 12:40:37
2022-10-01,75.0,2023-10-27 12:40:37
2022-09-01,75.0,2023-10-27 12:40:37
2022-08-01,73.333333,2023-10-27 12:40:37
2022-07-01,71.833333,2024-01-01 23:04:53
2022-07-01,71.666667,2023-10-27 12:40:37
2022-06-01,68.666667,2024-01-01 23:04:53
2022-06-01,68.333333,2023-10-27 12:40:37
2022-05-01,68.666667,2024-01-01 23:04:53
2022-05-01,68.333333,2023-10-27 12:40:37
2022-04-01,68.333333,2023-10-27 12:40:37
2022-04-01,68.5,2024-01-01 23:04:53
2022-03-01,68.333333,2023-10-27 12:40:37
2022-02-01,66.666667,2023-10-27 12:40:37
2022-01-01,65.0,2023-10-27 12:40:37
2021-12-01,65.0,2023-10-27 12:40:37
2021-11-01,65.0,2023-10-27 12:40:37
2021-10-01,63.333333,2023-10-27 12:40:37
2021-09-01,63.333333,2023-10-27 12:40:37
2021-08-01,63.333333,2023-10-27 12:40:37
2021-07-01,65.0,2023-10-27 12:40:37
2021-06-01,65.0,2023-10-27 12:40:37
2021-05-01,63.333333,2023-10-27 12:40:37
2021-04-01,61.666667,2023-10-27 12:40:37
2021-03-01,60.0,2023-10-27 12:40:37
2021-02-01,60.0,2023-10-27 12:40:37
2021-01-01,60.0,2023-10-27 12:40:37
2020-12-01,60.0,2023-10-27 12:40:37
2020-11-01,60.0,2023-10-27 12:40:37
2020-10-01,60.0,2023-10-27 12:40:37
2020-09-01,60.0,2023-10-27 12:40:37
2020-08-01,60.0,2023-10-27 12:40:37
2020-07-01,60.0,2023-10-27 12:40:37
2020-06-01,60.0,2023-10-27 12:40:37
2020-05-01,60.0,2023-10-27 12:40:37
2020-04-01,60.0,2023-10-27 12:40:37
2020-03-01,60.0,2023-10-27 12:40:37
2020-02-01,60.0,2023-10-27 12:40:37
2020-01-01,60.0,2023-10-27 12:40:37
2019-12-01,60.0,2023-10-27 12:40:37
2019-11-01,60.0,2023-10-27 12:40:37
2019-10-01,60.0,2023-10-27 12:40:37
2019-09-01,60.0,2023-10-27 12:40:37
