date,value,created_at
2024-02-01,3.132066,2024-03-01 23:00:39
2024-02-01,3.133778,2024-03-02 15:08:32
2024-01-01,2.978535,2024-02-07 23:05:30
2024-01-01,3.023464,2024-02-02 23:00:39
2024-01-01,3.237554,2024-02-01 23:04:55
2024-01-01,2.969825,2024-02-06 23:04:48
2023-12-01,2.916207,2024-02-07 23:05:30
2023-12-01,3.36817,2024-02-01 23:04:55
2023-12-01,2.907497,2024-02-06 23:04:48
2023-12-01,3.384568,2024-01-23 23:06:22
2023-12-01,3.019687,2024-02-02 23:00:39
2023-12-01,3.454989,2024-01-01 23:04:59
2023-11-01,3.419781,2024-02-01 23:04:55
2023-11-01,3.436179,2024-01-23 23:06:22
2023-11-01,3.476664,2023-12-22 02:32:54
2023-11-01,3.048628,2024-02-02 23:00:39
2023-11-01,2.922943,2024-02-06 23:04:48
2023-10-01,3.366563,2024-02-01 23:04:55
2023-10-01,3.070656,2024-02-02 23:00:39
2023-10-01,2.987229,2024-02-06 23:04:48
2023-10-01,3.391993,2023-12-22 02:32:54
2023-10-01,3.375027,2024-01-23 23:06:22
2023-09-01,3.161604,2023-10-27 12:40:42
2023-09-01,3.163084,2023-12-22 02:32:54
2023-09-01,3.15462,2024-02-01 23:04:55
2023-09-01,3.06702,2024-02-06 23:04:48
2023-09-01,3.087555,2024-02-02 23:00:39
2023-08-01,3.057722,2023-12-22 02:32:54
2023-08-01,3.049259,2024-02-01 23:04:55
2023-08-01,3.073104,2023-10-27 12:40:42
2023-08-01,3.020831,2024-02-15 23:04:53
2023-08-01,3.02876,2024-02-06 23:04:48
2023-08-01,3.0358,2024-02-02 23:00:39
2023-07-01,3.071023,2023-10-27 12:40:42
2023-07-01,3.015106,2024-02-15 23:04:53
2023-07-01,3.055641,2023-12-22 02:32:54
2023-07-01,3.042182,2024-02-02 23:00:39
2023-07-01,3.023035,2024-02-06 23:04:48
2023-06-01,3.057441,2024-02-15 23:04:53
2023-06-01,3.06537,2024-02-06 23:04:48
2023-06-01,3.081943,2023-10-27 12:40:42
2023-06-01,3.077476,2023-12-22 02:32:54
2023-05-01,3.029205,2023-10-27 12:40:42
2023-05-01,3.017099,2024-02-06 23:04:48
2023-04-01,3.117742,2023-10-27 12:40:42
2023-04-01,3.124708,2023-12-22 02:32:54
2023-03-01,3.152994,2023-12-22 02:32:54
2023-03-01,3.146028,2023-10-27 12:40:42
2023-02-01,3.195497,2023-12-22 02:32:54
2023-02-01,3.188531,2023-10-27 12:40:42
2023-01-01,3.050475,2023-10-27 12:40:42
2023-01-01,3.058141,2023-12-22 02:32:54
2022-12-01,3.04521,2023-12-22 02:32:54
2022-12-01,3.037544,2023-10-27 12:40:42
2022-11-01,3.08688,2023-10-27 12:40:42
2022-11-01,3.079111,2023-12-22 02:32:54
2022-10-01,3.142207,2023-12-22 02:32:54
2022-10-01,3.172473,2023-10-27 12:40:42
2022-09-01,3.092874,2023-12-22 02:32:54
2022-09-01,3.12314,2023-10-27 12:40:42
2022-08-01,3.100558,2023-10-27 12:40:42
2022-08-01,3.079322,2023-12-22 02:32:54
2022-07-01,3.069513,2023-10-27 12:40:42
2022-07-01,3.065083,2023-12-22 02:32:54
2022-06-01,2.936284,2023-10-27 12:40:42
2022-06-01,2.945239,2023-12-22 02:32:54
2022-05-01,2.898811,2023-12-22 02:32:54
2022-05-01,2.870065,2023-10-27 12:40:42
2022-04-01,2.800262,2023-12-22 02:32:54
2022-04-01,2.773492,2023-10-27 12:40:42
2022-03-01,2.771934,2023-10-27 12:40:42
2022-03-01,2.785319,2023-12-22 02:32:54
2022-02-01,2.662403,2023-10-27 12:40:42
2022-01-01,2.541433,2023-10-27 12:40:42
2021-12-01,2.457748,2023-10-27 12:40:42
2021-11-01,2.506955,2023-10-27 12:40:42
2021-10-01,2.527132,2023-10-27 12:40:42
2021-09-01,2.645865,2023-10-27 12:40:42
2021-08-01,2.59924,2023-10-27 12:40:42
2021-07-01,2.651031,2023-10-27 12:40:42
2021-06-01,2.562068,2023-10-27 12:40:42
2021-05-01,2.544533,2023-10-27 12:40:42
2021-04-01,2.429394,2023-10-27 12:40:42
2021-03-01,2.412498,2023-10-27 12:40:42
2021-02-01,2.358506,2023-10-27 12:40:42
2021-01-01,2.343429,2023-10-27 12:40:42
2020-12-01,2.3194,2023-10-27 12:40:42
2020-11-01,2.395913,2023-10-27 12:40:42
2020-10-01,2.411469,2023-10-27 12:40:42
2020-09-01,2.455043,2023-10-27 12:40:42
2020-08-01,2.458872,2023-10-27 12:40:42
2020-07-01,2.552923,2023-10-27 12:40:42
2020-06-01,2.515534,2023-10-27 12:40:42
2020-05-01,2.741348,2023-10-27 12:40:42
2020-04-01,2.620962,2023-10-27 12:40:42
2020-03-01,2.799897,2023-10-27 12:40:42
2020-02-01,2.710928,2023-10-27 12:40:42
2020-01-01,2.97944,2023-10-27 12:40:42
2019-12-01,2.876123,2023-10-27 12:40:42
2019-11-01,2.844462,2023-10-27 12:40:42
2019-10-01,2.894457,2023-10-27 12:40:42
2019-09-01,2.979345,2023-10-27 12:40:42
2019-08-01,2.999389,2023-10-27 12:40:42
2019-07-01,2.764301,2023-10-27 12:40:42
2019-06-01,2.751454,2023-10-27 12:40:42
2019-05-01,2.573755,2023-10-27 12:40:42
2019-04-01,2.643688,2023-10-27 12:40:42
2019-03-01,2.635639,2023-10-27 12:40:42
2019-02-01,2.732702,2023-10-27 12:40:42
2019-01-01,2.637979,2023-10-27 12:40:42
2018-12-01,2.48536,2023-10-27 12:40:42
2018-11-01,2.447404,2023-10-27 12:40:42
2018-10-01,2.602023,2023-10-27 12:40:42
2018-09-01,2.656615,2023-10-27 12:40:42
2018-08-01,2.765942,2023-10-27 12:40:42
2018-07-01,2.721059,2023-10-27 12:40:42
2018-06-01,2.788089,2023-10-27 12:40:42
2018-05-01,2.702541,2023-10-27 12:40:42
2018-04-01,2.712228,2023-10-27 12:40:42
2018-03-01,2.647267,2023-10-27 12:40:42
2018-02-01,2.805938,2023-10-27 12:40:42
2018-01-01,2.757268,2023-10-27 12:40:42
2017-12-01,2.917472,2023-10-27 12:40:42
2017-11-01,2.914673,2023-10-27 12:40:42
2017-10-01,2.864191,2023-10-27 12:40:42
2017-09-01,2.697082,2023-10-27 12:40:42
2017-08-01,2.481778,2023-10-27 12:40:42
2017-07-01,2.532839,2023-10-27 12:40:42
2017-06-01,2.581784,2023-10-27 12:40:42
2017-05-01,2.534079,2023-10-27 12:40:42
2017-04-01,2.464187,2023-10-27 12:40:42
2017-03-01,2.358196,2023-10-27 12:40:42
2017-02-01,2.380128,2023-10-27 12:40:42
2017-01-01,2.376919,2023-10-27 12:40:42
2016-12-01,2.449269,2023-10-27 12:40:42
2016-11-01,2.578158,2023-10-27 12:40:42
2016-10-01,2.635692,2023-10-27 12:40:42
2016-09-01,2.647996,2023-10-27 12:40:42
2016-08-01,2.618331,2023-10-27 12:40:42
2016-07-01,2.600917,2023-10-27 12:40:42
2016-06-01,2.581008,2023-10-27 12:40:42
2016-05-01,2.650249,2023-10-27 12:40:42
2016-04-01,2.723211,2023-10-27 12:40:42
2016-03-01,2.793648,2023-10-27 12:40:42
2016-02-01,2.660807,2023-10-27 12:40:42
2016-01-01,2.661375,2023-10-27 12:40:42
2015-12-01,2.770484,2023-10-27 12:40:42
2015-11-01,2.81166,2023-10-27 12:40:42
2015-10-01,2.905089,2023-10-27 12:40:42
2015-09-01,2.891152,2023-10-27 12:40:42
2015-08-01,2.980135,2023-10-27 12:40:42
2015-07-01,2.976387,2023-10-27 12:40:42
2015-06-01,2.715386,2023-10-27 12:40:42
2015-05-01,2.749508,2023-10-27 12:40:42
2015-04-01,2.704059,2023-10-27 12:40:42
2015-03-01,2.86011,2023-10-27 12:40:42
2015-02-01,2.796528,2023-10-27 12:40:42
2015-01-01,2.685325,2023-10-27 12:40:42
