date,value,created_at
2024-02-01,4.4943,2024-03-01 23:00:38
2024-02-01,4.426006,2024-03-02 15:08:31
2024-01-01,4.470534,2024-02-06 23:04:47
2024-01-01,4.537123,2024-02-02 23:00:38
2024-01-01,4.44974,2024-02-07 23:05:29
2024-01-01,4.926982,2024-02-01 23:04:54
2023-12-01,5.371968,2024-01-23 23:06:21
2023-12-01,4.634521,2024-02-06 23:04:47
2023-12-01,5.354292,2024-02-01 23:04:54
2023-12-01,4.804173,2024-02-02 23:00:38
2023-12-01,5.503865,2024-01-01 23:04:58
2023-11-01,5.382886,2024-01-23 23:06:21
2023-11-01,4.579761,2024-02-06 23:04:47
2023-11-01,5.432037,2023-12-22 02:32:53
2023-11-01,5.36521,2024-02-01 23:04:54
2023-11-01,4.765199,2024-02-02 23:00:38
2023-10-01,4.879088,2024-02-02 23:00:38
2023-10-01,5.354573,2024-02-01 23:04:54
2023-10-01,5.369277,2024-01-23 23:06:21
2023-10-01,5.385731,2023-12-22 02:32:53
2023-10-01,4.750432,2024-02-06 23:04:47
2023-09-01,4.837598,2023-12-22 02:32:53
2023-09-01,4.824088,2024-02-01 23:04:54
2023-09-01,4.645283,2024-02-06 23:04:47
2023-09-01,4.66107,2024-02-02 23:00:38
2023-09-01,4.819352,2023-10-27 12:40:42
2023-08-01,4.80913,2024-02-01 23:04:54
2023-08-01,4.82264,2023-12-22 02:32:53
2023-08-01,4.768121,2024-02-02 23:00:38
2023-08-01,4.821027,2023-10-27 12:40:42
2023-07-01,4.645611,2024-02-02 23:00:38
2023-07-01,4.690358,2023-10-27 12:40:42
2023-07-01,4.651763,2024-02-06 23:04:47
2023-07-01,4.706476,2023-12-22 02:32:53
2023-06-01,4.584611,2023-10-27 12:40:42
2023-06-01,4.598218,2023-12-22 02:32:53
2023-06-01,4.584514,2024-02-06 23:04:47
2023-06-01,4.578362,2024-02-02 23:00:38
2023-05-01,4.432214,2023-12-22 02:32:53
2023-05-01,4.41771,2023-10-27 12:40:42
2023-05-01,4.41851,2024-02-06 23:04:47
2023-05-01,4.412358,2024-02-02 23:00:38
2023-04-01,4.607108,2024-02-17 23:04:53
2023-04-01,4.644505,2023-10-27 12:40:42
2023-04-01,4.622979,2023-12-22 02:32:53
2023-03-01,4.568743,2023-10-27 12:40:42
2023-03-01,4.547216,2023-12-22 02:32:53
2023-03-01,4.531345,2024-02-17 23:04:53
2023-02-01,4.567236,2024-02-17 23:04:53
2023-02-01,4.604634,2023-10-27 12:40:42
2023-02-01,4.583107,2023-12-22 02:32:53
2023-01-01,4.251452,2023-12-22 02:32:53
2023-01-01,4.240858,2023-10-27 12:40:42
2022-12-01,4.263714,2023-10-27 12:40:42
2022-12-01,4.274309,2023-12-22 02:32:53
2022-11-01,4.438752,2023-10-27 12:40:42
2022-11-01,4.439988,2023-12-22 02:32:53
2022-10-01,4.673977,2023-10-27 12:40:42
2022-10-01,4.646496,2023-12-22 02:32:53
2022-10-01,4.675358,2024-01-23 23:06:21
2022-09-01,4.653952,2023-12-22 02:32:53
2022-09-01,4.681433,2023-10-27 12:40:42
2022-09-01,4.682815,2024-01-23 23:06:21
2022-08-01,4.625524,2023-10-27 12:40:42
2022-08-01,4.629628,2024-01-23 23:06:21
2022-08-01,4.600766,2023-12-22 02:32:53
2022-07-01,4.542739,2023-12-22 02:32:53
2022-07-01,4.549375,2023-10-27 12:40:42
2022-06-01,4.592646,2023-12-22 02:32:53
2022-06-01,4.599282,2023-10-27 12:40:42
2022-05-01,4.436414,2023-10-27 12:40:42
2022-05-01,4.432806,2023-12-22 02:32:53
2022-04-01,4.30653,2023-12-22 02:32:53
2022-04-01,4.310138,2023-10-27 12:40:42
2022-03-01,4.271996,2023-10-27 12:40:42
2022-03-01,4.268388,2023-12-22 02:32:53
2022-02-01,4.392881,2023-10-27 12:40:42
2022-01-01,4.422203,2023-10-27 12:40:42
2021-12-01,4.280261,2023-10-27 12:40:42
2021-11-01,4.135325,2023-10-27 12:40:42
2021-10-01,3.958297,2023-10-27 12:40:42
2021-09-01,4.032857,2023-10-27 12:40:42
2021-08-01,3.989843,2023-10-27 12:40:42
2021-07-01,4.0187,2023-10-27 12:40:42
2021-06-01,3.835035,2023-10-27 12:40:42
2021-05-01,3.855251,2023-10-27 12:40:42
2021-04-01,3.897525,2023-10-27 12:40:42
2021-03-01,3.861404,2023-10-27 12:40:42
2021-02-01,3.678718,2023-10-27 12:40:42
2021-01-01,3.520712,2023-10-27 12:40:42
2020-12-01,3.626445,2023-10-27 12:40:42
2020-11-01,3.673794,2023-10-27 12:40:42
2020-10-01,3.740538,2023-10-27 12:40:42
2020-09-01,3.813257,2023-10-27 12:40:42
2020-08-01,4.06834,2023-10-27 12:40:42
2020-07-01,4.072523,2023-10-27 12:40:42
2020-06-01,3.968124,2023-10-27 12:40:42
2020-05-01,3.968411,2023-10-27 12:40:42
2020-04-01,3.946041,2023-10-27 12:40:42
2020-03-01,4.007472,2023-10-27 12:40:42
2020-02-01,3.988892,2023-10-27 12:40:42
2020-01-01,4.193706,2023-10-27 12:40:42
2019-12-01,3.92119,2023-10-27 12:40:42
2019-11-01,3.928189,2023-10-27 12:40:42
2019-10-01,3.867537,2023-10-27 12:40:42
2019-09-01,4.32612,2023-10-27 12:40:42
2019-08-01,4.304903,2023-10-27 12:40:42
2019-07-01,4.400688,2023-10-27 12:40:42
2019-06-01,4.323218,2023-10-27 12:40:42
2019-05-01,4.073569,2023-10-27 12:40:42
2019-04-01,3.910527,2023-10-27 12:40:42
2019-03-01,3.845072,2023-10-27 12:40:42
2019-02-01,3.814086,2023-10-27 12:40:42
2019-01-01,3.808957,2023-10-27 12:40:42
2018-12-01,3.843505,2023-10-27 12:40:42
2018-11-01,4.093972,2023-10-27 12:40:42
2018-10-01,4.2208,2023-10-27 12:40:42
2018-09-01,4.215138,2023-10-27 12:40:42
2018-08-01,4.541277,2023-10-27 12:40:42
2018-07-01,4.547252,2023-10-27 12:40:42
2018-06-01,4.661508,2023-10-27 12:40:42
2018-05-01,4.279947,2023-10-27 12:40:42
2018-04-01,4.204793,2023-10-27 12:40:42
2018-03-01,4.149433,2023-10-27 12:40:42
2018-02-01,4.168409,2023-10-27 12:40:42
2018-01-01,4.267011,2023-10-27 12:40:42
2017-12-01,4.65009,2023-10-27 12:40:42
2017-11-01,5.031736,2023-10-27 12:40:42
2017-10-01,5.016245,2023-10-27 12:40:42
2017-09-01,4.766233,2023-10-27 12:40:42
2017-08-01,4.47294,2023-10-27 12:40:42
