date,value,created_at
2024-02-01,4.504081,2024-03-01 23:00:39
2024-02-01,4.460122,2024-03-02 15:08:32
2024-01-01,4.490627,2024-02-07 23:05:30
2024-01-01,4.632858,2024-02-02 23:00:39
2024-01-01,5.057285,2024-02-01 23:04:54
2024-01-01,4.523761,2024-02-06 23:04:47
2023-12-01,4.705784,2024-02-02 23:00:39
2023-12-01,5.3611,2024-01-23 23:06:22
2023-12-01,5.303304,2024-02-01 23:04:54
2023-12-01,5.510161,2024-01-01 23:04:59
2023-12-01,4.594331,2024-02-06 23:04:47
2023-12-01,4.568939,2024-02-07 23:05:30
2023-11-01,5.16204,2024-02-01 23:04:54
2023-11-01,4.532353,2024-02-02 23:00:39
2023-11-01,4.408337,2024-02-06 23:04:47
2023-11-01,5.279091,2023-12-22 02:32:53
2023-11-01,5.219836,2024-01-23 23:06:22
2023-10-01,4.595287,2024-02-06 23:04:47
2023-10-01,4.637333,2024-02-02 23:00:39
2023-10-01,5.173745,2024-02-01 23:04:54
2023-10-01,5.228366,2024-01-23 23:06:22
2023-10-01,5.257432,2023-12-22 02:32:53
2023-09-01,4.826366,2023-12-22 02:32:53
2023-09-01,4.801867,2024-02-01 23:04:54
2023-09-01,4.819898,2023-10-27 12:40:42
2023-09-01,4.597761,2024-02-02 23:00:39
2023-09-01,4.58403,2024-02-06 23:04:47
2023-08-01,5.002134,2023-10-27 12:40:42
2023-08-01,5.008602,2023-12-22 02:32:53
2023-08-01,4.984103,2024-02-01 23:04:54
2023-08-01,4.942414,2024-02-06 23:04:47
2023-08-01,4.943583,2024-02-02 23:00:39
2023-07-01,4.911743,2024-02-06 23:04:47
2023-07-01,4.952313,2023-12-22 02:32:53
2023-07-01,4.945845,2023-10-27 12:40:42
2023-07-01,4.931267,2024-02-02 23:00:39
2023-06-01,4.806843,2024-02-02 23:00:39
2023-06-01,4.804113,2023-10-27 12:40:42
2023-06-01,4.788488,2024-02-06 23:04:47
2023-05-01,4.576619,2023-10-27 12:40:42
2023-05-01,4.596093,2024-02-02 23:00:39
2023-05-01,4.577739,2024-02-06 23:04:47
2023-04-01,4.586668,2023-12-22 02:32:53
2023-04-01,4.574621,2024-02-17 23:04:54
2023-04-01,4.603326,2023-10-27 12:40:42
2023-03-01,4.600057,2023-10-27 12:40:42
2023-03-01,4.571353,2024-02-17 23:04:54
