date,value,created_at
2024-02-01,2.032474,2024-03-01 23:00:38
2024-01-01,2.181331,2024-02-07 23:05:29
2024-01-01,2.189752,2024-02-06 23:04:46
2024-01-01,2.985485,2024-02-01 23:04:53
2024-01-01,2.218885,2024-02-02 23:00:37
2023-12-01,3.003294,2024-01-01 23:04:58
2023-12-01,2.881923,2024-01-23 23:06:21
2023-12-01,1.905538,2024-02-02 23:00:37
2023-12-01,1.847272,2024-02-07 23:05:29
2023-12-01,1.855693,2024-02-06 23:04:46
2023-11-01,2.901009,2023-12-22 02:32:53
2023-11-01,2.899732,2024-01-01 23:04:58
2023-11-01,1.816203,2024-02-07 23:05:29
2023-11-01,1.905538,2024-02-02 23:00:37
2023-11-01,1.845337,2024-02-06 23:04:46
2023-10-01,1.745017,2024-02-06 23:04:46
2023-10-01,1.776086,2024-02-02 23:00:37
2023-10-01,2.460871,2023-12-22 02:32:53
2023-10-01,2.459594,2024-01-01 23:04:58
2023-09-01,2.045347,2024-02-02 23:00:37
2023-09-01,2.356032,2023-10-27 12:40:41
2023-09-01,2.034991,2024-02-06 23:04:46
2023-08-01,2.090642,2023-10-27 12:40:41
2023-07-01,2.012971,2023-10-27 12:40:41
2023-06-01,1.805847,2023-10-27 12:40:41
2023-05-01,1.760552,2023-10-27 12:40:41
2023-04-01,1.801976,2023-10-27 12:40:41
2023-03-01,1.905538,2023-10-27 12:40:41
2023-02-01,1.905538,2023-10-27 12:40:41
2023-01-01,1.967675,2023-10-27 12:40:41
2022-12-01,2.008657,2023-10-27 12:40:41
2022-11-01,1.925807,2023-10-27 12:40:41
2022-10-01,1.884382,2023-10-27 12:40:41
2022-09-01,1.739839,2023-10-27 12:40:41
2022-08-01,1.760552,2023-10-27 12:40:41
2022-07-01,1.79162,2023-10-27 12:40:41
2022-06-01,1.812333,2023-10-27 12:40:41
2022-05-01,1.812333,2023-10-27 12:40:41
2022-04-01,1.769872,2023-10-27 12:40:41
2022-03-01,1.697379,2023-10-27 12:40:41
2022-02-01,1.780228,2023-10-27 12:40:41
2022-01-01,1.781264,2023-10-27 12:40:41
2021-12-01,1.770908,2023-10-27 12:40:41
2021-11-01,1.795491,2023-10-27 12:40:41
2021-10-01,1.847272,2023-10-27 12:40:41
2021-09-01,1.857628,2023-10-27 12:40:41
2021-08-01,1.708771,2023-10-27 12:40:41
2021-07-01,1.605209,2023-10-27 12:40:41
