date,value,created_at
2024-02-01,3.433333,2024-03-01 23:00:37
2024-01-01,4.1,2024-02-02 23:00:37
2024-01-01,5.166667,2024-02-01 23:04:53
2023-12-01,4.6,2024-02-02 23:00:37
2023-12-01,5.083333,2024-01-01 23:04:58
2023-12-01,4.666667,2024-01-23 23:06:21
2023-11-01,5.083333,2023-12-22 02:32:52
2023-11-01,5.0,2024-01-23 23:06:21
2023-10-01,4.583333,2023-12-22 02:32:52
2023-09-01,4.583333,2023-10-27 12:40:41
2023-08-01,4.166667,2023-10-27 12:40:41
2023-08-01,4.083333,2024-02-02 23:00:37
2023-07-01,4.391667,2023-10-27 12:40:41
2023-07-01,4.525,2023-12-22 02:32:52
2023-07-01,4.441667,2024-02-02 23:00:37
2023-06-01,4.191667,2023-12-22 02:32:52
2023-06-01,4.108333,2024-02-02 23:00:37
2023-06-01,4.058333,2023-10-27 12:40:41
2023-05-01,4.608333,2023-12-22 02:32:52
2023-05-01,4.475,2023-10-27 12:40:41
2023-04-01,4.666667,2023-10-27 12:40:41
2023-03-01,5.0,2023-10-27 12:40:41
2023-02-01,4.666667,2023-10-27 12:40:41
2023-01-01,4.333333,2023-10-27 12:40:41
2022-12-01,3.75,2023-10-27 12:40:41
2022-11-01,3.583333,2023-10-27 12:40:41
2022-10-01,3.813333,2023-10-27 12:40:41
2022-10-01,3.833333,2023-12-22 02:32:52
2022-09-01,4.313333,2023-10-27 12:40:41
2022-09-01,4.333333,2023-12-22 02:32:52
2022-08-01,4.813333,2023-10-27 12:40:41
2022-08-01,4.833333,2023-12-22 02:32:52
2022-07-01,4.916667,2023-10-27 12:40:41
2022-06-01,4.5,2023-10-27 12:40:41
2022-05-01,4.0,2023-10-27 12:40:41
2022-04-01,3.583333,2023-10-27 12:40:41
2022-03-01,3.475,2023-10-27 12:40:41
2022-03-01,3.416667,2023-12-22 02:32:52
2022-02-01,3.916667,2023-12-22 02:32:52
2022-02-01,3.975,2023-10-27 12:40:41
2022-01-01,3.833333,2023-10-27 12:40:41
2021-12-01,4.15,2023-12-22 02:32:52
2021-12-01,4.091667,2023-10-27 12:40:41
2021-11-01,3.716667,2023-10-27 12:40:41
2021-11-01,3.775,2023-12-22 02:32:52
2021-10-01,3.775,2023-10-27 12:40:41
2021-09-01,3.723333,2023-10-27 12:40:41
2021-08-01,3.598333,2023-10-27 12:40:41
2021-07-01,3.723333,2023-10-27 12:40:41
2021-06-01,3.641667,2023-10-27 12:40:41
2021-05-01,3.808333,2023-10-27 12:40:41
2021-04-01,4.183333,2023-10-27 12:40:41
2021-03-01,4.0,2023-10-27 12:40:41
2021-02-01,3.833333,2023-10-27 12:40:41
2021-01-01,3.333333,2023-10-27 12:40:41
2020-12-01,3.666667,2023-10-27 12:40:41
2020-11-01,3.666667,2023-10-27 12:40:41
2020-10-01,3.916667,2023-10-27 12:40:41
2020-09-01,3.75,2023-10-27 12:40:41
2020-08-01,3.916667,2023-10-27 12:40:41
2020-07-01,3.791667,2023-10-27 12:40:41
2020-06-01,3.625,2023-10-27 12:40:41
2020-05-01,3.291667,2023-10-27 12:40:41
2020-04-01,3.225,2023-10-27 12:40:41
2020-03-01,3.491667,2023-10-27 12:40:41
2020-02-01,3.658333,2023-10-27 12:40:41
2020-01-01,3.766667,2023-10-27 12:40:41
2019-12-01,3.666667,2023-10-27 12:40:41
2019-11-01,3.666667,2023-10-27 12:40:41
2019-10-01,3.5,2023-10-27 12:40:41
2019-09-01,3.5,2023-10-27 12:40:41
2019-08-01,3.5,2023-10-27 12:40:41
2019-07-01,3.5,2023-10-27 12:40:41
2019-06-01,3.666667,2023-10-27 12:40:41
2019-05-01,3.725,2023-10-27 12:40:41
2019-04-01,3.558333,2023-10-27 12:40:41
2019-03-01,3.475,2023-10-27 12:40:41
2019-02-01,3.416667,2023-10-27 12:40:41
2019-01-01,3.583333,2023-10-27 12:40:41
2018-12-01,3.416667,2023-10-27 12:40:41
2018-11-01,3.416667,2023-10-27 12:40:41
2018-10-01,3.416667,2023-10-27 12:40:41
2018-09-01,3.433333,2023-10-27 12:40:41
2018-08-01,3.35,2023-10-27 12:40:41
2018-07-01,3.258333,2023-10-27 12:40:41
2018-06-01,3.325,2023-10-27 12:40:41
2018-05-01,3.401667,2023-10-27 12:40:41
2018-04-01,3.326667,2023-10-27 12:40:41
2018-03-01,3.326667,2023-10-27 12:40:41
2018-02-01,3.333333,2023-10-27 12:40:41
2018-01-01,3.466667,2023-10-27 12:40:41
2017-12-01,3.3,2023-10-27 12:40:41
2017-11-01,3.3,2023-10-27 12:40:41
2017-10-01,3.166667,2023-10-27 12:40:41
2017-09-01,3.333333,2023-10-27 12:40:41
2017-08-01,3.375,2023-10-27 12:40:41
2017-07-01,3.441667,2023-10-27 12:40:41
2017-06-01,3.275,2023-10-27 12:40:41
2017-05-01,3.066667,2023-10-27 12:40:41
2017-04-01,3.041667,2023-10-27 12:40:41
2017-03-01,3.208333,2023-10-27 12:40:41
2017-02-01,3.291667,2023-10-27 12:40:41
2017-01-01,3.25,2023-10-27 12:40:41
2016-12-01,3.25,2023-10-27 12:40:41
2016-11-01,3.166667,2023-10-27 12:40:41
2016-10-01,3.333333,2023-10-27 12:40:41
2016-09-01,3.333333,2023-10-27 12:40:41
2016-08-01,3.466667,2023-10-27 12:40:41
2016-07-01,3.34,2023-10-27 12:40:41
2016-06-01,3.173333,2023-10-27 12:40:41
2016-05-01,3.206667,2023-10-27 12:40:41
2016-04-01,3.308333,2023-10-27 12:40:41
2016-03-01,3.391667,2023-10-27 12:40:41
2016-02-01,3.225,2023-10-27 12:40:41
2016-01-01,3.083333,2023-10-27 12:40:41
2015-12-01,3.083333,2023-10-27 12:40:41
2015-11-01,3.25,2023-10-27 12:40:41
2015-10-01,3.25,2023-10-27 12:40:41
2015-09-01,3.283333,2023-10-27 12:40:41
2015-08-01,3.308333,2023-10-27 12:40:41
2015-07-01,3.475,2023-10-27 12:40:41
2015-06-01,3.358333,2023-10-27 12:40:41
2015-05-01,3.158333,2023-10-27 12:40:41
2015-04-01,2.991667,2023-10-27 12:40:41
2015-03-01,2.991667,2023-10-27 12:40:41
2015-02-01,3.0,2023-10-27 12:40:41
2015-01-01,2.916667,2023-10-27 12:40:41
2014-12-01,2.958333,2023-10-27 12:40:41
2014-11-01,2.958333,2023-10-27 12:40:41
2014-10-01,3.041667,2023-10-27 12:40:41
2014-09-01,3.033333,2023-10-27 12:40:41
2014-08-01,3.091667,2023-10-27 12:40:41
2014-07-01,3.131667,2023-10-27 12:40:41
2014-06-01,3.131667,2023-10-27 12:40:41
2014-05-01,3.14,2023-10-27 12:40:41
2014-04-01,3.15,2023-10-27 12:40:41
2014-03-01,3.2,2023-10-27 12:40:41
2014-02-01,3.133333,2023-10-27 12:40:41
2014-01-01,3.175,2023-10-27 12:40:41
2013-12-01,3.2,2023-10-27 12:40:41
2013-11-01,3.2,2023-10-27 12:40:41
2013-10-01,3.15,2023-10-27 12:40:41
2013-09-01,3.125,2023-10-27 12:40:41
2013-08-01,3.218333,2023-10-27 12:40:41
2013-07-01,3.176667,2023-10-27 12:40:41
2013-06-01,3.16,2023-10-27 12:40:41
2013-05-01,3.191667,2023-10-27 12:40:41
2013-04-01,3.358333,2023-10-27 12:40:41
2013-03-01,3.291667,2023-10-27 12:40:41
2013-02-01,3.166667,2023-10-27 12:40:41
2013-01-01,3.333333,2023-10-27 12:40:41
2012-12-01,3.333333,2023-10-27 12:40:41
2012-11-01,3.4,2023-10-27 12:40:41
2012-10-01,3.133333,2023-10-27 12:40:41
2012-09-01,3.083333,2023-10-27 12:40:41
2012-08-01,3.1,2023-10-27 12:40:41
2012-07-01,3.083333,2023-10-27 12:40:41
2012-06-01,3.048333,2023-10-27 12:40:41
2012-05-01,2.965,2023-10-27 12:40:41
2012-04-01,3.081667,2023-10-27 12:40:41
2012-03-01,3.166667,2023-10-27 12:40:41
2012-02-01,3.25,2023-10-27 12:40:41
2012-01-01,3.0,2023-10-27 12:40:41
