date,value,created_at
2024-02-01,5.00643,2024-03-01 23:00:39
2024-02-01,4.952832,2024-03-02 15:08:32
2024-01-01,4.920448,2024-02-06 23:04:47
2024-01-01,4.968601,2024-02-02 23:00:39
2024-01-01,5.252295,2024-02-01 23:04:54
2024-01-01,4.867754,2024-02-07 23:05:30
2023-12-01,4.860598,2024-02-07 23:05:30
2023-12-01,4.87558,2024-02-06 23:04:47
2023-12-01,5.409535,2024-02-01 23:04:54
2023-12-01,5.432263,2024-01-23 23:06:22
2023-12-01,5.543885,2024-01-01 23:04:59
2023-12-01,5.009533,2024-02-02 23:00:39
2023-11-01,5.358091,2024-01-23 23:06:22
2023-11-01,4.948127,2024-02-02 23:00:39
2023-11-01,5.335362,2024-02-01 23:04:54
2023-11-01,4.775319,2024-02-07 23:05:30
2023-11-01,4.792489,2024-02-06 23:04:47
2023-11-01,5.399531,2023-12-22 02:32:53
2023-10-01,5.324785,2023-12-22 02:32:53
2023-10-01,5.309598,2024-01-23 23:06:22
2023-10-01,5.295457,2024-02-01 23:04:54
2023-10-01,4.84869,2024-02-06 23:04:47
2023-10-01,4.972698,2024-02-02 23:00:39
2023-09-01,4.863868,2024-02-06 23:04:47
2023-09-01,4.948782,2023-10-27 12:40:42
2023-09-01,4.967469,2023-12-22 02:32:53
2023-09-01,4.956573,2024-02-01 23:04:54
2023-09-01,4.885553,2024-02-02 23:00:39
2023-08-01,4.933423,2024-02-01 23:04:54
2023-08-01,4.935373,2023-10-27 12:40:42
2023-08-01,4.925689,2024-02-02 23:00:39
2023-08-01,4.944318,2023-12-22 02:32:53
2023-07-01,5.017549,2023-12-22 02:32:53
2023-07-01,5.002025,2024-02-06 23:04:47
2023-07-01,5.00945,2023-10-27 12:40:42
2023-07-01,4.995932,2024-02-02 23:00:39
2023-06-01,5.088172,2023-10-27 12:40:42
2023-06-01,5.079449,2024-02-02 23:00:39
2023-06-01,5.093332,2023-12-22 02:32:53
2023-06-01,5.085542,2024-02-06 23:04:47
2023-05-01,5.072996,2023-10-27 12:40:42
2023-05-01,5.068887,2023-12-22 02:32:53
2023-05-01,5.055004,2024-02-02 23:00:39
2023-05-01,5.061096,2024-02-06 23:04:47
2023-04-01,5.220257,2023-10-27 12:40:42
2023-04-01,5.257819,2023-12-22 02:32:53
2023-03-01,5.341099,2023-12-22 02:32:53
2023-03-01,5.303538,2023-10-27 12:40:42
2023-02-01,5.392232,2023-10-27 12:40:42
2023-02-01,5.429793,2023-12-22 02:32:53
2023-01-01,5.037176,2023-10-27 12:40:42
2022-12-01,4.859504,2023-10-27 12:40:42
2022-11-01,4.765463,2023-12-22 02:32:53
2022-11-01,4.780041,2023-10-27 12:40:42
2022-10-01,4.939492,2023-10-27 12:40:42
2022-10-01,4.912244,2023-12-22 02:32:53
2022-09-01,4.946149,2023-10-27 12:40:42
2022-09-01,4.918901,2023-12-22 02:32:53
2022-08-01,5.00364,2023-12-22 02:32:53
2022-08-01,5.028344,2023-10-27 12:40:42
2022-07-01,4.915823,2023-10-27 12:40:42
2022-07-01,4.907688,2023-12-22 02:32:53
2022-06-01,4.826431,2023-10-27 12:40:42
2022-06-01,4.829272,2023-12-22 02:32:53
2022-05-01,4.572913,2023-12-22 02:32:53
2022-05-01,4.562938,2023-10-27 12:40:42
2022-04-01,4.532539,2023-12-22 02:32:53
2022-04-01,4.526462,2023-10-27 12:40:42
2022-03-01,4.480731,2023-12-22 02:32:53
2022-03-01,4.48563,2023-10-27 12:40:42
2022-02-01,4.648575,2023-10-27 12:40:42
2022-01-01,4.494118,2023-10-27 12:40:42
2021-12-01,4.460971,2023-10-27 12:40:42
2021-11-01,4.360376,2023-10-27 12:40:42
2021-10-01,4.306988,2023-10-27 12:40:42
2021-10-01,4.3158,2023-12-22 02:32:53
2021-09-01,4.3062,2023-10-27 12:40:42
2021-09-01,4.315012,2023-12-22 02:32:53
2021-08-01,4.305595,2023-10-27 12:40:42
2021-08-01,4.314407,2023-12-22 02:32:53
2021-07-01,4.392216,2023-10-27 12:40:42
2021-06-01,4.258753,2023-10-27 12:40:42
2021-05-01,4.212523,2023-10-27 12:40:42
2021-04-01,4.210119,2023-10-27 12:40:42
2021-03-01,4.27953,2023-10-27 12:40:42
2021-02-01,4.258654,2023-10-27 12:40:42
2021-01-01,4.156907,2023-10-27 12:40:42
2020-12-01,4.089557,2023-12-22 02:32:53
2020-12-01,4.08294,2023-10-27 12:40:42
2020-11-01,4.103638,2023-12-22 02:32:53
2020-11-01,4.097021,2023-10-27 12:40:42
2020-10-01,4.176251,2023-10-27 12:40:42
2020-10-01,4.182868,2023-12-22 02:32:53
2020-09-01,4.325359,2023-10-27 12:40:42
2020-08-01,4.436638,2023-10-27 12:40:42
2020-07-01,4.500312,2023-10-27 12:40:42
2020-06-01,4.45011,2023-10-27 12:40:42
2020-05-01,4.591661,2023-10-27 12:40:42
2020-04-01,4.669886,2023-10-27 12:40:42
2020-03-01,4.655075,2023-10-27 12:40:42
2020-02-01,4.517197,2023-10-27 12:40:42
2020-01-01,4.512035,2023-10-27 12:40:42
2019-12-01,4.226369,2023-10-27 12:40:42
2019-11-01,4.0453,2023-10-27 12:40:42
2019-10-01,4.016301,2023-10-27 12:40:42
2019-09-01,4.249128,2023-10-27 12:40:42
2019-08-01,4.329071,2023-10-27 12:40:42
2019-07-01,4.004126,2023-10-27 12:40:42
2019-06-01,4.021708,2023-10-27 12:40:42
2019-05-01,4.110987,2023-10-27 12:40:42
2019-04-01,4.36508,2023-10-27 12:40:42
2019-03-01,4.380928,2023-10-27 12:40:42
2019-02-01,4.196568,2023-10-27 12:40:42
2019-01-01,4.117039,2023-10-27 12:40:42
2018-12-01,3.975892,2023-10-27 12:40:42
2018-11-01,4.013604,2023-10-27 12:40:42
2018-10-01,4.13662,2023-10-27 12:40:42
2018-09-01,4.256363,2023-10-27 12:40:42
2018-08-01,4.425478,2023-10-27 12:40:42
2018-07-01,4.344106,2023-10-27 12:40:42
2018-06-01,4.307425,2023-10-27 12:40:42
2018-05-01,4.208166,2023-10-27 12:40:42
2018-04-01,4.290601,2023-10-27 12:40:42
2018-03-01,4.352958,2023-10-27 12:40:42
2018-02-01,4.479116,2023-10-27 12:40:42
2018-01-01,4.369447,2023-10-27 12:40:42
2017-12-01,4.254381,2023-10-27 12:40:42
2017-11-01,4.105874,2023-10-27 12:40:42
2017-10-01,4.025691,2023-10-27 12:40:42
2017-09-01,4.078773,2023-10-27 12:40:42
2017-08-01,4.042128,2023-10-27 12:40:42
2017-07-01,4.05487,2023-10-27 12:40:42
2017-06-01,4.086132,2023-10-27 12:40:42
2017-05-01,4.136196,2023-10-27 12:40:42
2017-04-01,4.246638,2023-10-27 12:40:42
2017-03-01,4.156039,2023-10-27 12:40:42
2017-02-01,4.052821,2023-10-27 12:40:42
2017-01-01,4.141117,2023-10-27 12:40:42
2016-12-01,4.139875,2023-10-27 12:40:42
2016-11-01,4.091044,2023-10-27 12:40:42
2016-10-01,3.853211,2023-10-27 12:40:42
2016-09-01,3.923583,2023-10-27 12:40:42
2016-08-01,3.901564,2023-10-27 12:40:42
2016-07-01,4.100371,2023-10-27 12:40:42
2016-06-01,4.163235,2023-10-27 12:40:42
2016-05-01,4.367447,2023-10-27 12:40:42
2016-04-01,4.463245,2023-10-27 12:40:42
2016-03-01,4.493974,2023-10-27 12:40:42
2016-02-01,4.435144,2023-10-27 12:40:42
2016-01-01,4.295888,2023-10-27 12:40:42
2015-12-01,4.192255,2023-10-27 12:40:42
2015-11-01,4.131888,2023-10-27 12:40:42
2015-10-01,4.128682,2023-10-27 12:40:42
2015-09-01,4.214561,2023-10-27 12:40:42
2015-08-01,4.284258,2023-10-27 12:40:42
2015-07-01,4.26959,2023-10-27 12:40:42
2015-06-01,4.285593,2023-10-27 12:40:42
2015-05-01,4.165088,2023-10-27 12:40:42
2015-04-01,4.35589,2023-10-27 12:40:42
2015-03-01,4.394749,2023-10-27 12:40:42
2015-02-01,4.476207,2023-10-27 12:40:42
