date,value,created_at
2024-02-01,14.666667,2024-03-01 23:00:30
2024-01-01,14.858333,2024-02-01 23:04:50
2024-01-01,14.663333,2024-02-06 23:04:43
2024-01-01,14.666667,2024-02-02 23:00:32
2023-12-01,14.493333,2024-02-06 23:04:43
2023-12-01,15.0,2024-01-01 23:04:55
2023-12-01,14.858333,2024-01-23 23:06:18
2023-12-01,14.581667,2024-02-02 23:00:32
2023-11-01,14.578333,2024-02-02 23:00:32
2023-11-01,14.49,2024-02-06 23:04:43
2023-11-01,14.666667,2023-12-22 02:32:50
2023-10-01,14.578333,2024-02-02 23:00:32
2023-10-01,14.666667,2023-12-22 02:32:50
2023-10-01,14.493333,2024-02-06 23:04:43
2023-09-01,14.666667,2023-10-27 12:40:38
2023-09-01,14.663333,2024-02-02 23:00:32
2023-08-01,15.0,2023-10-27 12:40:38
2023-07-01,15.0,2023-10-27 12:40:38
2023-06-01,15.0,2023-10-27 12:40:38
2023-05-01,14.666667,2023-10-27 12:40:38
2023-04-01,14.666667,2023-10-27 12:40:38
2023-03-01,14.666667,2023-10-27 12:40:38
2023-02-01,15.0,2023-10-27 12:40:38
2023-01-01,14.666667,2023-10-27 12:40:38
2022-12-01,14.498333,2023-10-27 12:40:38
2022-12-01,14.663333,2024-01-01 23:04:55
2022-11-01,14.498333,2023-10-27 12:40:38
2022-11-01,14.663333,2024-01-01 23:04:55
2022-10-01,14.165,2023-12-22 02:32:50
2022-10-01,14.33,2023-10-27 12:40:38
2022-09-01,14.333333,2023-12-22 02:32:50
2022-09-01,14.498333,2023-10-27 12:40:38
2022-08-01,14.498333,2023-10-27 12:40:38
2022-08-01,14.333333,2023-12-22 02:32:50
2022-07-01,15.0,2023-10-27 12:40:38
2022-06-01,14.831667,2023-10-27 12:40:38
2022-05-01,14.413333,2023-10-27 12:40:38
2022-04-01,14.08,2023-10-27 12:40:38
2022-03-01,13.293636,2023-10-27 12:40:38
2022-02-01,13.378636,2023-10-27 12:40:38
2022-01-01,13.041969,2023-10-27 12:40:38
2021-12-01,13.828333,2023-10-27 12:40:38
2021-11-01,14.161667,2023-10-27 12:40:38
2021-10-01,13.831667,2023-10-27 12:40:38
2021-09-01,13.0,2023-10-27 12:40:38
2021-08-01,12.0,2023-10-27 12:40:38
2021-07-01,12.0,2023-10-27 12:40:38
2021-06-01,12.33,2023-10-27 12:40:38
2021-05-01,12.33,2023-10-27 12:40:38
2021-04-01,12.33,2023-10-27 12:40:38
2021-03-01,12.0,2023-10-27 12:40:38
2021-02-01,12.0,2023-10-27 12:40:38
2021-01-01,12.0,2023-10-27 12:40:38
2020-12-01,12.0,2023-10-27 12:40:38
2020-11-01,12.0,2023-10-27 12:40:38
2020-10-01,12.333333,2023-10-27 12:40:38
2020-09-01,12.333333,2023-10-27 12:40:38
2020-08-01,12.333333,2023-10-27 12:40:38
2020-07-01,12.0,2023-10-27 12:40:38
2020-06-01,12.333333,2023-10-27 12:40:38
2020-05-01,12.333333,2023-10-27 12:40:38
2020-04-01,12.333333,2023-10-27 12:40:38
2020-03-01,12.666667,2023-10-27 12:40:38
2020-02-01,12.995,2023-10-27 12:40:38
2020-01-01,13.395,2023-10-27 12:40:38
2019-12-01,12.728333,2023-10-27 12:40:38
2019-11-01,13.063333,2023-10-27 12:40:38
2019-10-01,12.663333,2023-10-27 12:40:38
2019-09-01,12.993333,2023-10-27 12:40:38
2019-08-01,12.996667,2023-10-27 12:40:38
2019-07-01,12.996667,2023-10-27 12:40:38
2019-06-01,12.666667,2023-10-27 12:40:38
2019-05-01,12.0,2023-10-27 12:40:38
2019-04-01,12.0,2023-10-27 12:40:38
2019-03-01,12.08,2023-10-27 12:40:38
2019-02-01,12.08,2023-10-27 12:40:38
2019-01-01,12.746667,2023-10-27 12:40:38
2018-12-01,12.666667,2023-10-27 12:40:38
2018-11-01,12.666667,2023-10-27 12:40:38
2018-10-01,12.0,2023-10-27 12:40:38
2018-09-01,12.0,2023-10-27 12:40:38
2018-08-01,12.0,2023-10-27 12:40:38
2018-07-01,12.998333,2023-10-27 12:40:38
2018-06-01,12.998333,2023-10-27 12:40:38
2018-05-01,12.998333,2023-10-27 12:40:38
2018-04-01,12.0,2023-10-27 12:40:38
2018-03-01,12.0,2023-10-27 12:40:38
2018-02-01,12.333333,2023-10-27 12:40:38
2018-01-01,12.333333,2023-10-27 12:40:38
2017-12-01,12.333333,2023-10-27 12:40:38
2017-11-01,13.0,2023-10-27 12:40:38
2017-10-01,13.0,2023-10-27 12:40:38
2017-09-01,13.288333,2023-10-27 12:40:38
2017-08-01,13.285,2023-10-27 12:40:38
2017-07-01,13.285,2023-10-27 12:40:38
2017-06-01,12.996667,2023-10-27 12:40:38
2017-05-01,12.0,2023-10-27 12:40:38
2017-04-01,12.996667,2023-10-27 12:40:38
2017-03-01,12.996667,2023-10-27 12:40:38
2017-02-01,12.996667,2023-10-27 12:40:38
2017-01-01,12.0,2023-10-27 12:40:38
2016-12-01,12.0,2023-10-27 12:40:38
2016-11-01,12.0,2023-10-27 12:40:38
2016-10-01,12.333333,2023-10-27 12:40:38
2016-09-01,12.666667,2023-10-27 12:40:38
2016-08-01,13.25,2023-10-27 12:40:38
2016-07-01,13.583333,2023-10-27 12:40:38
2016-06-01,13.25,2023-10-27 12:40:38
2016-05-01,13.0,2023-10-27 12:40:38
2016-04-01,12.333333,2023-10-27 12:40:38
2016-03-01,12.666667,2023-10-27 12:40:38
2016-02-01,12.333333,2023-10-27 12:40:38
2016-01-01,12.333333,2023-10-27 12:40:38
2015-12-01,12.0,2023-10-27 12:40:38
2015-11-01,12.0,2023-10-27 12:40:38
2015-10-01,12.0,2023-10-27 12:40:38
2015-09-01,12.0,2023-10-27 12:40:38
2015-08-01,12.0,2023-10-27 12:40:38
2015-07-01,12.0,2023-10-27 12:40:38
2015-06-01,11.333333,2023-10-27 12:40:38
2015-05-01,11.666667,2023-10-27 12:40:38
2015-04-01,11.666667,2023-10-27 12:40:38
2015-03-01,12.333333,2023-10-27 12:40:38
2015-02-01,11.666667,2023-10-27 12:40:38
2015-01-01,11.666667,2023-10-27 12:40:38
2014-12-01,11.666667,2023-10-27 12:40:38
2014-11-01,12.0,2023-10-27 12:40:38
