date,value,created_at
2023-10-01,113.884075,2024-02-27 23:02:03
2023-07-01,116.99,2023-11-06 23:01:40
2023-07-01,121.365836,2023-10-27 23:01:30
2023-04-01,111.535,2023-08-01 00:00:00
2023-01-01,117.233,2023-08-01 00:00:00
2022-10-01,111.991,2023-08-01 00:00:00
2022-07-01,115.111,2023-08-01 00:00:00
2022-04-01,115.339,2023-08-01 00:00:00
2022-01-01,104.603,2023-08-01 00:00:00
2021-10-01,99.574,2023-08-01 00:00:00
2021-07-01,101.685,2023-08-01 00:00:00
2021-04-01,90.26,2023-08-01 00:00:00
2021-01-01,75.841,2023-08-01 00:00:00
2020-10-01,72.692,2023-08-01 00:00:00
2020-07-01,75.86,2023-08-01 00:00:00
2020-04-01,69.568,2023-08-01 00:00:00
2020-01-01,98.875,2023-08-01 00:00:00
2019-10-01,100.192,2023-08-01 00:00:00
2019-07-01,101.783,2023-08-01 00:00:00
2019-04-01,105.043,2023-08-01 00:00:00
2019-01-01,102.897,2023-08-01 00:00:00
2018-10-01,100.879,2023-08-01 00:00:00
2018-07-01,101.812,2023-08-01 00:00:00
2018-04-01,104.508,2023-08-01 00:00:00
2018-01-01,101.432,2023-08-01 00:00:00
2017-10-01,99.486,2023-08-01 00:00:00
2017-07-01,100.107,2023-08-01 00:00:00
2017-04-01,102.043,2023-08-01 00:00:00
2017-01-01,100.0,2023-08-01 00:00:00
2016-12-01,96.101,2023-08-01 00:00:00
2016-11-01,98.014,2023-08-01 00:00:00
2016-10-01,104.566,2023-08-01 00:00:00
2016-09-01,105.578,2023-08-01 00:00:00
2016-08-01,107.997,2023-08-01 00:00:00
2016-07-01,109.309,2023-08-01 00:00:00
2016-06-01,110.785,2023-08-01 00:00:00
2016-05-01,107.17,2023-08-01 00:00:00
2016-04-01,103.968,2023-08-01 00:00:00
2016-03-01,104.715,2023-08-01 00:00:00
2016-02-01,102.151,2023-08-01 00:00:00
2016-01-01,98.065,2023-08-01 00:00:00
2015-12-01,93.065,2023-08-01 00:00:00
2015-11-01,95.861,2023-08-01 00:00:00
2015-10-01,100.184,2023-08-01 00:00:00
2015-09-01,101.782,2023-08-01 00:00:00
2015-08-01,104.274,2023-08-01 00:00:00
2015-07-01,107.618,2023-08-01 00:00:00
2015-06-01,103.762,2023-08-01 00:00:00
2015-05-01,103.22,2023-08-01 00:00:00
2015-04-01,102.617,2023-08-01 00:00:00
2015-03-01,102.387,2023-08-01 00:00:00
2015-02-01,98.043,2023-08-01 00:00:00
2015-01-01,95.514,2023-08-01 00:00:00
2014-12-01,91.346,2023-08-01 00:00:00
2014-11-01,93.262,2023-08-01 00:00:00
2014-10-01,98.163,2023-08-01 00:00:00
2014-09-01,99.85,2023-08-01 00:00:00
2014-08-01,102.546,2023-08-01 00:00:00
2014-07-01,104.548,2023-08-01 00:00:00
2014-06-01,102.962,2023-08-01 00:00:00
2014-05-01,102.24,2023-08-01 00:00:00
2014-04-01,97.676,2023-08-01 00:00:00
2014-03-01,97.471,2023-08-01 00:00:00
2014-02-01,92.724,2023-08-01 00:00:00
2014-01-01,89.595,2023-08-01 00:00:00
2013-12-01,85.916,2023-08-01 00:00:00
2013-11-01,88.17,2023-08-01 00:00:00
2013-10-01,90.547,2023-08-01 00:00:00
2013-09-01,95.058,2023-08-01 00:00:00
2013-08-01,98.275,2023-08-01 00:00:00
2013-07-01,101.366,2023-08-01 00:00:00
2013-06-01,99.891,2023-08-01 00:00:00
2013-05-01,97.391,2023-08-01 00:00:00
2013-04-01,94.615,2023-08-01 00:00:00
2013-03-01,94.367,2023-08-01 00:00:00
2013-02-01,91.07,2023-08-01 00:00:00
2013-01-01,88.234,2023-08-01 00:00:00
2012-12-01,84.911,2023-08-01 00:00:00
2012-11-01,87.134,2023-08-01 00:00:00
2012-10-01,92.161,2023-08-01 00:00:00
2012-09-01,93.674,2023-08-01 00:00:00
2012-08-01,96.072,2023-08-01 00:00:00
2012-07-01,98.694,2023-08-01 00:00:00
2012-06-01,99.149,2023-08-01 00:00:00
2012-05-01,95.279,2023-08-01 00:00:00
2012-04-01,93.016,2023-08-01 00:00:00
2012-03-01,93.001,2023-08-01 00:00:00
2012-02-01,90.051,2023-08-01 00:00:00
2012-01-01,86.609,2023-08-01 00:00:00
2011-12-01,84.325,2023-08-01 00:00:00
2011-11-01,86.007,2023-08-01 00:00:00
2011-10-01,89.866,2023-08-01 00:00:00
2011-09-01,92.307,2023-08-01 00:00:00
2011-08-01,95.493,2023-08-01 00:00:00
2011-07-01,98.78,2023-08-01 00:00:00
2011-06-01,95.827,2023-08-01 00:00:00
2011-05-01,91.54,2023-08-01 00:00:00
2011-04-01,89.897,2023-08-01 00:00:00
2011-03-01,89.824,2023-08-01 00:00:00
2011-02-01,86.59,2023-08-01 00:00:00
2011-01-01,84.653,2023-08-01 00:00:00
2010-12-01,82.702,2023-08-01 00:00:00
2010-11-01,83.386,2023-08-01 00:00:00
2010-10-01,87.911,2023-08-01 00:00:00
2010-09-01,89.372,2023-08-01 00:00:00
2010-08-01,92.136,2023-08-01 00:00:00
2010-07-01,94.346,2023-08-01 00:00:00
2010-06-01,92.449,2023-08-01 00:00:00
2010-05-01,89.583,2023-08-01 00:00:00
2010-04-01,88.405,2023-08-01 00:00:00
2010-03-01,87.579,2023-08-01 00:00:00
2010-02-01,84.891,2023-08-01 00:00:00
2010-01-01,82.776,2023-08-01 00:00:00
