date,value,created_at
1967-01-01,29.3,02-03-24
1967-02-01,29.3,02-03-24
1967-03-01,29.2,02-03-24
1967-04-01,29.2,02-03-24
1967-05-01,29.2,02-03-24
1967-06-01,29.2,02-03-24
1967-07-01,29.2,02-03-24
1967-08-01,29.3,02-03-24
1967-09-01,29.4,02-03-24
1967-10-01,29.4,02-03-24
1967-11-01,29.4,02-03-24
1967-12-01,29.4,02-03-24
1968-01-01,29.5,02-03-24
1968-02-01,29.5,02-03-24
1968-03-01,29.5,02-03-24
1968-04-01,29.6,02-03-24
1968-05-01,29.6,02-03-24
1968-06-01,29.7,02-03-24
1968-07-01,29.7,02-03-24
1968-08-01,29.9,02-03-24
1968-09-01,30,02-03-24
1968-10-01,30,02-03-24
1968-11-01,30.1,02-03-24
1968-12-01,30.2,02-03-24
1969-01-01,30.2,02-03-24
1969-02-01,30.3,02-03-24
1969-03-01,30.4,02-03-24
1969-04-01,30.5,02-03-24
1969-05-01,30.5,02-03-24
1969-06-01,30.6,02-03-24
1969-07-01,30.6,02-03-24
1969-08-01,30.7,02-03-24
1969-09-01,30.8,02-03-24
1969-10-01,30.9,02-03-24
1969-11-01,31.1,02-03-24
1969-12-01,31.4,02-03-24
1970-01-01,31.6,02-03-24
1970-02-01,31.8,02-03-24
1970-03-01,32.1,02-03-24
1970-04-01,32.4,02-03-24
1970-05-01,32.7,02-03-24
1970-06-01,32.8,02-03-24
1970-07-01,33.1,02-03-24
1970-08-01,33.2,02-03-24
1970-09-01,33.4,02-03-24
1970-10-01,33.6,02-03-24
1970-11-01,33.7,02-03-24
1970-12-01,33.8,02-03-24
1971-01-01,33.9,02-03-24
1971-02-01,34,02-03-24
1971-03-01,34.1,02-03-24
1971-04-01,34.2,02-03-24
1971-05-01,34.2,02-03-24
1971-06-01,34.3,02-03-24
1971-07-01,34.4,02-03-24
1971-08-01,34.5,02-03-24
1971-09-01,34.5,02-03-24
1971-10-01,34.5,02-03-24
1971-11-01,34.4,02-03-24
1971-12-01,34.4,02-03-24
1972-01-01,34.4,02-03-24
1972-02-01,34.5,02-03-24
1972-03-01,34.6,02-03-24
1972-04-01,34.6,02-03-24
1972-05-01,34.6,02-03-24
1972-06-01,34.4,02-03-24
1972-07-01,34.4,02-03-24
1972-08-01,34.5,02-03-24
1972-09-01,34.6,02-03-24
1972-10-01,34.7,02-03-24
1972-11-01,34.8,02-03-24
1972-12-01,34.8,02-03-24
1973-01-01,34.9,02-03-24
1973-02-01,35.2,02-03-24
1973-03-01,35.4,02-03-24
1973-04-01,35.7,02-03-24
1973-05-01,36.1,02-03-24
1973-06-01,36.4,02-03-24
1973-07-01,36.5,02-03-24
1973-08-01,36.7,02-03-24
1973-09-01,37.2,02-03-24
1973-10-01,38.1,02-03-24
1973-11-01,38.9,02-03-24
1973-12-01,39.4,02-03-24
1974-01-01,39.9,02-03-24
1974-02-01,41.2,02-03-24
1974-03-01,42.8,02-03-24
1974-04-01,44,02-03-24
1974-05-01,45.1,02-03-24
1974-06-01,46.4,02-03-24
1974-07-01,47.8,02-03-24
1974-08-01,49.6,02-03-24
1974-09-01,51.5,02-03-24
1974-10-01,53,02-03-24
1974-11-01,54.8,02-03-24
1974-12-01,57.1,02-03-24
1975-01-01,57.8,02-03-24
1975-02-01,57.7,02-03-24
1975-03-01,57.4,02-03-24
1975-04-01,56.4,02-03-24
1975-05-01,55.1,02-03-24
1975-06-01,54.1,02-03-24
1975-07-01,53.3,02-03-24
1975-08-01,53.8,02-03-24
1975-09-01,54.3,02-03-24
1975-10-01,54.7,02-03-24
1975-11-01,54.9,02-03-24
1975-12-01,55.1,02-03-24
1976-01-01,55.1,02-03-24
1976-02-01,54.8,02-03-24
1976-03-01,54.6,02-03-24
1976-04-01,54.8,02-03-24
1976-05-01,55.1,02-03-24
1976-06-01,55.5,02-03-24
1976-07-01,56.1,02-03-24
1976-08-01,56.9,02-03-24
1976-09-01,57.3,02-03-24
1976-10-01,58,02-03-24
1976-11-01,59,02-03-24
1976-12-01,60,02-03-24
1977-01-01,60.9,02-03-24
1977-02-01,62.6,02-03-24
1977-03-01,64.1,02-03-24
1977-04-01,66.7,02-03-24
1977-05-01,69.2,02-03-24
1977-06-01,70.8,02-03-24
1977-07-01,70.8,02-03-24
1977-08-01,70.9,02-03-24
1977-09-01,71,02-03-24
1977-10-01,71,02-03-24
1977-11-01,71,02-03-24
1977-12-01,71.1,02-03-24
1978-01-01,71.4,02-03-24
1978-02-01,71.8,02-03-24
1978-03-01,72.4,02-03-24
1978-04-01,72.9,02-03-24
1978-05-01,73.3,02-03-24
1978-06-01,73.8,02-03-24
1978-07-01,74.2,02-03-24
1978-08-01,74.2,02-03-24
1978-09-01,74.3,02-03-24
1978-10-01,74.4,02-03-24
1978-11-01,75,02-03-24
1978-12-01,75.5,02-03-24
1979-01-01,76,02-03-24
1979-02-01,76.4,02-03-24
1979-03-01,76.6,02-03-24
1979-04-01,77.1,02-03-24
1979-05-01,77.8,02-03-24
1979-06-01,78.1,02-03-24
1979-07-01,79,02-03-24
1979-08-01,79.9,02-03-24
1979-09-01,80.8,02-03-24
1979-10-01,81.2,02-03-24
1979-11-01,81.9,02-03-24
1979-12-01,82.5,02-03-24
1980-01-01,82.9,02-03-24
1980-02-01,84,02-03-24
1980-03-01,85.2,02-03-24
1980-04-01,86.1,02-03-24
1980-05-01,87.1,02-03-24
1980-06-01,88.3,02-03-24
1980-07-01,89.2,02-03-24
1980-08-01,90.1,02-03-24
1980-09-01,90.6,02-03-24
1980-10-01,91.1,02-03-24
1980-11-01,92.3,02-03-24
1980-12-01,93.1,02-03-24
1981-01-01,93.7,02-03-24
1981-02-01,94.2,02-03-24
1981-03-01,94.4,02-03-24
1981-04-01,94.7,02-03-24
1981-05-01,94.5,02-03-24
1981-06-01,94.6,02-03-24
1981-07-01,94.8,02-03-24
1981-08-01,95.2,02-03-24
1981-09-01,95.4,02-03-24
1981-10-01,95.6,02-03-24
1981-11-01,95.7,02-03-24
1981-12-01,95.7,02-03-24
1982-01-01,96.1,02-03-24
1982-02-01,96.4,02-03-24
1982-03-01,96.7,02-03-24
1982-04-01,96.5,02-03-24
1982-05-01,97.1,02-03-24
1982-06-01,97.2,02-03-24
1982-07-01,97.4,02-03-24
1982-08-01,97.6,02-03-24
1982-09-01,97.8,02-03-24
1982-10-01,98,02-03-24
1982-11-01,98.1,02-03-24
1982-12-01,98.2,02-03-24
1983-01-01,98.5,02-03-24
1983-02-01,98.5,02-03-24
1983-03-01,98.8,02-03-24
1983-04-01,98.8,02-03-24
1983-05-01,99,02-03-24
1983-06-01,99,02-03-24
1983-07-01,99.3,02-03-24
1983-08-01,99.4,02-03-24
1983-09-01,99.9,02-03-24
1983-10-01,100.3,02-03-24
1983-11-01,100.8,02-03-24
1983-12-01,101.1,02-03-24
1984-01-01,101.3,02-03-24
1984-02-01,101.4,02-03-24
1984-03-01,101.8,02-03-24
1984-04-01,102.2,02-03-24
1984-05-01,102.3,02-03-24
1984-06-01,103,02-03-24
1984-07-01,103.5,02-03-24
1984-08-01,103.8,02-03-24
1984-09-01,104.1,02-03-24
1984-10-01,104.2,02-03-24
1984-11-01,104.2,02-03-24
1984-12-01,104.3,02-03-24
1985-01-01,104.6,02-03-24
1985-02-01,104.7,02-03-24
1985-03-01,104.9,02-03-24
1985-04-01,105.1,02-03-24
1985-05-01,105.4,02-03-24
1985-06-01,105.5,02-03-24
1985-07-01,105.7,02-03-24
1985-08-01,106,02-03-24
1985-09-01,106.3,02-03-24
1985-10-01,106.2,02-03-24
1985-11-01,106.3,02-03-24
1985-12-01,106.4,02-03-24
1986-01-01,106.9,02-03-24
1986-02-01,109.2,02-03-24
1986-03-01,109.4,02-03-24
1986-04-01,109.5,02-03-24
1986-05-01,109.3,02-03-24
1986-06-01,109.4,02-03-24
1986-07-01,109.5,02-03-24
1986-08-01,109.6,02-03-24
1986-09-01,109.6,02-03-24
1986-10-01,109.6,02-03-24
1986-11-01,109.7,02-03-24
1986-12-01,109.7,02-03-24
1987-01-01,110.8,02-03-24
1987-02-01,110.8,02-03-24
1987-03-01,110.4,02-03-24
1987-04-01,110.2,02-03-24
1987-05-01,110.3,02-03-24
1987-06-01,110.2,02-03-24
1987-07-01,110.3,02-03-24
1987-08-01,110.6,02-03-24
1987-09-01,110.5,02-03-24
1987-10-01,110.7,02-03-24
1987-11-01,110.6,02-03-24
1987-12-01,110.8,02-03-24
1988-01-01,111.2,02-03-24
1988-02-01,111.2,02-03-24
1988-03-01,111.6,02-03-24
1988-04-01,111.7,02-03-24
1988-05-01,112,02-03-24
1988-06-01,112.4,02-03-24
1988-07-01,113.3,02-03-24
1988-08-01,113.7,02-03-24
1988-09-01,114.3,02-03-24
1988-10-01,114.8,02-03-24
1988-11-01,115.3,02-03-24
1988-12-01,116,02-03-24
1989-01-01,116.3,02-03-24
1989-02-01,117.1,02-03-24
1989-03-01,117.6,02-03-24
1989-04-01,118.6,02-03-24
1989-05-01,118.7,02-03-24
1989-06-01,119.3,02-03-24
1989-07-01,119.9,02-03-24
1989-08-01,119.8,02-03-24
1989-09-01,119.9,02-03-24
1989-10-01,120.3,02-03-24
1989-11-01,120.5,02-03-24
1989-12-01,120.9,02-03-24
1990-01-01,121,02-03-24
1990-02-01,121.3,02-03-24
1990-03-01,121.7,02-03-24
1990-04-01,121.9,02-03-24
1990-05-01,122.5,02-03-24
1990-06-01,123.2,02-03-24
1990-07-01,123.8,02-03-24
1990-08-01,124.3,02-03-24
1990-09-01,124.8,02-03-24
1990-10-01,125.2,02-03-24
1990-11-01,125.6,02-03-24
1990-12-01,126,02-03-24
1991-01-01,126.7,02-03-24
1991-02-01,126.8,02-03-24
1991-03-01,126.7,02-03-24
1991-04-01,127.4,02-03-24
1991-05-01,127.1,02-03-24
1991-06-01,127.2,02-03-24
1991-07-01,127.3,02-03-24
1991-08-01,127.4,02-03-24
1991-09-01,127.5,02-03-24
1991-10-01,127.7,02-03-24
1991-11-01,127.6,02-03-24
1991-12-01,127.8,02-03-24
