date,value,created_at
2024-01-01,157.572,2024-02-15 23:01:46
2023-12-01,157.359,2024-02-15 23:01:46
2023-12-01,157.315,2024-01-18 04:21:13
2023-11-01,157.642,2024-02-15 23:01:46
2023-11-01,157.576,2024-01-18 04:21:13
2023-11-01,157.511,2023-12-15 23:01:44
2023-10-01,158.038,2024-02-15 23:01:46
2023-10-01,157.962,2024-01-18 04:21:13
2023-10-01,157.867,2023-12-15 23:01:44
2023-10-01,157.792,2023-11-16 23:01:40
2023-09-01,158.219,2024-02-15 23:01:46
2023-09-01,158.143,2024-01-18 04:21:13
2023-09-01,158.049,2023-12-15 23:01:44
2023-09-01,157.942,2023-11-16 23:01:40
2023-09-01,157.876,2023-10-17 23:01:27
2023-08-01,158.004,2024-02-15 23:01:46
2023-08-01,157.929,2024-01-18 04:21:13
2023-08-01,157.84,2023-12-15 23:01:44
2023-08-01,157.724,2023-11-16 23:01:40
2023-08-01,157.616,2023-10-17 23:01:27
2023-08-01,157.474,2023-09-19 23:01:32
2023-07-01,157.51,2024-02-15 23:01:46
2023-07-01,157.438,2024-01-18 04:21:13
2023-07-01,157.348,2023-12-15 23:01:44
2023-07-01,157.233,2023-11-16 23:01:40
2023-07-01,157.112,2023-10-17 23:01:27
2023-07-01,156.955,2023-09-19 23:01:32
2023-07-01,156.849,2023-08-16 23:01:16
2023-06-01,156.705,2024-02-15 23:01:46
2023-06-01,156.649,2024-01-18 04:21:13
2023-06-01,156.561,2023-12-15 23:01:44
2023-06-01,156.446,2023-11-16 23:01:40
2023-06-01,156.318,2023-10-17 23:01:27
2023-06-01,156.158,2023-09-19 23:01:32
2023-06-01,156.058,2023-08-16 23:01:16
2023-06-01,156.034,2023-07-18 23:01:08
2023-05-01,155.851,2024-02-15 23:01:46
2023-05-01,155.792,2024-01-18 04:21:13
2023-05-01,155.707,2023-12-15 23:01:44
2023-05-01,155.592,2023-11-16 23:01:40
2023-05-01,155.466,2023-10-17 23:01:27
2023-05-01,155.304,2023-09-19 23:01:32
2023-05-01,155.182,2023-08-16 23:01:16
2023-05-01,155.146,2023-07-18 23:01:08
2023-05-01,155.294,2023-07-13 04:16:18
2023-04-01,154.773,2024-02-15 23:01:46
2023-04-01,154.77,2024-01-18 04:21:13
2023-04-01,154.719,2023-12-15 23:01:44
2023-04-01,154.616,2023-11-16 23:01:40
