date,value,created_at
2024-01-01,39.335,2024-02-14 23:00:18
2023-12-01,39.034,2024-01-17 23:00:20
2023-11-01,39.188,2023-12-13 23:00:19
2023-10-01,40.268,2023-11-16 13:36:09
2023-09-01,40.82,2023-10-22 23:00:11
2023-08-01,40.695,2023-09-13 23:00:12
2023-07-01,41.012,2023-08-10 23:00:12
2023-06-01,41.574,2023-07-13 16:47:44
2023-05-01,41.535,2023-07-13 16:47:44
2023-04-01,41.655,2023-07-13 16:47:44
2023-03-01,41.715,2023-07-13 16:47:44
2023-02-01,41.879,2023-07-13 16:47:44
2023-01-01,42.242,2023-07-13 16:47:44
2022-12-01,42.262,2023-07-13 16:47:44
2022-11-01,42.719,2023-07-13 16:47:44
2022-10-01,43.559,2023-07-13 16:47:44
2022-09-01,44.339,2023-07-13 16:47:44
2022-08-01,44.583,2023-07-13 16:47:44
2022-07-01,44.804,2023-07-13 16:47:44
2022-06-01,45.035,2023-07-13 16:47:44
2022-05-01,44.947,2023-07-13 16:47:44
2022-04-01,45.952,2023-07-13 16:47:44
2022-03-01,47.12,2023-07-13 16:47:44
2022-02-01,47.589,2023-07-13 16:47:44
2022-01-01,47.849,2023-07-13 16:47:44
2021-12-01,47.94,2023-07-13 16:47:44
2021-11-01,48.246,2023-07-13 16:47:44
2021-10-01,48.832,2023-07-13 16:47:44
2021-09-01,49.288,2023-07-13 16:47:44
2021-08-01,48.904,2023-07-13 16:47:44
2021-07-01,48.776,2023-07-13 16:47:44
2021-06-01,48.285,2023-07-13 16:47:44
2021-05-01,48.397,2023-07-13 16:47:44
2021-04-01,48.241,2023-07-13 16:47:44
2021-03-01,46.512,2023-07-13 16:47:44
2021-02-01,47.311,2023-07-13 16:47:44
2021-01-01,47.532,2023-07-13 16:47:44
2020-12-01,47.794,2023-07-13 16:47:44
2020-11-01,47.697,2023-07-13 16:47:44
2020-10-01,47.355,2023-07-13 16:47:44
2020-09-01,47.752,2023-07-13 16:47:44
2020-08-01,49.239,2023-07-13 16:47:44
2020-07-01,49.223,2023-07-13 16:47:44
2020-06-01,49.334,2023-07-13 16:47:44
2020-05-01,49.564,2023-07-13 16:47:44
2020-04-01,49.816,2023-07-13 16:47:44
2020-03-01,49.722,2023-07-13 16:47:44
2020-02-01,49.468,2023-07-13 16:47:44
2020-01-01,49.088,2023-07-13 16:47:44
2019-12-01,49.45,2023-07-13 16:47:44
2019-11-01,50.53,2023-07-13 16:47:44
2019-10-01,50.747,2023-07-13 16:47:44
2019-09-01,51.808,2023-07-13 16:47:44
2019-08-01,52.296,2023-07-13 16:47:44
2019-07-01,52.041,2023-07-13 16:47:44
2019-06-01,51.085,2023-07-13 16:47:44
2019-05-01,51.837,2023-07-13 16:47:44
2019-04-01,52.183,2023-07-13 16:47:44
2019-03-01,52.622,2023-07-13 16:47:44
2019-02-01,52.574,2023-07-13 16:47:44
2019-01-01,53.077,2023-07-13 16:47:44
2018-12-01,53.324,2023-07-13 16:47:44
2018-11-01,53.266,2023-07-13 16:47:44
2018-10-01,54.119,2023-07-13 16:47:44
2018-09-01,54.887,2023-07-13 16:47:44
2018-08-01,54.659,2023-07-13 16:47:44
2018-07-01,54.472,2023-07-13 16:47:44
2018-06-01,55.099,2023-07-13 16:47:44
2018-05-01,55.537,2023-07-13 16:47:44
2018-04-01,55.804,2023-07-13 16:47:44
2018-03-01,55.699,2023-07-13 16:47:44
2018-02-01,56.001,2023-07-13 16:47:44
2018-01-01,56.343,2023-07-13 16:47:44
2017-12-01,55.878,2023-07-13 16:47:44
2017-11-01,56.365,2023-07-13 16:47:44
2017-10-01,56.682,2023-07-13 16:47:44
2017-09-01,56.659,2023-07-13 16:47:44
2017-08-01,57.218,2023-07-13 16:47:44
2017-07-01,57.855,2023-07-13 16:47:44
2017-06-01,57.484,2023-07-13 16:47:44
2017-05-01,57.197,2023-07-13 16:47:44
2017-04-01,57.518,2023-07-13 16:47:44
2017-03-01,57.545,2023-07-13 16:47:44
