date,value,created_at
2024-01-01,220.573,2024-02-14 23:00:18
2023-12-01,215.872,2024-01-17 23:00:20
2023-11-01,215.604,2023-12-13 23:00:19
2023-10-01,216.952,2023-11-16 13:36:09
2023-09-01,216.736,2023-10-22 23:00:11
2023-08-01,216.642,2023-09-13 23:00:12
2023-07-01,216.056,2023-08-10 23:00:13
2023-06-01,216.146,2023-07-13 16:47:44
2023-05-01,216.46,2023-07-13 16:47:44
2023-04-01,215.833,2023-07-13 16:47:44
2023-03-01,216.329,2023-07-13 16:47:44
2023-02-01,215.925,2023-07-13 16:47:44
2023-01-01,213.359,2023-07-13 16:47:44
2022-12-01,210.324,2023-07-13 16:47:44
2022-11-01,209.507,2023-07-13 16:47:44
2022-10-01,210.121,2023-07-13 16:47:44
2022-09-01,208.332,2023-07-13 16:47:44
2022-08-01,206.693,2023-07-13 16:47:44
2022-07-01,204.944,2023-07-13 16:47:44
2022-06-01,200.876,2023-07-13 16:47:44
2022-05-01,199.166,2023-07-13 16:47:44
2022-04-01,197.138,2023-07-13 16:47:44
2022-03-01,194.342,2023-07-13 16:47:44
2022-02-01,192.21,2023-07-13 16:47:44
2022-01-01,188.719,2023-07-13 16:47:44
2021-12-01,186.723,2023-07-13 16:47:44
2021-11-01,185.119,2023-07-13 16:47:44
2021-10-01,186.387,2023-07-13 16:47:44
2021-09-01,184.49,2023-07-13 16:47:44
2021-08-01,182.277,2023-07-13 16:47:44
2021-07-01,180.136,2023-07-13 16:47:44
2021-06-01,179.527,2023-07-13 16:47:44
2021-05-01,177.814,2023-07-13 16:47:44
2021-04-01,179.57,2023-07-13 16:47:44
2021-03-01,180.018,2023-07-13 16:47:44
2021-02-01,180.202,2023-07-13 16:47:44
2021-01-01,179.789,2023-07-13 16:47:44
2020-12-01,177.539,2023-07-13 16:47:44
2020-11-01,175.869,2023-07-13 16:47:44
2020-10-01,178.4,2023-07-13 16:47:44
2020-09-01,177.848,2023-07-13 16:47:44
2020-08-01,178.684,2023-07-13 16:47:44
2020-07-01,178.167,2023-07-13 16:47:44
2020-06-01,179.19,2023-07-13 16:47:44
2020-05-01,178.234,2023-07-13 16:47:44
2020-04-01,179.235,2023-07-13 16:47:44
2020-03-01,174.454,2023-07-13 16:47:44
2020-02-01,173.194,2023-07-13 16:47:44
2020-01-01,172.313,2023-07-13 16:47:44
2019-12-01,170.006,2023-07-13 16:47:44
2019-11-01,170.675,2023-07-13 16:47:44
2019-10-01,170.842,2023-07-13 16:47:44
2019-09-01,170.63,2023-07-13 16:47:44
2019-08-01,170.067,2023-07-13 16:47:44
2019-07-01,169.685,2023-07-13 16:47:44
2019-06-01,170.23,2023-07-13 16:47:44
2019-05-01,171.26,2023-07-13 16:47:44
2019-04-01,170.727,2023-07-13 16:47:44
2019-03-01,172.06,2023-07-13 16:47:44
2019-02-01,172.488,2023-07-13 16:47:44
2019-01-01,171.354,2023-07-13 16:47:44
2018-12-01,168.339,2023-07-13 16:47:44
2018-11-01,167.891,2023-07-13 16:47:44
2018-10-01,169.57,2023-07-13 16:47:44
2018-09-01,168.428,2023-07-13 16:47:44
2018-08-01,167.231,2023-07-13 16:47:44
2018-07-01,166.577,2023-07-13 16:47:44
2018-06-01,166.431,2023-07-13 16:47:44
2018-05-01,166.401,2023-07-13 16:47:44
2018-04-01,167.041,2023-07-13 16:47:44
2018-03-01,167.758,2023-07-13 16:47:44
2018-02-01,167.736,2023-07-13 16:47:44
2018-01-01,167.671,2023-07-13 16:47:44
2017-12-01,166.006,2023-07-13 16:47:44
2017-11-01,166.271,2023-07-13 16:47:44
2017-10-01,167.99,2023-07-13 16:47:44
2017-09-01,167.429,2023-07-13 16:47:44
2017-08-01,166.822,2023-07-13 16:47:44
2017-07-01,167.085,2023-07-13 16:47:44
2017-06-01,167.242,2023-07-13 16:47:44
2017-05-01,168.555,2023-07-13 16:47:44
2017-04-01,168.354,2023-07-13 16:47:44
2017-03-01,168.455,2023-07-13 16:47:44
2017-02-01,169.451,2023-07-13 16:47:44
2017-01-01,167.074,2023-07-13 16:47:44
2016-12-01,165.965,2023-07-13 16:47:44
2016-11-01,166.258,2023-07-13 16:47:44
2016-10-01,166.793,2023-07-13 16:47:44
2016-09-01,166.573,2023-07-13 16:47:44
2016-08-01,167.044,2023-07-13 16:47:44
2016-07-01,166.648,2023-07-13 16:47:44
2016-06-01,165.94,2023-07-13 16:47:44
2016-05-01,167.053,2023-07-13 16:47:44
2016-04-01,168.771,2023-07-13 16:47:44
2016-03-01,168.187,2023-07-13 16:47:44
2016-02-01,169.248,2023-07-13 16:47:44
2016-01-01,168.718,2023-07-13 16:47:44
2015-12-01,167.482,2023-07-13 16:47:44
2015-11-01,167.498,2023-07-13 16:47:44
2015-10-01,169.045,2023-07-13 16:47:44
2015-09-01,168.054,2023-07-13 16:47:44
2015-08-01,168.017,2023-07-13 16:47:44
2015-07-01,167.421,2023-07-13 16:47:44
2015-06-01,166.824,2023-07-13 16:47:44
2015-05-01,166.795,2023-07-13 16:47:44
2015-04-01,168.401,2023-07-13 16:47:44
2015-03-01,167.706,2023-07-13 16:47:44
