date,value,created_at
2024-01-01,111.469,2024-02-14 23:00:18
2023-12-01,108.938,2024-01-17 23:00:20
2023-11-01,111.373,2023-12-13 23:00:19
2023-10-01,117.352,2023-11-16 13:36:10
2023-09-01,116.175,2023-10-22 23:00:11
2023-08-01,114.402,2023-09-13 23:00:12
2023-07-01,112.258,2023-08-10 23:00:13
2023-06-01,113.677,2023-07-13 16:47:44
2023-05-01,112.329,2023-07-13 16:47:44
2023-04-01,114.274,2023-07-13 16:47:44
2023-03-01,116.187,2023-07-13 16:47:44
2023-02-01,114.752,2023-07-13 16:47:44
2023-01-01,110.357,2023-07-13 16:47:44
2022-12-01,108.754,2023-07-13 16:47:44
2022-11-01,107.575,2023-07-13 16:47:44
2022-10-01,110.204,2023-07-13 16:47:44
2022-09-01,110.107,2023-07-13 16:47:44
2022-08-01,110.123,2023-07-13 16:47:44
2022-07-01,108.588,2023-07-13 16:47:44
2022-06-01,110.811,2023-07-13 16:47:44
2022-05-01,110.537,2023-07-13 16:47:44
2022-04-01,110.823,2023-07-13 16:47:44
2022-03-01,112.418,2023-07-13 16:47:44
2022-02-01,112.378,2023-07-13 16:47:44
2022-01-01,111.432,2023-07-13 16:47:44
2021-12-01,108.73,2023-07-13 16:47:44
2021-11-01,109.477,2023-07-13 16:47:44
2021-10-01,108.897,2023-07-13 16:47:44
2021-09-01,106.268,2023-07-13 16:47:44
2021-08-01,102.497,2023-07-13 16:47:44
2021-07-01,103.592,2023-07-13 16:47:44
2021-06-01,104.0,2023-07-13 16:47:44
2021-05-01,104.367,2023-07-13 16:47:44
2021-04-01,106.748,2023-07-13 16:47:44
2021-03-01,107.644,2023-07-13 16:47:44
2021-02-01,103.015,2023-07-13 16:47:44
2021-01-01,104.455,2023-07-13 16:47:44
2020-12-01,100.567,2023-07-13 16:47:44
2020-11-01,100.962,2023-07-13 16:47:44
2020-10-01,102.738,2023-07-13 16:47:44
2020-09-01,101.753,2023-07-13 16:47:44
2020-08-01,101.102,2023-07-13 16:47:44
2020-07-01,100.961,2023-07-13 16:47:44
2020-06-01,98.579,2023-07-13 16:47:44
2020-05-01,96.648,2023-07-13 16:47:44
2020-04-01,100.054,2023-07-13 16:47:44
2020-03-01,104.624,2023-07-13 16:47:44
2020-02-01,103.315,2023-07-13 16:47:44
2020-01-01,102.959,2023-07-13 16:47:44
2019-12-01,106.406,2023-07-13 16:47:44
2019-11-01,108.679,2023-07-13 16:47:44
2019-10-01,114.325,2023-07-13 16:47:44
2019-09-01,114.831,2023-07-13 16:47:44
2019-08-01,107.293,2023-07-13 16:47:44
2019-07-01,104.89,2023-07-13 16:47:44
2019-06-01,107.168,2023-07-13 16:47:44
2019-05-01,107.941,2023-07-13 16:47:44
2019-04-01,108.109,2023-07-13 16:47:44
2019-03-01,110.359,2023-07-13 16:47:44
2019-02-01,116.233,2023-07-13 16:47:44
2019-01-01,114.172,2023-07-13 16:47:44
2018-12-01,110.849,2023-07-13 16:47:44
2018-11-01,113.081,2023-07-13 16:47:44
2018-10-01,113.969,2023-07-13 16:47:44
2018-09-01,108.911,2023-07-13 16:47:44
2018-08-01,100.056,2023-07-13 16:47:44
2018-07-01,100.434,2023-07-13 16:47:44
2018-06-01,105.334,2023-07-13 16:47:44
2018-05-01,108.658,2023-07-13 16:47:44
2018-04-01,107.455,2023-07-13 16:47:44
2018-03-01,103.965,2023-07-13 16:47:44
2018-02-01,105.219,2023-07-13 16:47:44
2018-01-01,102.606,2023-07-13 16:47:44
2017-12-01,97.981,2023-07-13 16:47:44
2017-11-01,101.095,2023-07-13 16:47:44
2017-10-01,104.627,2023-07-13 16:47:44
2017-09-01,106.056,2023-07-13 16:47:44
2017-08-01,103.611,2023-07-13 16:47:44
2017-07-01,96.473,2023-07-13 16:47:44
2017-06-01,95.55,2023-07-13 16:47:44
2017-05-01,100.724,2023-07-13 16:47:44
2017-04-01,101.655,2023-07-13 16:47:44
2017-03-01,100.592,2023-07-13 16:47:44
2017-02-01,100.809,2023-07-13 16:47:44
2017-01-01,100.939,2023-07-13 16:47:44
2016-12-01,101.937,2023-07-13 16:47:44
2016-11-01,106.66,2023-07-13 16:47:44
2016-10-01,109.771,2023-07-13 16:47:44
2016-09-01,105.306,2023-07-13 16:47:44
2016-08-01,100.884,2023-07-13 16:47:44
2016-07-01,102.437,2023-07-13 16:47:44
2016-06-01,103.618,2023-07-13 16:47:44
2016-05-01,103.956,2023-07-13 16:47:44
2016-04-01,104.591,2023-07-13 16:47:44
2016-03-01,100.6,2023-07-13 16:47:44
2016-02-01,101.74,2023-07-13 16:47:44
2016-01-01,104.518,2023-07-13 16:47:44
2015-12-01,103.801,2023-07-13 16:47:44
2015-11-01,108.42,2023-07-13 16:47:44
2015-10-01,106.605,2023-07-13 16:47:44
2015-09-01,100.905,2023-07-13 16:47:44
2015-08-01,97.744,2023-07-13 16:47:44
2015-07-01,99.395,2023-07-13 16:47:44
2015-06-01,103.166,2023-07-13 16:47:44
2015-05-01,104.624,2023-07-13 16:47:44
2015-04-01,104.278,2023-07-13 16:47:44
2015-03-01,102.297,2023-07-13 16:47:44
2015-02-01,102.193,2023-07-13 16:47:44
2015-01-01,103.126,2023-07-13 16:47:44
2014-12-01,102.442,2023-07-13 16:47:44
2014-11-01,104.693,2023-07-13 16:47:44
2014-10-01,106.018,2023-07-13 16:47:44
2014-09-01,102.261,2023-07-13 16:47:44
2014-08-01,97.835,2023-07-13 16:47:44
2014-07-01,103.477,2023-07-13 16:47:44
2014-06-01,105.871,2023-07-13 16:47:44
2014-05-01,106.727,2023-07-13 16:47:44
2014-04-01,106.21,2023-07-13 16:47:44
2014-03-01,103.503,2023-07-13 16:47:44
2014-02-01,103.474,2023-07-13 16:47:44
2014-01-01,104.351,2023-07-13 16:47:44
2013-12-01,105.311,2023-07-13 16:47:44
2013-11-01,108.139,2023-07-13 16:47:44
2013-10-01,107.492,2023-07-13 16:47:44
2013-09-01,104.002,2023-07-13 16:47:44
2013-08-01,99.599,2023-07-13 16:47:44
2013-07-01,100.646,2023-07-13 16:47:44
2013-06-01,101.224,2023-07-13 16:47:44
2013-05-01,100.871,2023-07-13 16:47:44
2013-04-01,101.077,2023-07-13 16:47:44
2013-03-01,101.514,2023-07-13 16:47:44
2013-02-01,101.097,2023-07-13 16:47:44
2013-01-01,100.452,2023-07-13 16:47:44
2012-12-01,103.696,2023-07-13 16:47:44
2012-11-01,104.366,2023-07-13 16:47:44
2012-10-01,103.401,2023-07-13 16:47:44
2012-09-01,101.249,2023-07-13 16:47:44
2012-08-01,99.329,2023-07-13 16:47:44
2012-07-01,100.192,2023-07-13 16:47:44
2012-06-01,100.826,2023-07-13 16:47:44
2012-05-01,102.903,2023-07-13 16:47:44
2012-04-01,105.177,2023-07-13 16:47:44
2012-03-01,103.211,2023-07-13 16:47:44
2012-02-01,97.147,2023-07-13 16:47:44
2012-01-01,96.27,2023-07-13 16:47:44
2011-12-01,97.771,2023-07-13 16:47:44
2011-11-01,100.709,2023-07-13 16:47:44
2011-10-01,100.257,2023-07-13 16:47:44
2011-09-01,98.488,2023-07-13 16:47:44
