date,value,created_at
2024-01-01,47.181,2024-02-14 23:00:18
2023-12-01,47.302,2024-01-17 23:00:20
2023-11-01,47.304,2023-12-13 23:00:19
2023-10-01,47.305,2023-11-16 13:36:10
2023-09-01,47.304,2023-10-22 23:00:11
2023-08-01,47.33,2023-09-13 23:00:12
2023-07-01,47.385,2023-08-10 23:00:13
2023-06-01,47.388,2023-07-13 16:47:44
2023-05-01,48.089,2023-07-13 16:47:44
2023-04-01,48.363,2023-07-13 16:47:44
2023-03-01,48.353,2023-07-13 16:47:44
2023-02-01,48.57,2023-07-13 16:47:44
2023-01-01,48.732,2023-07-13 16:47:44
2022-12-01,48.75,2023-07-13 16:47:44
2022-11-01,48.642,2023-07-13 16:47:44
2022-10-01,47.518,2023-07-13 16:47:44
2022-09-01,47.653,2023-07-13 16:47:44
2022-08-01,47.693,2023-07-13 16:47:44
2022-07-01,47.716,2023-07-13 16:47:44
2022-06-01,47.724,2023-07-13 16:47:44
2022-05-01,47.786,2023-07-13 16:47:44
2022-04-01,47.793,2023-07-13 16:47:44
2022-03-01,47.778,2023-07-13 16:47:44
2022-02-01,48.117,2023-07-13 16:47:44
2022-01-01,48.073,2023-07-13 16:47:44
2021-12-01,48.139,2023-07-13 16:47:44
2021-11-01,48.176,2023-07-13 16:47:44
2021-10-01,48.176,2023-07-13 16:47:44
2021-09-01,48.178,2023-07-13 16:47:44
2021-08-01,47.978,2023-07-13 16:47:44
2021-07-01,48.065,2023-07-13 16:47:44
2021-06-01,48.149,2023-07-13 16:47:44
2021-05-01,48.123,2023-07-13 16:47:44
2021-04-01,48.111,2023-07-13 16:47:44
2021-03-01,48.15,2023-07-13 16:47:44
2021-02-01,48.311,2023-07-13 16:47:44
2021-01-01,48.312,2023-07-13 16:47:44
2020-12-01,48.306,2023-07-13 16:47:44
2020-11-01,48.352,2023-07-13 16:47:44
2020-10-01,48.427,2023-07-13 16:47:44
2020-09-01,48.45,2023-07-13 16:47:44
2020-08-01,48.374,2023-07-13 16:47:44
2020-07-01,48.007,2023-07-13 16:47:44
2020-06-01,46.322,2023-07-13 16:47:44
2020-05-01,46.373,2023-07-13 16:47:44
2020-04-01,46.34,2023-07-13 16:47:44
2020-03-01,46.295,2023-07-13 16:47:44
2020-02-01,46.302,2023-07-13 16:47:44
2020-01-01,46.404,2023-07-13 16:47:44
2019-12-01,46.412,2023-07-13 16:47:44
2019-11-01,46.387,2023-07-13 16:47:44
2019-10-01,46.299,2023-07-13 16:47:44
2019-09-01,46.322,2023-07-13 16:47:44
2019-08-01,46.368,2023-07-13 16:47:44
2019-07-01,46.431,2023-07-13 16:47:44
2019-06-01,46.458,2023-07-13 16:47:44
2019-05-01,46.4,2023-07-13 16:47:44
2019-04-01,46.427,2023-07-13 16:47:44
2019-03-01,46.342,2023-07-13 16:47:44
2019-02-01,46.399,2023-07-13 16:47:44
2019-01-01,46.465,2023-07-13 16:47:44
2018-12-01,46.534,2023-07-13 16:47:44
2018-11-01,46.633,2023-07-13 16:47:44
2018-10-01,47.701,2023-07-13 16:47:44
2018-09-01,47.656,2023-07-13 16:47:44
2018-08-01,47.657,2023-07-13 16:47:44
2018-07-01,47.872,2023-07-13 16:47:44
2018-06-01,47.874,2023-07-13 16:47:44
2018-05-01,47.887,2023-07-13 16:47:44
2018-04-01,47.835,2023-07-13 16:47:44
2018-03-01,47.822,2023-07-13 16:47:44
2018-02-01,47.712,2023-07-13 16:47:44
2018-01-01,47.972,2023-07-13 16:47:44
2017-12-01,48.066,2023-07-13 16:47:44
2017-11-01,48.09,2023-07-13 16:47:44
2017-10-01,47.944,2023-07-13 16:47:44
2017-09-01,47.73,2023-07-13 16:47:44
2017-08-01,47.55,2023-07-13 16:47:44
2017-07-01,47.58,2023-07-13 16:47:44
2017-06-01,47.735,2023-07-13 16:47:44
2017-05-01,48.118,2023-07-13 16:47:44
2017-04-01,48.153,2023-07-13 16:47:44
2017-03-01,49.002,2023-07-13 16:47:44
2017-02-01,52.679,2023-07-13 16:47:44
2017-01-01,53.435,2023-07-13 16:47:44
2016-12-01,53.522,2023-07-13 16:47:44
2016-11-01,53.578,2023-07-13 16:47:44
2016-10-01,53.739,2023-07-13 16:47:44
2016-09-01,54.033,2023-07-13 16:47:44
2016-08-01,54.786,2023-07-13 16:47:44
2016-07-01,54.848,2023-07-13 16:47:44
2016-06-01,54.989,2023-07-13 16:47:44
2016-05-01,54.967,2023-07-13 16:47:44
2016-04-01,55.294,2023-07-13 16:47:44
2016-03-01,55.28,2023-07-13 16:47:44
2016-02-01,55.267,2023-07-13 16:47:44
2016-01-01,55.85,2023-07-13 16:47:44
2015-12-01,55.883,2023-07-13 16:47:44
2015-11-01,55.908,2023-07-13 16:47:44
2015-10-01,55.514,2023-07-13 16:47:44
2015-09-01,55.388,2023-07-13 16:47:44
2015-08-01,55.194,2023-07-13 16:47:44
2015-07-01,54.711,2023-07-13 16:47:44
2015-06-01,54.555,2023-07-13 16:47:44
2015-05-01,54.537,2023-07-13 16:47:44
2015-04-01,54.902,2023-07-13 16:47:44
2015-03-01,54.975,2023-07-13 16:47:44
2015-02-01,55.406,2023-07-13 16:47:44
2015-01-01,55.614,2023-07-13 16:47:44
2014-12-01,55.894,2023-07-13 16:47:44
