date,value,created_at
2024-01-01,354.532,2024-02-14 23:00:18
2023-12-01,353.844,2024-01-17 23:00:21
2023-11-01,356.169,2023-12-13 23:00:19
2023-10-01,355.752,2023-11-16 13:36:10
2023-09-01,355.576,2023-10-22 23:00:12
2023-08-01,356.563,2023-09-13 23:00:13
2023-07-01,356.377,2023-08-10 23:00:14
2023-06-01,355.074,2023-07-13 16:47:45
2023-05-01,354.195,2023-07-13 16:47:45
2023-04-01,353.742,2023-07-13 16:47:45
2023-03-01,353.866,2023-07-13 16:47:45
2023-02-01,350.772,2023-07-13 16:47:45
2023-01-01,349.294,2023-07-13 16:47:45
2022-12-01,345.029,2023-07-13 16:47:45
2022-11-01,344.393,2023-07-13 16:47:45
2022-10-01,341.492,2023-07-13 16:47:45
2022-09-01,339.336,2023-07-13 16:47:45
2022-08-01,336.399,2023-07-13 16:47:45
2022-07-01,332.968,2023-07-13 16:47:45
2022-06-01,326.378,2023-07-13 16:47:45
2022-05-01,319.93,2023-07-13 16:47:45
2022-04-01,314.787,2023-07-13 16:47:45
2022-03-01,311.606,2023-07-13 16:47:45
2022-02-01,306.193,2023-07-13 16:47:45
2022-01-01,302.242,2023-07-13 16:47:45
2021-12-01,297.279,2023-07-13 16:47:45
2021-11-01,295.909,2023-07-13 16:47:45
2021-10-01,294.625,2023-07-13 16:47:45
2021-09-01,292.069,2023-07-13 16:47:45
2021-08-01,288.99,2023-07-13 16:47:45
2021-07-01,289.533,2023-07-13 16:47:45
2021-06-01,286.761,2023-07-13 16:47:45
2021-05-01,286.649,2023-07-13 16:47:45
2021-04-01,285.377,2023-07-13 16:47:45
2021-03-01,284.746,2023-07-13 16:47:45
2021-02-01,284.095,2023-07-13 16:47:45
2021-01-01,282.911,2023-07-13 16:47:45
2020-12-01,283.735,2023-07-13 16:47:45
2020-11-01,282.782,2023-07-13 16:47:45
2020-10-01,284.74,2023-07-13 16:47:45
2020-09-01,284.416,2023-07-13 16:47:45
2020-08-01,284.472,2023-07-13 16:47:45
2020-07-01,285.204,2023-07-13 16:47:45
2020-06-01,286.092,2023-07-13 16:47:45
2020-05-01,284.937,2023-07-13 16:47:45
2020-04-01,285.16,2023-07-13 16:47:45
2020-03-01,277.646,2023-07-13 16:47:45
2020-02-01,276.641,2023-07-13 16:47:45
2020-01-01,275.916,2023-07-13 16:47:45
2019-12-01,275.036,2023-07-13 16:47:45
2019-11-01,276.166,2023-07-13 16:47:45
2019-10-01,276.47,2023-07-13 16:47:45
2019-09-01,277.308,2023-07-13 16:47:45
2019-08-01,276.619,2023-07-13 16:47:45
2019-07-01,277.49,2023-07-13 16:47:45
2019-06-01,276.891,2023-07-13 16:47:45
2019-05-01,277.795,2023-07-13 16:47:45
2019-04-01,276.64,2023-07-13 16:47:45
2019-03-01,277.275,2023-07-13 16:47:45
2019-02-01,275.996,2023-07-13 16:47:45
2019-01-01,275.05,2023-07-13 16:47:45
