date,value,created_at
2024-01-01,122.16,2024-02-14 23:00:18
2023-12-01,121.948,2024-01-17 23:00:21
2023-11-01,123.242,2023-12-13 23:00:19
2023-10-01,126.359,2023-11-16 13:36:10
2023-09-01,127.328,2023-10-22 23:00:12
2023-08-01,127.192,2023-09-13 23:00:13
2023-07-01,127.71,2023-08-10 23:00:14
2023-06-01,127.882,2023-07-13 16:47:45
2023-05-01,127.225,2023-07-13 16:47:45
2023-04-01,126.622,2023-07-13 16:47:45
2023-03-01,126.561,2023-07-13 16:47:45
2023-02-01,127.05,2023-07-13 16:47:45
2023-01-01,124.212,2023-07-13 16:47:45
2022-12-01,120.463,2023-07-13 16:47:45
2022-11-01,121.269,2023-07-13 16:47:45
2022-10-01,121.059,2023-07-13 16:47:45
2022-09-01,124.922,2023-07-13 16:47:45
2022-08-01,123.191,2023-07-13 16:47:45
2022-07-01,120.84,2023-07-13 16:47:45
2022-06-01,123.115,2023-07-13 16:47:45
2022-05-01,122.903,2023-07-13 16:47:45
2022-04-01,120.308,2023-07-13 16:47:45
2022-03-01,121.735,2023-07-13 16:47:45
2022-02-01,122.351,2023-07-13 16:47:45
2022-01-01,118.218,2023-07-13 16:47:45
2021-12-01,114.78,2023-07-13 16:47:45
2021-11-01,116.751,2023-07-13 16:47:45
2021-10-01,118.341,2023-07-13 16:47:45
2021-09-01,117.04,2023-07-13 16:47:45
2021-08-01,113.446,2023-07-13 16:47:45
2021-07-01,111.639,2023-07-13 16:47:45
2021-06-01,111.899,2023-07-13 16:47:45
2021-05-01,111.481,2023-07-13 16:47:45
2021-04-01,110.591,2023-07-13 16:47:45
2021-03-01,107.753,2023-07-13 16:47:45
2021-02-01,108.827,2023-07-13 16:47:45
2021-01-01,108.665,2023-07-13 16:47:45
2020-12-01,109.706,2023-07-13 16:47:45
2020-11-01,111.688,2023-07-13 16:47:45
2020-10-01,109.933,2023-07-13 16:47:45
2020-09-01,113.612,2023-07-13 16:47:45
2020-08-01,115.024,2023-07-13 16:47:45
2020-07-01,112.987,2023-07-13 16:47:45
2020-06-01,112.495,2023-07-13 16:47:45
2020-05-01,108.124,2023-07-13 16:47:45
2020-04-01,108.793,2023-07-13 16:47:45
2020-03-01,112.504,2023-07-13 16:47:45
2020-02-01,116.744,2023-07-13 16:47:45
2020-01-01,115.241,2023-07-13 16:47:45
2019-12-01,115.94,2023-07-13 16:47:45
2019-11-01,116.964,2023-07-13 16:47:45
2019-10-01,119.036,2023-07-13 16:47:45
2019-09-01,120.606,2023-07-13 16:47:45
2019-08-01,118.385,2023-07-13 16:47:45
2019-07-01,116.929,2023-07-13 16:47:45
2019-06-01,118.436,2023-07-13 16:47:45
2019-05-01,122.086,2023-07-13 16:47:45
2019-04-01,122.149,2023-07-13 16:47:45
2019-03-01,122.309,2023-07-13 16:47:45
2019-02-01,121.822,2023-07-13 16:47:45
2019-01-01,117.239,2023-07-13 16:47:45
2018-12-01,121.495,2023-07-13 16:47:45
2018-11-01,121.967,2023-07-13 16:47:45
2018-10-01,124.719,2023-07-13 16:47:45
2018-09-01,123.502,2023-07-13 16:47:45
2018-08-01,118.55,2023-07-13 16:47:45
2018-07-01,119.1,2023-07-13 16:47:45
2018-06-01,121.567,2023-07-13 16:47:45
2018-05-01,122.403,2023-07-13 16:47:45
2018-04-01,120.858,2023-07-13 16:47:45
2018-03-01,119.371,2023-07-13 16:47:45
2018-02-01,116.363,2023-07-13 16:47:45
2018-01-01,113.921,2023-07-13 16:47:45
2017-12-01,114.94,2023-07-13 16:47:45
2017-11-01,115.924,2023-07-13 16:47:45
2017-10-01,119.937,2023-07-13 16:47:45
2017-09-01,122.206,2023-07-13 16:47:45
2017-08-01,112.687,2023-07-13 16:47:45
