date,value,created_at
2024-01-01,268.941,2024-02-14 23:00:18
2023-12-01,267.889,2024-01-17 23:00:21
2023-11-01,267.609,2023-12-13 23:00:19
2023-10-01,268.326,2023-11-16 13:36:10
2023-09-01,268.377,2023-10-22 23:00:12
2023-08-01,268.281,2023-09-13 23:00:13
2023-07-01,269.143,2023-08-10 23:00:14
2023-06-01,268.338,2023-07-13 16:47:45
2023-05-01,269.573,2023-07-13 16:47:45
2023-04-01,271.102,2023-07-13 16:47:45
2023-03-01,271.384,2023-07-13 16:47:45
2023-02-01,272.271,2023-07-13 16:47:45
2023-01-01,272.04,2023-07-13 16:47:45
2022-12-01,271.376,2023-07-13 16:47:45
2022-11-01,271.307,2023-07-13 16:47:45
2022-10-01,269.355,2023-07-13 16:47:45
2022-09-01,268.793,2023-07-13 16:47:45
2022-08-01,267.461,2023-07-13 16:47:45
2022-07-01,265.638,2023-07-13 16:47:45
2022-06-01,261.255,2023-07-13 16:47:45
2022-05-01,257.678,2023-07-13 16:47:45
2022-04-01,251.03,2023-07-13 16:47:45
2022-03-01,245.258,2023-07-13 16:47:45
2022-02-01,242.386,2023-07-13 16:47:45
2022-01-01,238.675,2023-07-13 16:47:45
2021-12-01,235.442,2023-07-13 16:47:45
2021-11-01,233.157,2023-07-13 16:47:45
2021-10-01,233.168,2023-07-13 16:47:45
2021-09-01,231.973,2023-07-13 16:47:45
2021-08-01,230.145,2023-07-13 16:47:45
2021-07-01,231.233,2023-07-13 16:47:45
2021-06-01,230.152,2023-07-13 16:47:45
2021-05-01,230.38,2023-07-13 16:47:45
2021-04-01,230.17,2023-07-13 16:47:45
2021-03-01,229.249,2023-07-13 16:47:45
2021-02-01,230.452,2023-07-13 16:47:45
2021-01-01,231.546,2023-07-13 16:47:45
2020-12-01,231.74,2023-07-13 16:47:45
2020-11-01,229.503,2023-07-13 16:47:45
2020-10-01,229.155,2023-07-13 16:47:45
2020-09-01,230.656,2023-07-13 16:47:45
2020-08-01,231.231,2023-07-13 16:47:45
2020-07-01,227.114,2023-07-13 16:47:45
2020-06-01,228.437,2023-07-13 16:47:45
2020-05-01,230.166,2023-07-13 16:47:45
2020-04-01,228.755,2023-07-13 16:47:45
2020-03-01,225.627,2023-07-13 16:47:45
2020-02-01,224.443,2023-07-13 16:47:45
2020-01-01,223.035,2023-07-13 16:47:45
2019-12-01,221.924,2023-07-13 16:47:45
2019-11-01,221.515,2023-07-13 16:47:45
2019-10-01,220.738,2023-07-13 16:47:45
2019-09-01,219.771,2023-07-13 16:47:45
2019-08-01,218.758,2023-07-13 16:47:45
2019-07-01,217.626,2023-07-13 16:47:45
2019-06-01,217.433,2023-07-13 16:47:45
2019-05-01,217.841,2023-07-13 16:47:45
2019-04-01,217.51,2023-07-13 16:47:45
2019-03-01,217.531,2023-07-13 16:47:45
2019-02-01,216.595,2023-07-13 16:47:45
2019-01-01,217.079,2023-07-13 16:47:45
2018-12-01,216.652,2023-07-13 16:47:45
2018-11-01,215.896,2023-07-13 16:47:45
2018-10-01,216.8,2023-07-13 16:47:45
2018-09-01,216.638,2023-07-13 16:47:45
2018-08-01,216.435,2023-07-13 16:47:45
2018-07-01,215.622,2023-07-13 16:47:45
2018-06-01,216.126,2023-07-13 16:47:45
2018-05-01,215.659,2023-07-13 16:47:45
2018-04-01,216.906,2023-07-13 16:47:45
2018-03-01,216.497,2023-07-13 16:47:45
