date,value,created_at
2024-01-01,133.302,2024-02-14 23:00:19
2023-12-01,134.022,2024-01-17 23:00:21
2023-11-01,134.331,2023-12-13 23:00:19
2023-10-01,133.725,2023-11-16 13:36:10
2023-09-01,132.921,2023-10-22 23:00:12
2023-08-01,133.402,2023-09-13 23:00:13
2023-07-01,132.587,2023-08-10 23:00:15
2023-06-01,131.819,2023-07-13 16:47:45
2023-05-01,131.558,2023-07-13 16:47:45
2023-04-01,130.894,2023-07-13 16:47:45
2023-03-01,130.344,2023-07-13 16:47:45
2023-02-01,129.638,2023-07-13 16:47:45
2023-01-01,129.459,2023-07-13 16:47:45
2022-12-01,127.898,2023-07-13 16:47:45
2022-11-01,127.958,2023-07-13 16:47:45
2022-10-01,127.855,2023-07-13 16:47:45
2022-09-01,127.817,2023-07-13 16:47:45
2022-08-01,128.03,2023-07-13 16:47:45
2022-07-01,127.727,2023-07-13 16:47:45
2022-06-01,126.994,2023-07-13 16:47:45
2022-05-01,126.516,2023-07-13 16:47:45
2022-04-01,126.356,2023-07-13 16:47:45
2022-03-01,126.307,2023-07-13 16:47:45
2022-02-01,126.013,2023-07-13 16:47:45
2022-01-01,125.504,2023-07-13 16:47:45
2021-12-01,124.437,2023-07-13 16:47:45
2021-11-01,124.422,2023-07-13 16:47:45
2021-10-01,124.232,2023-07-13 16:47:45
2021-09-01,123.507,2023-07-13 16:47:45
2021-08-01,123.164,2023-07-13 16:47:45
2021-07-01,123.433,2023-07-13 16:47:45
2021-06-01,123.225,2023-07-13 16:47:45
2021-05-01,123.705,2023-07-13 16:47:45
2021-04-01,123.804,2023-07-13 16:47:45
2021-03-01,123.029,2023-07-13 16:47:45
2021-02-01,122.935,2023-07-13 16:47:45
2021-01-01,123.862,2023-07-13 16:47:45
2020-12-01,124.176,2023-07-13 16:47:45
2020-11-01,124.469,2023-07-13 16:47:45
2020-10-01,124.703,2023-07-13 16:47:45
2020-09-01,125.534,2023-07-13 16:47:45
2020-08-01,126.233,2023-07-13 16:47:45
