date,value,created_at
2024-01-01,848.728,2024-02-14 23:00:19
2023-12-01,846.897,2024-01-17 23:00:21
2023-11-01,846.33,2023-12-13 23:00:19
2023-10-01,847.031,2023-11-16 13:36:10
2023-09-01,847.649,2023-10-22 23:00:12
2023-08-01,840.815,2023-09-13 23:00:13
2023-07-01,834.93,2023-08-10 23:00:15
2023-06-01,832.736,2023-07-13 16:47:45
2023-05-01,830.6,2023-07-13 16:47:45
2023-04-01,830.083,2023-07-13 16:47:45
2023-03-01,828.853,2023-07-13 16:47:45
2023-02-01,826.508,2023-07-13 16:47:45
2023-01-01,826.089,2023-07-13 16:47:45
2022-12-01,824.931,2023-07-13 16:47:45
2022-11-01,823.859,2023-07-13 16:47:45
2022-10-01,822.882,2023-07-13 16:47:45
2022-09-01,822.056,2023-07-13 16:47:45
2022-08-01,815.196,2023-07-13 16:47:45
2022-07-01,806.644,2023-07-13 16:47:45
2022-06-01,805.41,2023-07-13 16:47:45
2022-05-01,801.837,2023-07-13 16:47:45
2022-04-01,800.327,2023-07-13 16:47:45
2022-03-01,799.517,2023-07-13 16:47:45
2022-02-01,799.639,2023-07-13 16:47:45
2022-01-01,798.643,2023-07-13 16:47:45
2021-12-01,798.837,2023-07-13 16:47:45
2021-11-01,799.443,2023-07-13 16:47:45
2021-10-01,799.166,2023-07-13 16:47:45
2021-09-01,797.726,2023-07-13 16:47:45
2021-08-01,791.123,2023-07-13 16:47:45
2021-07-01,786.143,2023-07-13 16:47:45
2021-06-01,784.38,2023-07-13 16:47:45
2021-05-01,782.548,2023-07-13 16:47:45
2021-04-01,780.614,2023-07-13 16:47:45
2021-03-01,780.209,2023-07-13 16:47:45
2021-02-01,782.437,2023-07-13 16:47:45
2021-01-01,781.914,2023-07-13 16:47:45
2020-12-01,782.444,2023-07-13 16:47:45
2020-11-01,782.403,2023-07-13 16:47:45
2020-10-01,782.652,2023-07-13 16:47:45
2020-09-01,781.984,2023-07-13 16:47:45
2020-08-01,780.064,2023-07-13 16:47:45
2020-07-01,777.492,2023-07-13 16:47:45
2020-06-01,775.642,2023-07-13 16:47:45
2020-05-01,774.743,2023-07-13 16:47:45
2020-04-01,774.413,2023-07-13 16:47:45
2020-03-01,774.185,2023-07-13 16:47:45
2020-02-01,773.944,2023-07-13 16:47:45
2020-01-01,772.63,2023-07-13 16:47:45
2019-12-01,771.519,2023-07-13 16:47:45
2019-11-01,772.102,2023-07-13 16:47:45
2019-10-01,772.258,2023-07-13 16:47:45
2019-09-01,770.457,2023-07-13 16:47:45
2019-08-01,765.726,2023-07-13 16:47:45
2019-07-01,759.965,2023-07-13 16:47:45
2019-06-01,759.028,2023-07-13 16:47:45
2019-05-01,757.945,2023-07-13 16:47:45
2019-04-01,756.908,2023-07-13 16:47:45
2019-03-01,756.751,2023-07-13 16:47:45
2019-02-01,755.755,2023-07-13 16:47:45
2019-01-01,754.578,2023-07-13 16:47:45
2018-12-01,754.38,2023-07-13 16:47:45
2018-11-01,754.358,2023-07-13 16:47:45
2018-10-01,753.806,2023-07-13 16:47:45
2018-09-01,751.782,2023-07-13 16:47:45
2018-08-01,746.517,2023-07-13 16:47:45
2018-07-01,736.755,2023-07-13 16:47:45
2018-06-01,734.538,2023-07-13 16:47:45
2018-05-01,732.259,2023-07-13 16:47:45
2018-04-01,731.689,2023-07-13 16:47:45
