date,value,created_at
2024-01-01,276.698,2024-02-14 23:00:19
2023-12-01,269.17,2024-01-17 23:00:22
2023-11-01,267.545,2023-12-13 23:00:19
2023-10-01,268.342,2023-11-16 13:36:10
2023-09-01,272.401,2023-10-22 23:00:12
2023-08-01,270.752,2023-09-13 23:00:13
2023-07-01,270.268,2023-08-10 23:00:15
2023-06-01,271.369,2023-07-13 16:47:45
2023-05-01,262.135,2023-07-13 16:47:45
2023-04-01,263.216,2023-07-13 16:47:45
2023-03-01,265.033,2023-07-13 16:47:45
2023-02-01,266.887,2023-07-13 16:47:45
2023-01-01,266.528,2023-07-13 16:47:45
2022-12-01,260.548,2023-07-13 16:47:45
2022-11-01,258.864,2023-07-13 16:47:45
2022-10-01,262.1,2023-07-13 16:47:45
2022-09-01,265.487,2023-07-13 16:47:45
2022-08-01,265.191,2023-07-13 16:47:45
2022-07-01,262.347,2023-07-13 16:47:45
2022-06-01,257.557,2023-07-13 16:47:45
2022-05-01,247.461,2023-07-13 16:47:45
2022-04-01,242.778,2023-07-13 16:47:45
2022-03-01,240.558,2023-07-13 16:47:45
2022-02-01,236.453,2023-07-13 16:47:45
2022-01-01,238.183,2023-07-13 16:47:45
2021-12-01,227.974,2023-07-13 16:47:45
2021-11-01,227.588,2023-07-13 16:47:45
2021-10-01,229.641,2023-07-13 16:47:45
2021-09-01,229.831,2023-07-13 16:47:45
2021-08-01,229.088,2023-07-13 16:47:45
2021-07-01,227.672,2023-07-13 16:47:45
2021-06-01,226.562,2023-07-13 16:47:45
2021-05-01,220.948,2023-07-13 16:47:45
2021-04-01,218.627,2023-07-13 16:47:45
2021-03-01,216.528,2023-07-13 16:47:45
2021-02-01,216.998,2023-07-13 16:47:45
2021-01-01,215.242,2023-07-13 16:47:45
2020-12-01,214.375,2023-07-13 16:47:45
2020-11-01,213.787,2023-07-13 16:47:45
2020-10-01,215.57,2023-07-13 16:47:45
2020-09-01,218.395,2023-07-13 16:47:45
2020-08-01,217.68,2023-07-13 16:47:45
2020-07-01,218.82,2023-07-13 16:47:45
2020-06-01,218.191,2023-07-13 16:47:45
2020-05-01,211.988,2023-07-13 16:47:45
2020-04-01,211.04,2023-07-13 16:47:45
2020-03-01,211.332,2023-07-13 16:47:45
2020-02-01,212.18,2023-07-13 16:47:45
2020-01-01,212.018,2023-07-13 16:47:45
2019-12-01,209.725,2023-07-13 16:47:45
2019-11-01,210.365,2023-07-13 16:47:45
2019-10-01,212.829,2023-07-13 16:47:45
2019-09-01,216.938,2023-07-13 16:47:45
2019-08-01,217.811,2023-07-13 16:47:45
2019-07-01,219.083,2023-07-13 16:47:45
2019-06-01,217.947,2023-07-13 16:47:45
2019-05-01,212.326,2023-07-13 16:47:45
2019-04-01,210.525,2023-07-13 16:47:45
2019-03-01,210.937,2023-07-13 16:47:45
2019-02-01,210.939,2023-07-13 16:47:45
2019-01-01,210.92,2023-07-13 16:47:45
2018-12-01,210.637,2023-07-13 16:47:45
2018-11-01,209.339,2023-07-13 16:47:45
2018-10-01,211.937,2023-07-13 16:47:45
2018-09-01,215.536,2023-07-13 16:47:45
2018-08-01,217.967,2023-07-13 16:47:45
2018-07-01,217.9,2023-07-13 16:47:45
2018-06-01,218.591,2023-07-13 16:47:45
2018-05-01,212.646,2023-07-13 16:47:45
2018-04-01,209.215,2023-07-13 16:47:45
2018-03-01,210.273,2023-07-13 16:47:45
2018-02-01,210.97,2023-07-13 16:47:45
2018-01-01,210.171,2023-07-13 16:47:45
2017-12-01,208.406,2023-07-13 16:47:45
2017-11-01,208.111,2023-07-13 16:47:45
2017-10-01,210.424,2023-07-13 16:47:45
2017-09-01,218.117,2023-07-13 16:47:45
2017-08-01,219.078,2023-07-13 16:47:45
2017-07-01,219.696,2023-07-13 16:47:45
2017-06-01,218.865,2023-07-13 16:47:45
2017-05-01,210.541,2023-07-13 16:47:45
2017-04-01,206.671,2023-07-13 16:47:45
2017-03-01,205.692,2023-07-13 16:47:45
2017-02-01,206.416,2023-07-13 16:47:45
2017-01-01,205.23,2023-07-13 16:47:45
2016-12-01,203.146,2023-07-13 16:47:45
2016-11-01,202.984,2023-07-13 16:47:45
2016-10-01,206.397,2023-07-13 16:47:45
2016-09-01,214.381,2023-07-13 16:47:45
2016-08-01,214.222,2023-07-13 16:47:45
2016-07-01,214.193,2023-07-13 16:47:45
2016-06-01,213.474,2023-07-13 16:47:45
2016-05-01,205.038,2023-07-13 16:47:45
2016-04-01,201.778,2023-07-13 16:47:45
2016-03-01,202.487,2023-07-13 16:47:45
2016-02-01,202.528,2023-07-13 16:47:45
2016-01-01,203.169,2023-07-13 16:47:45
2015-12-01,201.787,2023-07-13 16:47:45
2015-11-01,202.479,2023-07-13 16:47:45
2015-10-01,205.604,2023-07-13 16:47:45
2015-09-01,214.132,2023-07-13 16:47:45
2015-08-01,215.786,2023-07-13 16:47:45
2015-07-01,216.406,2023-07-13 16:47:45
2015-06-01,217.468,2023-07-13 16:47:45
2015-05-01,207.683,2023-07-13 16:47:45
2015-04-01,206.179,2023-07-13 16:47:45
2015-03-01,205.894,2023-07-13 16:47:45
2015-02-01,208.696,2023-07-13 16:47:45
2015-01-01,208.172,2023-07-13 16:47:45
2014-12-01,204.275,2023-07-13 16:47:45
2014-11-01,202.889,2023-07-13 16:47:45
2014-10-01,206.667,2023-07-13 16:47:45
2014-09-01,215.054,2023-07-13 16:47:45
2014-08-01,217.148,2023-07-13 16:47:45
2014-07-01,217.93,2023-07-13 16:47:45
2014-06-01,217.529,2023-07-13 16:47:45
2014-05-01,206.715,2023-07-13 16:47:45
2014-04-01,198.654,2023-07-13 16:47:45
2014-03-01,204.131,2023-07-13 16:47:45
2014-02-01,202.224,2023-07-13 16:47:45
2014-01-01,203.026,2023-07-13 16:47:45
2013-12-01,198.043,2023-07-13 16:47:45
2013-11-01,197.442,2023-07-13 16:47:45
2013-10-01,200.392,2023-07-13 16:47:45
2013-09-01,209.106,2023-07-13 16:47:45
2013-08-01,208.514,2023-07-13 16:47:45
2013-07-01,209.538,2023-07-13 16:47:45
2013-06-01,208.737,2023-07-13 16:47:45
2013-05-01,199.557,2023-07-13 16:47:45
2013-04-01,194.553,2023-07-13 16:47:45
2013-03-01,193.856,2023-07-13 16:47:45
2013-02-01,194.739,2023-07-13 16:47:45
2013-01-01,194.525,2023-07-13 16:47:45
2012-12-01,191.879,2023-07-13 16:47:45
2012-11-01,191.837,2023-07-13 16:47:45
2012-10-01,194.544,2023-07-13 16:47:45
2012-09-01,202.628,2023-07-13 16:47:45
2012-08-01,202.87,2023-07-13 16:47:45
2012-07-01,203.318,2023-07-13 16:47:45
2012-06-01,204.907,2023-07-13 16:47:45
2012-05-01,196.159,2023-07-13 16:47:45
2012-04-01,192.472,2023-07-13 16:47:45
2012-03-01,192.148,2023-07-13 16:47:45
2012-02-01,193.183,2023-07-13 16:47:45
2012-01-01,193.612,2023-07-13 16:47:45
2011-12-01,192.777,2023-07-13 16:47:45
2011-11-01,193.193,2023-07-13 16:47:45
2011-10-01,197.003,2023-07-13 16:47:45
2011-09-01,205.812,2023-07-13 16:47:45
2011-08-01,205.362,2023-07-13 16:47:45
2011-07-01,205.963,2023-07-13 16:47:45
2011-06-01,203.836,2023-07-13 16:47:45
2011-05-01,195.838,2023-07-13 16:47:45
2011-04-01,191.323,2023-07-13 16:47:45
2011-03-01,191.028,2023-07-13 16:47:45
2011-02-01,189.539,2023-07-13 16:47:45
2011-01-01,189.166,2023-07-13 16:47:45
2010-12-01,188.711,2023-07-13 16:47:45
2010-11-01,188.198,2023-07-13 16:47:45
2010-10-01,191.481,2023-07-13 16:47:45
2010-09-01,200.405,2023-07-13 16:47:45
2010-08-01,201.624,2023-07-13 16:47:45
2010-07-01,201.914,2023-07-13 16:47:45
2010-06-01,200.767,2023-07-13 16:47:45
2010-05-01,192.416,2023-07-13 16:47:45
2010-04-01,190.21,2023-07-13 16:47:45
2010-03-01,189.061,2023-07-13 16:47:45
2010-02-01,185.448,2023-07-13 16:47:45
2010-01-01,186.903,2023-07-13 16:47:45
2009-12-01,187.388,2023-07-13 16:47:45
2009-11-01,187.708,2023-07-13 16:47:45
2009-10-01,190.376,2023-07-13 16:47:45
2009-09-01,198.286,2023-07-13 16:47:45
2009-08-01,198.36,2023-07-13 16:47:45
2009-07-01,199.251,2023-07-13 16:47:45
