date,value,created_at
2024-01-01,284.832,2024-02-14 23:00:19
2023-12-01,285.502,2024-01-17 23:00:22
2023-11-01,286.751,2023-12-13 23:00:20
2023-10-01,287.554,2023-11-16 13:36:11
2023-09-01,285.482,2023-10-22 23:00:13
2023-08-01,281.338,2023-09-13 23:00:13
2023-07-01,283.935,2023-08-10 23:00:16
2023-06-01,287.092,2023-07-13 16:47:45
2023-05-01,289.888,2023-07-13 16:47:45
2023-04-01,285.777,2023-07-13 16:47:45
2023-03-01,286.582,2023-07-13 16:47:45
2023-02-01,284.162,2023-07-13 16:47:45
2023-01-01,283.33,2023-07-13 16:47:45
2022-12-01,284.49,2023-07-13 16:47:45
2022-11-01,284.67,2023-07-13 16:47:45
2022-10-01,286.882,2023-07-13 16:47:45
2022-09-01,289.659,2023-07-13 16:47:45
2022-08-01,293.481,2023-07-13 16:47:45
2022-07-01,287.496,2023-07-13 16:47:45
2022-06-01,290.364,2023-07-13 16:47:45
2022-05-01,281.646,2023-07-13 16:47:45
2022-04-01,281.751,2023-07-13 16:47:45
2022-03-01,276.223,2023-07-13 16:47:45
2022-02-01,284.417,2023-07-13 16:47:45
2022-01-01,274.72,2023-07-13 16:47:45
2021-12-01,272.606,2023-07-13 16:47:45
2021-11-01,275.845,2023-07-13 16:47:45
2021-10-01,274.424,2023-07-13 16:47:45
2021-09-01,274.225,2023-07-13 16:47:45
2021-08-01,274.18,2023-07-13 16:47:45
2021-07-01,272.834,2023-07-13 16:47:45
2021-06-01,270.474,2023-07-13 16:47:45
2021-05-01,274.272,2023-07-13 16:47:45
2021-04-01,275.956,2023-07-13 16:47:45
2021-03-01,271.754,2023-07-13 16:47:45
2021-02-01,273.091,2023-07-13 16:47:45
2021-01-01,274.619,2023-07-13 16:47:45
2020-12-01,271.818,2023-07-13 16:47:45
2020-11-01,270.007,2023-07-13 16:47:45
2020-10-01,269.735,2023-07-13 16:47:45
2020-09-01,266.863,2023-07-13 16:47:45
2020-08-01,270.573,2023-07-13 16:47:45
2020-07-01,268.818,2023-07-13 16:47:45
2020-06-01,268.709,2023-07-13 16:47:45
2020-05-01,264.242,2023-07-13 16:47:45
2020-04-01,261.502,2023-07-13 16:47:45
2020-03-01,263.738,2023-07-13 16:47:45
2020-02-01,264.224,2023-07-13 16:47:45
2020-01-01,263.407,2023-07-13 16:47:45
2019-12-01,259.783,2023-07-13 16:47:45
2019-11-01,262.555,2023-07-13 16:47:45
2019-10-01,261.594,2023-07-13 16:47:45
2019-09-01,254.051,2023-07-13 16:47:45
2019-08-01,258.316,2023-07-13 16:47:45
2019-07-01,255.636,2023-07-13 16:47:45
2019-06-01,253.678,2023-07-13 16:47:45
2019-05-01,254.409,2023-07-13 16:47:45
2019-04-01,252.139,2023-07-13 16:47:45
2019-03-01,249.33,2023-07-13 16:47:45
2019-02-01,249.163,2023-07-13 16:47:45
2019-01-01,256.169,2023-07-13 16:47:45
2018-12-01,250.376,2023-07-13 16:47:45
2018-11-01,250.258,2023-07-13 16:47:45
2018-10-01,249.413,2023-07-13 16:47:45
2018-09-01,245.609,2023-07-13 16:47:45
2018-08-01,249.478,2023-07-13 16:47:45
2018-07-01,249.0,2023-07-13 16:47:45
2018-06-01,244.829,2023-07-13 16:47:45
2018-05-01,245.296,2023-07-13 16:47:45
2018-04-01,245.985,2023-07-13 16:47:45
2018-03-01,244.725,2023-07-13 16:47:45
2018-02-01,240.441,2023-07-13 16:47:45
2018-01-01,240.284,2023-07-13 16:47:45
2017-12-01,240.155,2023-07-13 16:47:45
